36.3908 -58.1221 | -2.38524e-19 -9.71445e-18 | -2.27374e-13 -3.63798e-12
42.7139 8.24893 | -6.93889e-20 1.11022e-17 | 2.55795e-13 9.09495e-12
0.712886 -46.269 | 1.30104e-19 -3.33067e-18 | 2.55795e-13 3.18323e-12
5.22541 63.0316 | 4.16334e-19 9.99201e-18 | 1.7053e-13 -1.09139e-11
-15.2486 28.3801 | -6.93889e-20 -4.44089e-18 | 1.7053e-13 1.81899e-12
-37.5189 -49.1204 | -2.08167e-19 -3.33067e-18 | -5.68434e-14 -4.54747e-12
-64.4056 -11.9395 | 0 -1.11022e-18 | -5.68434e-14 3.63798e-12
62.2617 -25.5641 | 0 -1.11022e-18 | -8.52651e-14 3.63798e-12
25.5202 48.8702 | -2.60209e-20 2.77556e-18 | 9.9476e-14 0
-14.3976 68.3355 | -3.1225e-19 3.33067e-18 | -3.97904e-13 9.09495e-12
33.4506 4.0789 | 2.42861e-19 6.66134e-18 | 8.52651e-14 1.72804e-11
14.15 -30.4803 | 1.24548e-19 1.38778e-19 | 3.31957e-13 -3.18323e-12
7.20227 20.6012 | -1.38778e-19 -5.55112e-18 | 4.54747e-13 -9.09495e-12
40.8416 -27.6624 | -3.1225e-19 1.22125e-17 | 3.12639e-13 1.27329e-11
-54.0488 38.9167 | 1.73472e-19 -2.22045e-18 | -2.84217e-14 1.27329e-11
42.9854 52.7697 | 1.9082e-19 1.44329e-17 | 5.40012e-13 1.90994e-11
-31.1281 -23.0982 | -1.73472e-20 -1.11022e-18 | 2.41585e-13 -9.09495e-13
-32.2756 1.68977 | -2.21177e-19 -1.38778e-18 | 1.15463e-13 -2.27374e-12
-58.4928 42.4073 | 3.46945e-19 3.33067e-18 | 1.13687e-13 0
16.7848 31.5821 | 5.20417e-19 0 | -2.84217e-13 5.45697e-12
-29.6241 40.7839 | -1.73472e-19 1.11022e-18 | 2.27374e-13 -5.45697e-12
31.6087 55.3906 | -2.46656e-19 -5.96745e-18 | 1.72307e-13 -1.90994e-11
61.4938 38.7743 | -1.21431e-19 3.33067e-18 | 8.52651e-14 8.18545e-12
-43.8282 16.2161 | -1.73472e-19 -7.77156e-18 | -1.13687e-13 -9.09495e-13
-64.4599 -13.3973 | 3.46945e-19 -3.33067e-18 | -5.68434e-14 5.45697e-12
58.5022 13.8262 | 3.46945e-20 4.44089e-18 | 1.13687e-13 1.81899e-11
48.6072 -53.4283 | -3.42608e-19 1.05471e-17 | 7.4607e-14 1.59162e-11
