36.3933 -58.0153 | 0.0289316 0.448741 | 185.334 488.41
42.7169 8.21048 | 0.110612 0.110113 | 127.696 442.983
0.698403 -46.2566 | -0.111031 0.154996 | -105.881 2329.78
5.22601 62.9914 | 0.00243266 -0.158849 | 2.04636e-12 2.33058e-12
-15.2464 28.3682 | 0.0293005 -0.166254 | -26.0601 233.157
-37.5105 -49.1654 | 0.0574583 -0.302006 | 32.6084 -184.899
-64.3659 -11.916 | 0.171019 0.241793 | -139.895 -214.82
62.2605 -25.4876 | -0.0153664 0.477149 | -78.4966 1301.87
25.5634 49.0933 | 0.211941 0.936629 | 672.343 17.1417
-14.3777 68.2794 | 0.190034 -0.256765 | 90.4137 -23.4857
33.5008 4.17288 | 0.251943 -0.309914 | 405.781 -2823.7
14.15 -30.4803 | 8.88178e-17 -8.08242e-16 | -2.44071e-12 1.1795e-12
7.20495 20.4444 | -0.0204162 -0.900948 | -385.607 -3761.98
40.8444 -27.8117 | 0.0242401 -0.867174 | 78.4966 -1301.87
-54.0472 38.8716 | -0.0376387 0.0413681 | -1755.94 8609.29
42.9883 52.703 | 0.0491798 -0.658128 | 1342.16 -3562.7
-31.1186 -22.9496 | 0.0894108 1.19891 | 2.70375 -4758.35
-32.2579 1.89096 | 0.0876736 0.918486 | 81.5255 542.944
-58.4671 42.4921 | 0.106928 0.327362 | 225.425 1468.66
16.7758 31.4858 | -0.110039 -0.85385 | -138.676 -1941.7
-29.6397 40.5386 | -0.0663596 -0.858456 | -303.692 -267.683
31.607 55.4004 | -0.016291 -0.00954312 | -823.8 1876.05
61.5116 39.0634 | 0.163092 1.56005 | 869.717 2824.75
-43.8391 16.2638 | -0.0286879 0.103136 | 261.063 -2450.47
-64.4979 -13.3849 | -0.216287 -0.303664 | -200.967 -820.261
58.5195 13.6626 | 0.143184 -0.905349 | 742.139 -2538.79
48.6184 -53.4743 | 0.0583138 -0.471289 | -5.11591e-13 7.38964e-13
-12.5835 -41.1729 | -0.0181406 -0.0576695 | 630.718 5911.11
-37.145 6.3471 | 3.55271e-17 7.10543e-17 | -1.08002e-12 -4.14957e-12
40.5826 -7.94912 | -0.109269 -1.05901 | -104.754 1081.4
-10.1522 8.26308 | -0.0525024 -1.17809 | -74.3014 -483.041
13.9045 42.2424 | 0.017134 -0.281192 | -749.637 -2382.62
-4.79053 45.994 | 0.0703785 0.725627 | -144.906 1645.88
-11.262 52.1962 | -0.00186 0.286124 | -54.6893 1618.06
-17.1426 33.6878 | -0.0971286 -0.740092 | -115.237 -805.193
-5.15793 -71.9906 | -0.0889151 -0.622423 | -178.197 -761.448
10.8749 -36.9025 | -0.0628394 -0.333213 | 2.21689e-12 -8.81073e-13
-62.6616 -17.4998 | 0.0158574 0.847197 | -128.367 3048.77
7.24983 25.7769 | -0.0464985 -0.228096 | -9.48249 -262.546
-32.7825 -3.10927 | 0.0379151 0.181515 | 1836.11 5757.15
-8.94885 71.3417 | -0.0955233 0.529482 | -40.5834 177.994
-20.0774 -67.5203 | -0.0127197 0.0396547 | -565.152 1978.79
48.0042 -34.7406 | 0.0499431 0.106096 | 3.42482e-12 3.73745e-12
4.72807 -9.32755 | -0.0626246 -0.674903 | -71.2826 -506.08
22.2916 -59.7979 | -0.0107367 -0.156135 | 7.64544 1757.49
-21.6698 44.0532 | -0.0988176 -0.425552 | 145.356 -1631.54
51.017 44.4731 | 0.0498388 -0.286131 | 768.788 1706.35
-47.8033 48.6204 | 7.99361e-16 7.10543e-17 | 6.25278e-13 -2.04636e-12
27.1815 -44.2515 | 0.0664678 0.203584 | 291.562 822.543
37.3893 0.828605 | -0.0354083 -1.9762 | 202.928 -1179.96
37.6614 33.8504 | -0.110445 -0.801091 | 123.262 1899.01
-54.718 -38.6462 | 0.00621997 0.348739 | 1.25056e-12 1.9611e-12
30.785 -17.7327 | -0.0273532 -0.948282 | 1377.53 -12418.8
45.4969 37.6243 | -0.115613 1.46126 | -459.352 13692.5
51.053 27.6365 | 0.0519464 0.528584 | 50.5187 186.2
1.77338 -6.30596 | -0.210164 -0.467858 | -2086.24 -8289.74
23.4038 -49.1041 | -0.0259415 -0.379294 | 1274.39 2896.49
-36.7903 -25.6712 | -0.103477 -1.14788 | -134.089 -2625.36
8.29457 10.5171 | 0.158303 2.02175 | 100.856 325.198
35.4833 6.30795 | -0.329096 0.300506 | -464.305 3139.61
66.201 24.8286 | 0.0580249 -0.0828195 | 271.879 896.649
20.0011 -16.1682 | 0.0904346 -0.305022 | -1370.72 12527.8
18.8366 -51.2175 | -0.0831326 1.17255 | -1199.7 -2461.75
26.3904 47.1268 | -0.298533 -0.226557 | -637.255 -973.27
-18.555 -63.0385 | 8.72635e-16 1.15463e-16 | 7.10543e-13 5.45697e-12
-38.8209 -58.9058 | 5.9508e-16 -1.5099e-16 | -2.38742e-12 1.08002e-12
-31.973 56.5027 | -5.15143e-16 2.66454e-17 | 7.38964e-13 1.7053e-12
54.5176 -11.1492 | 0.0520854 -0.133681 | -415.728 336.571
-44.4814 35.9466 | 0.144117 0.50087 | 1949.45 -9005.08
3.47104 -54.9059 | -0.116875 -1.16453 | -559.318 -3479.56
24.3181 64.9578 | -0.0969437 -0.113868 | -49.8303 -154.508
-49.3297 -14.9751 | -0.0768316 -0.236031 | -8.80005 21.3125
4.16361 14.6462 | 0.0322067 -0.138488 | 1.02318e-12 3.49587e-12
5.01603 -4.39591 | 0.208342 0.9829 | 370.265 1503.18
35.4365 -13.8185 | -0.0586462 1.23825 | 503.449 -1595.58
26.5688 22.744 | -0.066168 1.27127 | -385.894 5607.65
8.50865 -32.5213 | 0.0128964 0.227117 | 3.41061e-13 -3.18323e-12
32.7795 -62.9903 | -0.0181948 -0.292606 | -192.98 -2245.91
58.9923 -5.92916 | 0.0801711 1.17635 | 94.0131 506.333
-45.3914 -29.733 | 2.53131e-16 -3.73035e-16 | 1.73372e-12 6.36646e-12
62.7243 15.6215 | -0.311655 -0.263515 | -873.196 1569.63
-72.0978 12.2352 | 0.0603392 1.41617 | -179.972 1041.04
-31.5739 -44.3986 | 0.0462041 0.112194 | -460.152 -5337.06
-54.2633 25.0956 | -3.32335e-05 -0.000601154 | -7.75344 -188.767
-1.03324 60.0841 | 0.00895603 1.30913 | -255.581 1417.81
49.5133 35.3269 | 0.14079 -1.19142 | -402.174 -16442.6
51.9627 19.4352 | -0.156295 0.955354 | -274.767 541.38
44.0616 17.291 | 0.350826 -0.382567 | 905.447 -2314.54
-59.9154 -27.5047 | 0.0105495 -0.194577 | -1.3074e-12 1.62714e-12
42.1506 2.78486 | -0.10761 0.980116 | -242.247 523.142
-69.5897 -20.3173 | 0.0240546 -1.01239 | 268.553 4313.63
26.3762 -23.4488 | -0.00914389 0.389412 | -0.0374602 -0.422432
20.3411 58.1046 | -0.0418448 -0.641458 | -262.779 268.835
60.6884 -21.0538 | 0.00022846 -5.36689e-05 | -5.10914 -120.522
-50.0899 -10.1684 | 0.0857043 0.606647 | 340.862 1035.08
-23.6294 -52.9526 | 0.120457 0.382726 | 95.7737 -496.648
-48.9274 10.287 | -0.0718849 -1.0024 | 161.09 -837.914
-6.02025 -0.335897 | -0.0732198 -1.27012 | -246.539 528.401
18.7411 -69.7414 | 0.101635 0.582769 | 743.349 -1217.34
-52.1668 19.5259 | -0.00351878 0.0353517 | -261.063 2450.47
