42.7205 -59.6796 | 2.00499 0.0154145 | -1703.81 2907.98
44.2715 9.51418 | 0.0997859 0.410602 | -578.323 844.098
-0.826235 -45.1738 | -0.353727 0.662726 | -1031.15 4551.2
6.61904 67.65 | 0.648854 1.18025 | -402.506 -833.869
-18.1033 26.5026 | -0.562633 0.347048 | 751.406 351.082
-34.534 -49.6837 | 1.31453 -0.631297 | 652.519 -1293.96
-65.0156 -5.39589 | -0.23084 1.70574 | 19.5866 20.8411
64.4054 -26.9124 | 1.25574 -1.19772 | -9.09495e-13 7.04858e-12
28.8417 49.7818 | 0.728121 0.590302 | -5.22959e-12 -2.04636e-12
-11.633 71.5094 | 0.004257 2.06787 | -2427.34 -2268.26
40.0447 4.7795 | 0.517949 -0.674477 | 4.88853e-12 -6.19593e-12
10.7514 -25.1732 | -1.38603 -0.951361 | -172.611 -638.73
10.5995 20.6121 | 1.24285 0.497658 | 13.5701 -342.693
47.0412 -30.4975 | 2.40467 -0.44999 | -1.11312 18.7256
-57.8449 36.5436 | -1.2569 -0.196951 | 1.64846e-12 -3.06954e-12
51.0739 55.6644 | 1.90239 1.0178 | -441.596 -1482.61
-27.2925 -19.319 | 2.1725 -0.712868 | 2950.95 1251.06
-37.2465 0.889074 | -1.88891 0.266061 | -1263.24 -1402.91
-59.7641 45.1052 | -0.469171 0.391006 | 0 -3.29692e-12
12.4631 31.975 | -0.696132 0.926462 | -1011.13 2737.24
-34.2387 39.1677 | -2.02188 0.139684 | -1.53477e-12 1.53477e-12
31.9377 57.5185 | 0.0859854 0.830562 | 441.596 1482.61
66.9711 43.7403 | 2.18365 0.771747 | -2.95586e-12 2.27374e-12
-44.5499 17.8005 | -0.669805 -0.252028 | 1668.88 -3628.11
-68.5648 -10.4009 | -1.02217 1.0408 | -19.5866 -20.8411
61.3738 9.41217 | 1.39686 -0.743101 | 159.508 -234.565
52.3037 -50.361 | 0.824688 -0.248986 | -4.54747e-13 1.7053e-12
-15.4516 -37.7191 | 0.17926 -0.00233099 | 173.413 -138.47
-35.3357 4.03846 | 0.767801 -1.01237 | 1083.25 544.246
38.5073 -7.31691 | 0.134585 -0.507592 | 985.902 -7545.03
-12.1431 11.1632 | -0.0953939 0.73428 | 367.727 -1565.11
9.67755 39.9537 | -1.3249 -0.0486384 | 3910.58 -1732.13
-8.03287 46.6296 | -1.45992 0.853266 | 746.043 325.14
-9.66182 53.5514 | 0.736316 0.221488 | -1.13687e-13 1.98952e-12
-17.9265 31.6732 | -0.22772 -0.777098 | 147.702 -377.682
-8.10418 -83.5002 | -0.440559 -3.33737 | 2.27374e-12 -3.41061e-12
9.0566 -34.7433 | -0.968424 0.607556 | 23.3106 -720.442
-58.8989 -18.6498 | 0.203102 -1.49397 | 0 5.00222e-12
11.8907 26.9147 | 1.00511 -0.502632 | -216.564 -1520.95
-28.635 -5.46631 | 0.449354 0.620882 | -82.0232 -990.781
-10.7108 75.8407 | -0.673131 2.28278 | 1666.44 3427.48
-19.2859 -72.7332 | -0.270619 -1.30933 | 295.351 -1848.77
49.7251 -36.9915 | 1.15066 -0.176191 | -63.4444 476.945
7.81864 -13.5779 | 0.343783 -0.682241 | -163.465 1605.37
21.7131 -62.0457 | 0.196288 -0.614827 | 1703.81 -2907.98
-18.5511 43.1524 | 0.230556 -0.43818 | -4736.38 2068.91
55.2996 47.8073 | 0.897292 1.60371 | 7.10543e-13 -4.20641e-12
-49.9563 56.5517 | -1.22925 1.26609 | 2.55795e-12 5.91172e-12
31.5036 -41.0934 | 0.7708 0.485672 | -4.26326e-13 1.19371e-12
39.3822 -1.75798 | 0.36123 0.637477 | 5850.09 6135.96
37.492 33.1111 | 0.214336 0.00169288 | 7.58597 57.7537
-58.9964 -39.6269 | -1.86827 -0.967358 | -4.20641e-12 5.22959e-12
27.4388 -21.4372 | -0.672865 1.58944 | -1.36424e-12 -4.3201e-12
43.3839 39.725 | -0.578484 0.102345 | -2.27374e-12 -4.09273e-12
51.9072 28.8534 | -0.204169 1.14506 | 14.194 -69.554
-2.88631 -10.0546 | -0.552198 -0.665254 | -193.827 487.238
25.4551 -46.7107 | -0.0250786 0.889481 | 220.725 -2405.28
-37.3991 -27.9376 | 0.416725 1.17403 | 168.485 -1393.51
12.6031 11.6046 | 1.77829 0.510833 | -316.471 1743.52
27.4371 7.28516 | -1.57607 0.705662 | 522.88 -1090.73
62.3255 24.3352 | -0.277922 -0.49827 | -939.285 2367.01
19.4326 -17.9327 | -0.743114 -1.08891 | 2.58638e-12 -2.20268e-12
14.0517 -51.1403 | -0.842821 -0.221824 | -1.47793e-12 5.45697e-12
19.5003 45.1184 | -0.492029 0.02186 | -7.95808e-13 5.68434e-14
-21.0385 -66.8462 | -0.651414 -1.58008 | -295.351 1848.77
-38.9829 -62.2484 | -0.109135 -1.32048 | -2.27374e-13 6.82121e-13
-31.5137 62.4559 | -0.268937 1.73547 | 760.901 -1159.22
50.4019 -12.6794 | -0.953182 0.267374 | -3.0127e-12 3.75167e-12
-44.4334 32.0503 | -0.717743 1.2597 | -9.09495e-13 -1.36424e-12
-3.15518 -58.0464 | -1.28321 -0.444543 | 3.98886 -9.83004
20.6977 74.3142 | -0.547978 2.63419 | 402.506 833.869
-53.0523 -14.6791 | -0.466601 0.095844 | -9.09495e-13 -5.91172e-12
4.46048 16.2928 | -0.456037 0.675422 | 2.27374e-12 2.95586e-12
5.31463 -5.41146 | -0.755347 0.345612 | -2.72848e-12 0
35.8863 -15.6126 | 0.111416 0.428893 | 161.844 -1606.99
24.621 24.2221 | -0.871717 -0.97683 | 418.324 -1177.1
9.02717 -28.745 | -0.356933 0.708694 | 40.1338 243.496
25.708 -69.2184 | -1.80283 -1.5895 | 9.09495e-13 2.64322e-12
68.4909 -4.48861 | 2.63649 0.0640743 | -6763.26 231.361
-46.9563 -33.7902 | -0.71712 -0.473777 | -173.413 138.47
61.2831 15.6759 | 0.998528 -0.418071 | -159.508 234.565
-72.717 12.9656 | -0.188892 -0.29785 | 2.72848e-12 6.2812e-12
-30.7991 -43.0009 | -0.0443301 0.404291 | 1.36424e-12 -2.50111e-12
-55.2383 25.8787 | -0.486276 -1.7832 | -45.1144 -309.154
-5.37588 62.6236 | -0.548652 0.474451 | -2.95586e-12 -2.27374e-12
53.8703 33.9669 | 1.64978 0.098703 | -2.04636e-12 5.91172e-12
49.9948 19.5183 | 0.0702706 -0.270989 | 3075.56 6401.95
51.6876 17.8543 | 0.871657 -0.084413 | -2131.41 -8701.52
-57.861 -30.5695 | 0.167228 -1.5572 | -22.2458 -80.5671
35.2092 0.611741 | -1.2537 -1.4676 | 122.711 692.088
-70.5492 -25.9706 | -0.524975 -0.176469 | 22.2458 80.5671
30.4123 -25.0289 | 1.16644 -1.62166 | -27.9283 -123.408
23.144 61.8047 | 1.21354 0.933529 | -5.68434e-12 1.59162e-12
62.3047 -21.2925 | 0.866561 -0.924082 | 27.9283 123.408
-46.4526 -7.34593 | 0.611853 0.772678 | -2945.71 762.453
-19.667 -55.3565 | 0.410051 -0.433474 | 153.918 -842.14
-47.4392 8.89424 | 0.337477 0.136493 | -34.6876 1528.24
-13.9602 -0.514399 | -2.63566 -1.17362 | 296.023 321.995
23.987 -77.3784 | 0.999312 -3.09813 | -3.41061e-12 1.00044e-11
-52.1372 22.5548 | -0.0120952 0.744376 | -1669.1 3617.25
