65.1123 -69.8236 | -0.0520872 0.186001 | 0 -1.09139e-11
15.9103 17.9181 | -0.967381 0.016475 | 9.77707e-12 -5.45697e-12
0.44849 -69.6188 | 0.377681 0.415106 | 1.04592e-11 -3.63798e-12
2.87257 90.0937 | -0.168437 -0.00776018 | 12.8028 122.489
-18.21 47.8886 | 0.173506 0.122851 | -279.543 452.39
-39.0631 -71.0321 | -0.174917 0.0765298 | 2.72848e-12 0
-80.6601 -6.49336 | 0.0112986 -0.0664249 | -1.81899e-12 1.00044e-11
72.5201 -39.803 | -0.214068 -0.716582 | 0 -1.47793e-11
27.7272 73.4865 | -0.390364 0.204849 | 696.893 1558.31
-45.9092 84.254 | -0.757817 0.57987 | -74.4761 -264.236
19.1825 3.45995 | -0.917128 0.0415078 | 1.81899e-12 2.72848e-12
-14.1885 -30.2135 | -0.264478 0.514885 | -27.4512 -55.0593
25.8124 34.2779 | -0.016126 -0.41239 | 2.72848e-12 9.54969e-12
66.541 -49.337 | -0.937485 0.374961 | -1.15961e-11 5.45697e-12
-86.8559 33.7038 | 0.106855 -0.653772 | -2.54659e-11 7.27596e-12
51.11 72.8647 | -0.137468 -0.0608895 | 6.36646e-12 9.09495e-12
-26.6539 -28.9725 | -0.322517 -0.273295 | 27.4512 55.0593
-57.2454 17.6338 | 0.85902 0.452432 | -2.27374e-12 4.54747e-12
-51.081 60.4939 | -0.165774 0.474691 | -7.27596e-12 -1.77351e-11
1.13859 54.9677 | 0.4243 1.09922 | 2.72848e-12 -5.00222e-12
-53.5393 57.7495 | -0.11308 -0.344376 | 5.00222e-12 -5.68434e-13
35.6956 79.0507 | -0.0274621 0.019455 | 9.09495e-13 -2.27374e-12
87.0431 20.5434 | 0.441949 -0.745067 | -13.3516 -0.697397
-29.121 37.4618 | 0.116534 -0.137464 | -3.2685e-12 1.81899e-12
-89.7762 -13.2628 | -0.130411 -0.520234 | -1.09139e-11 -1.36424e-12
53.3145 15.4989 | -1.1217 0.794798 | 1.09139e-11 -3.63798e-12
64.0034 -68.0148 | -0.650815 0.222433 | -1.04023e-11 -7.50333e-12
-1.36614 -56.298 | 0.0460642 -0.584883 | 2.72848e-12 8.2423e-12
-56.076 21.2702 | -0.588716 0.42045 | 3.63798e-12 2.72848e-12
61.9255 -16.4711 | 0.476407 -0.438544 | -4.54747e-12 9.09495e-13
-15.4471 7.89851 | -0.396985 0.117586 | -5.00222e-12 5.91172e-12
-29.6074 57.2137 | -0.358283 0.435274 | 1.98952e-12 7.10543e-12
-11.4813 68.2091 | 0.123951 -0.475227 | -125.979 -95.6936
-8.58023 78.4232 | 0.112871 -0.133316 | 164.951 407.785
-48.6604 48.4131 | 0.0158783 0.0996984 | 1.02318e-12 1.81899e-12
2.81381 -95.8005 | -0.127042 0.002967 | -2.72848e-11 2.72848e-11
-17.4926 -40.9635 | 0.205572 0.703714 | 8.69704e-12 3.41061e-13
-65.202 -34.5385 | -0.0246967 0.823087 | 2.63753e-11 3.86535e-12
6.41214 44.8107 | -0.518057 1.02763 | 279.543 -452.39
-47.5479 4.93509 | -0.0997692 -0.165253 | -3.63798e-12 -6.36646e-12
