65.0968 -69.742 | -0.000682221 0.106193 | -1.18234e-11 -7.27596e-12
15.4266 17.9264 | -0.967439 0.0166411 | -1.81899e-12 -2.27374e-13
0.626575 -69.3321 | 0.347851 0.633 | -9.09495e-13 6.13909e-12
2.77379 90.1456 | -0.226818 0.332091 | 309.129 -997.333
-18.1365 47.9745 | 0.145099 0.175553 | -1.81899e-12 -3.86535e-12
-39.1398 -71.0731 | -0.145086 -0.141364 | 5.68434e-13 -5.91172e-12
-80.5632 -6.46914 | 0.288402 0.26321 | -450.466 391.754
72.4059 -40.1981 | -0.275386 -0.803065 | -1.09139e-11 -9.54969e-12
27.5606 73.566 | -0.301776 0.2247 | 37.1014 -99.0343
-46.2781 84.4859 | -0.640558 0.297224 | 7.27596e-12 -9.43601e-12
18.7239 3.48071 | -0.917089 0.0414355 | 10.4567 -20.0623
-14.3472 -30.0288 | -0.405029 0.049259 | -28.3634 -90.4626
25.8044 34.0717 | -0.0165163 -0.416339 | -28.6731 -423.977
66.1095 -49.1758 | -0.77704 0.258432 | -1.64846e-12 2.21689e-12
-86.8026 33.3769 | 0.0999868 -0.654765 | -277.529 -37.6578
51.0413 72.8339 | -0.13611 -0.0683598 | 25.1528 -162.667
-26.7734 -29.0617 | -0.0856689 0.0326971 | 28.3634 90.4626
-56.7894 17.8198 | 1.05857 0.0657459 | 351.832 -1021.45
-51.1119 60.6591 | 0.0105231 0.22909 | 2.72848e-12 -7.27596e-12
1.35074 55.5173 | 0.4243 1.09922 | 1.81899e-12 3.63798e-12
-53.5958 57.5773 | -0.11308 -0.344376 | -4.54747e-12 -2.27374e-12
35.6776 79.0728 | -0.0603236 0.120312 | -25.1528 162.667
87.1375 20.0601 | -0.012223 -1.10761 | -342.24 0.498185
-29.0618 37.3765 | 0.120194 -0.21311 | 7.7307e-12 6.82121e-12
-89.9611 -13.5488 | -0.637168 -0.620989 | -80.5839 -18.085
52.7933 15.8951 | -0.801021 0.788616 | -1.00897e-11 -2.27374e-12
63.6675 -67.8922 | -0.70222 0.302241 | -1.81899e-12 2.95586e-12
-1.34672 -56.5687 | 0.0438216 -0.43752 | -64.4938 430.072
-56.3296 21.4318 | -0.368929 0.230718 | 1101.4 -1960.75
62.1637 -16.6904 | 0.476407 -0.438544 | -1.93268e-12 -1.18234e-11
-15.6456 7.9573 | -0.396985 0.117586 | 4.54747e-12 5.00222e-12
-29.7866 57.4314 | -0.358283 0.435274 | -5.22959e-12 -7.27596e-12
-11.4264 67.9656 | 0.0943632 -0.500051 | -9.09495e-13 1.36424e-12
-8.52542 78.4383 | 0.106728 0.0506981 | 8.11362 -836.528
-48.6525 48.463 | 0.0158783 0.0996984 | 9.09495e-13 -1.09139e-11
2.75045 -95.7993 | -0.12669 0.00230818 | -1.45519e-11 7.27596e-12
-17.3896 -40.6119 | 0.217618 0.688194 | 487.841 -646.767
-65.2198 -34.2272 | -0.0662253 0.19405 | -68.3381 -865.696
6.16542 45.3167 | -0.49331 1.05057 | 2.72848e-12 1.81899e-12
-47.5978 4.85247 | -0.0997692 -0.165253 | 4.54747e-12 -9.09495e-13
-11.3083 95.1206 | 0.357612 -0.625167 | -493.224 1337.44
-11.0871 -92.887 | 0.547269 0.345023 | 2.72848e-11 2.31921e-11
66.0127 -60.2948 | 0.242193 0.41613 | 2.04636e-12 -2.72848e-12
-16.5217 -21.4939 | -0.521861 -0.0147736 | -5.45697e-12 0
7.75308 -81.953 | 0.337774 0.276556 | -89.9592 95.2193
-41.9653 64.8899 | 0.478423 -0.263399 | 1.13687e-11 -1.50067e-11
82.7159 33.2838 | 0.770415 -0.506726 | 342.24 -0.498185
-52.9654 69.4352 | 0.026717 0.152009 | -9.09495e-13 1.81899e-11
32.0672 -72.1191 | -0.41771 1.13723 | -1.09139e-11 -9.09495e-13
39.9777 -17.7815 | -0.0384902 -0.581244 | 3.63798e-12 5.45697e-12
32.398 56.604 | -1.00575 0.101624 | 51.7718 163.89
-29.4172 -63.9411 | 0.798934 -0.460285 | 9.09495e-12 -2.72848e-12
28.0315 -45.0936 | -1.087 -0.941519 | -7.95808e-13 -1.59162e-12
45.1269 65.5963 | -0.246786 0.532168 | 41.758 -413.632
52.9967 44.6989 | 0.220957 -0.135186 | -51.7718 -163.89
-24.499 -13.5512 | -0.462194 -0.064342 | 4.54747e-12 -1.13687e-11
