65.2787 -69.2679 | 0.155244 0.545109 | 8.18545e-12 -4.88853e-12
13.9274 18.0606 | -1.00514 0.102166 | -1.00308 3.07565
1.07406 -68.0277 | 0.271699 0.844138 | 40.1094 -64.1126
2.42178 90.4972 | -0.315828 0.301076 | -18.464 -9.67108
-18.1486 48.5416 | -0.303023 0.424857 | -276.51 -1457.46
-39.272 -71.1343 | 0.00732852 0.106795 | 5.45697e-12 1.81899e-12
-80.0995 -6.25452 | 0.374839 0.366969 | 58.4541 1118.01
71.9711 -41.3881 | -0.494069 -0.675182 | -150.592 130.759
27.2604 73.8435 | -0.210785 0.235916 | -20.4015 53.0338
-46.6503 83.8453 | -0.0225612 -0.89706 | -3.95767 -101.607
17.4197 3.26673 | -0.860986 -0.170268 | -6.70752e-12 1.27329e-11
-14.5816 -30.4288 | -0.00882598 -0.397375 | -7.38964e-12 -7.38964e-13
25.672 33.3761 | -0.326716 0.131719 | 6.13909e-12 -3.18323e-12
64.8578 -48.5693 | -0.792215 0.41558 | 150.592 -130.759
-87.1857 32.3038 | -0.596659 -0.753414 | -482.517 -53.9617
50.9072 72.3972 | -0.0352553 -0.616357 | -2.18279e-11 -3.63798e-12
-27.2847 -28.8769 | -0.460643 0.15412 | 59.6707 -157.011
-55.4526 17.5577 | 0.855223 -0.214329 | -1.81899e-12 -1.09139e-11
-51.2891 60.9702 | 0.0810482 -0.137584 | 1890.43 -2534.83
1.90945 56.7399 | 0.300458 0.432944 | -8.3028 -1905.38
-53.4214 56.9935 | 0.166391 -0.397968 | -1.09139e-11 -7.27596e-12
35.5466 79.5885 | 0.0337577 0.333599 | -9.09495e-12 -9.09495e-13
87.013 18.5295 | -0.173269 -0.915844 | -5.11591e-12 7.27596e-12
-28.5793 37.7865 | 0.389013 0.368996 | 201.815 -899.482
-90.9184 -14.4806 | -0.6382 -0.621201 | 1.00044e-11 -9.09495e-13
51.7612 16.9033 | -0.614691 0.36617 | 2.22826e-11 -8.07177e-12
62.6096 -67.3093 | -0.529349 0.377597 | 9.09495e-12 -2.27374e-12
-1.39662 -56.8816 | 0.013686 0.525922 | 939.301 2601.82
-56.1935 22.0188 | 0.289187 0.330238 | 4.54747e-12 -5.91172e-12
62.5217 -16.8393 | 0.0597222 0.158064 | 5.45697e-12 1.36424e-12
-16.2411 8.13368 | -0.396985 0.117586 | 2.31637e-12 8.01492e-12
-30.1674 57.9013 | -0.166311 0.436461 | 2.84217 -44.4209
-11.1976 67.624 | 0.0719246 -0.0585107 | -894.323 -1346.38
-8.36613 78.4405 | -0.0146102 0.473485 | 4.54747e-12 2.72848e-12
-48.7164 48.2128 | -0.15104 -0.0144159 | 73.3265 1816.85
2.55989 -95.4052 | -0.225522 0.468732 | -3.02407e-11 -1.63709e-11
-16.9862 -39.7654 | 0.220948 0.439825 | -411.484 -168.717
-65.3088 -33.6243 | -0.0582833 0.432141 | -1.09139e-11 -1.31877e-11
5.65339 46.5816 | -0.103769 0.565723 | -201.815 899.482
-47.5042 4.76236 | 0.0915605 -0.0494235 | -2.50111e-12 -3.18323e-12
-11.2801 95.4005 | -0.0299081 0.320822 | 3.95767 101.607
-10.3155 -92.0126 | 0.588359 0.664443 | -26.3915 -79.8224
66.4581 -59.8929 | 0.145137 0.264801 | 1.76215e-11 -2.09184e-11
-17.3067 -21.5106 | -0.552069 0.0582862 | -59.6707 157.011
7.8134 -81.0527 | -0.0267603 0.667347 | 8.52651e-13 6.82121e-13
-41.5822 64.8223 | -0.0261424 0.460311 | -1893.27 2579.25
83.9805 32.5674 | 0.958883 -0.346461 | 3.18323e-12 4.54747e-12
-52.9051 69.6116 | 0.105845 -0.0495854 | -6.36646e-12 -7.16227e-12
31.2373 -70.822 | -0.633055 0.499919 | 9.82847 -16.074
39.92 -18.6534 | -0.0384902 -0.581244 | 1.02318e-12 -8.6402e-12
31.0105 57.2873 | -0.839193 0.872929 | 8.3028 1905.38
-28.2811 -64.6379 | 0.459687 -0.769841 | -1732.23 -1245.95
26.4014 -46.5051 | -1.08172 -0.93492 | 348.549 101.388
44.7212 66.0775 | -0.233916 0.122557 | 20.4015 -53.0338
53.2874 44.3894 | 0.181772 -0.240255 | -7.84439e-12 -5.91172e-12
-25.1923 -13.6477 | -0.462194 -0.064342 | -2.72848e-12 -6.30962e-12
17.4079 -71.554 | -0.255903 0.345951 | -8.48102 -13.1945
-40.6259 -47.0252 | 0.162172 -0.533921 | 826.407 -6604.98
19.026 26.2911 | -0.151697 0.139359 | -27.695 -22.0452
