-3.71386 -65.0026 | 0.0553255 0.437546 | 3.18323e-12 3.97904e-12
-14.816 64.2181 | -0.440624 0.267018 | -265.196 -1528.82
40.1945 -20.4482 | -0.373922 0.550066 | -5.91172e-12 0
-69.0978 -26.96 | 0.529616 -0.0128504 | 1.59162e-12 -1.36424e-12
-20.3257 -40.5212 | -0.0730912 0.0666079 | 9.09495e-12 8.29914e-12
-15.1919 -90.5269 | 0.322595 -0.87442 | 1.52173 -17.7264
57.3387 -3.49531 | -0.858276 0.569764 | -1016 -1260.07
-33.0043 -34.9968 | 1.30137 -0.451323 | -2.72848e-12 2.27374e-12
54.178 71.471 | -0.0400312 -0.0488903 | -29.3709 44.8494
-62.2002 19.3712 | 0.736278 -0.366185 | -4.54747e-12 -7.7307e-12
7.70678 92.2438 | 0.785419 -0.688033 | -367.136 3376.28
-16.0848 9.76277 | 0.197223 -0.306705 | 1396.08 -695.938
11.8728 -67.0885 | -0.532983 -0.02531 | 2.72848e-12 -5.91172e-12
-81.23 7.46905 | 0.129799 -0.213678 | -145.286 -74.3106
25.9541 86.8199 | -0.0489861 -0.15516 | 3.63798e-12 -4.54747e-12
-77.8933 35.6184 | 0.249137 0.888471 | -9.09495e-12 1.62004e-12
-63.8967 -22.0707 | -0.488931 -0.0339383 | 1.22782e-11 7.27596e-12
-0.0955334 60.5545 | -0.728162 0.149189 | -2.95586e-12 7.7307e-12
53.2641 41.8857 | 0.798366 -0.754013 | 3.4994 36.2309
94.4888 -18.7568 | 0.787541 0.393546 | -4.54747e-13 3.63798e-12
49.9295 -16.3462 | 0.269211 0.613143 | 4.54747e-12 -2.27374e-13
-38.8689 -21.5547 | 0.418851 0.12154 | 3.63798e-12 -9.09495e-13
51.2341 29.1285 | 0.284391 -0.105543 | -9.09495e-12 -4.54747e-13
46.2203 -32.2208 | -0.90439 0.643273 | -6.79279e-12 3.86535e-12
34.911 -52.849 | -0.396999 0.171762 | -1.09139e-11 -1.81899e-12
-16.6541 -55.2012 | 0.309358 -0.431156 | 5.00222e-12 -7.7307e-12
-49.2915 -11.6532 | -0.10408 0.0343311 | 145.286 74.3106
-81.5833 39.7443 | 0.227479 -0.0375278 | -7.27596e-12 -6.36646e-12
1.93122 -43.9456 | -0.201771 -0.305216 | -1.00044e-11 3.63798e-12
73.7754 -28.5139 | -0.914077 0.00625505 | -675.095 344.81
5.94291 -57.4193 | 0.335763 0.601181 | 6.36646e-12 1.81899e-12
-85.9813 -4.51319 | -0.541035 0.537062 | 9.09495e-13 -5.22959e-12
-0.414947 -10.9402 | -0.479658 0.0285982 | -9.09495e-13 3.18323e-12
61.7497 -1.82772 | 0.0407083 0.30168 | 1033.12 1277.69
3.99701 29.2497 | 0.472333 -0.138018 | 9.09495e-13 8.6402e-12
-12.8632 86.6058 | 0.532261 -0.18667 | 367.136 -3376.28
-4.9888 95.5334 | 0.712045 -0.595934 | -2.00089e-11 8.18545e-12
14.8685 65.1161 | 0.117048 -0.362006 | 29.3709 -44.8494
-47.9921 59.3148 | 0.0540492 -0.505208 | 1.36424e-12 9.09495e-13
21.4106 -45.1472 | -0.423321 -0.064228 | -9.09495e-13 -5.45697e-12
-55.5228 36.7256 | 0.363569 -0.3428 | -1.45519e-11 -1.81899e-12
-29.8345 54.9572 | 0.581747 -0.209152 | 299.174 1239.8
81.0558 -1.74517 | -0.143296 -0.0249122 | 4.68958e-12 5.45697e-12
-45.0583 -58.0085 | -0.721459 0.308827 | -3.63798e-12 -1.09139e-11
82.12 41.7366 | 0.397244 -0.708627 | -9.09495e-13 2.72848e-12
39.9205 18.2885 | -0.708973 1.25805 | -4.09273e-12 8.18545e-12
-53.3326 -4.07943 | -0.895008 -0.281156 | 310.846 1115.79
33.0031 63.9991 | 0.463035 -0.0820393 | -5.45697e-12 6.13909e-12
65.8293 -40.7707 | 0.227772 0.105309 | 8.6402e-12 1.63709e-11
-40.2998 -61.9272 | 0.299314 -0.145089 | 2.00089e-11 1.63709e-11
35.1508 52.8954 | -0.400589 0.37524 | 89.6062 -259.189
81.874 25.2093 | 0.299228 -0.849753 | -3.4994 -36.2309
-49.793 27.2971 | -0.175532 -0.214093 | -1.13687e-11 -1.81899e-12
16.2684 48.5821 | -0.114141 -0.231063 | 5.45697e-12 -4.54747e-13
-23.032 12.9633 | 0.411188 -0.248993 | -1396.08 695.938
1.80421 -94.969 | -0.128614 -0.280055 | 1.00044e-11 -2.72848e-12
39.3549 56.4492 | -0.286793 0.0545356 | -89.6062 259.189
35.4598 -88.1199 | -0.0420132 0.156374 | -4.54747e-12 2.00089e-11
1.12274 -79.5359 | -0.0364931 -0.0587625 | 5.00222e-12 4.54747e-13
7.56625 -27.7613 | 0.640591 -0.587322 | -51.0456 427.11
-59.2276 -32.3479 | 0.457676 0.184779 | 4.54747e-12 -5.68434e-13
