65.5346 -67.7852 | -0.196727 0.451992 | 1.27329e-11 -3.29692e-12
10.4102 19.7509 | -1.21959 0.756217 | 7.95808e-12 3.83693e-13
1.15119 -67.4272 | -0.210586 0.201787 | 6.39789 59.0924
1.16526 89.9611 | -0.312236 -0.836915 | 27.5393 -92.8722
-18.4781 51.0214 | -0.0901682 0.64811 | -78.8397 113.431
-39.947 -71.3441 | -0.200027 -0.455645 | -71.0077 -746.458
-79.4515 -4.6287 | 0.0904909 0.527498 | 5.68434e-12 4.54747e-12
70.693 -42.8905 | -0.308056 -0.250194 | 323.304 1546.48
26.7102 73.6014 | -0.0482897 -0.399187 | 2.72848e-12 -1.36424e-12
-46.8595 81.6685 | -0.0981313 -0.317663 | 4.54747e-12 1.90994e-11
15.3071 3.22834 | -0.696632 -0.00525256 | -1.81899e-12 -5.08749e-12
-14.2185 -29.9531 | 0.185187 0.243538 | -9.09495e-12 -1.22782e-11
24.8887 34.7209 | -0.193591 0.552126 | 1.36424e-12 -7.27596e-12
62.287 -47.8541 | -1.01813 0.0562362 | -323.304 -1546.48
-89.2497 29.815 | -0.675888 -0.868677 | 1.27329e-11 -3.63798e-12
50.7603 71.4889 | -0.0414815 0.114482 | -1.15392e-11 -1.81899e-12
-29.0192 -28.929 | -0.663934 -0.0279273 | 7.04858e-12 -7.61702e-12
-53.2062 16.6571 | 0.578078 -0.386947 | 9.09495e-13 -7.27596e-12
-51.3267 60.6426 | -0.163408 0.216885 | 7.7307e-12 -6.36646e-12
2.29996 57.3497 | 0.0968686 0.39291 | 1.09139e-11 0
-52.2864 56.5751 | 0.650978 -0.278649 | -9.51669 226.67
35.4975 80.1714 | -0.109677 -0.241684 | -3.18323e-12 -4.54747e-12
86.5614 15.8407 | -0.136502 -0.884208 | 9.09495e-13 -1.54614e-11
-27.3829 38.5904 | 0.346968 0.461665 | 1.72804e-11 -1.09139e-11
-92.6597 -16.3707 | -0.224234 -0.688225 | 0 -1.93268e-12
50.392 16.9882 | -0.344145 -0.189719 | -9.09495e-12 8.86757e-12
62.4537 -65.9374 | 0.0720882 0.562522 | 4.82503 -812.234
-0.53924 -54.3569 | 0.696945 0.383477 | -63.2335 350.347
-54.6391 22.8147 | 1.0516 -0.131111 | 761.872 -942.236
62.7044 -16.3946 | 0.0622386 0.136793 | 8.07177e-12 -8.52651e-13
-17.9192 8.07641 | -0.619772 0.160755 | 9.09495e-13 -1.31877e-11
-30.349 57.8598 | -0.0315539 -0.168169 | 6.36646e-12 7.27596e-12
-11.455 68.3609 | -0.177658 0.791502 | -8.6402e-12 0
-8.12897 79.1756 | 0.212232 0.0452234 | 2.27374e-12 -2.16005e-12
-49.2898 47.9897 | -0.133459 -0.0721557 | 1.36424e-12 -3.18323e-12
2.08221 -95.2989 | 0.134408 -0.646931 | -1.81899e-11 6.36646e-12
-16.7615 -38.6892 | 0.164845 0.444234 | 366.051 1541.03
-65.6107 -32.0558 | -0.150642 0.667513 | 1.81899e-11 -9.09495e-13
5.29796 48.6398 | -0.112558 0.684218 | 78.8397 -113.431
-47.3282 4.45266 | -0.0327603 -0.252568 | 1.54614e-11 -3.63798e-12
-11.0638 94.844 | 0.241993 -0.752802 | -1.00044e-11 -3.45608e-11
-8.3858 -90.547 | 0.494807 0.726531 | 3.63798e-12 -1.69393e-11
66.3215 -58.5122 | -0.0439399 0.521817 | -4.82503 812.234
-19.0535 -20.5706 | -0.502377 0.536154 | -5.45697e-12 1.81899e-12
7.07549 -80.0944 | -0.316697 -0.299598 | -3.63798e-12 9.09495e-12
-42.1247 66.6638 | -0.265363 0.446749 | 1.18234e-11 9.09495e-13
86.8572 31.528 | 0.958883 -0.346461 | -2.251e-11 -1.20508e-11
-52.655 69.4073 | 0.0489651 -0.10422 | 1.42109e-11 7.27596e-12
30.0163 -69.473 | 0.0747633 0.916891 | 527.141 360.954
39.8045 -20.3971 | -0.0384902 -0.581244 | 7.27596e-12 9.09495e-13
29.126 59.5142 | -0.590165 0.0317716 | 5.45697e-12 -4.54747e-12
-27.2855 -64.8818 | 0.297364 0.768214 | 71.0077 746.458
24.7464 -47.7841 | -0.497466 -0.381365 | 4.54747e-13 4.54747e-13
44.0578 65.8521 | -0.191723 -0.0362255 | -3.56386 5.22298
54.2878 44.1313 | 0.365721 -0.053221 | 2.72848e-12 -2.72848e-12
-26.6043 -13.4159 | -0.332215 0.222575 | 329.777 215.332
17.2624 -70.3025 | -0.0776247 0.309568 | -1295.4 1039.09
-39.8905 -49.6269 | 0.251453 -0.878754 | 1.68257e-11 9.09495e-13
18.5721 26.7123 | -0.150575 0.142118 | 4.54747e-13 -1.36424e-12
15.6206 8.29528 | -0.310253 -0.0381561 | 6.70752e-12 -3.86535e-12
82.2431 8.3219 | -0.802995 -0.678747 | 9.09495e-12 -1.36424e-12
40.8373 -41.1678 | 0.134862 -0.13907 | 5.22959e-12 2.72848e-12
9.32585 -72.6487 | -0.192902 0.226897 | 761.863 -1459.14
-1.62909 71.1425 | 0.0695457 -0.292416 | 5.53868e-12 3.06954e-12
-64.0361 -69.7838 | -0.401947 0.41145 | -3343.66 -849.481
-71.6376 -58.292 | -0.533688 1.17768 | 3343.66 849.481
-34.9569 78.8021 | 0.291873 -0.595988 | 3.63798e-12 1.20508e-11
67.2668 -22.5092 | -0.19563 0.83201 | -706.937 1107.72
-73.8109 39.7484 | 0.343851 -0.397207 | 9.51669 -226.67
-17.9832 -82.0004 | 0.0979123 0.51092 | 0 -4.77485e-12
22.3997 91.3064 | 0.653509 0.260877 | -27.5393 92.8722
-63.6854 -25.3698 | 0.265253 0.116693 | -1.81899e-12 -4.3201e-12
12.8736 30.4664 | -0.20511 -0.109956 | 1.13687e-13 1.81899e-12
-9.602 -8.76942 | 0.053857 -0.0387897 | 9.09495e-13 9.60654e-12
52.597 -30.46 | 0.422948 -0.218225 | -3.86535e-12 -2.72848e-12
22.7665 40.8528 | -0.343121 0.778179 | -7.38964e-13 -8.18545e-12
-7.69987 -35.5933 | 0.0296823 0.281447 | 536.489 1108.17
9.49369 -81.791 | 0.0894414 0.319765 | 9.09495e-13 -2.95586e-12
47.5809 5.00394 | -0.314132 -0.259693 | 4.09273e-12 -3.63798e-12
-10.2982 -53.0932 | -0.158758 0.771835 | 1.59162e-12 4.54747e-12
67.4185 9.90766 | -0.394393 -0.390525 | 5.45697e-12 1.18234e-11
-67.4395 25.6965 | 0.425541 0.0109206 | -825.58 513.214
-2.67702 -62.3905 | -0.0695916 0.146987 | -2.04636e-12 -2.82085e-12
-88.2718 13.6351 | -0.408723 0.098998 | -1.77351e-11 -3.41061e-12
-10.6193 85.5704 | -0.401175 -0.721923 | 8.18545e-12 2.27374e-12
51.7484 59.0868 | 0.0395325 0.943095 | 3.56386 -5.22298
65.345 22.5149 | -0.520552 -0.218283 | 62.6366 173.603
61.3135 22.3289 | -0.829669 -1.09433 | -62.6366 -173.603
-50.6964 -53.9756 | 0.65115 -0.2481 | 5.45697e-12 -4.48974e-12
32.1448 -17.0584 | -0.568042 -0.719295 | -8.18545e-12 -4.3201e-12
-50.6856 -41.9289 | 0.943267 -0.51024 | -902.54 -2649.2
30.6977 -55.4938 | -0.306441 0.181228 | 63.2335 -350.347
42.8233 83.6632 | -0.496428 0.336539 | -6.36646e-12 3.80851e-12
86.8113 -23.2998 | 0.144477 0.0511671 | 706.937 -1107.72
-59.7816 -6.25972 | 0.314323 -0.18125 | -329.777 -215.332
-35.1184 -75.1585 | -0.415268 0.116974 | 5.91172e-12 -2.6148e-12
-30.0113 31.7835 | -0.525121 0.230458 | 1.09139e-11 2.50111e-12
-27.9441 7.15407 | 0.432339 -0.109336 | 5.45697e-12 -1.81899e-12
15.4068 -86.1258 | 0.104863 0.981861 | 1.27329e-11 2.27374e-12
-50.6942 38.9112 | 0.343308 0.135396 | 63.7082 429.021
