65.442 -67.5758 | -0.151822 0.321537 | 7.27596e-12 0
9.77941 20.0951 | -1.32911 0.575338 | -4.95219 -7.31949
1.05607 -67.2479 | -0.160885 0.380217 | 6.82121e-12 0
0.938258 89.6943 | -0.64284 0.0402151 | 3.75173 63.2248
-18.5236 51.345 | -0.0904593 0.634684 | -0.786052 -27.684
-40.0377 -71.5612 | -0.0863299 -0.306039 | 235.746 170.318
-79.4063 -4.36495 | 0.0904909 0.527498 | -6.36646e-12 2.95586e-12
70.5313 -42.884 | -0.504143 0.165298 | 1.33582e-11 -9.77707e-12
26.6936 73.3589 | -0.0290786 -0.521093 | 0 5.00222e-12
-46.9035 81.5531 | -0.0788838 -0.151003 | -2.95586e-12 -7.27596e-12
14.9588 3.22571 | -0.696572 -0.00559282 | 9.09495e-13 1.13687e-12
-14.1259 -29.8314 | 0.185187 0.243538 | 0 -1.81899e-12
24.7927 34.9905 | -0.184476 0.486782 | 56.1673 -242.611
61.7786 -47.9548 | -1.01128 -0.280615 | 9.09495e-12 1.36424e-11
-89.5876 29.3806 | -0.675888 -0.868677 | 0 -1.81899e-12
50.7292 71.5995 | -0.0375515 0.404119 | 857.713 2734.7
-29.3512 -28.943 | -0.663934 -0.0279273 | 3.97904e-12 8.18545e-12
-52.9161 16.4798 | 0.588104 -0.250509 | 5.92033 156.578
-51.4084 60.7511 | -0.163408 0.216885 | 7.04858e-12 -1.81899e-12
2.34836 57.5467 | 0.0961637 0.405648 | 0.786052 27.684
-51.9604 56.4449 | 0.658931 -0.211345 | 121.395 606.886
35.4429 80.0492 | -0.0998846 -0.287126 | 218.108 -1054.94
86.4697 15.4344 | -0.23783 -0.732333 | 0 -3.63798e-12
-27.2094 38.8213 | 0.346968 0.461665 | -4.54747e-12 -5.45697e-12
-92.7718 -16.7148 | -0.224234 -0.688225 | 8.41283e-12 8.6402e-12
50.225 16.8966 | -0.242295 -0.127722 | 454.341 235.884
62.4835 -65.6624 | 0.0263029 0.637719 | 57.7457 -395.546
-0.190507 -54.1647 | 0.708978 0.360093 | 36.7976 -76.8816
-54.108 22.7431 | 1.06254 -0.143321 | 7.27596e-12 2.72848e-12
62.7353 -16.3259 | 0.0556793 0.149619 | -113.404 236.834
-18.2003 8.17161 | -0.564339 0.112046 | -5.92033 -156.578
-30.3539 57.7346 | 0.0517513 -0.315225 | 46.5385 92.356
-11.5438 68.7567 | -0.177658 0.791502 | -1.81899e-12 4.54747e-12
-8.02285 79.1982 | 0.212232 0.0452234 | -4.54747e-13 6.13909e-12
-49.3614 47.9327 | -0.184822 -0.309545 | -120.839 -828.231
2.14941 -95.6224 | 0.134408 -0.646931 | -1.09139e-11 5.45697e-12
-16.671 -38.4278 | 0.181716 0.526515 | -9.54969e-12 -9.09495e-13
-65.6914 -31.6666 | -0.232613 0.680894 | -415.896 -1970.39
5.24203 48.9814 | -0.111867 0.683322 | -6.36646e-12 -4.3201e-12
-47.3446 4.32637 | -0.0327603 -0.252568 | 0 6.36646e-12
-10.909 94.5517 | 0.34452 -0.481836 | 7.10283 36.8764
