65.2751 -67.4578 | -0.00997107 -0.163334 | 7.55041 -42.9062
7.75516 20.8147 | -1.38348 0.280913 | -7.04858e-12 -1.00044e-11
1.29605 -66.917 | 0.277045 0.261727 | -4.09273e-12 -7.95808e-12
0.133832 89.4926 | -0.415977 -0.420149 | 1666.44 -3922.32
-18.6536 51.492 | -0.0640664 -0.0695313 | 211.149 345.892
-39.7022 -71.6669 | 0.28174 -0.016528 | -125.751 -75.3201
-79.2105 -3.65694 | 0.300605 0.386516 | -201.698 -1174.21
69.6097 -42.539 | -0.610448 0.26438 | -1.81899e-12 -8.46967e-12
26.708 72.706 | -0.0367575 -0.248874 | -4275.13 9685.14
-47.0218 81.3266 | -0.0788838 -0.151003 | 3.63798e-12 -9.09495e-12
13.9381 3.02463 | -0.666157 -0.240221 | 6.36646e-12 7.7307e-12
-13.8505 -29.4267 | 0.182156 0.292791 | 9.09495e-13 0
24.2945 35.0009 | -0.679278 -0.317108 | 478.251 1837.67
60.2983 -48.1087 | -0.975017 -0.00564348 | -26.9418 15.4193
-90.6232 28.0873 | -0.755234 -0.833632 | 1.00044e-11 1.81899e-12
50.7228 71.6164 | -0.0136346 0.061979 | -814.204 4973.82
-30.3471 -28.9849 | -0.663934 -0.0279273 | -9.32232e-12 3.63798e-12
-52.0338 16.1089 | 0.588164 -0.247183 | 1.81899e-12 -2.72848e-12
-51.6598 60.8173 | -0.0664658 0.176136 | -1.81899e-12 -1.27329e-11
2.48537 58.0918 | 0.061211 0.0870642 | 8.75389e-12 2.04636e-12
-51.1178 56.6927 | 0.440571 0.010673 | 1.81899e-12 -1.47793e-11
35.4155 79.8028 | 0.133668 -0.289936 | -32.6515 105.759
86.0452 14.3627 | -0.207895 -0.620688 | 793.642 542.081
-26.5967 39.3515 | 0.392182 0.210509 | -636.413 -2501.62
-92.7025 -17.8092 | 0.132056 -0.74299 | -8.6402e-12 -1.36424e-11
49.9949 16.828 | -0.134072 0.0535198 | -1.40972e-11 -1.7053e-12
62.515 -64.8963 | -0.0657037 0.564169 | -1.04043 -245.395
0.914194 -53.4948 | 0.681807 0.731614 | -24.1104 47.9811
-52.5198 22.6046 | 1.05881 -0.0284173 | 201.698 1174.21
62.6013 -15.8635 | -0.30711 0.0147312 | -584.919 -785.501
-19.0469 8.33477 | -0.564383 0.108728 | -2.72848e-12 -3.18323e-12
-30.1565 57.1457 | 0.206329 0.220606 | 4.54747e-13 -9.09495e-13
-11.7822 69.8164 | -0.0356435 0.362923 | 76.6654 -459.246
-7.71632 79.2418 | 0.185143 0.0044834 | -114.729 -373.769
-49.7115 47.6801 | -0.277833 -0.366125 | -6.36646e-12 -3.52429e-12
2.37561 -96.3418 | 0.197089 0.00753351 | 1.81899e-12 -3.63798e-12
-16.3701 -37.7118 | 0.216421 0.411061 | -333.228 -549.154
-66.0669 -30.9452 | -0.166056 0.208321 | -3.18323e-12 2.09184e-11
5.07423 50.0064 | -0.111867 0.683322 | 7.27596e-12 -4.54747e-12
-47.2778 4.07831 | 0.105123 -0.099654 | -1.09139e-11 4.54747e-12
-10.3641 93.9328 | 0.395437 -0.291873 | 2.54659e-11 3.27418e-11
-7.34821 -89.9547 | 0.599052 -0.2344 | 9.09495e-12 -8.18545e-12
66.1173 -56.7719 | -0.149704 1.16693 | 20.4319 272.882
-20.1501 -19.5204 | -0.632622 0.393786 | 2.27374e-12 -5.45697e-12
5.95908 -79.8403 | -0.350193 0.778809 | 517.058 -1617.35
-42.3586 68.1814 | 0.0889373 0.306707 | 809.18 -1282.61
88.775 30.8351 | 0.958883 -0.346461 | -1.45519e-11 2.54659e-11
-52.9792 69.5989 | -0.503377 0.54974 | -809.18 1282.61
31.4881 -67.8924 | 1.11845 0.252192 | 1.05676 -2.76385
39.7122 -21.5522 | -0.204563 -0.450586 | -276.198 226.023
27.9481 59.2193 | -0.571362 -0.37061 | 1.47793e-12 8.69704e-12
-26.6709 -63.7066 | 0.32219 0.400907 | 125.751 75.3201
23.7594 -48.5614 | -0.483245 -0.407599 | 1.36424e-12 -7.56017e-12
43.545 66.7049 | -0.28067 0.415136 | 4130.7 -9482.76
55.2032 44.281 | 0.581304 0.24673 | 7.27596e-12 -7.27596e-12
-26.3426 -12.2493 | 0.333721 0.826944 | 7.50333e-12 -3.18323e-12
16.1895 -70.1323 | -0.550292 -0.00715217 | 9.09495e-13 4.54747e-12
-39.2855 -50.7251 | 0.336931 -0.449841 | 1.36424e-11 2.72848e-12
18.1952 27.229 | -0.207213 0.091666 | -90.3233 -591.086
14.9758 8.41217 | -0.340728 0.196813 | -3.18323e-12 -2.72848e-12
80.8614 7.11688 | -0.231543 -0.345298 | 67.4752 17.3974
