21.0149 20.544 | 0.543478 0.488921 | -5.45697e-12 -6.82121e-12
30.5874 -47.6691 | 0.377099 0.247969 | 11.1617 -39.0523
-4.97898 -50.4387 | 0.327203 0.0606516 | -694.874 689.52
-11.543 72.4361 | -0.208541 -0.381983 | -1.81899e-12 -4.09273e-12
51.0554 29.3943 | -0.450322 0.344936 | 7.5145 9.19269
-39.1256 80.35 | -0.418343 -0.419971 | -6.36646e-12 7.27596e-12
-46.6313 83.8457 | -0.599374 -0.516111 | 0 3.63798e-11
-39.1756 75.8753 | 0.120417 0.219421 | 1.81899e-11 5.45697e-12
-25.7985 7.18332 | -0.0632297 -0.0923546 | 2.72848e-12 -1.36424e-11
42.5635 77.2283 | 0.490964 0.0616072 | -566.074 -960.411
-50.4998 -42.8052 | 0.331005 0.692736 | -1.81899e-12 -5.17275e-12
58.0567 49.2412 | -0.322445 -0.275658 | 8.6402e-12 -1.81899e-12
78.9256 53.7239 | -0.0579928 -0.984186 | 24.6415 11.9368
23.5793 -23.5196 | -0.762415 -0.0144201 | 2.27374e-12 4.54747e-12
-9.31319 -77.7273 | 0.0361062 0.0826136 | -1.81899e-12 2.50111e-12
-30.7865 33.4996 | 0.32897 -0.456863 | 104.013 91.7321
80.92 10.1456 | 0.202514 -0.579568 | 22.3067 15.9964
15.6112 68.5505 | 0.410728 -0.569375 | -9.09495e-13 4.54747e-13
76.0959 -16.8788 | -0.593085 0.571667 | 3.63798e-12 -3.86535e-12
20.3338 51.2319 | 0.18242 0.145862 | -8.18545e-12 -1.00044e-11
-4.50544 -38.0698 | 0.285262 0.178222 | -1.81899e-12 -2.27374e-12
64.9917 19.9052 | -0.679249 1.18921 | -22.3067 -15.9964
50.8751 59.3838 | -0.20009 -0.138437 | -2.27374e-12 -2.27374e-12
-40.5688 51.3454 | 0.251637 0.1641 | -6.36646e-12 -8.18545e-12
78.2158 31.7232 | -0.257089 0.21584 | -1.09139e-11 -4.09273e-12
-12.0748 31.6509 | -0.0732375 0.429286 | -66.0032 -171.258
42.2502 60.3932 | 0.414355 -0.248705 | -7.7307e-12 -1.18234e-11
75.8379 -24.2577 | 0.541757 -0.498613 | 1.81899e-12 7.27596e-12
31.8233 16.6546 | 0.0603887 -0.13509 | -1.7053e-12 4.54747e-12
50.6729 -44.4905 | -0.625881 -0.382014 | -11.1617 39.0523
-66.9247 12.595 | -0.0654391 0.0611773 | 132.383 122.818
26.1324 68.7708 | -0.00283131 0.306576 | 2.50111e-12 4.54747e-13
-67.6472 34.5712 | -0.264155 -0.188503 | -8.73968e-13 1.36424e-12
-78.0046 9.10465 | 0.391473 0.0954408 | -1.22782e-11 4.54747e-12
23.769 -74.8963 | 0.370242 0.433423 | 404.271 445.933
-22.4634 -52.9027 | -0.0897086 0.18218 | 2.72848e-12 -8.18545e-12
60.5717 -6.91534 | 0.773177 -0.396773 | -4.54747e-12 -2.16005e-12
20.0964 85.2358 | 1.27778 0.106909 | 566.074 960.411
-28.5078 -71.2108 | -0.574157 0.388172 | -2.95586e-12 -6.82121e-12
-45.7226 48.3036 | 0.211089 -0.135622 | -24.9348 77.8549
-24.953 15.3056 | 0.418793 -0.531731 | 4.54747e-12 -1.09139e-11
7.18355 -93.9481 | 0.0762945 0.0819494 | 1.45519e-11 8.18545e-12
