-54.2313 -36.6421 | 0.157865 0.471496 | 2499.41 6032.31
43.1637 -72.6892 | 0.246007 0.190313 | -246.225 -828.083
-4.48105 69.5482 | 0.2466 -0.594215 | 32.3466 92.0903
-14.9035 -16.4347 | 0.0550988 0.576902 | -29.8744 217.264
-51.9943 8.90572 | 0.101924 0.128931 | -648.752 -1542.69
-44.647 42.0467 | 0.218561 -0.461553 | 5.45697e-12 -2.95586e-12
61.3133 30.7947 | -0.0734401 -0.308849 | -49.8336 505.664
4.29232 25.1695 | -0.143358 -0.0689514 | 38.938 47.4621
-80.1716 16.6837 | -0.712243 0.146263 | 110.247 -80.2724
-73.6376 11.213 | -0.371243 -0.320484 | 658.354 -2678.58
4.77868 -58.6458 | -0.0259169 0.239766 | -1.45519e-11 1.81899e-12
3.41286 -48.2975 | 0.305746 0.676438 | -317.872 251.633
52.795 23.0164 | -0.158476 -0.328421 | 6.0254e-12 -1.81899e-12
-20.9472 -88.1704 | 1.14667 -0.6201 | 799.645 1066.36
-14.8962 -72.5514 | -0.502866 -0.190248 | 698.967 -1518.53
-78.2515 12.3928 | -0.077079 -0.0520295 | 327.253 49.6288
1.28545 -61.2116 | -0.217049 0.696223 | -3.63798e-12 -3.63798e-12
37.7058 60.3265 | 0.126944 0.0481217 | 1.81899e-12 5.91172e-12
-45.538 49.5724 | -0.218353 0.247696 | 1015.32 -2675.02
43.7711 -27.0097 | 0.576987 -0.302736 | -1704.34 1095.53
39.9614 -54.9496 | 0.354953 0.794044 | -5.91172e-12 -6.36646e-12
30.0053 -79.4282 | -0.325456 -0.145704 | 734.024 4994.5
22.1765 77.2446 | 0.43616 -0.476021 | 797.398 1086.78
-20.8138 -22.1722 | 0.461976 0.546819 | 604.616 824.219
67.829 -26.0713 | 0.855932 0.223391 | -567.791 -2881.25
-53.5785 54.1382 | -0.316966 -0.601195 | 61.997 -117.698
-17.1107 -40.3487 | -0.223988 0.518207 | -40.5535 -360.214
68.8864 -13.2541 | -0.183517 0.766458 | 1.56888e-11 1.20508e-11
16.1123 -58.2531 | -0.441336 0.388257 | 1.00044e-11 -1.36424e-12
-50.5278 76.4931 | -0.334894 0.0984943 | -18.2355 116.498
29.4858 -18.3592 | 1.0153 -0.525172 | 44.54 -25.3645
-59.4741 71.8911 | 0.628815 0.277262 | -6.11808 17.4697
-2.50216 23.7146 | 0.244208 0.244801 | -38.938 -47.4621
30.0742 27.6357 | 0.0821077 0.569147 | 72.8753 -151.671
-79.7775 26.7113 | 0.0902169 -0.122642 | -1280.37 2993.71
49.7576 -67.6212 | 0.0276795 0.175054 | 835.268 -988.891
14.7486 -75.5458 | 0.457383 0.176254 | -563.899 3331.02
57.3858 56.1413 | 0.18762 -0.0444017 | -203.385 492.565
56.554 36.2719 | -0.265035 -0.293646 | -1857.02 3150.28
-64.8626 -55.9358 | 0.152504 -0.0783633 | -205.037 311.837
-11.3782 76.567 | 0.324645 -0.0238455 | -255.701 -250.859
9.66574 35.2628 | -0.488568 0.0630981 | -72.8753 151.671
72.3614 0.960069 | -0.262022 0.332897 | -99.6019 -1033.86
-7.09127 -45.1256 | 0.256583 0.292778 | 3.97955 529.859
-15.3637 -83.9682 | -0.117482 0.10526 | -3833.96 -5393.5
-0.703814 84.6756 | 0.835168 -0.783464 | -517.099 1768.87
31.1023 91.8102 | 0.0449338 0.362129 | 12.4346 12.7157
-17.92 35.5065 | 0.268926 0.242815 | 3.18323e-12 -5.68434e-12
