-48.8746 -0.435641 | -0.369089 -0.010209 | -8.18545e-12 1.81899e-12
-31.1778 -38.6742 | -0.229613 -0.047862 | -255.88 -298.087
12.1897 -47.5764 | -0.389797 0.565526 | -85.8334 147.292
3.8865 28.0315 | 0.251613 -0.690366 | -126.066 282.225
-56.7564 -60.4333 | -0.314081 -0.0445771 | -31.7311 -39.901
-66.1679 -34.1354 | -0.2563 0.130381 | 2.72848e-12 1.81899e-12
-22.3039 -23.6571 | 0.09918 0.228331 | -4964.25 -771.14
-34.0129 29.7304 | 0.531383 -0.00587706 | 43.6544 -118.04
10.326 79.3044 | -0.318289 -0.459067 | -126.81 -533.06
-14.5686 -72.8883 | -0.296472 0.812901 | -0.356478 0.394335
-1.35383 -76.5082 | -0.420022 -0.308442 | 263.85 -1095.95
49.533 12.4381 | -0.138753 0.0578813 | 335.603 -523.418
-16.3026 -36.1486 | -0.126851 0.296274 | 258.046 223.138
16.2177 -60.63 | 0.0932456 0.747833 | -57.8152 243.418
-76.9472 20.9356 | 0.647578 0.325392 | -380.835 895.287
-50.4845 16.9578 | 0.587677 0.283266 | -118.468 -347.358
-44.9349 13.7756 | 0.538405 0.0975317 | 1402.11 -1850.81
84.4643 28.9802 | 0.158417 -0.392803 | 5.68434e-13 1.81899e-12
42.0923 4.69022 | -0.0378822 -0.448811 | -1098.03 1548.02
-8.4695 24.4165 | -0.566467 -0.683828 | -31.7529 -161.551
54.5914 -18.4327 | -0.680504 -0.258122 | -199.236 -348.241
-12.7371 -92.7621 | 0.116661 0.683403 | -2.18279e-11 5.11591e-12
26.3737 76.1526 | -0.0420604 -0.77125 | 1191.46 59.1358
53.2368 31.3154 | 0.202113 0.148037 | -3.18323e-12 1.81899e-12
-27.2561 83.4664 | -0.680742 0.152907 | -788.504 -2254.01
11.1268 -33.7728 | -0.00096059 0.0533622 | 7.50333e-12 -1.36424e-12
48.5095 -3.52386 | 0.750564 -0.226865 | 1470.02 -2248.68
-32.274 -27.303 | 0.0854089 0.3853 | -2.16578 74.9497
67.7834 -2.60114 | 0.359501 -0.217794 | -1022.14 3002.24
20.4795 86.2654 | 0.0434032 0.180811 | 756.723 -948.274
-33.6405 46.9667 | -0.387692 0.0905335 | -70.0193 -53.9592
-29.7638 -16.0571 | -0.536756 -0.533097 | -54.8008 -321.971
-3.07095 -62.8159 | -0.188815 0.42274 | 9.09495e-13 5.40723e-12
-20.3896 53.2432 | 0.21734 -0.231114 | 0.626836 2837.05
-52.7361 12.9174 | -0.804942 -0.65176 | 328.632 139.295
6.72314 -25.0526 | -0.359366 0.586323 | 3271.75 -4254.01
23.9203 -26.8829 | -0.0225549 -0.422601 | 219.761 -237.393
-78.6494 -26.0759 | -0.43585 0.615877 | -772.362 -770.428
19.9588 -78.0947 | -0.141061 -0.0216316 | -344.009 1224.16
44.3583 -70.0171 | 0.252353 0.132493 | -1452.38 552.776
18.6294 73.4538 | 0.0842601 0.0259076 | -345.755 -373.65
-4.68314 -75.0829 | -0.181882 0.694427 | -263.493 1095.55
-4.3742 -42.8813 | 0.112272 0.448141 | -11.9365 37.3137
-65.41 10.978 | 0.10031 -0.374575 | -1753.32 1730.87
-68.6471 57.4264 | 0.351694 -0.00381434 | 3.09228e-11 2.47837e-11
34.5578 -15.5125 | 0.0711427 0.0974968 | -9.09495e-12 -5.00222e-12
-50.2353 -75.9068 | -0.359087 -0.568434 | 1449 2006.23
8.28715 -0.457094 | -0.794016 0.0973141 | 8.69704e-12 3.63798e-12
11.8792 31.0475 | 0.425649 -0.486178 | 3.28947 -5.13917
7.38934 42.5543 | -0.218623 -0.562142 | 454.315 -242.127
32.3078 17.4233 | 0.103322 0.0918084 | -335.603 523.418
10.0357 49.532 | -0.17369 -0.393828 | -9.09495e-12 4.54747e-12
