64.2215 -67.4763 | -0.396559 0.145623 | 7.27596e-12 9.09495e-12
1.93036 21.1054 | -1.48024 0.0588079 | 3.63798e-12 4.20641e-12
1.81944 -64.9856 | 0.133164 0.496737 | -4.54747e-13 -2.72848e-12
-1.47293 87.6468 | -0.297156 -0.257849 | 3002.88 -8109.68
-18.4441 51.8353 | -0.16904 -0.284206 | 1.15961e-11 -1.00044e-11
-39.0393 -72.1398 | -0.0196084 0.00926106 | -7.09655e-13 9.09495e-13
-79.4011 -3.16353 | -0.188003 0.19803 | 0.222544 0.483251
67.6236 -41.7333 | -0.28309 -0.0369076 | 155.486 -171.525
26.1656 72.7906 | -0.0957233 0.351205 | -38.6525 405.808
-47.4108 81.0043 | 0.0186605 0.00551581 | -1.54614e-11 -1.81899e-12
11.2735 2.06374 | -0.666157 -0.240221 | 9.09495e-13 -2.04636e-12
-13.1015 -28.7801 | 0.211883 0.0664816 | 1.17666e-11 -7.50333e-12
21.3866 35.9555 | -0.869749 0.441801 | -4.54747e-13 1.81899e-12
57.3539 -46.9743 | -0.498257 -0.231674 | -1.13687e-12 6.82121e-12
-93.1802 24.7813 | -0.610085 -0.737596 | 2.36469e-11 2.91038e-11
50.5582 72.6896 | -0.206005 0.336032 | 1.81899e-12 1.94404e-11
-33.0053 -27.2794 | -0.621233 0.929614 | -1.36424e-12 3.63798e-12
-50.1547 15.5675 | 0.276525 0.0381388 | -263.008 158.261
-50.9444 62.5333 | 0.811705 0.181321 | 903.302 -783.371
1.91091 57.8374 | -0.179144 0.152206 | 9.09495e-13 -5.45697e-12
-50.258 58.1043 | 0.0215697 0.339207 | -14.6405 -76.3739
35.9126 80.3289 | 0.00623894 0.470602 | 2.27374e-12 1.81899e-12
85.5201 12.0686 | -0.13062 -0.573133 | -2.27374e-11 -1.27329e-11
-25.9804 39.1076 | -0.0277795 0.100772 | 4.09273e-12 3.63798e-12
-91.9427 -19.4788 | 0.327039 0.0244632 | 1.81899e-12 -1.63709e-11
49.0921 15.8256 | -0.395236 -0.543968 | -7630.63 -6761.85
63.3241 -62.0364 | 0.495404 0.810945 | 3.63798e-12 2.04636e-12
3.44753 -51.6784 | 0.753523 0.18805 | 117.792 302.28
-47.9373 22.3446 | 1.15372 -0.0929232 | 7.50333e-12 -4.77485e-12
61.2437 -15.5029 | -0.609827 0.591993 | 6.82121e-12 -4.86367e-12
-19.4857 9.54991 | 0.215018 0.296853 | 263.008 -158.261
-29.8866 57.4659 | -0.103992 0.307926 | 1.81899e-12 -1.36424e-12
-11.6632 68.0018 | -0.12773 -0.798828 | -0.860106 5.4455
-6.69377 78.1689 | 0.261009 -0.0367402 | -105.017 -50.5445
-49.5095 45.6573 | 0.301605 -0.553274 | -4.77485e-12 8.18545e-12
3.42898 -94.9385 | 0.528378 -0.0590402 | 1.09139e-11 -1.68257e-11
-15.9505 -37.2952 | 0.0072159 0.196891 | -1666.01 718.888
-66.5189 -31.6486 | -0.0335489 -0.216895 | 440.122 1125.93
4.17483 50.3229 | -0.240415 0.279855 | -5.91172e-12 -6.82121e-12
-46.9343 4.31479 | 0.0640742 0.244298 | 2.95586e-12 -4.09273e-12
