24.2009 18.4707 | 0.722935 -1.08579 | -1.18234e-11 8.6402e-12
34.0636 -48.0644 | 0.765962 -0.261363 | -3.63798e-12 -4.74643e-12
-4.83322 -47.3226 | -0.00595131 0.886416 | 1.13687e-11 -3.18323e-12
-11.6807 69.6276 | 0.0421612 -0.326665 | -3.63798e-12 -1.00044e-11
50.0203 29.6536 | -0.187913 -0.384563 | 3.46745e-12 3.63798e-12
-40.2239 80.8178 | -0.0795208 0.686875 | 5.45697e-12 6.36646e-12
-50.5603 82.0431 | -0.836165 -0.322202 | 1.81899e-11 -1.50067e-11
-39.8515 76.8284 | -0.45518 0.683032 | -8.74678e-12 -1.13829e-11
-26.1147 6.72154 | -0.0632297 -0.0923546 | -1.81899e-12 6.36646e-12
43.2693 76.6906 | 0.1506 0.159946 | -74.7082 777.137
-49.7498 -40.7192 | -0.161617 -0.144592 | -2950.31 -4549.99
56.9819 48.0443 | -0.126913 -0.190882 | 1.72804e-11 5.91172e-12
82.2488 50.5786 | 0.558785 -0.65955 | 327.941 286.123
19.3889 -23.2468 | -0.895372 0.106782 | 5.45697e-12 7.7307e-12
-9.45329 -77.0159 | -0.0542626 0.155767 | -82.8891 204.266
-28.6066 31.2456 | 0.396817 -0.694637 | -6.13909e-12 1.81899e-12
84.3883 9.32218 | 0.50788 0.0567723 | -9.32232e-12 -3.63798e-12
15.4424 68.1648 | -0.516903 0.112356 | -236.339 62.3154
73.1919 -15.1194 | -0.353099 -0.373919 | 5.00222e-12 -1.24771e-11
21.1468 51.6833 | 0.124499 -0.406666 | 375.352 -552.098
-3.37117 -36.0288 | 0.420693 0.876051 | -1.02318e-12 5.45697e-12
61.238 25.4267 | -0.444666 1.21134 | 3.41061e-12 -4.54747e-13
50.8085 59.2236 | 0.0852376 0.00842631 | 5.11591e-12 1.81899e-12
-37.7637 49.9426 | 0.475925 0.428237 | 381.574 1459
75.9921 31.525 | -0.841427 -0.575294 | 1.09139e-11 9.09495e-13
-12.5556 32.23 | -0.0221525 -0.0427289 | 155.906 -1443.47
43.8906 59.9786 | 0.524099 0.23824 | -79.4193 -438.57
77.2933 -24.3918 | 0.221815 0.323307 | 1.02887e-11 -6.36646e-12
31.2732 16.4378 | -0.188056 -0.000756964 | 4.54747e-13 5.45697e-12
47.6245 -43.3587 | -0.584407 0.431843 | -1010.77 -4805.63
-67.7111 12.7965 | -0.359962 0.233698 | 0 -1.36424e-12
26.3171 69.1081 | 0.183066 -0.765735 | 315.758 376.255
-68.9736 33.8935 | -0.579185 -0.235306 | 117.299 -70.8375
-75.9262 9.70895 | 0.449416 0.131726 | -32.5066 -69.5256
26.225 -75.0687 | 0.648903 -0.719255 | 2.50111e-12 -1.36424e-12
-23.2273 -51.1174 | -0.36349 0.702122 | 2950.31 4549.99
63.3216 -9.52451 | 0.242533 -0.991867 | -2.72848e-12 -6.36646e-12
25.2771 84.684 | 0.326788 -0.0995818 | -2.72848e-12 -5.00222e-12
-29.4721 -69.2381 | 0.334239 0.079367 | -121.649 -568.71
-46.3226 48.2571 | 0.131322 -0.755725 | -11.8505 -743.652
-22.859 12.6469 | 0.418793 -0.531731 | -6.36646e-12 6.0254e-12
8.25221 -95.4182 | 0.238682 -0.198105 | -1.27329e-11 -2.27374e-11
27.1995 29.6542 | -1.31592 0.00392568 | -4.54747e-12 1.03455e-11
-62.7435 -22.165 | 0.91263 0.450118 | -731.739 -686.424
-52.0999 21.6412 | 0.437022 -0.255179 | 1.25056e-12 7.27596e-12
-34.2779 -27.0009 | 1.00245 -0.391457 | -1.04592e-11 -8.58336e-12
8.77273 70.817 | 0.11281 -0.0627261 | 0 1.36424e-12
65.7768 -47.5796 | 0.334002 0.00389172 | 33.0419 -173.667
82.9334 36.899 | 0.330557 0.455021 | -4.54747e-13 -1.00044e-11
25.4572 -0.607084 | 0.345098 -1.07781 | 6.48183 5.36821
79.3144 23.5082 | -0.62402 -0.256206 | 7.27596e-12 1.81899e-11
20.6587 91.8556 | 0.230455 0.537264 | 1.54614e-11 1.45519e-11
-1.44093 -62.2403 | -0.737121 -0.344633 | -7.7307e-12 -1.81899e-12
8.59282 89.9179 | -0.48694 0.122133 | 2.27374e-11 5.00222e-12
-66.1006 -6.7035 | 0.616736 0.467778 | 1.09139e-11 9.09495e-13
6.35128 -88.5691 | 0.372918 -0.288437 | -6.82121e-12 -4.34852e-12
-63.8182 -36.8667 | -0.260888 0.199458 | -2.72848e-12 7.27596e-12
-3.6352 39.3329 | -0.177617 0.396173 | 0 0
-36.2234 67.3264 | 0.699364 0.0155746 | -2.72848e-12 -4.54747e-12
-3.57104 -78.1706 | -0.498071 0.262434 | 82.8891 -204.266
70.4338 -3.66095 | -0.325149 0.00539571 | 1.18234e-11 -3.41061e-12
46.5249 71.5262 | 0.403093 -0.0447209 | 74.7082 -777.137
-70.7741 -43.9802 | 0.305261 0.306414 | -5.45697e-12 3.63798e-12
-77.9704 27.5007 | -0.123015 0.199751 | 32.5066 69.5256
-39.4158 -85.8279 | 0.256607 0.307812 | 2.54659e-11 -1.27329e-11
16.2726 -7.12583 | 0.372239 -0.369064 | -6.48183 -5.36821
44.5475 -40.0648 | -0.621113 -0.14131 | 977.725 4979.29
-57.5589 62.6483 | -0.184962 0.543666 | 9.09495e-13 0
-48.1478 -68.4271 | -0.842082 -0.336831 | -8.18545e-12 -3.63798e-12
-57.113 -54.579 | -0.0654195 0.327414 | 9.20863e-12 -3.63798e-12
16.7973 -54.1909 | 0.280959 0.1056 | -1.20251 43.3605
