33.9661 24.2991 | 0.300174 -0.728654 | 1.81899e-12 9.09495e-12
-34.6154 -87.8179 | -0.197727 0.0866663 | -1.45519e-11 3.63798e-12
-20.9916 -19.2193 | 0.0495212 0.108377 | 111.3 -357.953
29.2579 50.1894 | -0.0233753 -0.0816103 | 2064.54 -2668.21
20.8147 3.97855 | 0.351475 0.355348 | -228.456 -341.996
44.9142 -23.8639 | -0.38549 -0.601509 | 1016.42 -1938.17
-25.787 67.9024 | -0.617688 -0.453454 | 3097.36 -1023.81
-51.7985 42.6267 | 0.0422261 0.579709 | 439.491 2120.93
38.7805 -2.77751 | 1.07129 0.110962 | -422.286 -693.177
-16.2228 -2.43036 | 0.576174 -0.130531 | 1101.43 1460.72
77.7625 -40.0612 | 0.219882 -0.464762 | -1020.08 -2.67913
-9.87005 -65.2041 | -0.294808 0.559038 | -60.1795 197.633
-55.0616 -34.7762 | -0.191635 0.097681 | 588.873 -539.819
-43.0329 -47.8677 | -0.311729 -0.202889 | -2355.24 -3680.12
-44.2112 32.01 | -0.267976 0.460676 | -85.0416 75.9877
7.64216 79.5862 | -0.5169 0.0517538 | 4.20641e-12 7.27596e-12
-11.5983 -59.2664 | 0.0997419 0.679349 | 190.456 436.877
-64.8326 -52.1148 | 0.310599 0.137522 | -226.052 369.168
0.46579 -53.1932 | 0.306163 -0.0719863 | 67.989 212.278
-34.8841 -66.5604 | -0.202609 -0.282978 | -15.191 109.957
-35.8253 56.1915 | -0.117794 0.223546 | 4.54747e-13 7.27596e-12
28.8697 -29.4227 | -0.0454482 0.48246 | 227.364 1401.8
-48.5008 -57.8342 | -0.11462 0.744834 | 0.233184 1.79896
47.2652 34.9641 | -0.175878 0.0927675 | -5.91172e-12 -4.09273e-12
-30.9913 -29.9293 | 0.160104 0.300483 | 127.702 167.706
-73.5604 -13.2693 | 0.688792 -0.702454 | 0.779022 -0.795054
-39.393 -35.8515 | 0.207471 0.563748 | -178.624 287.311
32.4612 -67.2685 | -0.343484 -0.250276 | 2.27374e-13 1.22782e-11
27.4382 21.3284 | -0.0389534 -0.501384 | 91.3757 -715.542
22.0028 -72.9074 | 0.799049 -0.015682 | 60.1795 -197.633
5.39237 55.6479 | -0.262118 0.11978 | 513.682 902.105
-55.71 55.2322 | 0.665588 -0.271932 | -3.63798e-12 -1.81899e-12
26.8445 66.7744 | 0.60134 0.114051 | 6.36646e-12 -1.36424e-12
-41.2381 65.7472 | 0.370484 -0.0897926 | 266.441 -1410.69
10.0022 75.6689 | -0.307086 0.000991183 | 1.63709e-11 -4.09273e-12
23.9405 47.1952 | -0.202012 -0.204245 | 56.9686 114.641
-11.7556 78.3975 | -0.110573 0.235214 | 0 6.25278e-12
33.3748 65.7486 | 0.349737 0.0521802 | 205.858 506.115
16.4472 42.7743 | -0.201327 -0.206358 | -568.504 795.811
-24.0405 23.461 | 0.0161471 0.767238 | -299.755 -307.807
-25.7413 87.6638 | -0.00596699 -0.558864 | 690.326 -1266.91
-30.1385 14.8865 | 0.255887 0.316806 | 22.8982 -544.021
40.396 -7.08919 | -0.45041 0.87764 | 51.8608 -242.951
86.6197 -19.929 | 0.328891 -0.42212 | 137.43 737.512
-55.9898 -18.7929 | 0.606012 0.262468 | -88.019 -375.592
53.2423 -41.752 | -0.0503471 -0.163257 | -1.81899e-12 1.81899e-12
3.12786 -6.50039 | -0.272323 -0.516541 | -1869.78 -6394.38
33.4896 -60.3834 | 0.368643 0.152856 | 120.681 98.6481
10.16 -22.0356 | -0.56023 -0.303929 | 5.45697e-12 2.72848e-12
35.3345 27.3099 | 0.328996 -0.550099 | -3486.52 -6735.79
-2.46153 94.8166 | -0.170675 0.200659 | 38.4344 -387.312
-59.2693 -26.5304 | 0.325277 -0.175229 | 3.41061e-12 -6.36646e-12
-38.4603 2.05615 | 0.133577 -0.260166 | -2.27374e-12 -6.36646e-12
-15.9247 12.8823 | 0.375668 0.27632 | 4.46832 -1.88751
-27.9577 -16.8034 | -0.0808742 0.213008 | -36.1215 2059.72
-54.727 -50.4924 | 0.315755 -0.139875 | 410.392 -783.585
27.6783 -23.6848 | -0.807444 -0.120636 | -1016.42 1938.17
-43.2256 13.0381 | 0.965709 0.166452 | -22.8982 544.021
-28.073 61.9401 | 0.543735 -0.606327 | 5.50333 -60.0145
-7.70948 -19.9698 | 0.0551344 0.587605 | 8.18545e-12 9.09495e-12
19.7593 88.3777 | -0.266441 0.337263 | -960.517 -2680.89
63.411 -14.4261 | -0.465874 0.257068 | 449.466 -651.839
4.94215 -35.8726 | 0.0382471 0.637059 | 199.763 438.594
29.4259 1.08104 | 1.03903 -0.716529 | 681.25 857.931
-2.72106 41.4698 | 0.322064 -0.0894573 | 6.36646e-12 1.0445e-12
45.9491 -12.4448 | -0.270562 0.00765692 | -318.521 512.244
13.9741 -93.0469 | 0.0663314 -0.177157 | 2.18279e-11 -2.18279e-11
-53.9696 -29.6847 | -0.0599934 0.373907 | 52.1409 2817.84
-49.285 -45.5497 | 0.0569587 -0.38262 | 1951.95 4444.47
51.6869 5.98002 | 0.107637 0.00450591 | 63.21 -120.896
-32.7271 -86.6382 | -0.218043 0.219512 | 89.8885 -1275.19
-19.8071 -62.2879 | -0.30923 0.448555 | 1.36424e-12 -5.00222e-12
-25.0471 -59.8919 | -0.267999 -0.0976274 | -170.215 -469.501
-13.7681 -10.9587 | 0.101556 0.139402 | -13.5692 -235.873
64.3352 27.0875 | 0.11797 0.000235874 | -423.088 -629.278
44.3563 38.1941 | -0.101797 -0.382251 | 511.535 -910.452
66.5823 24.8126 | -0.232715 0.312139 | -7.27596e-12 8.29914e-12
-61.2582 49.2304 | -0.282138 -0.232812 | 9.54969e-12 3.63798e-12
-43.6409 5.5418 | 0.611683 -0.0249006 | 0.860736 -9.51772
-59.4455 -39.3963 | 0.481688 0.140803 | 178.624 -287.311
-26.9335 -27.9139 | -0.161875 -0.508371 | -660.14 -2261.47
53.1807 -26.989 | -0.480834 0.227846 | 9.09495e-13 -6.56541e-12
-22.5767 -31.8376 | -0.352898 -0.197545 | -110.88 -225.282
-58.9959 22.479 | -0.281464 0.355678 | 5.11591e-12 -9.09495e-13
54.5426 52.1555 | -0.062167 0.0776949 | 15.9266 22.1312
-27.9098 19.7911 | 0.545251 0.0919473 | 3.63798e-12 5.91172e-12
-33.7482 77.562 | -0.123036 -0.138039 | -407.777 -1852
65.8009 13.819 | 0.186031 -0.50955 | 5.45697e-12 1.81899e-12
60.8285 -67.6429 | 0.0915556 0.276865 | 1.81899e-12 2.72848e-12
5.63962 12.1993 | -0.195056 -0.207033 | 206.812 -770.317
-1.52882 89.1397 | -1.17142 -0.410724 | 982.513 2439.18
-59.7873 45.6581 | -0.559333 0.693654 | -134.82 438.019
7.72805 7.6798 | 0.286048 0.162369 | 2156.99 5267.07
19.7541 -76.3377 | 0.452663 0.137675 | 2.27374e-13 -1.76499e-11
47.1538 72.2774 | 0.341856 0.14817 | -1.00044e-11 1.63709e-11
58.8284 29.3052 | -0.512227 -0.324831 | 423.088 629.278
51.8627 -49.3668 | 0.330331 0.773727 | 123.13 112.17
-10.7427 -78.9194 | -0.077979 0.212288 | 269.589 989.082
78.4648 8.99693 | -0.0900861 -0.599892 | -84.6279 -348.859
20.4507 72.2136 | 0.0922622 0.22739 | -1.81899e-12 5.45697e-12
-34.9773 -77.6143 | -0.840044 0.0945802 | 5.45697e-12 -7.27596e-12
