63.739 -68.0921 | -0.178848 -0.0460638 | 1.54614e-11 -6.82121e-12
-3.99061 21.3407 | -1.48024 0.0588079 | 0 3.63798e-12
2.17723 -62.9648 | 0.524281 -0.299168 | 1220.56 -1604.69
-2.50228 87.6869 | 0.0523293 0.317108 | 7.27596e-12 4.54747e-13
-20.7308 51.6743 | -1.01999 0.0878434 | -3.63798e-12 6.82121e-13
-39.5861 -70.4127 | -0.151643 0.528555 | 2.72848e-12 7.27596e-12
-78.3757 -1.54291 | 0.635533 0.128778 | -8.18545e-12 -8.75389e-12
67.1626 -42.5422 | 0.0376736 -0.0633133 | 45.2146 -191.899
25.5207 74.0938 | -0.110535 -0.106857 | 5.45697e-12 -2.72848e-12
-46.651 81.6023 | 0.248696 0.18198 | 2.54659e-11 1.54614e-11
8.96247 1.45255 | -0.517273 -0.0922628 | -2.72848e-12 -2.27374e-13
-12.2972 -28.0926 | 0.114376 0.534337 | 7.27596e-12 6.13909e-12
18.4668 39.0646 | -0.684547 0.545268 | 2.55795e-13 3.12639e-13
55.8295 -47.5242 | -0.245608 0.28308 | 1.27329e-11 3.63798e-12
-93.1077 21.9541 | 0.076481 -0.62625 | -3.63798e-12 2.09184e-11
47.9776 72.3387 | -0.920634 -0.16681 | -308.363 1233.28
-35.3987 -24.8483 | -0.583521 0.482851 | -6.82121e-12 -4.54747e-12
-49.9683 15.2281 | 0.463667 -0.691212 | 27.5771 -36.9426
-46.2318 60.8351 | 0.865924 -0.695819 | -103.274 134.963
1.76292 59.3627 | -0.338407 0.0686866 | -24.8532 -18.1597
-50.1958 57.1913 | 0.369283 -0.781575 | 100.245 -142.14
35.1932 80.4594 | -0.30185 -0.106295 | 2.27374e-12 5.57066e-12
85.6014 11.4586 | 0.109655 0.0776763 | 2.27374e-12 9.54969e-12
-26.7036 39.8075 | -0.043768 -0.0440296 | -5.22627 4.35521
-89.5577 -19.3494 | 0.283932 -0.0796584 | 8.18545e-12 1.81899e-12
46.5696 13.0166 | -0.558126 -0.430874 | 494.798 1260.16
64.4748 -59.335 | 0.255747 0.7869 | -5.00222e-12 -1.00044e-11
6.56905 -49.2072 | 0.535302 0.414477 | -1.15961e-11 2.95586e-12
-44.5158 20.8714 | 0.348948 -0.0486336 | -27.5771 36.9426
58.7434 -13.7461 | -0.736924 -0.0260533 | -96.2215 -319.071
-17.074 9.38716 | 0.698057 -0.173207 | -3.63798e-12 5.91172e-12
-30.6408 57.3035 | -0.240102 -0.20306 | 1.20508e-11 4.54747e-13
-11.8361 68.6067 | -0.109221 0.564086 | -2.72848e-12 -3.63798e-12
-6.83024 77.6758 | -0.478772 -0.179669 | 145.465 511.438
-48.9538 45.7746 | 0.164337 0.294805 | 1.81899e-12 -1.59162e-12
6.09581 -95.8652 | 0.596262 0.660631 | 3.63798e-12 -8.41283e-12
-15.6454 -37.6245 | 0.142438 -0.122524 | 185.901 -401.97
-66.3808 -30.8307 | 0.106466 0.440942 | 1.77351e-11 -1.36424e-12
5.16281 50.7582 | 0.563471 -0.183878 | -5.68434e-12 7.95808e-13
-46.3617 4.45355 | 0.157944 -0.00461561 | 1.18234e-11 9.09495e-13
-8.13357 94.6769 | 0.170269 0.243811 | -1.72804e-11 0
-6.59593 -90.7033 | -0.43893 -0.386212 | -1.7053e-11 -2.04636e-12
65.7848 -50.4343 | -0.0214324 0.332038 | 1.81899e-12 -3.18323e-12
-19.7254 -16.2472 | 0.222255 0.398153 | 5.00222e-12 1.59162e-12
4.44911 -76.5479 | 0.019296 0.159746 | 7.27596e-12 -7.27596e-12
-41.9548 65.9435 | -0.302671 -0.297167 | 21.132 -9.96247
90.6467 26.2909 | -0.188522 -0.57592 | 1.22782e-11 1.38698e-11
-58.8827 64.8012 | -0.801032 -0.113593 | -18.1028 17.1396
34.8781 -65.78 | -0.154283 0.221522 | 638.358 -914.373
34.5891 -22.4816 | -0.754598 -0.015878 | 6.36646e-12 -5.45697e-12
27.1896 59.8992 | 0.19025 0.439418 | 24.8532 18.1597
-24.0314 -62.3082 | 0.0639994 0.089746 | -2247.97 4108.53
23.9975 -45.5573 | 0.535908 1.08094 | 0 -1.13687e-12
41.1123 65.1288 | -0.272459 -0.420629 | 308.363 -1233.28
59.7841 46.0854 | 0.627307 -0.294553 | 2.72848e-12 -1.81899e-12
-24.229 -9.23745 | 0.220436 0.228655 | 9.09495e-13 -3.63798e-12
15.7926 -69.0195 | -0.0365373 0.241584 | 2.6148e-12 -1.81899e-12
-41.021 -51.5323 | -0.410346 0.182866 | 339.14 -335.279
12.9252 23.3749 | -0.695774 -0.634501 | -1.04592e-11 -1.13687e-12
12.0854 8.81171 | -0.366306 0.0139951 | 1.59162e-12 -9.09495e-13
79.8726 4.75768 | -0.26251 -0.538721 | -1.18234e-11 -7.95808e-12
39.5779 -39.1477 | -0.337563 0.403658 | -45.2146 191.899
5.09281 -70.6783 | -0.338033 -0.153801 | 0 -2.72848e-12
-4.46275 72.9524 | 0.0925144 -0.340259 | -145.465 -511.438
-70.7916 -65.1454 | -0.549706 0.591518 | 8.6402e-12 1.81899e-12
-72.0679 -52.5607 | 0.233355 0.320912 | -4.54747e-12 -2.00089e-11
-29.2635 76.1259 | 0.289608 0.403607 | 0 1.04592e-11
67.6229 -21.4107 | 0.224988 0.361843 | 5.45697e-12 -3.63798e-12
-74.2779 38.5817 | -0.359089 0.208222 | 9.09495e-12 5.45697e-12
-15.1134 -79.2093 | 0.494295 -0.0795383 | 9.09495e-13 -4.54747e-13
23.4339 92.1326 | -0.184165 0.259738 | 1.81899e-12 1.81899e-12
-64.302 -21.9546 | -0.185273 -0.146821 | -1.47793e-12 -3.18323e-12
12.0025 32.3769 | -0.0959276 0.113216 | 5.68434e-12 0
-10.2279 -7.37326 | -0.068971 0.366325 | 4.54747e-13 -1.36424e-12
56.2403 -28.5687 | 0.208105 0.130656 | -1.27329e-11 1.09139e-11
17.2494 47.7434 | -0.636159 0.193504 | 1.36424e-12 3.86535e-12
-6.38264 -34.7716 | 0.0634897 -0.0547523 | -185.901 401.97
11.1509 -79.5577 | 0.00153133 0.229217 | -1.13687e-12 -5.85487e-12
44.3377 2.16542 | -0.363709 -0.362434 | -398.577 -941.094
-7.33898 -48.8536 | 0.562034 -0.0930471 | 21.0665 -7.871
61.7182 5.06303 | -0.741317 -0.704041 | -1.81899e-11 5.00222e-12
-63.1455 27.2545 | 0.0961182 0.244097 | 368.531 -34.0409
-4.86759 -61.053 | 0.0961876 -0.538083 | 389.057 -1589.47
-88.713 12.9072 | -0.23796 -0.0847057 | -368.531 34.0409
-7.97219 83.0835 | 0.139001 0.0836114 | 9.09495e-13 -9.09495e-12
54.5896 57.7027 | 0.565344 -0.198152 | -1.36424e-12 9.09495e-12
62.8629 18.7484 | 0.389543 0.0837553 | 6.0254e-12 -7.16227e-12
57.493 17.1923 | -0.53651 -0.354309 | -1.36424e-12 3.63798e-12
-50.1822 -57.407 | -0.42148 0.204695 | -21.0665 7.871
26.2041 -19.4054 | -0.570469 0.0848751 | 1.27329e-11 1.81899e-12
-46.0973 -43.6918 | -0.0890764 0.0877315 | -339.14 335.279
24.8673 -54.208 | -1.11142 0.383325 | 1.81899e-12 -7.7307e-12
36.2348 84.5983 | 0.227483 0.0952713 | -7.27596e-12 9.09495e-12
86.9294 -23.1934 | -0.0716522 0.492268 | 4.09273e-12 -1.27329e-11
-61.7164 -3.38914 | -0.419115 0.767936 | -1.81899e-12 5.45697e-12
-42.309 -76.1897 | -0.344038 -0.0793091 | 4.54747e-13 -1.81899e-12
-31.7615 31.7926 | 0.604455 0.0972507 | 5.22627 -4.35521
-27.805 2.91336 | -0.194751 -0.421599 | -3.41061e-12 -4.54747e-13
17.115 -84.8686 | 0.493645 0.292472 | -2.00089e-11 1.45519e-11
-45.8525 38.4194 | 0.654794 -0.386853 | 7.7307e-12 -3.12639e-12
