34.648 23.6703 | 0.512996 -0.392011 | 1798.8 3920.8
-35.1381 -88.3248 | -0.415799 -0.509753 | 14.6265 90.4677
-20.2548 -19.3202 | 0.491815 0.295878 | -98.752 414.579
29.33 49.8867 | -0.0149671 -0.259474 | 4.54747e-13 -3.63798e-12
21.1968 3.8791 | 0.37067 -0.0646427 | -491.678 -798.339
44.2614 -24.6423 | -0.682274 0.0522695 | -784.323 1466.32
-26.4594 67.638 | -0.275008 0.0988749 | 272.803 676.215
-51.7313 43.4972 | -0.0111519 0.488354 | -1261.43 -1017.31
39.9099 -2.57652 | 0.402115 0.710054 | -408.392 1386.68
-15.3132 -2.50989 | 0.613506 -0.060514 | 108.821 290.045
77.6883 -40.6025 | -0.111147 -0.226067 | 1.29457 -9.8308
-10.546 -64.3856 | -0.38825 0.31077 | 5.45697e-12 -3.41061e-12
-55.5213 -34.63 | -0.353625 0.059877 | 311.273 -387.753
-43.7707 -48.2063 | -0.741714 0.0769973 | 3.63798e-12 1.36424e-12
-44.3121 32.3265 | -0.0257341 -0.117534 | -95.2796 510.744
6.93154 79.2445 | -0.151027 -0.318581 | -5.57066e-12 -3.63798e-12
-11.3666 -58.5444 | 0.208204 0.456723 | -15.2897 49.6259
-64.343 -52.1777 | 0.258628 -0.236833 | -68.5625 90.3806
1.10099 -52.9812 | 0.351631 0.119758 | -49.3625 -211.238
-35.2757 -66.6617 | -0.346327 0.264513 | -73.2048 222.406
-36.1341 56.1182 | -0.196182 -0.799064 | 285.359 -602.379
28.7677 -28.2106 | -0.0492326 0.406494 | -24.868 -12.5371
-48.6057 -56.9404 | -0.0248245 0.310182 | -87.9106 -602.332
47.1201 34.9004 | -0.0600027 -0.543934 | -74.7172 -539.622
-30.8679 -29.9575 | -0.0813489 -0.116465 | -833.185 1653.28
-72.4803 -13.8626 | 0.73958 -0.0267591 | -96.318 71.3848
-39.2152 -35.7136 | -0.0203729 0.223785 | -8.10019e-12 4.54747e-13
31.9414 -67.689 | -0.30564 -0.26747 | -1.81899e-12 3.63798e-12
27.5414 20.2979 | 0.209755 -1.02367 | -11.7612 -4405.91
23.3442 -73.0581 | 0.89402 -0.0538661 | 1039.14 -2176.02
5.41716 56.0363 | 0.19322 0.257717 | 2676.25 -5791.55
-54.7116 54.8243 | 0.665588 -0.271932 | 3.63798e-12 3.22871e-11
27.552 67.1484 | 0.480358 0.293017 | 1.00044e-11 -5.7554e-12
-41.0485 65.5129 | -0.0741356 -0.154781 | -272.803 -676.215
9.45081 75.7711 | -0.436773 0.195561 | -9.09495e-13 -6.36646e-12
23.631 47.0436 | -0.264805 0.217715 | -16.8239 125.939
-12.3909 78.287 | -0.525467 -0.453088 | -227.08 -1135.18
34.0037 65.6277 | 0.400451 0.249196 | 7.56017e-12 8.81073e-12
16.0889 42.4263 | -0.237827 -0.316065 | 98.331 -198.603
-24.318 24.4049 | -0.278141 0.769073 | -5.79803e-12 2.72848e-12
-25.9449 87.4633 | -0.404189 0.677305 | 0 7.61702e-12
-29.4942 15.254 | 0.41691 0.581292 | 2243.07 -2005.04
39.2338 -6.41678 | -0.473044 -0.0270003 | 2221.26 -736.324
87.28 -20.4708 | 0.754719 -0.215302 | -413.621 -763.446
-55.1272 -18.6721 | 0.363982 0.270791 | -1174.6 808.086
53.4149 -41.3971 | 0.349436 0.604995 | -1.81899e-12 -9.66338e-12
2.68089 -6.89782 | -0.334893 0.0225082 | -1910.75 -532.598
34.2434 -60.0099 | 0.652333 0.380133 | 49.3625 211.238
9.57849 -22.6387 | -0.176279 -0.481778 | 3.63798e-12 9.09495e-13
35.874 26.1275 | 0.432681 -0.659043 | -1.00762 -1.83308
-2.44109 94.1703 | -0.29589 -0.652008 | -119.322 -68.7359
-59.0215 -26.4253 | 0.00558831 0.629262 | 11.1702 -11.4175
-38.2173 1.62121 | 0.135268 -0.183961 | 84.6199 552.226
-15.1882 13.2042 | 0.585471 -0.167732 | 697.894 -494.811
-27.6004 -16.4087 | 0.528425 0.0110843 | -886.548 766.388
-53.8381 -50.7259 | 0.995823 -0.111604 | 0 0
26.2937 -23.5712 | -0.921724 -0.332604 | 8.3173 19.0621
-42.1655 13.5322 | 0.613294 0.30542 | -2001.31 564.838
-27.686 61.1734 | -0.00844078 -0.197075 | -249.854 -398.063
-7.94049 -19.6224 | -0.253644 0.0510258 | -594.045 1287.25
19.0782 88.6833 | -0.664928 -0.105396 | -4.2773 -279.763
62.8235 -14.2013 | -0.373541 0.12385 | -3.18323e-12 -9.09495e-13
5.29838 -35.2717 | 0.513484 0.0628514 | 3.63798e-12 -4.54747e-12
31.057 0.419179 | 0.706824 -0.621521 | -495.394 711.254
-2.26515 41.526 | 0.27816 0.219876 | 2.4869e-12 7.50333e-12
45.5139 -12.3748 | -0.145613 0.222947 | 1434.11 -2014.97
14.0225 -93.2714 | -0.0796569 -0.176354 | -1.63709e-11 1.81899e-12
-53.791 -29.4867 | 0.313319 -0.148515 | -48.8886 792.253
-49.2175 -45.7179 | 0.0275275 -0.0169339 | 28.6549 -542.058
51.7076 6.45535 | -0.172521 0.333405 | -1011.14 -3769.51
-32.751 -85.9314 | 0.178524 0.152661 | 1834.56 -5044.74
-19.9222 -61.9438 | -0.118335 0.0212933 | 1.04592e-11 -9.09495e-12
-25.3312 -60.37 | -0.174966 -0.0938277 | 15.2897 -49.6259
-13.9765 -11.1105 | -0.49069 -0.172919 | -30.1987 -74.8093
64.1995 26.8169 | -0.358755 -0.288521 | -615.979 1528.46
44.363 37.6061 | 0.0666513 -0.057492 | -356.123 114.638
65.989 24.8253 | -0.480225 0.26163 | 1456.87 1580.98
-61.3703 49.5224 | 0.387896 0.249802 | -582.713 -1145.86
-42.4872 5.39993 | 0.49782 0.31748 | -996.727 -118.681
-58.7887 -39.0785 | 0.470298 0.0662635 | 7.27596e-12 -1.13243e-11
-27.0455 -27.7742 | 0.187524 0.356568 | 359.872 -1880.63
52.3263 -26.9048 | -0.462827 0.0824035 | 786.265 -1456.24
-23.0402 -31.7782 | -0.415436 -0.0402576 | 836.44 -1669.92
-59.4946 22.9565 | -0.299776 0.266898 | 142.118 -635.229
54.3878 52.113 | -0.249702 -0.391824 | -71.4629 233.223
-26.8867 19.982 | 0.66527 -0.083383 | -292.553 1481.2
-33.7572 76.9053 | 0.0462137 -0.473038 | 227.08 1135.18
66.1653 13.1397 | 0.278029 -0.524268 | -972.386 -3161.08
60.572 -66.8219 | -0.118361 0.554164 | 69.1776 -83.083
5.55272 12.1805 | 0.152716 0.234162 | 108.862 187.373
-3.15047 88.7359 | -0.83857 -0.285571 | 755.327 2633.25
-60.8061 46.0098 | -0.705947 -0.0256291 | 1080.14 1924.93
8.63613 7.92276 | 0.872481 0.496504 | 3207.29 8854.34
20.2729 -75.7241 | 0.268372 0.820738 | -2.50111e-12 -9.09495e-13
47.7655 72.6191 | 0.429552 0.20658 | 5.45697e-12 -2.72848e-12
58.5498 29.1954 | -0.0034156 0.130249 | 2.72848e-12 -1.30029e-12
52.3239 -48.2111 | 0.248917 0.771981 | -2.43354 -2.92299
-10.7844 -78.6784 | 0.00368139 0.0284826 | -7.6278 50.293
78.3222 8.07399 | -0.0936663 -0.627523 | 122.08 30.7618
20.6441 71.9254 | 0.0517799 -0.46842 | 2.01794e-12 6.48015e-12
-36.0768 -77.4512 | -0.486708 0.332508 | 1.31877e-11 -3.63798e-12
-18.5935 63.3037 | 0.651775 -0.676834 | 249.854 398.063
56.6678 57.7549 | -0.146518 -0.189588 | 7.27596e-12 -3.63798e-12
-41.357 -69.6584 | 0.275944 0.306831 | 10.2692 -28.9823
-21.5718 -17.5203 | -0.0242576 0.286899 | 886.548 -766.388
-61.6489 -19.2614 | 0.401186 0.25226 | 1988.54 -647.338
-62.0447 8.82313 | 0.648654 0.336364 | -873.84 242.685
11.4825 -58.6196 | -0.429396 0.357448 | 7.7307e-12 -5.68434e-13
7.45228 -47.183 | 0.652382 0.222768 | -107.289 61.5445
-47.5445 6.75946 | -0.0182804 0.044315 | 217.953 655.381
16.3183 59.7119 | 0.402446 -1.1301 | -2692.88 5770.39
-70.0517 30.3466 | 0.400604 0.689334 | -5.45697e-12 -4.66116e-12
-21.4944 91.1262 | -0.853936 -0.5458 | 61.3024 -176.224
-27.952 -55.3518 | -0.757308 0.573685 | 10.3773 -8.2592
-46.8915 37.8717 | -0.132211 0.411017 | 135.223 -234.718
65.5296 -59.6244 | 0.51084 0.142762 | -69.1776 83.083
48.5371 -8.95062 | -0.210047 -0.321749 | -886.561 899.799
69.0771 -29.4786 | -0.119827 -0.318869 | -1825.14 3200.61
45.6538 -56.6529 | 0.196038 0.38765 | 83.5904 -132.621
-40.5544 35.148 | 0.204611 0.372592 | -28.0057 42.7864
-36.5461 71.9627 | -0.372963 -0.0574156 | -46.5622 36.2806
-36.7502 81.7427 | 0.0513114 -0.44074 | 1030.61 -1915.08
45.5446 -73.4625 | -0.154262 0.276397 | -1039.14 2176.02
30.1173 76.8493 | 0.382268 1.04912 | -187.816 -370.165
-21.6688 -5.43581 | 0.13499 -0.252233 | -32.9999 -436.756
-13.7915 -84.0275 | -0.766351 -0.154258 | -52.5638 -32.4925
25.0781 -32.237 | 0.0357155 -0.303033 | 5.95563 22.679
43.3837 -45.5482 | 0.476595 0.238617 | 2.43354 2.92299
-77.3557 8.3036 | 0.0384304 -0.221083 | -1.63709e-11 -1.40972e-11
67.5374 50.1302 | 0.0828782 0.185144 | 1.09139e-11 1.45519e-11
10.1574 -86.5257 | 0.00444339 -0.175939 | 7.6278 -50.293
-10.2319 29.0393 | 0.229821 0.347925 | 2019.19 2358.28
47.413 2.77227 | -0.375749 0.0931049 | 681.444 -10.5588
58.1583 -35.8385 | 0.378406 0.0406334 | 1817.89 -3213.46
41.8419 45.7332 | -0.270124 -0.259496 | -81.5071 72.6638
-22.726 48.8372 | 0.733412 -0.18135 | 582.713 1145.86
-64.1753 -17.7671 | 0.355242 0.318722 | -1703.82 885.571
-27.7544 -85.0872 | -0.253639 0.593099 | -1818.67 4734.49
-53.4044 26.3249 | -0.24579 0.240534 | 13.9915 11.4837
41.7363 11.7689 | 0.4458 0.513046 | 1048.94 3299.84
19.2917 -43.1271 | 0.302551 0.392493 | 7.27596e-12 -9.12337e-12
80.8284 11.8996 | 0.0146775 -0.80908 | 7.97779 28.3227
69.9916 36.4183 | -0.31486 -0.728133 | 1.36424e-11 5.45697e-12
44.4805 -50.9056 | -0.504639 0.295176 | 15.4859 229.683
83.9849 -36.0807 | 0.486378 0.318706 | 1.27329e-11 -1.81899e-11
-28.5325 70.5265 | 0.211696 -0.509089 | 46.5622 -36.2806
10.6899 27.2318 | -0.396734 -0.0583609 | -1787.04 485.107
-73.0872 22.9477 | -0.225602 -0.455285 | 9.54969e-12 -1.81899e-12
-4.23834 -78.4333 | -0.19305 0.228848 | 62.9357 -193.424
36.2021 -53.229 | 0.304887 0.559249 | 8.21248 -158.606
49.6685 11.2869 | -0.519344 -0.0255066 | -37.7957 469.665
55.5199 68.9199 | 0.487425 -0.0546622 | -2.91038e-11 1.81899e-12
51.7117 61.1954 | 0.164602 0.19331 | 1543.88 -2262.39
29.3304 -83.4594 | 0.377024 0.598145 | -1.27329e-11 3.63798e-12
52.8259 49.9094 | 0.047416 -0.171276 | 71.4629 -233.223
-68.4372 -5.01652 | 0.109661 0.296571 | -3.63798e-12 -4.54747e-12
-33.5713 12.1096 | 0.310272 0.13447 | -3.22336 3.58457
-47.608 -40.4643 | -0.334013 -0.0141677 | -28.6549 542.058
-41.7379 59.3944 | 0.452572 -0.158645 | -191.85 927.566
30.9313 83.7462 | -0.800405 -0.384832 | 187.816 370.165
-68.104 39.769 | -0.201222 0.216625 | 13.2445 -602.696
62.3843 -18.71 | -0.52057 -0.136911 | 2188.42 -4130.47
47.0598 -4.94623 | 0.274758 0.184236 | 412.635 -1137.12
-26.1872 26.724 | 0.0655725 -0.344464 | -1146.83 -2574.43
-7.88658 96.3487 | -0.309893 0.305872 | 58.0199 244.96
-49.9588 -54.1212 | 0.0659546 0.217672 | 59.5192 -75.3195
12.5174 -78.145 | 0.120902 -0.240038 | 5.45697e-12 -6.13909e-12
25.0333 9.6403 | 0.381986 0.329401 | -289.157 447.902
21.6769 33.9149 | 0.077073 0.128307 | 1.81899e-12 1.81899e-12
50.4337 63.2633 | -0.0728687 -0.0641764 | -1527.25 2283.56
28.9148 85.9322 | -0.575885 0.556412 | 6.36646e-12 -1.81899e-12
27.3631 -88.8135 | -0.230345 0.0639161 | 52.5638 32.4925
22.4319 -16.0441 | 0.266011 0.368931 | -2121.14 3921.42
