25.1087 17.6304 | 0.081663 0.396999 | -128.576 370.105
36.2894 -48.7048 | 0.688247 -0.0602691 | -4.54747e-12 9.09495e-12
-4.84437 -45.1356 | -0.0173104 0.475588 | 8.18545e-12 -3.86535e-12
-11.5542 68.6476 | 0.0421612 -0.326665 | 0 9.54969e-12
49.4832 28.6709 | -0.0718921 0.100056 | 29.0464 -12.7584
-40.295 82.7327 | 0.108262 0.523735 | 0 -3.63798e-12
-52.8786 80.5027 | -0.789207 -0.520737 | 1.54614e-11 -1.81899e-12
-41.2171 78.8775 | -0.45518 0.683032 | 3.29692e-12 -1.63709e-11
-26.3043 6.44448 | -0.0632297 -0.0923546 | 3.18323e-12 2.72848e-12
43.0406 77.09 | -0.106998 0.124814 | 4.09273e-12 -6.25278e-12
-50.7254 -41.8621 | -0.376167 -0.448153 | 4.54747e-12 -2.72848e-12
56.4756 46.6616 | -0.371707 -0.635428 | -38.3188 34.3909
83.4456 48.3792 | 1.03262 -0.383203 | 3182.33 717.237
16.7986 -23.002 | -0.753554 0.372478 | 6.82121e-13 4.20641e-12
-10.6574 -75.8434 | -0.689204 0.430657 | 9.09495e-12 4.54747e-13
-27.2461 29.2871 | 0.427053 -0.682272 | 1.41398e-11 -3.63798e-12
85.1971 9.53885 | 0.0388872 0.0887556 | -9.09495e-13 9.80549e-13
13.9178 67.9987 | -0.422009 -0.303589 | 6.82121e-12 -1.81899e-12
72.959 -17.1729 | 0.140657 -0.784675 | -5.45697e-12 -9.09495e-12
22.0484 50.68 | 0.281478 -0.111448 | 6.13909e-12 1.13687e-11
-2.39353 -33.8322 | 0.274238 0.528835 | -5.22959e-12 5.00222e-12
60.1623 28.9407 | -0.541476 0.984053 | -783.91 -413.459
52.8045 59.4804 | 0.652447 0.0137681 | -4.96835 -3.88204
-35.9031 51.31 | 0.529861 0.718467 | 210.854 -550.314
73.4848 29.8139 | -0.71601 -0.470443 | 783.91 413.459
-13.099 31.5755 | -0.298565 -0.537002 | 1.81899e-12 0
43.7189 58.9211 | -0.109737 -0.340273 | -3.63798e-12 -4.54747e-12
77.7701 -23.1916 | 0.144278 0.33956 | 5.91172e-12 -2.72848e-12
31.275 15.3783 | 0.0487342 -0.678867 | 128.576 -370.105
45.9383 -42.2638 | -0.58782 0.41182 | -17.476 -51.2482
-68.5169 13.4167 | -0.456143 0.0623135 | 0.666462 -0.165212
27.2477 68.5181 | 0.288971 0.00881671 | 1.27329e-11 -1.18234e-11
-70.2252 33.3377 | -0.279575 -0.0185347 | 2.27374e-13 5.45697e-12
-75.2149 9.25289 | 0.163528 -0.188185 | -127.472 -105.066
28.254 -76.935 | 0.687036 -0.585464 | -22.6178 -114.036
-24.0971 -49.9973 | -0.178272 0.181675 | -9.09495e-13 0
62.9576 -9.75588 | -0.0788892 -0.341227 | -1.36424e-12 -1.7053e-12
26.076 84.4388 | 0.178604 -0.0676012 | -9.09495e-12 -6.42331e-12
-28.5374 -68.518 | 0.337765 0.434769 | -2.50111e-12 5.00222e-12
-45.9485 47.1189 | 0.294545 0.0596875 | -9.09495e-13 -1.09139e-11
-21.6026 11.0517 | 0.418757 -0.531815 | 1.18234e-11 -4.09273e-12
9.07883 -95.478 | 0.345525 -0.42299 | -1.64928 -47.0749
23.7103 29.2937 | -1.09265 -0.177509 | -1.13687e-12 0
-61.1486 -22.3476 | 0.202173 -0.572327 | -271.753 -418.248
-50.7984 20.5182 | 0.384129 -0.777311 | 2.50111e-12 9.66338e-13
-30.7091 -27.9169 | 1.41501 0.0239846 | -6.36646e-12 1.08002e-12
8.77718 71.1842 | 0.0195831 -0.100812 | -150.341 -1367.68
67.7226 -47.6432 | 0.810411 0.0166223 | -2.18279e-11 -1.72804e-11
83.6288 37.7087 | 0.114522 -0.0771088 | -147.197 -285.947
25.9904 -3.64817 | -0.0294763 -0.68053 | -1.13687e-11 -4.54747e-13
77.5231 22.852 | -0.503885 -0.0888071 | -1.18234e-11 0
21 93.2269 | -0.287156 -0.353531 | -7.27596e-12 1.09139e-11
-3.06153 -61.3297 | -0.337221 0.483869 | -5.11591e-12 -4.54747e-12
7.16773 89.6967 | -0.392931 -0.136989 | -9.09495e-13 -1.13687e-11
-64.2825 -5.08024 | 0.59535 0.562814 | -12.9835 -75.139
7.73955 -89.8614 | 0.480101 -0.0849301 | 1.64928 47.0749
-64.1618 -35.8738 | 0.00398943 0.088298 | 6.82121e-13 0
-5.61842 41.2939 | -0.719558 0.685469 | -3.63798e-12 -2.72848e-12
-34.1254 67.3731 | 0.699364 0.0155746 | -3.12639e-12 -1.81899e-12
-3.90367 -80.2887 | 0.0914093 -1.12948 | 3.63798e-12 5.45697e-12
69.5681 -3.13572 | -0.199281 0.608702 | -1.81899e-12 7.27596e-12
47.8273 70.8771 | 0.452135 -0.171071 | -1.81899e-12 0
-70.045 -43.0146 | 0.146036 0.370893 | -121.086 160.522
-77.7199 27.8914 | 0.131461 -0.11275 | 139.789 180.37
-38.646 -84.9045 | 0.256607 0.307812 | 7.27596e-12 1.63709e-11
18.03 -9.82196 | 0.617589 -1.23309 | 4.54747e-12 2.41585e-12
42.7281 -39.9934 | -0.396847 -0.243266 | 26.4902 46.2928
-58.0673 62.0872 | -0.160869 -0.579145 | 1.59162e-12 -1.81899e-12
-50.674 -69.4376 | -0.842082 -0.336831 | 1.27329e-11 1.09139e-11
-57.3836 -55.8455 | -0.105816 -0.451946 | 1458.39 3334.91
17.3893 -53.2888 | -0.0161951 0.771841 | -11.5272 31.9598
13.3934 -56.8537 | 0.0851526 0.00945744 | 11.5272 -31.9598
-51.4184 -50.589 | 0.427802 0.385547 | 121.086 -160.522
-65.4776 -13.6726 | 0.668377 0.634722 | 2.54659e-11 -3.18323e-12
36.3011 -77.4728 | 0.340111 0.180197 | 4.77485e-12 -1.45519e-11
29.0107 -60.0399 | -0.39292 -0.12918 | -7.27596e-12 -2.04636e-12
35.734 -28.2783 | -0.539677 0.329582 | -9.01417 4.95538
13.7987 55.7687 | -0.111253 0.244421 | -1.15961e-11 -7.27596e-12
-36.0283 -60.2727 | 0.385766 0.139494 | -1458.39 -3334.91
48.3353 4.23069 | 0.49484 -0.492636 | 9.27242 -21.6324
56.6268 -35.679 | -0.171956 0.370513 | -3.63798e-12 -2.95586e-12
20.1615 35.1504 | 0.0611777 -0.264506 | 1.18234e-11 3.06954e-12
47.2492 -17.3596 | -0.0592447 -0.638375 | -5.00222e-12 -1.81899e-12
6.63141 -16.7443 | 0.521676 0.598648 | -1.7053e-12 8.18545e-12
60.809 -25.927 | 0.183819 0.107322 | 4.43379e-12 -9.09495e-13
-10.7996 -21.0883 | 0.10048 -0.296511 | -3.63798e-12 -7.27596e-12
-39.6092 29.4287 | 0.348484 -1.07285 | 6.36646e-12 -8.18545e-12
69.6542 64.297 | 0.380844 -0.0305677 | -3030.16 -427.408
-48.6808 -11.6911 | 0.0918831 -0.00908411 | -5.45697e-12 -4.54747e-13
54.7217 -73.6842 | 0.312737 0.42924 | 5.00222e-12 -1.09139e-11
75.6505 -53.1792 | -0.399733 0.166419 | -1.72804e-11 -1.81899e-12
-18.4895 -31.6332 | 0.227339 0.791837 | 0 2.27374e-12
-58.7158 21.19 | 0.749133 -0.0979262 | -4.54747e-12 -4.09273e-12
-63.5622 62.4685 | 0.362798 0.0568043 | -8.01492e-12 -1.81899e-12
-28.0391 58.7078 | -0.375339 -0.162842 | -60.5139 1917.99
-68.1125 -17.0404 | -0.167428 0.334904 | 271.753 418.248
30.8598 -65.9399 | -0.821105 0.141751 | 22.6178 114.036
85.541 -33.6622 | -0.345186 0.329527 | 6.82121e-12 3.63798e-12
-22.34 -2.13974 | 0.889288 0.670837 | -9.09495e-13 4.77485e-12
-72.7403 -29.5664 | 0.0342576 -0.171844 | -9.09495e-13 4.54747e-12
