26.3292 19.2827 | 0.159954 -8.95766e-05 | 1732.22 -7503.8
-18.2679 -89.2431 | -0.173021 -2.17752 | -8.18545e-12 -1.09139e-11
-26.7708 -21.3336 | -0.432917 -0.280861 | 1762.91 -2474.08
17.7796 36.2754 | 0.764183 0.589243 | -382.097 1044.69
35.1844 0.160568 | -2.75842 0.554836 | -18.891 54.1763
50.3 -20.2832 | 1.22048 0.189498 | -399.249 5269.4
-40.9642 59.7443 | -1.50776 1.98173 | 614.625 724.575
-42.4254 36.8151 | -1.70216 0.84322 | -746.171 -2569.15
50.4468 -6.59679 | 2.04228 -0.0962662 | 687.398 -2430.7
-25.9813 -6.0619 | -1.79748 0.227207 | 455.206 -55.4217
67.0626 -42.1572 | 2.23283 -0.894788 | 600.168 3424.25
-13.5465 -55.3003 | 0.645919 0.1251 | 774.048 -1672.13
-67.3703 -26.3373 | -0.109817 0.578889 | 5.57409 155.392
-35.4624 -38.9115 | -0.334202 -0.208309 | 1155.36 5024.92
-42.3211 25.4194 | 1.24675 -0.0949978 | 347.318 -756.303
21.8765 63.3588 | 1.19121 2.15666 | 6059.65 -7815.21
-13.1226 -48.319 | 1.82779 0.0436343 | -6131.15 5913.5
-62.4048 -44.9858 | -0.622008 -1.8153 | 5.68434e-14 1.93268e-12
4.78795 -40.2874 | 0.0711604 0.632572 | -954.25 -3935.07
-39.4872 -62.5769 | 0.79521 -1.91235 | -2.27374e-12 -1.13687e-12
-43.9213 45.66 | -1.90575 1.93419 | 231.156 -203.778
17.3094 -23.9817 | -0.999475 1.02774 | 1369.68 526.034
-50.4177 -56.2302 | -0.0566841 -2.0797 | -1253.56 4058.69
46.3362 26.848 | -0.458649 0.0896592 | -91.3208 277.366
-35.8865 -26.4265 | -0.596187 0.172645 | 465.639 -6350.6
-67.2964 -0.325708 | -2.76544 0.0859466 | 2.50111e-12 -5.68434e-13
-49.0109 -30.3026 | -0.199826 0.254835 | 1312.15 -1305.04
26.0735 -50.1989 | 0.64011 -0.799271 | -831.63 -3950.29
15.2199 14.3742 | 0.169316 -0.148541 | 2104.44 834.992
20.8751 -54.2039 | -0.358968 -0.085026 | 9.92443 645.451
-8.43214 46.7012 | 1.0035 -0.0743114 | 797.832 -489.562
-64.4366 45.2676 | -1.03562 1.4524 | -222.16 -512.669
28.9503 53.1831 | 0.510624 1.40747 | 30.627 -4573.66
-55.0368 60.5421 | -0.278753 1.07326 | 1.13687e-12 0
-4.64359 53.9363 | 1.51265 0.302763 | -540.714 3549.89
9.83665 34.5332 | 0.139467 1.11981 | 2050.21 4084.69
-3.5844 63.1615 | 0.981615 0.415212 | 2.68272 46.657
33.0766 52.007 | -0.785971 0.56106 | 886.166 -1270.37
9.48477 31.1121 | -0.466137 -0.202421 | -3405.92 2853.77
-14.248 19.1097 | 1.76495 0.654371 | 1649.24 -5249.41
-21.0628 84.5214 | 1.28776 0.512919 | 407.723 1198.77
-24.9048 13.7051 | -0.338712 0.647286 | -139.726 -862.004
23.3132 -10.7159 | -1.99909 0.714817 | -1043.93 -4819.45
86.0667 -8.72326 | 2.22119 -1.31334 | -3689.34 -3328.73
-54.8585 -12.4179 | -0.419343 -0.948942 | 2584.94 -6269.22
55.8254 -32.7496 | -0.298315 0.98368 | 360.486 518.564
12.0452 -6.58982 | -0.172056 0.593619 | -886.01 3724.81
22.1282 -40.9289 | 2.92291 0.154668 | -114.411 -1809.79
20.6974 -16.4822 | -1.27851 -0.872117 | -111.519 292.027
28.2873 21.0867 | 0.703384 -1.60769 | -4861.04 2216.78
4.43543 90.9736 | -0.471997 3.02191 | 4184.69 -1532.08
-61.0921 -16.5924 | -1.6897 -0.944392 | -760.959 141.839
-38.8112 2.35628 | -0.566416 -0.277116 | 156.123 -417.072
-18.6902 3.43517 | -0.299622 0.032902 | -206.201 -923.318
-29.4448 -17.3623 | -1.13194 -0.600996 | 41.597 1217.48
-46.733 -43.3181 | -1.69818 -0.701592 | 1905.23 492.66
32.6089 -19.5533 | 0.571004 -0.286139 | 461.432 -1562.89
-37.7148 14.5696 | -0.0885757 -0.453627 | 2742.7 -2397.71
-43.1064 51.8534 | 0.41209 1.69042 | 379.151 2453.13
-16.5202 -22.8146 | 1.93114 -0.0438059 | -515.923 796.951
25.6146 73.9038 | 1.21389 2.26949 | -3.61525 -18.5998
74.0364 -13.8479 | 2.78795 0.780045 | 452.459 -1601.33
4.51363 -28.4959 | 1.14311 -1.06148 | -1923.42 -1041.65
44.294 -2.05913 | 0.353412 -1.08236 | 18.891 -54.1763
-7.82854 30.7076 | 1.58864 -0.179902 | 506.409 -129.647
58.8298 -12.1383 | 1.07847 -0.738276 | -553.192 1592.9
25.259 -84.9618 | -0.551268 -2.21926 | 0 1.81899e-12
-65.1252 -22.2102 | -0.709941 -1.17555 | -213.717 -1225.9
-40.3529 -37.2436 | -2.16407 -0.471452 | -317.065 -258.719
60.1032 4.74807 | 0.323015 -0.982516 | -1373.83 -4221.98
-12.8547 -83.8467 | 0.00180444 -2.27744 | -2.27374e-12 1.81899e-12
-22.6516 -53.3116 | -0.703691 -0.63152 | 4329.06 -4766.69
-26.8637 -52.342 | 0.1922 -0.705343 | 1568.98 -204.652
-14.5173 -13.949 | -1.38211 -0.236063 | 390.062 -383.34
69.1178 27.0156 | 1.37685 0.539165 | 171.212 787.095
42.2623 27.7129 | 0.919614 -0.144334 | -1056.96 -799.198
72.6436 24.9553 | 0.0765966 -0.507598 | -5.91172e-12 2.72848e-12
-58.4571 41.7956 | -1.1095 0.470916 | -5.74104 -17.1775
-43.528 6.02481 | -2.72461 -0.841398 | 603.841 131.829
-74.2443 -31.8049 | -2.21483 -0.499117 | -358.753 -237.983
-28.9979 -25.2009 | 2.84599 0.268192 | -474.936 6344.66
37.5519 -21.9138 | 1.34159 0.0325911 | 825.708 -4258.02
-25.0739 -28.2462 | 1.5238 -1.01474 | -909.602 1890.24
-52.4848 19.2758 | -2.06167 0.842488 | -106.281 1102.78
37.0599 41.3791 | 0.000171135 -0.215812 | 403.494 -1140.65
-16.1085 17.5136 | -1.86319 0.221288 | -907.614 1223.45
-29.48 65.8612 | -0.252013 1.12753 | -46.1651 59.8866
61.6958 14.1668 | 1.79939 0.0326471 | 520.739 1346.71
52.2708 -53.4188 | 0.319027 -2.43288 | 1139.1 3215.43
15.6802 7.5287 | 0.187491 -0.431459 | -2239.56 -478.571
26.7319 79.0038 | -0.441455 1.69792 | 3.61525 18.5998
-55.7528 39.8036 | -1.96936 0.387358 | 682.115 2775.26
22.0609 3.51566 | -1.01546 0.11947 | -896.13 -1217.3
45.0092 -61.747 | -1.41399 -1.27145 | -19.052 -620.457
49.9818 61.7118 | 0.641413 2.4177 | 4.73149 53.6043
57.8274 28.2354 | 2.08248 0.67667 | 149.455 -449.629
51.0605 -37.1921 | -0.275318 0.384699 | 750.392 2446.55
12.1743 -65.5343 | -0.971626 -1.30294 | 113.833 2391.81
72.7588 16.2474 | 2.06639 0.750549 | 2.19194 -8.24823
33.4741 62.8976 | -0.462447 1.30528 | 636.468 2341.87
-31.8713 -70.9107 | -1.42171 -1.68532 | 4.09273e-12 -4.54747e-13
-30.0365 52.8101 | 2.11982 0.433276 | -523.966 -633.328
64.5107 49.0843 | 0.497667 1.53651 | -25.5459 34.6361
-40.9376 -66.1232 | 0.0407601 -1.48891 | -8.52651e-14 -6.82121e-13
-24.3327 -18.8414 | 0.637512 -0.637846 | -2004.36 2891.58
-55.1481 -10.1267 | -1.23592 -0.895089 | -1505.35 7709.7
-82.6782 7.80167 | -0.0506499 -0.485561 | 564.668 757.628
4.83759 -44.9315 | 0.345144 -0.259882 | -508.586 -354.193
-5.89542 -34.5091 | -1.26814 0.00845264 | 2972.3 1648.99
-48.3325 8.15746 | -1.15949 -0.511406 | -808.175 -924.719
2.48145 48.0125 | -0.144847 -0.333853 | -1182.35 -543.311
-56.2567 32.4884 | -1.38103 0.440734 | 1268.85 3110.01
-6.91237 83.324 | -0.263741 1.67558 | -2938.06 -1797.15
