-0.852786 -63.2849 | 0.0743695 -0.362981 | -2.84217e-12 -1.47793e-12
-18.128 62.1221 | -0.00784669 -0.175026 | 721.615 2467.83
34.9005 -15.9867 | -0.39165 0.300135 | 4.09273e-12 -5.68434e-14
-72.1328 -31.3771 | 0.418206 0.0170632 | -9.09495e-12 -1.09139e-11
-19.2013 -45.3891 | -0.136253 0.37702 | -1167.84 2656.63
-9.26032 -92.4261 | -0.238427 -0.0948744 | -3.22871e-11 -7.27596e-12
53.839 -1.66836 | 0.387741 -0.050991 | 1.36424e-12 2.27374e-12
-18.2759 -32.5765 | 0.628118 0.0225025 | -1.93268e-12 1.81899e-12
50.6049 68.3268 | -0.0332645 0.090133 | -1.85878e-11 1.18234e-11
-54.3 14.0339 | 0.535281 -0.621261 | 4.54747e-12 -4.3201e-12
13.1855 91.6987 | 0.578077 0.509952 | 16.1929 -51.8379
-9.05835 5.07918 | 0.513312 -0.73029 | 0 9.09495e-13
3.6604 -66.4044 | -0.544666 -0.195231 | 9.09495e-13 5.40012e-13
-85.2496 7.48997 | -0.0142654 0.522667 | -5.45697e-12 2.72848e-12
28.2908 83.5245 | -0.198895 -0.208187 | -5.00222e-12 -1.81899e-11
-76.4929 35.4407 | 0.236472 -0.353174 | -239.447 28.4624
-71.4701 -21.1042 | -0.871067 0.186739 | 2.09184e-11 -1.04592e-11
-4.851 56.1553 | -0.0717639 -0.0528877 | 887.794 -1287.06
65.0719 37.4924 | 0.353243 -0.430926 | -1810.39 -1889.18
92.2428 -16.204 | -0.373935 -0.368546 | 1.36424e-12 1.45519e-11
45.8182 -15.0409 | -1.11759 0.0525528 | 2.72848e-12 -5.91172e-12
-31.4856 -24.226 | 1.26743 0.30743 | 296.488 -2463.22
51.949 27.5525 | -0.00639984 0.417586 | 185.888 151.2
35.4248 -24.3706 | -0.711249 0.102212 | 0 -3.63798e-12
30.1027 -50.4458 | -0.273621 0.296962 | -4.3201e-12 -3.86535e-12
-15.1732 -53.2485 | 0.172988 0.829561 | 874.986 -2118.78
-50.3623 -13.1062 | -0.0951567 -0.154495 | -4.3201e-12 6.36646e-12
