-0.740181 -63.5464 | 0.132865 -0.192529 | 0 1.3074e-11
-18.0569 62.2542 | 0.145816 0.0554822 | 4755.95 -4704.07
34.6818 -15.6708 | -0.00381943 0.376145 | 4.54747e-12 4.09273e-12
-71.7682 -31.2332 | 0.258041 0.393232 | 3.63798e-12 9.09495e-12
-19.4813 -45.118 | -0.353057 0.106987 | -9.09495e-12 -5.45697e-12
-9.55397 -92.279 | -0.198883 -0.0848214 | 1.01311 -8.40109
54.1418 -1.78917 | 0.180289 -0.220645 | -6.36646e-12 -3.15481e-12
-17.6514 -32.5435 | 0.588059 0.140076 | -351.502 1023.46
50.5862 68.4805 | 0.0139424 0.308522 | 53.0361 449.449
-53.847 13.6165 | 0.391024 -0.268041 | 2.72848e-12 7.7307e-12
13.8372 91.8727 | 0.764916 -0.307016 | 2.00089e-11 5.91172e-12
-8.5436 4.34079 | 0.542579 -0.905536 | 325.204 -1886.65
3.07754 -66.7011 | -0.601008 -0.363158 | 16.9993 35.569
-85.2943 8.03997 | -0.0791556 0.60414 | 24.4256 18.2464
28.0038 83.1596 | -0.307057 -0.400783 | 8.18545e-12 1.31877e-11
-76.3442 35.0618 | 0.102688 -0.420631 | -9.09495e-13 3.63798e-12
-72.3446 -20.9668 | -0.885514 -0.0442772 | -1.54614e-11 2.95586e-12
-4.71956 55.8638 | 0.156026 -0.162754 | -2.72848e-12 3.41061e-12
65.3081 36.9288 | 0.232567 -0.567872 | 6.13909e-12 -2.95586e-12
91.8689 -16.5726 | -0.373935 -0.368546 | 2.54659e-11 1.09139e-11
44.7006 -14.9883 | -1.11759 0.0525528 | 6.36646e-12 6.36646e-12
-30.212 -24.0202 | 1.26645 0.138731 | -2.72515 -0.262052
52.0031 28.0191 | 0.061004 0.472376 | -7.27596e-12 -6.82121e-12
34.6966 -24.2548 | -0.771692 0.117496 | 350.515 1087.54
29.829 -50.1489 | -0.273621 0.296962 | -9.09495e-13 -2.72848e-12
-15.0102 -52.5693 | -0.035759 0.396575 | 0 -1.13687e-12
-50.4575 -13.2607 | -0.0951567 -0.154495 | -9.09495e-13 5.68434e-12
-78.5006 44.2246 | 0.163092 0.0712549 | 1.36424e-12 4.54747e-12
0.580558 -44.0142 | 0.3351 -0.351172 | 0 3.63798e-12
62.4333 -23.3546 | -0.329314 -0.0172045 | 2.72848e-12 3.63798e-12
18.3619 -60.0361 | 1.13109 -0.0271957 | -1.7053e-12 -2.50111e-12
