-0.520298 -64.3353 | -0.0361088 -0.274501 | 1.81899e-12 -2.27374e-12
-17.2024 62.3239 | 0.455111 0.0418966 | 4.54747e-12 9.09495e-13
34.808 -15.7027 | -0.167482 -0.425611 | -709.675 -718.511
-71.2521 -30.4467 | 0.258041 0.393232 | 3.63798e-12 2.6148e-12
-20.1529 -45.3454 | -0.330352 -0.207472 | 65.585 644.767
-9.93967 -92.5651 | -0.105477 -0.293684 | -11.4785 -211.558
54.4766 -1.57989 | 0.103743 0.479488 | 5.45697e-12 0
-16.4983 -32.9184 | 0.565776 -0.497794 | 4.54747e-12 -5.45697e-12
50.8545 69.2421 | 0.332073 0.192492 | 126.854 -167.659
-53.1635 13.24 | 0.298351 -0.333886 | -2.27374e-13 -2.38742e-12
15.3549 91.1125 | 0.797395 -0.35589 | 9.09495e-13 -1.81899e-12
-7.41196 2.30597 | 0.566326 -1.01592 | -5.45697e-12 -5.00222e-12
2.3586 -67.3749 | -0.136484 -0.443979 | 98.9202 236.08
-85.3722 9.28631 | -0.0333217 0.62579 | -3.63798e-12 3.18323e-12
27.3897 82.358 | -0.307057 -0.400783 | 3.63798e-12 1.22782e-11
-75.5963 34.2987 | 0.485865 -0.331825 | 94.3512 61.8138
-74.1156 -21.0554 | -0.885514 -0.0442772 | 1.18234e-11 -1.36424e-11
-4.9063 56.0271 | -0.516793 0.249077 | 1.81899e-12 6.30962e-12
65.9908 36.2491 | 0.235209 -0.220062 | 172.823 1078.31
91.121 -17.3097 | -0.373935 -0.368546 | 1.81899e-12 1.81899e-12
42.2655 -14.7303 | -0.898424 0.439905 | 39.056 89.9596
-27.9523 -23.7528 | 1.09329 0.227898 | -1.13687e-12 -2.50111e-12
52.3616 29.3888 | 0.265832 0.779674 | -4.09273e-12 -1.81899e-12
33.1449 -23.9709 | -0.729201 0.0448683 | 231.663 -174.198
29.518 -49.6101 | 0.0169958 0.227157 | -4.09273e-12 2.27374e-12
-15.0398 -52.4401 | -0.0933488 0.199734 | 210.462 -397.902
-50.7642 -13.7641 | -0.291823 -0.481922 | -3.63798e-12 -6.16751e-12
-78.9702 44.3974 | -0.429598 0.0156864 | -132.14 -23.2792
1.02188 -44.2053 | 0.207431 -0.0979519 | 2.72848e-12 4.3201e-12
62.2603 -23.0734 | -0.0173737 0.189394 | -2.04636e-12 4.54747e-13
20.3402 -59.6467 | 0.863193 -0.0308513 | -16.5717 -40.8476
-93.3604 2.0785 | -0.311054 0.785854 | 1.09139e-11 2.72848e-12
-1.83994 -13.8089 | -0.373705 0.430393 | -5.68434e-13 -5.91172e-12
59.8876 0.872088 | -0.035195 -0.67481 | 9.09495e-12 -8.18545e-12
10.1408 32.7664 | 0.58713 0.198565 | 3.18323e-12 4.54747e-13
-6.73517 88.7812 | 0.252187 0.181207 | 156.97 949.679
8.51411 96.3978 | 0.378504 -0.637868 | 2.36469e-11 1.11413e-11
17.6855 64.8369 | 0.089907 -0.49875 | 9.09495e-12 9.09495e-13
-52.6463 62.9006 | 0.305346 -0.0415879 | 548.521 -1245.27
19.8734 -46.028 | 0.130834 -0.335761 | 4.54747e-12 -6.82121e-12
-52.1995 31.6733 | 0.262605 -0.352174 | 37.7885 -38.5346
-24.4437 49.4868 | 0.870165 0.0207429 | 0 4.77485e-12
