25.3496 20.8422 | 0.0390892 0.538832 | 0 -4.54747e-12
38.5969 -51.8083 | 0.422848 0.0968698 | -7.7307e-12 5.91172e-12
-4.03555 -41.39 | 0.225121 0.714423 | 4.14957e-12 3.18323e-12
-11.939 69.2715 | -0.082692 0.51449 | 2.27374e-12 -9.09495e-13
48.0424 27.4375 | -0.465207 -0.265263 | -3.63798e-12 1.36424e-12
-41.456 84.991 | -0.588814 -0.626184 | -316.575 114.205
-55.8236 77.5758 | -0.286916 0.147652 | -297.279 1509.92
-41.8334 80.6093 | 0.503753 -0.0771119 | 613.854 -1624.13
-23.4074 4.75264 | 0.770842 -0.129134 | -4.09273e-12 -1.22213e-12
43.4952 76.7969 | 0.330359 -0.460761 | 103.502 162.075
-51.2562 -42.802 | 0.295856 0.296756 | -3.69482e-12 4.09273e-12
55.0215 45.9775 | -0.141138 -0.104992 | -101.357 -309.939
84.4153 43.8948 | -0.0579286 -0.5518 | 7.27596e-12 1.81899e-12
14.8563 -22.5125 | -0.273136 0.376515 | -5.9152 48.5651
-14.9807 -74.5182 | -0.708413 -0.489202 | -3.63798e-12 3.41061e-12
-24.6622 25.2448 | 0.476115 -0.624402 | 2.27374e-12 8.86757e-12
83.5631 9.16519 | -0.359761 0.0991687 | 9.09495e-13 1.39551e-11
15.1784 66.6806 | 0.0357272 -0.0103868 | -1.65983e-11 -7.27596e-12
73.9554 -18.2103 | 0.283783 0.612147 | 503.496 1404.53
22.5896 49.0807 | -0.181232 -0.115446 | 139.878 454.264
-0.449665 -32.3386 | 0.299441 0.00266141 | -1.81899e-12 5.91172e-12
55.7297 31.0483 | -0.507628 0.000906502 | -1.81899e-12 1.45519e-11
56.7696 58.0509 | 0.420195 -0.428295 | -3.29692e-12 4.43379e-12
-35.3911 52.3964 | -0.161601 -0.148962 | 0 -1.09139e-11
71.5041 29.5279 | -0.486695 -0.0591571 | 1926.85 796.141
-15.0954 28.2296 | -0.359499 -0.573825 | 1.81899e-12 2.72848e-12
43.3828 58.3947 | -0.0338974 0.170187 | 1.22782e-11 7.27596e-12
78.6004 -23.6189 | 0.053844 -0.16253 | 0.25902 -116.59
32.3262 11.869 | 0.166678 -0.572938 | -6.82121e-12 3.63798e-12
43.6228 -41.3367 | -0.184446 0.180849 | 3.18323e-12 9.09495e-13
-68.4882 14.5865 | -0.0159309 0.135804 | -6.36646e-12 9.09495e-13
26.579 67.1057 | -0.176316 -0.303385 | -1.81899e-12 6.36646e-12
-72.6078 34.0611 | -0.465174 0.191338 | -4.54747e-12 3.97904e-12
-75.1148 9.97227 | -0.0164006 0.102318 | -1.63709e-11 -7.27596e-12
32.3087 -77.5322 | 0.347778 -0.116515 | -4.06757 2.94532
-22.8118 -50.7493 | 0.542457 0.245926 | -2.09184e-11 -1.13687e-13
62.1204 -11.6071 | -0.16052 0.209612 | 553.621 -423.961
25.9206 83.0141 | -0.193155 -0.365228 | 9.09495e-13 4.09273e-12
-25.4885 -67.7874 | 0.513958 -0.527312 | 9.60693 -22.8119
-43.8234 47.011 | 0.446556 -0.036605 | 9.09495e-13 -1.13687e-12
-20.3091 7.83328 | 0.273705 -0.417242 | 3.63798e-12 -5.00222e-12
