64.506 -70.0109 | -0.168393 0.0667778 | 0 3.63798e-12
-11.6991 22.6128 | -0.900537 0.00514925 | 31.5463 -556.541
3.58794 -62.4879 | -0.320918 -0.569406 | 48.0645 -92.2685
-0.149333 88.6088 | 0.646498 -0.361855 | 0 9.09495e-13
-27.5032 47.3029 | -0.173346 -0.80394 | -3.06954e-12 -7.27596e-12
-41.5909 -69.9544 | -0.25733 0.226094 | 1.00044e-11 -9.09495e-12
-74.7362 -0.590711 | 0.0907877 0.648005 | -9.09495e-12 -1.09139e-11
66.1095 -38.3213 | 0.0933541 0.261578 | -5.45697e-12 7.27596e-12
21.1243 73.9396 | -1.10687 -0.434156 | -2.72848e-12 4.54747e-12
-46.1153 82.5936 | -0.0261048 -0.0654122 | -8.6402e-12 5.79803e-12
5.57539 1.36639 | -0.314551 0.0427175 | -3.63798e-12 -3.63798e-12
-12.6586 -23.0186 | -0.0914946 0.606394 | 8.18545e-12 1.36424e-12
11.673 39.5559 | -0.762589 -0.133652 | 8.6402e-12 5.00222e-12
57.9301 -46.5306 | 0.482934 0.117702 | -1.81899e-12 9.54969e-12
-92.8469 21.0486 | 0.478495 0.0289937 | 7.27596e-12 -1.63709e-11
43.0017 69.8412 | 0.115489 0.0541802 | 1.81899e-11 -4.3201e-12
-38.7302 -26.2703 | -0.211151 -0.409541 | -5.00222e-12 0
-43.7049 12.536 | 0.583822 0.214894 | -7.27596e-12 1.13687e-11
-49.1901 57.2273 | -0.86592 -0.354792 | -1.00044e-11 4.54747e-12
-2.94449 59.1794 | -0.441554 0.187568 | 7.95808e-13 6.36646e-12
-44.4562 53.8864 | 0.494381 0.131314 | -6.36646e-12 1.01181e-11
33.5084 79.944 | 0.0718259 -0.466542 | -1.36424e-12 -2.72848e-12
86.1997 12.005 | -0.241918 -0.200826 | 1.27329e-11 -2.0691e-11
-25.4519 38.2926 | 0.435192 0.061844 | 6.13909e-12 4.09273e-12
-87.9776 -17.8958 | 0.0669229 0.326905 | -6.82121e-13 7.27596e-12
39.0808 10.9099 | -0.46227 0.0236422 | -1.63709e-11 9.09495e-13
65.7569 -56.9541 | 0.0410968 -0.0821641 | 1.09139e-11 -1.18234e-11
9.20823 -47.0218 | 0.366525 -0.0899541 | -1085.46 1955.99
-47.1509 21.1396 | -0.446367 0.427495 | -3.63798e-12 4.54747e-12
54.4319 -16.7808 | -0.353669 0.777276 | -4.54747e-12 -1.68825e-11
-12.9777 5.21523 | 0.342087 -0.716411 | 2.72848e-12 1.36424e-12
-30.7265 55.3821 | 0.204587 0.0419358 | -1.81899e-12 2.72848e-12
-11.0874 67.0537 | 0.159014 -0.298687 | -1.63709e-11 -1.36424e-12
-9.02144 78.4149 | -0.568599 0.645113 | 89.6975 -197.497
-51.2861 42.9776 | -0.948837 -0.892755 | -3.52429e-12 4.66116e-12
10.4529 -94.1038 | 0.364438 -0.414563 | -2.72848e-12 -7.84439e-12
-13.7132 -35.4225 | 0.0218584 0.317449 | 93.2485 -143.637
-68.9721 -26.6111 | -0.505033 -0.0174495 | 1.27329e-11 -1.04592e-11
4.60262 53.1977 | -0.549652 -0.283345 | -3.75167e-12 7.95808e-12
-46.014 3.8265 | -0.278972 0.276754 | 1.36424e-11 9.54969e-12
-8.28831 94.8278 | -0.354481 -0.249459 | -1234.48 2884.82
-5.72297 -89.6397 | 0.379003 0.550946 | 387.784 -709.094
66.5313 -51.0599 | 0.175732 0.0342765 | 1.18234e-11 -2.0691e-11
-16.7262 -13.1778 | 0.627042 -0.0248465 | 9.09495e-13 -7.04858e-12
7.50104 -76.0805 | 0.231798 -0.0233773 | 7.27596e-12 -2.27374e-12
-42.6 65.3231 | 0.162175 0.0590706 | -3.86535e-12 -7.04858e-12
88.8511 21.6016 | 0.479128 -0.0875171 | 1.81899e-12 2.31921e-11
-60.8685 64.9426 | 0.0985413 -0.447878 | -1.20508e-11 -1.72804e-11
