64.4382 -69.9927 | -0.0237434 -0.0649108 | -8.41283e-12 -1.63709e-11
-12.1205 22.6654 | -0.782638 0.24241 | 94.6271 220.313
3.42758 -62.7734 | -0.337338 -0.582681 | -1001.29 -675.994
0.173916 88.4279 | 0.646498 -0.361855 | 5.91172e-12 -8.18545e-12
-27.5899 46.9009 | -0.173346 -0.80394 | -8.6402e-12 -7.27596e-12
-41.7196 -69.8414 | -0.25733 0.226094 | -4.54747e-12 -3.41061e-12
-74.6908 -0.26671 | 0.0914258 0.647621 | 122.238 -68.3051
66.1562 -38.1905 | 0.0933541 0.261578 | 5.45697e-12 3.97904e-12
20.6129 73.6716 | -0.923329 -0.685147 | 41.7413 -982.182
-46.1284 82.5609 | -0.0261048 -0.0654122 | -7.27596e-12 -9.09495e-12
5.41811 1.38775 | -0.314551 0.0427175 | -2.27374e-12 -1.36424e-11
-12.7043 -22.7154 | -0.0914946 0.606394 | -1.00044e-11 -9.09495e-13
11.2917 39.4891 | -0.762589 -0.133652 | 1.81899e-12 -1.81899e-12
58.1715 -46.4717 | 0.482934 0.117702 | 1.13687e-12 -1.09139e-11
-92.61 21.0636 | 0.433505 0.0390004 | -6.43921 0.80922
43.0472 69.9408 | 0.0661538 0.402968 | -41.7413 982.182
-38.8358 -26.475 | -0.211151 -0.409541 | 1.81899e-12 -9.09495e-13
-43.4543 12.687 | 0.425866 0.382128 | 6.59384e-12 4.49063e-12
-49.6222 57.0616 | -0.856463 -0.208046 | 38.5161 2428.42
-3.15488 59.2483 | -0.314809 -0.112487 | 358.023 -725.139
-44.2115 53.9369 | 0.453383 -0.0844138 | -104.845 -2521.49
33.562 79.6369 | 0.116295 -0.652255 | -5.00222e-12 -1.09139e-11
86.0788 11.9045 | -0.241918 -0.200826 | 0 -1.00044e-11
-25.2921 38.4603 | 0.295128 0.396986 | -1.00044e-11 -2.72848e-12
-87.9529 -17.735 | -0.0521566 0.287372 | 69.7884 -41.0176
38.8497 10.9217 | -0.46227 0.0236422 | -1.31877e-11 -5.00222e-12
65.7613 -56.9809 | -0.10324 0.0472589 | -1.27329e-11 -1.09139e-11
9.31454 -46.9531 | 0.167721 0.271608 | 0 9.09495e-13
-47.4022 21.2883 | -0.56289 0.158978 | -94.6271 -220.313
54.255 -16.3997 | -0.367877 0.615928 | 4.73099 -52.3463
-12.7934 5.06265 | 0.403331 0.0621588 | -1071.82 3683.61
-30.6472 55.44 | 0.135455 0.153196 | 9.09495e-12 5.45697e-12
-11.0078 66.9044 | 0.159014 -0.298687 | 2.72848e-12 5.96856e-12
-9.30933 78.7882 | -0.572593 0.766441 | 122.19 -160.902
-51.7375 42.4943 | -0.879705 -1.00401 | -5.45697e-12 4.54747e-12
