25.1094 22.2333 | -0.375533 0.592385 | -1.09139e-11 4.09273e-12
39.5423 -50.522 | 0.427765 0.747791 | 3.63798e-12 -6.36646e-12
-3.69397 -40.1694 | -0.222115 -0.162754 | -1776.87 -3499.48
-12.2724 70.5569 | -0.158607 0.479235 | -4.54747e-12 1.81899e-12
47.3776 27.4571 | 0.136054 0.0949916 | 1074.11 -1590.1
-43.0231 83.7865 | -0.648237 -0.396205 | 6.59384e-12 -4.54747e-13
-56.2905 77.8403 | -0.0148408 -0.169144 | -5.45697e-12 5.45697e-12
-40.4633 79.8393 | 0.575753 -0.444843 | 1.45519e-11 1.13687e-11
-21.3475 4.62725 | 0.806954 -0.293825 | -107.141 213.449
44.1232 76.2795 | 0.29049 -0.205859 | 3.63798e-12 -3.18323e-12
-50.2994 -41.5389 | 0.317816 0.465788 | 0.598276 -3.38217
54.771 45.5221 | -0.175736 -0.208216 | -1074.11 1590.1
85.212 43.1684 | 0.535316 -0.150596 | 1598.19 2374.62
13.8256 -22.0915 | -0.568729 0.0695353 | 1.81899e-12 1.53477e-12
-16.8337 -75.9806 | -0.853887 -0.819217 | -10.0328 -12.5883
-23.4719 23.6838 | 0.476115 -0.624402 | 3.18323e-12 7.7307e-12
82.7501 9.64655 | -0.348962 0.295119 | -2.72848e-12 0
15.2677 66.6546 | 0.0354863 -0.00857454 | -29.3815 299.897
75.025 -16.8041 | 0.66164 0.118102 | -1.27329e-11 -6.36646e-12
22.5575 48.8632 | 0.00664018 -0.324371 | -842.403 -203.221
0.417683 -32.5885 | 0.441608 0.141268 | 1776.87 3499.48
54.1346 29.9348 | -0.548873 -0.688657 | -1.37561e-11 -1.27329e-11
58.5305 57.9815 | 0.725741 -0.182291 | 4.49063e-12 3.18323e-12
-35.5842 51.854 | 0.122316 -0.398192 | -485.355 -1084.21
70.8752 29.7164 | -0.271822 0.151299 | 3.63798e-12 9.54969e-12
-16.1014 26.3967 | -0.421316 -0.803745 | 3.18323e-12 7.50333e-12
42.4121 57.9497 | -0.530357 0.0873494 | 79.079 436.13
78.3423 -22.4593 | -0.232507 0.548267 | -2.00089e-11 1.55183e-11
32.4929 10.2907 | -0.237971 -0.798601 | 4.54747e-12 -6.25278e-12
43.1553 -40.9666 | -0.174985 0.103414 | -1.81899e-12 -2.72848e-12
-68.528 14.926 | -0.0159309 0.135804 | 7.10543e-12 6.82121e-13
26.1382 66.3473 | -0.176075 -0.305197 | 29.3815 -299.897
-73.2386 34.2119 | -0.021585 -0.081029 | 2.72848e-12 -1.81899e-12
-75.0845 11.1519 | -0.00909145 0.345849 | -43.019 -258.718
32.8192 -77.1427 | 0.137464 0.39248 | 100.323 99.8803
-22.1556 -50.2624 | 0.25716 0.364439 | 6.48015e-12 2.00089e-11
61.8797 -11.0122 | -0.139924 0.348289 | -1.7053e-12 2.27374e-12
25.3376 82.2249 | -0.312345 -0.218024 | -2.72848e-12 -4.54747e-13
-24.1552 -69.3475 | 0.519799 -0.48763 | -5.91172e-12 -1.00044e-11
-42.649 46.7337 | 0.573332 -0.426744 | 80.7766 -279.671
-19.6526 7.24557 | 0.262472 -0.0548639 | 36.9432 44.8924
10.95 -96.206 | -0.194433 0.658532 | 1.81899e-12 2.72848e-12
16.8593 24.8459 | -0.570607 -0.659025 | -4.09273e-12 -5.45697e-12
-62.805 -24.1382 | -0.16129 0.101827 | 7.04858e-12 9.09495e-12
-49.6013 15.024 | 0.250493 -0.491207 | 44.8107 -17.2936
-25.9302 -24.7826 | 0.0284264 0.756461 | 8.41283e-12 -2.95586e-12
5.99139 72.4559 | 0.0109803 -0.0517382 | 1.36424e-11 3.63798e-12
