37.8396 23.2782 | 0.417102 0.040709 | -4.54747e-12 4.54747e-12
-34.8931 -87.8545 | -0.442633 -0.120342 | 2.18279e-11 3.63798e-12
-21.5182 -20.1427 | -0.387658 -0.207539 | -930.646 1010.49
27.0747 48.5294 | -0.186651 0.0469413 | 255.837 294.898
23.8776 4.85897 | -0.357841 0.218624 | -412.13 1256.81
37.9343 -25.3214 | 0.641321 0.0936957 | 499.244 314.844
-26.2699 64.7349 | 0.0316373 -0.512406 | -288.769 3586.96
-56.654 44.2637 | -0.121555 -0.439313 | -5.45697e-12 1.81899e-12
37.1012 -1.34776 | 0.00488825 -0.247786 | 97.8764 195.76
-14.4245 -2.82221 | 0.254866 0.17976 | -10.2369 67.9744
78.2979 -41.8299 | 0.183409 -0.0788304 | -2.72848e-12 5.91172e-12
-12.2946 -64.3592 | -0.228198 -0.082708 | -807.726 -792.644
-56.6585 -33.2282 | -0.0430022 0.27871 | -12.9231 -327.684
-45.8536 -46.4965 | -0.582039 -0.0326017 | 939.274 2391.31
-44.1898 34.9741 | -0.111102 0.441113 | -1.81899e-12 1.81899e-12
4.83489 73.9371 | -0.258074 -0.713821 | -1140.4 1814.13
-13.3908 -56.2925 | 0.296516 -0.541645 | 253.249 503.05
-63.0477 -50.6948 | -0.68343 0.416645 | 1.27329e-11 -1.18234e-11
0.276303 -51.3087 | -0.180067 0.673089 | 486.386 1259.91
-37.7617 -65.7392 | -0.304521 -0.227523 | -575.329 1786.46
-31.4735 52.5726 | 0.608658 0.0277089 | -482.623 -602.724
27.9385 -29.2732 | -0.47095 0.18101 | 0.715054 -70.9168
-50.7565 -58.6049 | -0.0257082 0.391711 | 18.4426 -26.0517
49.719 32.2072 | -0.157348 0.196321 | -1504.31 2289.93
-29.8237 -29.8729 | 0.633306 1.01493 | 289.89 -715.227
-69.1585 -11.6771 | 0.42834 0.338997 | 50.7095 12.5544
-41.3716 -34.9788 | 0.203621 0.465446 | -9.09495e-13 1.50067e-11
30.314 -66.5705 | 0.126857 0.0997313 | 189.291 2068.14
31.1405 21.3985 | 0.276053 -0.0818442 | -22.5311 -19.8264
24.7662 -69.9776 | -0.510524 0.0877188 | -271.883 -879.754
8.78622 55.4086 | -0.302643 0.255344 | 1.27329e-11 9.80549e-12
-49.1826 52.3918 | -0.229913 0.0737304 | -3.834 43.2393
31.0077 68.0721 | -0.348278 -0.444369 | 8.18545e-12 3.63798e-12
-42.9845 64.7134 | -0.160973 0.34313 | 259.132 -3603.15
6.01939 71.6294 | 0.0101764 0.00380203 | -497.72 -1635.45
22.8698 46.1783 | -0.221134 -0.181721 | -819.539 1187.19
-13.6547 72.4657 | 0.279586 -0.770605 | -47.8248 53.2282
36.9556 66.6512 | 0.180106 -0.105316 | -5.91172e-12 -7.38964e-13
14.8678 42.5969 | 0.462838 -0.369867 | 715.314 1085.1
-21.534 26.3859 | 0.156899 0.0681375 | -1.81899e-12 3.63798e-12
-28.0224 86.1854 | 0.356592 -0.0595943 | 451.495 602.177
-27.5623 18.2092 | -0.228418 -0.059281 | 4.3201e-12 8.6402e-12
39.0228 -6.82777 | -0.265432 0.640802 | -597.914 -828.554
88.5225 -22.4133 | 0.034054 -0.834685 | 1.50067e-11 -5.45697e-12
-50.6843 -15.5564 | 0.831734 -0.287831 | 41.4213 -28.4172
56.5317 -36.9381 | 0.219461 0.0254978 | 155.273 -2194.22
2.92106 -6.81372 | 0.130825 -0.0146663 | -20.0432 -17.5063
40.0224 -57.9376 | 0.274892 0.130566 | 4.54747e-13 3.63798e-12
7.57736 -23.313 | -0.230762 0.0190588 | -242.806 457.379
39.0385 25.412 | 0.391919 0.196367 | -3955.06 -4031.09
-7.48061 92.8188 | -0.167605 0.252535 | -1.83036e-11 -2.00089e-11
-56.5126 -24.0312 | 0.385649 0.572581 | 804.957 1992.15
-36.0982 3.31382 | 0.0106922 0.691441 | -1.81899e-12 -9.09495e-12
-14.6102 13.7146 | -0.472827 0.130679 | -1.00044e-11 1.59162e-12
-26.5039 -16.6013 | -0.482456 -0.333157 | -2.17935 -180.84
-51.8523 -48.5785 | 0.175781 -0.135083 | -1217.56 -4354.48
22.6416 -24.1781 | -0.204762 -0.346903 | -9.73933 -0.769348
-40.0899 16.9954 | 0.0541064 0.533532 | 1.81899e-12 -6.36646e-12
-27.9319 58.78 | -0.175484 -0.20114 | 243.75 21.2751
-11.1311 -22.2994 | -0.378548 -0.970581 | 8.6402e-12 6.82121e-13
9.94329 87.7682 | -0.855772 -0.284827 | 351.965 -110.064
60.3857 -16.3568 | -0.326751 -0.3083 | -1.39835e-11 3.52429e-12
10.4542 -34.849 | 0.495134 -0.614919 | -4.54747e-12 1.59162e-12
31.3769 2.11956 | -0.33308 0.075294 | 448.515 -1169.61
1.72922 39.9991 | -0.074991 -0.121035 | -651.997 -913.629
43.8431 -12.1294 | 0.0544446 0.360988 | 4.77485e-12 -6.36646e-12
11.6913 -93.8778 | -0.405711 0.0918682 | -0.428595 6.13974
-50.8928 -27.9459 | 0.0905879 -0.0882393 | -382.187 -1732.05
-52.5737 -44.5573 | -0.0195644 -0.35698 | 278.287 1963.16
51.6396 7.52681 | 0.0486028 -0.417643 | -231.574 -297.346
-33.5067 -85.8683 | -0.167981 -0.24606 | 1.81899e-12 3.63798e-12
-21.1807 -62.3966 | 0.224443 -0.305471 | 234.847 -429.119
-26.8891 -59.3145 | -0.661171 0.355731 | -488.096 -73.9304
-15.2493 -11.3744 | 0.191516 -0.340659 | 126.275 -161.434
63.0214 26.7653 | 0.455688 0.497262 | 208.952 446.738
44.9118 35.1192 | 0.111371 0.0668727 | 1.81899e-12 6.36646e-12
65.8101 23.4622 | 0.261852 -0.317282 | -157.427 -312.126
-65.7304 49.4943 | -0.542474 -0.0497232 | 9.09495e-13 -7.27596e-12
-42.052 5.48545 | -0.0197838 -0.0800218 | -58.4225 67.1218
-60.3201 -38.8227 | 0.296411 0.250791 | 9.09495e-12 -9.09495e-12
-25.1846 -27.8631 | -0.198294 0.0172826 | -43.8757 -1138.09
52.8489 -25.8794 | -0.379453 -0.0728994 | -394.815 -1232.42
-23.1289 -32.5806 | 0.134725 0.0188871 | 177.354 33.2133
-63.1277 21.8506 | -0.398737 0.0621334 | 210.381 -181.5
56.3855 49.806 | 0.14079 0.459878 | -100.11 -121.333
-24.4662 23.3914 | -0.174768 0.0870263 | -7.27596e-12 -2.04636e-12
-32.107 75.505 | -0.553455 -0.854668 | -10.3565 22.5874
70.9369 10.651 | 0.211493 -0.161308 | 3899.01 3990.65
63.124 -62.3521 | 0.295592 0.529773 | -3.63798e-12 4.40536e-11
9.7224 13.199 | 0.305748 -0.185332 | 439.848 999.887
-5.49319 88.02 | -0.301542 -0.458549 | -288.62 238.789
-62.7116 47.3131 | -1.06943 0.549335 | -9.09495e-13 0
15.0285 8.3859 | 0.3235 -0.184923 | -133.059 19.9964
20.4906 -72.1667 | -0.127994 0.48823 | -8.18545e-12 9.09495e-13
49.7566 72.4272 | 0.199491 0.283019 | -1.72804e-11 -9.09495e-13
57.4682 28.7828 | 0.0722332 0.0189642 | 1545.79 -2249.42
52.7026 -43.6982 | 0.043967 0.503255 | -56.0051 -215.394
-9.9845 -76.3791 | -0.128166 0.0934221 | 2.00089e-11 5.45697e-12
79.1178 5.1926 | 0.456945 0.484326 | -12.7715 -19.0191
22.2909 71.0979 | 0.37135 -0.40942 | 6.36646e-12 -1.27329e-11
-41.355 -75.4817 | -0.151187 -0.651766 | 754.491 -2171.77
-16.2881 61.2215 | -0.468052 0.0868272 | -119.856 79.7115
58.2793 55.629 | 0.395266 -0.121331 | 9.09495e-13 3.18323e-12
-41.9117 -67.7802 | -0.0611915 -0.084325 | 575.329 -1786.46
-22.1344 -17.7389 | -0.470661 -0.229414 | 6.82121e-12 4.54747e-12
-57.2837 -15.8768 | 0.515755 0.705999 | -41.4213 28.4172
-61.8704 11.0054 | 0.476872 -0.245391 | -90.21 167.368
10.533 -56.3714 | 0.00459751 0.621573 | -486.386 -1259.91
9.31312 -46.3207 | -0.0695118 -0.463452 | -1.81899e-12 -4.54747e-12
-46.4285 6.39658 | -0.49799 0.100764 | 99.0222 -185.482
18.7319 60.1416 | 0.313746 0.0156658 | -27.4243 -30.9185
-69.4182 34.219 | -0.515722 0.0544563 | -107.869 136.909
-23.4799 88.9251 | 0.0160493 -0.0330876 | 29.8883 106.078
-31.453 -55.9228 | -0.385329 0.0738555 | 2.72848e-12 -5.45697e-12
-46.123 41.3389 | 0.437751 0.280447 | -85.4589 -235.603
65.1357 -58.5746 | -0.631817 -0.0139686 | 10.3779 -8.9359
48.2279 -10.0063 | 0.0182343 0.152941 | -29.3157 -98.1341
70.6936 -28.1799 | 0.162998 0.873099 | -1.36424e-12 -2.72848e-12
49.9048 -52.8573 | 0.306317 0.758051 | -5.45697e-12 -3.18323e-12
-40.3323 37.7576 | -0.233209 0.503735 | 107.869 -136.909
-39.8747 71.1662 | 0.179805 -0.420819 | -1111.46 2078.02
-36.4764 79.696 | -0.38821 -0.311736 | 1.09139e-11 -2.31921e-11
45.2259 -69.9894 | 0.270754 -0.00465882 | 890.318 -395.738
31.8325 76.5347 | 0.0423194 0.0483743 | -1.24456 -33.2091
-22.1796 -4.96464 | 0.308551 0.0798074 | 46.3579 -95.1129
-14.4027 -81.223 | -0.534792 0.288214 | -148.382 835.523
24.2804 -32.2236 | 0.386279 0.279141 | 2.4869e-12 -9.77707e-12
44.0756 -41.2028 | -0.264261 0.244929 | 194.115 35.6601
-78.2491 6.39744 | -0.00304017 -0.318643 | -7.27596e-12 1.81899e-12
66.341 50.1504 | 0.302577 0.0342395 | 100.11 121.333
10.4679 -85.5212 | 0.431681 0.526806 | -131.079 576.239
-9.52122 30.746 | 0.20329 -0.140349 | -2.13163e-13 2.27374e-12
52.8488 1.34929 | 0.36387 -0.630105 | -3.29692e-12 3.63798e-12
64.8719 -33.1125 | 0.460656 0.471182 | -261.662 2323.17
40.165 43.3277 | 0.457071 -0.629912 | 563.702 -1482.09
-21.1503 48.154 | 0.39097 -0.838261 | 986.005 -4247.27
-59.2757 -14.46 | 0.518661 0.334393 | 8.80119 -7.50078
-29.2397 -83.5966 | -0.255275 0.39897 | -7.04858e-12 -2.27374e-12
-56.6052 27.1437 | 0.122667 0.264133 | -210.381 181.5
40.5261 12.8118 | 0.470736 -0.75128 | 231.574 297.346
22.9174 -41.0491 | 0.421702 -0.460553 | -31.7217 50.7779
78.9361 8.18351 | 0.316662 0.245269 | 23.9859 -39.4099
69.9924 38.1489 | -0.289344 0.565193 | -954.923 -2428.05
45.239 -45.8277 | 0.160137 0.0785668 | 3.12639e-12 7.27596e-12
83.0068 -38.488 | -0.768272 -0.283064 | -10.3779 8.9359
-30.5915 68.6881 | -0.237219 0.201044 | 2487.1 -4133.18
11.9419 28.5205 | -0.13776 0.299907 | 22.5311 19.8264
-72.5353 22.6502 | -0.516806 0.526761 | 1.40972e-11 5.00222e-12
-3.99652 -76.3845 | 0.582199 0.340162 | -1.13687e-12 -5.79803e-12
36.6077 -51.4168 | 0.228972 0.458357 | -7.27596e-12 -2.72848e-12
48.8037 12.6903 | -0.157641 0.42051 | -7.27596e-12 -7.90124e-12
58.1677 67.8362 | 0.0144164 -0.377003 | -1.09139e-11 -2.04636e-11
52.2692 61.4796 | -0.301288 0.0284775 | 11.5635 -93.2559
31.8244 -81.5949 | 0.363194 -0.121114 | -9.09495e-13 -5.85487e-12
54.0089 48.1537 | 0.0671987 -0.0733457 | -1.27329e-11 3.63798e-12
-64.5046 -5.79858 | 0.357569 -0.0172385 | 88.8544 -75.525
-33.0801 12.3021 | 0.268469 0.589455 | -6.42331e-12 9.09495e-13
