-53.7108 -1.74394 | -0.287933 0.0011178 | 632.856 -1990.8
-36.195 -39.8305 | -0.108325 0.199584 | -1166.71 2547.98
10.7198 -42.2215 | 0.332761 0.702739 | -9.09495e-13 8.6402e-12
4.97417 27.5457 | -0.118811 0.323602 | 4.54747e-13 9.09495e-12
-58.0642 -57.8927 | -0.135172 0.0604892 | 8.98126e-12 2.72848e-12
-73.7511 -26.7843 | -0.993744 0.298006 | 429.628 540.664
-21.0546 -22.1883 | 0.105911 0.159294 | -2179 -2687.96
-32.5504 32.0621 | -0.597193 -0.0822536 | -21.3983 -68.746
10.2722 77.4997 | 0.0258757 -0.168436 | -7.27596e-12 -6.36646e-12
-18.9489 -65.06 | -0.487543 0.509622 | 7.40062 27.9901
-1.73629 -71.9079 | -0.404788 -0.00485361 | 1761.15 -2593.54
50.7273 15.0602 | -0.0314927 0.03399 | 453.27 -999.217
-16.2557 -34.3329 | -0.120319 0.0148642 | -2.87689 -88.8069
16.3359 -53.9776 | 0.39593 0.030973 | -1563.34 1523.4
-76.9881 23.1108 | -0.35908 0.13819 | 50.9023 472.839
-48.5356 16.5867 | 0.166395 -0.370358 | 1210.45 2110.32
-42.4782 9.68354 | -0.301589 0.159814 | 791.473 1736.52
86.9147 27.0946 | 0.524138 0.363734 | -726.877 -1064.12
41.0095 4.33596 | -0.27443 -0.393047 | -3.63798e-12 0
-8.13787 21.4388 | -0.0714116 -0.199834 | -609.065 1728.64
52.4269 -23.1257 | -0.166722 0.189684 | 63.913 99.309
-16.7303 -91.4757 | -0.0712279 0.658783 | -423.327 2479.74
24.1653 73.4276 | -0.141767 -0.549058 | 725.585 1433.51
54.1672 35.9792 | 0.416248 0.23774 | -52.4957 -832.369
-27.9808 82.0158 | 0.417642 -0.188473 | 1.00044e-11 8.6402e-12
4.94875 -29.6139 | -0.445883 0.333289 | -1679.62 -2418.74
46.9526 -3.27705 | 0.224729 0.0264528 | -51.3022 79.7124
-31.5747 -27.4805 | -0.029304 -0.199238 | -1.02318e-12 -5.68434e-12
65.5735 -3.8521 | -0.687881 -0.190855 | 3.63798e-12 4.54747e-13
20.9131 85.4361 | 0.079391 0.161524 | -1.54614e-11 6.48015e-12
-36.4642 42.9527 | -0.395657 -0.760417 | 499.915 -1176.8
-34.1807 -18.6057 | -0.357491 0.121278 | 2397.67 2840.53
-3.88819 -53.9447 | -0.790266 0.313245 | 80.3601 -110.38
-23.5996 48.5249 | -0.0335156 0.19329 | 19.7079 39.4663
-50.2297 12.2508 | -0.381023 -0.588843 | 1.36424e-12 6.82121e-13
8.56614 -21.6345 | 0.272185 -0.012794 | 0.807059 -2.04569
22.189 -27.2872 | 0.0838129 0.210712 | 76.6411 -50.2797
-83.1487 -16.4199 | -0.372492 0.873807 | -192.001 -34.7776
20.6648 -74.0573 | 0.441344 0.00982736 | 3.63798e-12 0
43.7546 -64.0786 | -0.470608 0.0671743 | 35.4423 397.921
18.729 70.4478 | 0.0214297 -0.510408 | -970.3 -977.268
-4.80038 -69.6098 | -0.175725 0.190806 | -3472.93 -77.5234
-7.2161 -36.8401 | -0.376887 -0.0334504 | 855.458 -1534.51
-63.4004 12.5965 | 0.550591 -0.00716719 | -1210.45 -2110.32
-70.95 54.4952 | -0.210477 0.259192 | 324.114 80.7788
37.8755 -18.2565 | 0.486062 0.12863 | 1435.27 1458.14
-50.0696 -75.2359 | 0.266542 -0.321851 | 2.22826e-11 9.09495e-12
7.79323 -4.80335 | 0.856846 -0.40987 | 49.0706 206.884
11.1308 29.8087 | 0.0496486 -0.341215 | 6.36646e-12 -6.36646e-12
9.27089 40.0271 | 0.442123 0.352346 | -31.5119 54.0082
30.5896 16.0625 | 0.237576 -0.392425 | -19.4109 2086.73
13.3847 47.5939 | 0.38552 -0.161903 | -444.486 342.14
-31.3631 75.2492 | -0.102865 0.0764364 | 64.0826 151.071
-82.2131 -27.3936 | -0.444055 0.422832 | 2.27374e-12 -1.81899e-12
27.0954 47.0528 | 0.610142 -0.0160063 | 436.697 -430.364
32.3036 -84.7968 | -0.0282473 0.58894 | 0.955341 -83.6497
-46.1987 -9.58148 | 0.357549 -0.0164346 | -2.6148e-12 -6.13909e-12
-22.4128 46.483 | 0.215811 -0.310656 | -519.623 1137.34
-67.4947 -46.1421 | -0.429662 0.182441 | -64.5215 -76.4318
-25.5385 -14.0605 | -0.475389 -0.748083 | 1007.29 626.874
70.0647 -40.0512 | 0.936153 -0.260976 | 1413.34 -3234.67
3.13512 -13.1034 | -0.0443461 -0.605727 | -583.063 -1235.86
36.9495 -8.88088 | -0.59653 0.322452 | -82.5272 -138.822
49.6897 -42.1545 | 0.713174 -0.429513 | -38.1907 -252.777
39.0376 -55.6286 | 0.134508 0.77196 | 11.8325 8.01778
4.53576 47.7407 | 0.081028 -0.469919 | 31.82 -37.2804
-25.936 -51.9606 | 0.234457 0.00682034 | -80.3601 110.38
23.564 -37.214 | 0.282959 0.117823 | 18.0626 -36.9234
4.07364 22.1231 | -0.00957979 0.114664 | -0.659435 6.89675
15.1317 -88.1881 | -0.673969 -0.403498 | 215.251 978.436
40.8713 -23.7469 | -0.14007 -1.01888 | 9.08386 -170.2
-49.2045 6.99745 | 0.0796692 0.425263 | -791.473 -1736.52
47.0969 -75.2296 | 0.204968 0.289978 | -2.54659e-11 -3.09228e-11
56.5847 9.55431 | 0.233473 0.0561825 | 1618.78 -3504.19
-37.5847 23.2854 | -0.23264 -0.462708 | 63.4718 -136.81
68.2244 -59.3842 | -0.0304396 0.554266 | -3.63798e-12 5.45697e-12
7.95112 -28.4728 | -0.416725 0.0508495 | 1756.68 2333.24
53.0812 -36.2645 | 0.251771 0.149719 | 14.7492 -140.592
-63.7011 -19.1319 | -0.15154 -0.364278 | 153.539 342.33
31.1758 -14.0554 | -0.39275 -0.356819 | 2.72848e-12 2.72848e-12
38.4946 -51.7102 | 0.170547 -0.0066045 | 1573.31 -1513.75
74.8597 61.5503 | -0.0286822 0.757181 | 1.81899e-11 3.63798e-12
46.7328 34.7349 | -0.25522 -0.402546 | -68.657 10.4042
37.1521 65.3468 | -0.677078 -0.189576 | -9.09495e-13 7.27596e-12
-54.1057 -4.98172 | -0.568585 -0.441246 | -342.708 -347.444
-26.3298 -59.421 | -0.442853 0.0987152 | 9.09495e-13 -1.81899e-12
41.9231 -2.66733 | -0.711933 0.163399 | 171.27 -251.869
-69.0647 -33.4912 | -0.924064 -0.369789 | -429.628 -540.664
-60.9025 17.4612 | 0.116446 0.0889375 | -9.09495e-12 4.54747e-12
-23.2212 40.7662 | -0.108765 0.490989 | -33.7729 39.7581
-43.7581 62.0808 | -0.426782 0.125214 | -186.633 2013.44
-58.0516 -18.9273 | 0.432926 -0.0910815 | 1.81899e-12 1.18234e-11
0.801541 88.4155 | -0.56484 -0.432981 | -2363.06 2780.57
-23.3254 84.4295 | 0.241596 0.0951252 | -1.13687e-11 -1.14824e-11
62.1794 11.8137 | 0.141236 0.256398 | -1618.78 3504.19
-5.76333 -75.9023 | 0.0249922 0.0552582 | 15.3585 14.7614
30.7787 76.956 | 0.251354 0.40428 | -5.91172e-12 5.00222e-12
65.296 41.6487 | 0.186835 -0.174156 | -5.45697e-12 -1.59162e-12
78.1291 -9.15449 | 0.0488507 0.168835 | -574.21 -42.2327
-56.0118 -53.6578 | -0.163921 0.603451 | -8.6402e-12 -6.13909e-12
-56.1708 -63.2086 | 0.066424 0.140297 | -8.98126e-12 2.72848e-12
-61.0966 -42.7584 | -0.152424 0.334276 | 7.27596e-12 -5.45697e-12
24.6321 80.7485 | -0.16632 -0.22021 | -4.54747e-12 -1.47793e-12
15.1342 6.7374 | -0.468701 -0.0685021 | 266.185 666.34
-46.2176 55.6866 | -0.02902 -0.582563 | -77.0014 47.3105
58.5557 -36.48 | 0.387055 -0.273198 | -1068.84 522.156
-8.60903 -10.1741 | 0.0481222 -0.0444082 | -424.227 608.989
39.8869 31.5107 | -0.100526 -0.179567 | -4.40536e-12 -8.18545e-12
33.6391 27.9611 | 0.449896 0.0145417 | -3.63798e-12 3.18323e-12
3.67433 84.608 | 0.163419 -0.0717804 | 2363.06 -2780.57
12.1542 -24.1549 | 0.0181582 -0.135614 | -395.98 412.316
-61.2826 48.7971 | -0.630176 0.130069 | -176.726 157.448
-36.1793 34.5043 | -1.18087 -0.304393 | 23.3512 66.2683
-50.9089 3.32255 | 0.0753648 0.0825023 | -1033.18 -693.494
75.993 49.2953 | 0.0725965 0.122536 | -2.27374e-12 2.27374e-12
75.6557 -24.5208 | 0.315703 -0.0143464 | -14.7492 140.592
30.1787 -0.941928 | 0.944593 0.247338 | -2.28369 -5.29482
53.8804 54.5467 | 0.621447 0.214434 | -9.09495e-12 5.11591e-12
74.809 -22.2024 | 0.865092 -0.0683212 | 311.303 -2623.73
5.18127 -80.7425 | -0.175647 0.242222 | -16.3138 68.8883
25.2786 66.7138 | 0.199272 -0.581219 | 240.146 -469.924
-5.15758 -62.3129 | -0.143301 0.608835 | 1.7053e-12 -6.82121e-12
11.9369 -91.2913 | -0.132615 0.0650671 | -215.251 -978.436
74.1488 -32.7844 | 0.595821 -0.0920873 | 1051.98 1813.26
-7.42339 3.66143 | -0.186785 -0.479651 | 1109.79 484.117
-59.9288 -5.87881 | 0.0332663 0.0169421 | -6.36646e-12 7.27596e-12
-13.8317 53.3615 | -1.12909 0.155482 | 6.82121e-12 -3.86535e-12
81.7664 15.9267 | 0.163329 -0.0656759 | -1.09139e-11 -3.63798e-12
44.6109 32.8495 | 0.833819 -0.412097 | 31.5119 -54.0082
-32.4197 62.3338 | -0.189033 0.0691886 | 155.312 -2222.38
-57.333 37.2241 | -0.103629 -0.116388 | 101.406 -361.606
-55.1165 39.2595 | -0.294254 -0.0510677 | -488.754 1283.72
77.8134 54.1524 | -0.921571 0.168146 | 8.04572 10.0308
73.3898 -41.6858 | 0.943062 0.0455905 | -159.694 205.26
-62.8639 70.6965 | -0.290403 -0.0608126 | -0.217205 63.8569
83.5832 26.9478 | 0.12327 -0.335632 | 874.967 52.7977
4.12776 -47.1822 | -0.126359 0.377064 | 635.594 -5551.14
6.21695 93.2435 | -0.548614 -0.407814 | 7.27596e-12 3.63798e-12
-2.80489 13.69 | 0.300314 -0.148728 | 610.435 -1734.48
24.7137 -63.2681 | 0.218029 0.958151 | 9.09495e-13 -1.81899e-12
59.5359 40.6725 | -0.00268611 -0.401731 | 4.19534 101.973
77.6091 -33.1471 | 0.152641 -0.50496 | -1358.3 1152.03
-9.16414 95.6747 | 0.112485 -1.03784 | -4.54747e-12 -1.81899e-11
77.0273 -4.77614 | 0.0741669 -0.0844122 | 6.99788 -64.5932
20.3524 -61.8366 | 0.233255 0.9578 | -1.81899e-12 -4.09273e-12
61.124 35.469 | 0.903338 0.235294 | 124.747 808.217
52.5665 3.45357 | -0.185581 0.157733 | -154.903 187.429
-55.7513 -30.638 | 0.429619 0.310704 | 51.103 139.08
41.1476 27.9757 | -0.157531 0.881958 | 3.63798e-12 -5.79803e-12
-74.3962 3.38906 | -0.596397 0.0369658 | 64.237 784.901
-19.5197 88.8013 | -0.306419 -0.532747 | -1.20508e-11 -1.63709e-11
0.634852 8.57847 | 0.636561 0.231832 | -433.859 -1087.51
77.3991 -41.3556 | 0.33781 -0.537235 | 159.694 -205.26
-57.5781 70.3836 | -0.24602 -0.122705 | 0.217205 -63.8569
56.7549 -3.05039 | 0.196153 0.367889 | 70.6753 -78.0394
-16.0627 71.2651 | -0.198665 -0.0328227 | -61.842 -141.108
-62.9363 43.0235 | 0.102135 0.161854 | -35.5818 -1778.03
34.7973 61.2423 | -0.397338 -0.464077 | 1.27329e-11 -3.06954e-12
-41.2076 53.4421 | -0.454776 -0.319519 | 66.9097 38.4202
-7.01433 -2.03609 | -0.89918 -0.884241 | -4.09273e-12 -6.36646e-12
30.2537 -19.9252 | 0.197251 0.291312 | -1444.35 -1287.94
32.1911 84.0732 | 0.198309 -0.257712 | -7.27596e-12 -5.45697e-12
13.2038 61.9522 | 0.63867 -0.258752 | -1.56888e-11 2.72848e-12
7.58803 -40.3162 | 0.59765 0.0343054 | 1.81899e-12 -5.45697e-12
-46.4801 58.1537 | 0.327971 0.132371 | 5.68434e-13 -3.13705e-12
-70.7378 17.9517 | 0.569482 -0.339943 | -2.36469e-11 -8.18545e-12
-24.573 -84.672 | -0.306965 0.531851 | -175.217 383.498
-34.8238 -80.653 | 0.292595 0.473323 | -3.63798e-12 3.86535e-12
37.7492 57.6941 | 0.228993 0.224477 | -2.27374e-12 -8.18545e-12
-0.0785513 -95.8224 | 0.0227118 0.156505 | 423.327 -2479.74
9.0554 65.4293 | -0.494502 -0.608927 | 4.56869 13.6797
-58.3908 24.2026 | -0.0409053 -0.0882356 | -64.1825 135.755
-73.7142 22.5675 | -0.258042 0.111553 | 165.218 -771.761
66.2282 37.7769 | 0.111436 -0.140265 | -874.967 -52.7977
62.6703 -20.8473 | -0.329242 -0.292241 | -1399.56 962.114
32.8988 -63.79 | -0.0435491 0.352722 | 1682.58 2625.4
-67.3561 30.734 | -0.0932608 0.333265 | -71.7497 1104.16
-64.1454 34.14 | -0.0358948 0.0921268 | 387.348 -922.116
-9.05589 -48.9697 | -0.462366 0.143959 | 242.085 -1115.63
55.2878 -61.3905 | -0.447703 0.260964 | -35.4423 -397.921
-79.5399 -37.2248 | 0.134069 -0.432187 | 64.5215 76.4318
74.1382 -18.6473 | -0.137532 0.314109 | -311.303 2623.73
3.52644 -45.149 | -0.340506 0.453799 | -635.594 5551.14
83.405 43.3986 | 0.413477 -0.363949 | -8.04572 -10.0308
-59.5876 2.26531 | -0.328212 -0.0995395 | -697.183 1096.38
12.7971 23.7222 | -0.355334 0.0927382 | -9.09495e-13 5.91172e-12
-59.54 64.7676 | 0.0900802 -0.116396 | -295.033 118.195
-81.1866 -14.7611 | -0.137165 -0.571352 | 192.001 34.7776
-55.0045 -27.8209 | -0.301213 0.297955 | -153.539 -342.33
-45.3494 -20.6336 | -0.143064 -0.0944888 | -186.654 -187.437
2.6458 -17.8185 | -0.524053 -0.284277 | -32.8159 36.9115
77.6115 -13.9535 | 0.246725 0.156295 | 2155.02 -1206.92
-64.5353 -64.0731 | 0.205696 0.162071 | -1.45519e-11 -2.27374e-11
70.34 -5.14332 | -0.443997 0.39404 | -6.99788 64.5932
-56.2609 47.0465 | -1.00816 0.536479 | 222.399 1534.85
72.215 51.5281 | 0.246037 -0.689912 | 726.877 1064.12
38.9476 -78.6953 | -0.0954164 0.383303 | 2.00089e-11 -5.45697e-12
