-57.1354 -33.719 | 0.588044 -0.0685351 | -161.844 393.009
45.5019 -72.5648 | 0.513362 0.135235 | -1.47793e-11 -9.09495e-13
0.797819 64.227 | 0.495831 0.0772234 | 9.09495e-13 9.09495e-13
-13.0826 -13.8536 | 0.0158577 0.562911 | -154.671 576.052
-51.4845 4.77328 | -0.17058 -0.165382 | -701.247 537.688
-45.6093 36.9791 | -0.07578 -0.0768107 | -254.842 330.997
61.1014 27.7661 | -0.184535 0.519336 | -17.373 -147.761
7.41947 27.7496 | 0.233995 -0.187149 | -5.45697e-12 6.82121e-12
-83.6743 12.7238 | 0.135249 0.0894742 | 1195.47 322.812
-76.8949 7.27062 | -0.427526 -0.618679 | 518.901 -2193.64
7.32043 -54.1698 | 0.14162 0.535016 | -3.36868 174.038
5.88727 -43.801 | -0.00175411 -0.0250576 | -8.016 51.9151
52.903 22.6368 | 0.0130356 0.547869 | -630.54 -727.201
-17.9716 -85.5854 | 0.303327 -0.277458 | -905.879 1523.7
-15.2149 -66.9525 | -0.0473017 0.137145 | 88.679 -4990.18
-83.8745 6.56421 | -0.598233 -0.181379 | -341.137 -229.568
-0.239805 -56.4323 | -0.0897708 0.0275846 | 24.4435 66.6152
41.0326 51.8411 | 0.251019 -0.0762791 | -20.7235 -29.7969
-44.5831 46.461 | -0.139544 -0.18302 | 757.91 -632.413
47.952 -24.474 | 0.803126 0.420632 | -9.09495e-12 5.45697e-12
41.1257 -54.2638 | -0.128238 0.266247 | 2034.86 2622.12
34.2773 -79.5901 | 0.456657 0.281177 | -9.09495e-13 6.48015e-12
28.0531 71.6459 | 0.0427283 0.0423273 | -986.105 4515.94
-20.3447 -19.1438 | 1.02364 -0.105884 | -589.176 3207.64
69.8859 -25.506 | 0.303976 -0.229786 | 20.7753 -22.111
-53.0737 49.6486 | 0.308327 -0.418573 | 1.47793e-11 -6.36646e-12
-14.2168 -35.6299 | -0.00400493 0.0370568 | -584.805 1509.46
73.2979 -12.4802 | -0.398132 -0.385508 | 1.27329e-11 -4.54747e-13
17.4778 -53.0667 | 0.703527 0.0861826 | -159.557 -173.724
-44.167 76.1283 | 0.182341 -0.132427 | -10.2423 -1028.68
38.907 -17.4091 | -0.0548074 0.555701 | 383.551 953.499
-56.4723 71.4803 | 0.0660118 -0.597168 | 1.72804e-11 -1.87583e-11
-0.208817 25.2015 | -0.456681 0.471783 | 2.27374e-12 -9.54969e-12
28.1515 32.2702 | 0.360026 -0.150174 | -9.09495e-13 8.18545e-12
-83.5695 24.9277 | -0.507344 -0.0768032 | 167.189 -108.587
47.7677 -67.6763 | 0.367543 -0.00683706 | 81.76 191.517
19.421 -70.1027 | 0.55475 0.606311 | -81.76 -191.517
57.5679 50.604 | -0.0699043 -0.534577 | 20.7235 29.7969
56.3075 35.31 | -0.261946 -0.720664 | 6.0388 21.1189
-62.6482 -51.0225 | 0.353839 0.0384625 | 3.18323e-12 9.54969e-12
-7.25233 73.7134 | 0.918956 -0.341843 | 50.1681 8.96342
4.36171 37.6819 | -0.0900186 -0.165033 | 0 3.41061e-12
68.4619 -1.08269 | 0.312242 0.452629 | 817.311 -1015.29
-5.60925 -41.1729 | 0.128877 0.316695 | 3.63798e-12 -2.84217e-13
-12.7067 -79.2065 | 0.398572 0.520514 | 80.5273 -158.996
7.41859 80.0147 | -0.180763 0.0982796 | 37.4306 -764.291
37.4183 88.8444 | 0.271564 0.461041 | -1.45519e-11 -1.63709e-11
-20.8115 33.2423 | -0.0715342 0.640492 | 11.8643 16.7002
20.8291 41.253 | -0.583936 -0.283022 | -1102.39 -884.977
16.1605 -4.31199 | -0.296045 0.762291 | 24.0647 30.0464
-20.0282 -88.4793 | -0.343202 -0.0987612 | 905.879 -1523.7
-7.06286 -8.18007 | -0.443257 0.0787903 | -378.486 -626.482
12.4609 -66.2502 | -0.082653 0.399956 | -5.91172e-12 -4.54747e-12
-13.5793 -72.3046 | -0.108433 0.378757 | 1.18234e-11 -7.27596e-12
-40.6139 -34.1549 | 0.287118 -0.143572 | 168.232 -383.94
-7.43008 11.6954 | 0.455775 0.486802 | -4.54747e-13 6.36646e-12
19.8325 61.0685 | 0.390736 -0.395245 | -73.0084 -33.7966
