-47.9295 -22.4609 | -1.87741 -0.749652 | -6207.68 13771.8
46.9222 -60.9016 | 2.14662 -1.89518 | -3.06954e-12 -7.04858e-12
-15.372 47.3862 | -0.030889 -0.0508381 | 321.75 461.485
-12.9751 -6.37832 | 0.576072 -0.181705 | 2030.43 4816.9
-55.5621 4.83934 | -2.35782 -1.111 | -2914.53 3780.63
-43.5326 34.1021 | 2.08868 0.598246 | 1444.71 -4763.81
71.0409 36.7485 | 2.73045 1.51712 | 1471.23 -3524.5
7.04879 20.5601 | -0.589555 0.314452 | 367.929 -13806.7
-55.9151 27.2074 | -1.88317 0.194264 | 0.0920428 638
-65.0078 18.5934 | 0.156668 0.0564607 | -272.423 -2321.79
3.16738 -42.9667 | -0.647786 -0.261241 | 1452.22 7612.7
-5.51321 -34.1473 | 1.57382 -0.00331025 | -2.98134 370.891
66.3123 29.4157 | -0.049411 0.785308 | 493.284 1262.15
-14.9605 -73.5128 | -0.76719 -1.40008 | 1.13687e-12 1.93268e-12
-35.5703 -61.8359 | -1.09145 -2.30392 | -2048.09 2072.3
-70.4679 22.5307 | -0.102284 0.781377 | 376.449 -998.867
3.86565 -45.9278 | -0.175354 -0.535662 | -1452.22 -7612.7
24.0909 49.2835 | -0.145348 0.50053 | 111.23 311.97
-38.6413 40.5416 | 1.1596 1.80017 | 1644.9 601.547
35.6637 -12.4573 | -0.521357 -0.320719 | -637.528 2417.8
34.2675 -38.5479 | 0.332213 -0.656594 | -3.9786 39.3661
30.7309 -64.2666 | 0.605015 -1.82466 | -376.808 -590.453
15.3389 67.4731 | 1.39532 3.08418 | 266.941 -111.939
-13.5145 -13.9737 | -1.59887 -1.03743 | -634.981 1185.88
65.001 -19.3433 | -0.45543 0.478172 | -4.54747e-12 -1.81899e-12
-42.5772 45.1811 | -0.0358303 0.127204 | -169.817 1036.36
-20.7681 -27.13 | -0.666429 0.0850253 | 1719.51 3548.69
68.1285 -11.2106 | 0.0992596 -0.412807 | 873.406 2739.93
19.0964 -42.2729 | -0.172474 -0.058659 | -863.09 -4204.2
-39.8677 70.4187 | -1.50542 1.74949 | 3.29692e-12 -1.36424e-12
30.523 -4.24994 | 0.595654 0.538771 | 1512.44 1321.11
-49.1127 73.4582 | -1.05701 2.25187 | 9.09495e-12 5.45697e-12
1.11454 17.2674 | 1.36785 0.550477 | 1022 1103.35
34.076 25.6781 | -0.437493 0.0434285 | -255.024 -1430.81
-70.057 41.5034 | -0.165595 0.857083 | -9.09495e-13 0
53.1233 -57.2866 | 0.513184 -2.07929 | 2558.99 2653.82
17.1987 -55.678 | -0.305965 -1.16429 | -2173.19 -2235.33
38.552 55.0741 | 0.788596 0.292718 | 2404.44 -3061.37
62.8248 40.4132 | 1.88915 1.63462 | -2426.18 3157.24
-69.9172 -39.7841 | 0.386288 -0.582136 | 49.9171 358.914
-18.3627 55.1376 | -0.419002 0.829468 | -146.701 -528.233
7.32998 26.7305 | -0.0338293 -0.763403 | 302.399 1393.92
75.8049 -4.1583 | 1.88413 -0.962107 | -3381.03 1484.42
-12.9123 -31.6042 | -0.568974 -1.08883 | 15.549 -30.2604
-8.55199 -66.6209 | 0.445634 -0.465134 | 2.04636e-12 -7.7307e-12
-14.9223 74.5565 | 0.268901 2.91414 | 316.64 -4889.29
6.35768 96.9138 | -0.824597 0.799215 | 204.233 5354.14
-17.9805 24.4567 | -0.86061 -0.552454 | 113.662 333.003
28.1224 32.2832 | -0.143827 -0.722386 | 2760.56 -955.572
37.2167 3.7457 | -0.813157 -0.12789 | 384.976 -1180.48
-30.3656 -86.4128 | 0.387467 -1.02128 | -4.54747e-12 1.81899e-12
-9.78966 -0.980059 | -1.13972 0.567053 | -1872.66 -4123.92
13.172 -53.5418 | 0.739387 -1.34186 | -8.99497 171.958
-18.4104 -58.0346 | -0.68161 -0.444604 | 2048.09 -2072.3
-27.216 -23.8051 | 1.70311 -1.05319 | -469.092 -1217.03
0.842611 8.97734 | -0.262382 0.327503 | 2313.14 9795.25
3.04391 49.3087 | -1.07732 -0.30599 | 1499.41 -2219.23
27.7078 9.72576 | 2.32691 -0.0844396 | -170.758 51.6324
5.21981 16.0379 | 0.944888 -0.416035 | -596.962 -1354.89
67.6321 2.46253 | -0.984521 0.154285 | 2372.94 3998.81
34.1208 65.7972 | -0.687747 1.00895 | 15.336 -194.577
-31.3643 -3.50454 | 0.177302 -0.640321 | 3028.43 2276.76
-35.6609 22.9784 | -2.62101 0.720362 | -2588.91 -2561.03
-35.8686 -50.9023 | -1.26743 -1.63054 | -216.204 1323.27
-61.198 -31.1793 | 0.257485 -0.767342 | 2122 7906.95
-57.9219 -25.4001 | -0.211857 -0.0588958 | 4417.21 -19207.2
-48.5094 -42.8038 | -1.50876 -0.9976 | -490.609 -1285.55
-63.1507 -3.49381 | 0.332882 -0.470211 | -585.607 -1689.87
-46.4062 12.0081 | 0.106196 -0.0162363 | 2.7196 -120.537
36.1142 -30.3982 | 1.59759 -1.25111 | -364.558 863.944
22.8725 81.6013 | 0.329581 2.31742 | 6.82121e-13 2.72848e-12
-16.4188 62.4717 | 1.35805 1.66455 | -691.905 291.357
64.8739 -7.53861 | 1.56686 -1.06551 | 264.903 2038.39
49.0445 -10.5564 | 2.42154 -0.506099 | 684.187 -509.971
-11.7573 8.80046 | 1.20207 -0.0355502 | -2022.19 -10042.7
44.4436 45.4037 | 2.2422 1.00683 | -67.2526 -25.5661
-3.62851 44.7067 | -1.49546 0.0824488 | -565.532 -1127.76
22.2695 -21.6381 | 0.197904 -0.0793609 | 1272.61 2286.83
14.8354 -16.7902 | -0.0978913 -0.687299 | 70.8263 -2291.91
61.4968 32.6086 | 0.356898 0.062549 | -17.9621 -62.5921
73.6185 -26.6335 | 0.623083 -0.0782966 | -526.213 -1208.48
-39.7425 -17.8218 | -1.95697 0.656738 | 2320.27 12424.1
-4.95358 95.6572 | -0.198833 1.55422 | -204.233 -5354.14
30.4788 -20.1677 | 1.1904 0.0214341 | -180.242 1461.07
71.6863 -15.3489 | 1.75972 -0.796368 | -592.868 282.192
-17.6658 35.3879 | 1.2659 -0.531098 | 919.119 531.384
-2.70838 6.49368 | -1.02868 2.89107e-05 | 3597.89 6286.45
-61.5586 -0.104842 | -0.361155 -1.0065 | -730.132 1136.8
-83.2172 -24.7154 | 0.0738013 -1.01396 | 855.183 -4096.11
53.8752 20.2522 | 1.46726 1.16051 | -909.121 -221.653
21.5848 35.6304 | 0.114166 -1.4244 | -752.822 -581.137
-6.95731 76.0462 | -0.682683 2.53146 | -82.8416 272.961
70.8523 -28.681 | 1.95076 -0.292458 | -17.1773 116.08
47.775 -1.50072 | 2.97248 0.468077 | -1752.84 4233.49
-37.3047 29.8165 | -1.37429 0.817784 | -10.4205 43.8704
-0.209137 -36.0253 | -1.13069 -0.153336 | 300.127 523.207
22.9064 66.0542 | 0.843878 1.9404 | 298.732 -164.918
-51.3893 13.4051 | -1.40736 -0.488244 | 665.41 -2059.75
-40.3053 60.318 | -0.357181 1.34828 | -932.434 3413.89
38.7272 -7.14762 | -1.77322 0.247464 | 971.571 410.05
-52.5988 -10.5537 | -0.463775 -0.0798371 | -68.0981 -367.729
-64.105 2.13217 | -1.49971 0.439494 | 1573.13 0.91967
-7.11739 31.5379 | 0.679081 0.763636 | -1308.33 4381.29
10.3997 13.7655 | 0.907202 0.444231 | -473.884 -86.1537
-32.8331 11.0577 | -1.95112 0.417746 | -2.67116 -70.121
-47.0701 49.6054 | -2.36472 1.85354 | 335.709 286.303
-81.2239 -16.7892 | 0.101812 -0.695684 | -767.162 3759.78
-46.9041 -58.7651 | -1.28681 -2.393 | 717.209 -1915.11
-44.3845 54.4693 | -0.68178 2.44201 | -712.035 -2289.79
25.6615 37.4059 | 0.731178 -0.37634 | 905.32 379.181
54.7374 54.6042 | -1.28278 0.950077 | 415.129 607.003
33.0461 -23.7135 | -0.557001 -0.291237 | 497.389 3512.08
-3.07505 -17.4956 | 0.235997 -1.04465 | 858.618 3259.31
28.6652 65.5069 | 1.65478 1.05419 | -15.336 194.577
75.592 19.0392 | -0.32118 0.115052 | 125.976 -4053.13
7.35011 -81.9102 | 0.695718 -2.19545 | -4.54747e-13 3.63798e-12
