64.4152 -70.1673 | -0.0465519 0.0216021 | -2.27374e-12 1.63709e-11
-14.4736 22.5103 | -0.0381089 -0.708624 | 3.63798e-12 3.41061e-12
-1.46446 -64.6681 | -0.751689 -0.480672 | 53.0796 533.512
3.38605 87.8777 | 0.171155 0.0597197 | -12.4107 50.5684
-28.0737 45.6442 | -0.117799 -0.227729 | -38.108 152.623
-43.0692 -69.0484 | -0.238626 0.0402682 | -53.0796 -533.512
-70.8462 2.40752 | 0.916443 0.419754 | -8.86757e-12 -9.09495e-13
67.5356 -37.9299 | 0.24216 0.283351 | 3.18323e-12 6.82121e-13
17.5817 71.561 | -0.38908 -0.602365 | -2.27374e-12 -3.18323e-12
-47.0529 83.0006 | -0.30285 -0.0855958 | 7.7307e-12 1.00044e-11
2.86028 2.73293 | -0.173063 0.261684 | 4.09273e-12 0
-12.8222 -20.2223 | -0.0166067 0.47773 | -1.09139e-11 -9.09495e-13
7.49742 38.3879 | -0.623442 -0.128578 | -9.09495e-13 6.36646e-12
60.3709 -44.4716 | 0.360212 0.162382 | -116.136 -1262.84
-91.7744 21.3231 | -0.393095 0.0542928 | 3.63798e-12 -1.00044e-11
43.9892 69.8792 | 0.159997 0.133526 | -1.09139e-11 -5.45697e-12
-40.0068 -26.0569 | -0.180889 0.176339 | -3.18323e-12 -1.81899e-12
-41.823 14.4673 | 0.338839 0.227003 | 43.1815 -256.655
-53.052 58.1832 | -0.391828 0.455711 | 0 -7.7307e-12
-4.03724 57.2254 | 0.0414556 -0.306111 | -307.767 231.497
-43.5579 53.0211 | -0.140859 -0.539565 | 7.27596e-12 -1.00044e-11
35.2947 78.2687 | 0.496149 -0.273091 | 20.0122 -101.879
85.5603 10.7959 | 0.186305 -0.0403825 | 4.09273e-12 -6.0254e-12
-22.6112 39.3673 | 0.386503 0.00114126 | -3.18323e-12 1.00044e-11
-87.3547 -16.9216 | -0.383013 0.354897 | -5.45697e-12 1.81899e-12
35.2506 11.852 | -0.87924 0.236111 | 1.81899e-12 1.00044e-11
65.6488 -57.4419 | 0.27752 -0.0186465 | -1.00044e-11 5.45697e-12
9.98366 -46.1558 | 0.136431 0.204777 | -1.00044e-11 2.50111e-12
-49.8316 21.2053 | -0.308991 0.229568 | -43.1815 256.655
52.4537 -15.5634 | -0.318858 -0.007409 | 0 9.09495e-13
-11.8987 5.5073 | -0.144266 -0.149451 | 4.54747e-12 -5.91172e-12
-29.8545 55.8632 | 0.156031 0.025787 | -6.82952 19.7135
-11.9182 67.2787 | -0.631039 -0.311578 | -2.72848e-12 4.29168e-12
-10.2437 80.0885 | 0.236053 -0.0439344 | 5.45697e-12 -2.27374e-13
-54.5304 38.5675 | 0.243494 -0.959034 | 6.82952 -19.7135
10.5797 -94.4822 | -0.264911 -0.00271097 | -1.81899e-11 -4.09273e-12
-13.264 -32.6536 | -0.0934814 0.286666 | -1.81899e-12 4.77485e-12
-68.8072 -25.2741 | 0.772198 0.342933 | 83.5779 -2108.73
0.73876 52.178 | -0.519437 -0.359419 | 355.108 -312.533
-46.6099 5.24947 | 0.103499 -0.0312075 | 9.09495e-12 3.18323e-12
-11.2973 94.7766 | -0.426534 -0.54905 | 7.27596e-12 -9.32232e-12
-4.20015 -91.7257 | 0.252028 -0.891943 | -1.81899e-12 -5.51381e-12
67.5126 -50.4021 | 0.161996 0.0404962 | -1.40972e-11 -6.82121e-12
-13.7008 -13.2661 | 0.0221634 -0.235345 | -18.06 -20.9907
8.91976 -78.9806 | 0.307454 -0.185907 | 10.5231 48.9109
-42.9971 64.5504 | -0.39554 0.232443 | 7.27596e-12 1.25056e-12
91.9498 21.0833 | 0.518649 -0.0863227 | 1.18234e-11 2.37605e-11
-59.2207 64.151 | 0.447111 -0.234253 | 7.27596e-12 9.09495e-12
33.2431 -62.9481 | 0.107975 -0.171304 | -4.09273e-12 -1.45519e-11
21.7591 -18.4228 | -1.03683 -0.210935 | 64.3427 -21.627
34.6537 57.5484 | 0.47351 -0.537322 | 4.54747e-13 -6.99174e-12
-30.0111 -58.9806 | -0.690011 0.0196142 | -1.45519e-11 -7.27596e-12
34.991 -40.0772 | 0.888941 0.0793516 | 116.136 1262.84
44.8827 63.2836 | 0.460887 -0.0609259 | 8.18545e-12 3.63798e-12
65.5543 40.3566 | 0.1287 -0.369875 | 7.04858e-12 1.81899e-12
-21.563 -10.2477 | 0.25235 0.00739844 | 18.06 20.9907
16.6096 -67.5559 | 0.247626 -0.176674 | -6.9349e-12 3.18323e-12
-45.9549 -44.661 | -0.307399 0.819865 | -1.36424e-12 -2.50111e-12
4.70269 18.4409 | -0.608657 0.23032 | 5.00222e-12 8.79652e-12
4.41718 8.4885 | -0.556396 0.213565 | 3.86535e-12 -9.09495e-13
79.0337 4.74894 | -0.585613 0.129475 | 2.72848e-12 -2.13163e-11
36.3907 -30.7259 | 0.326168 0.242313 | -9.09495e-13 1.0175e-11
8.12188 -71.7694 | -0.00167868 0.241787 | -4.09273e-12 -6.82121e-12
-7.79554 70.7795 | 0.100073 0.158457 | -3.63798e-12 5.34328e-12
-73.5699 -59.9134 | -0.191442 0.333843 | 6.36646e-12 1.31877e-11
-75.214 -46.0309 | -1.06163 -0.093197 | -4.54747e-13 -4.54747e-12
-35.2682 80.5233 | -0.982791 0.326132 | 1.45519e-11 -7.3328e-12
65.4853 -20.0739 | -0.345404 0.489687 | -818.331 2070.55
-70.0143 37.1012 | -0.182287 -0.043711 | -1.13687e-12 5.31486e-12
-13.4689 -81.1702 | 0.37072 -0.148607 | 1.54614e-11 -1.36424e-12
19.2451 90.2568 | 0.226792 0.492476 | 1.26202 1.47704
-56.8744 -21.2373 | 0.449056 0.223074 | -83.5779 2108.73
6.17236 25.8541 | -0.687797 -0.877624 | -4.54747e-13 -1.31877e-11
-13.8414 -6.88706 | -0.342909 -0.504403 | 7.53175e-13 5.45697e-12
50.3852 -25.3304 | -0.809862 0.0952986 | -6.36646e-12 1.3074e-11
22.4145 47.1073 | 0.632758 -0.259167 | -6.82121e-13 5.00222e-12
-7.7736 -27.3417 | -0.107827 0.445884 | -7.95808e-12 6.25278e-13
13.3667 -80.2592 | 0.863297 0.129423 | -353.795 894.403
44.5524 -2.42183 | 0.339751 0.439273 | -9.09495e-12 1.81899e-11
-4.14113 -40.7606 | -0.146521 0.245895 | 1.81899e-12 3.63798e-12
55.8809 2.92144 | 0.0808219 0.0822034 | -9.09495e-12 -7.27596e-12
-65.8884 27.2954 | -0.660803 0.0154729 | -7.27596e-12 -7.27596e-12
-7.78371 -60.6003 | -0.767285 0.617111 | 104.136 -196.268
-89.9844 1.82504 | 0.580572 -0.604413 | -1.36424e-12 2.00089e-11
-6.17125 85.9754 | -0.0964099 0.0231258 | 11.1487 -52.0454
59.9403 54.1179 | -0.0442055 -0.295874 | 8.18545e-12 -1.7053e-12
65.3413 18.8676 | 0.136156 0.361278 | -9.54969e-12 1.39835e-11
51.1617 15.9536 | -0.417445 -0.118402 | 3.18323e-12 4.54747e-13
-48.2257 -54.9953 | 0.785006 0.0885819 | 7.27596e-12 -1.81899e-12
14.4003 -14.3744 | -0.36964 0.89871 | -64.3427 21.627
-54.5068 -40.9677 | -0.250346 -0.0490361 | 1.86446e-11 -5.68434e-12
20.6231 -54.1989 | 0.0327716 0.417014 | -104.136 196.268
41.9153 81.4792 | 0.39728 -0.238314 | -20.0122 101.879
86.774 -23.33 | -0.757485 -0.454978 | 818.331 -2070.55
-58.968 0.287568 | 0.113777 -0.239306 | -1.09139e-11 3.97904e-12
-43.7828 -74.1287 | -0.0337103 0.247892 | 5.15854e-12 5.45697e-12
-23.7833 32.2623 | 0.133445 0.400443 | -8.6402e-12 -4.54747e-12
-25.3726 2.33062 | 0.202805 0.255956 | 6.36646e-12 0
23.7454 -86.4579 | 0.5056 0.0660893 | 343.271 -943.314
-42.3756 36.0892 | -0.0445041 -0.53784 | -9.23387 -71.587
