-56.7254 -34.5073 | 0.111279 0.199983 | -1.81899e-12 -4.09273e-12
47.6428 -72.4156 | 0.460883 0.331557 | 727.103 -1404.88
2.46139 61.8719 | 0.312016 -0.685642 | 1.81899e-12 -2.72848e-12
-12.0458 -13.0728 | 0.45353 0.0269964 | 265.079 1119.26
-51.6882 3.94308 | 0.0211214 0.25044 | -179.265 -157.473
-48.7405 37.6858 | -0.981335 0.280436 | -3607.51 3352.36
58.7371 29.24 | -0.117222 -0.0790281 | -24.3674 85.3553
7.74739 29.4516 | -0.116779 -0.0215707 | -61.5366 163.624
-84.8792 13.7932 | 0.00207727 -0.181562 | 652.484 393.267
-77.4162 5.17127 | 0.254117 -0.515008 | 1.93268e-12 7.7307e-12
7.27482 -52.6022 | 0.235838 0.171344 | 2.95586e-12 6.36646e-12
6.57729 -41.7582 | 0.390264 0.568118 | 182.778 -524.702
52.9779 24.356 | 0.194972 0.183235 | -159.354 1435.98
-17.1805 -85.6067 | -0.173862 0.479382 | 10.5483 63.481
-14.4201 -66.9856 | -0.145507 0.00155446 | -8.83665 -90.5573
-84.3765 5.84613 | 0.343721 0.079457 | -12.6415 50.8821
2.27898 -54.4081 | 0.458531 0.415928 | -3.18323e-12 -1.64846e-12
40.1099 52.0068 | -0.0659145 0.0279941 | 4.54747e-12 1.18234e-11
-45.6128 46.7832 | -0.409965 -0.0893319 | -272.115 -1777.49
50.2312 -23.0425 | -0.058323 -0.289095 | -9.09495e-12 -4.54747e-12
40.8708 -51.4451 | -0.0182513 0.47604 | 204.422 -655.874
35.6201 -77.4904 | 0.0385448 0.190465 | -1533.75 -1866.69
29.1144 70.779 | 0.283377 -0.119684 | 9.09495e-13 2.27374e-12
-16.0429 -18.8639 | 0.420121 0.239682 | 1.09139e-11 0
72.4174 -26.5317 | 0.392622 0.204332 | 829.802 885.458
-54.636 50.0244 | -0.748349 0.203898 | 8.86757e-12 -1.81899e-12
-14.9677 -36.1021 | -0.148315 0.113453 | 1.45519e-11 -3.63798e-12
71.7775 -12.2538 | -0.102508 0.21052 | 1.09139e-11 -3.41061e-12
19.8565 -52.4035 | 0.0414587 0.338143 | -290.89 715.782
-43.6376 73.8588 | -0.121186 -0.432233 | -3.48166e-12 -8.18545e-12
38.8128 -14.8168 | -0.196818 0.591095 | -471.638 1516.61
-55.9842 71.3221 | 0.294592 0.465827 | 2.00089e-11 1.13687e-11
-1.8603 26.4264 | -0.359858 0.480167 | 61.5366 -163.624
31.6457 30.7937 | 0.455003 -0.520338 | -1587.5 -2491.09
-84.3723 26.1117 | -0.198285 0.628561 | 0 -1.72804e-11
50.4473 -68.2294 | 0.620098 -0.194355 | 91.8647 135.036
21.2663 -69.8491 | 0.158408 0.232603 | 2548.94 822.514
58.3613 49.1769 | 0.0943957 0.042658 | 3.63798e-12 -2.27374e-12
54.6617 34.4493 | -0.292029 0.42286 | 62.3352 -316.992
-61.0615 -53.1009 | 0.587192 -0.22528 | 1.31877e-11 1.31877e-11
-3.27965 72.361 | 0.610579 -0.293029 | 3.63798e-12 0
5.30047 37.5362 | 0.14846 -0.457027 | 192.794 153.127
71.6846 -2.24831 | 0.619681 -0.145082 | -7.27596e-12 2.72848e-12
-4.4405 -39.8178 | 0.306666 -0.33462 | -9.41044 48.9582
-9.56257 -79.0481 | 0.882654 0.554785 | 491.81 1490.44
7.30301 80.3136 | 0.12966 0.0501558 | -1.81899e-11 3.63798e-12
38.4327 88.8824 | 0.267183 -0.723985 | 5.82077e-11 1.09139e-11
-21.8359 33.6488 | -0.325468 0.345599 | 16.0744 -28.7996
19.0278 41.1221 | 0.0961312 0.262236 | -548.757 -100.336
16.0456 -3.13643 | 0.240503 -0.117939 | -1.81899e-12 6.99174e-12
-20.7183 -88.5141 | 0.375415 -0.43137 | 80.1252 38.2565
-8.45471 -8.16905 | 0.242074 -0.00854125 | -0.9921 -351.408
11.7489 -64.9081 | -0.417754 0.171473 | -1764 2597.47
-16.6874 -71.935 | -0.894168 -0.550956 | 2.00089e-11 -6.36646e-12
-38.2091 -33.6479 | 0.240361 0.350662 | 1.81899e-12 7.7307e-12
-6.4723 13.4734 | -0.0784349 0.433792 | -5.91172e-12 -3.18323e-12
22.1994 60.6885 | 0.429693 0.448957 | 5.91172e-12 5.79803e-12
16.0706 13.2385 | -0.13732 -0.0630918 | -366.434 1146.24
0.398991 22.4334 | 0.23608 0.269362 | 63.1164 -121.607
55.8136 -0.324197 | -0.232569 -0.240743 | -14.5182 -63.7762
45.0265 59.8588 | -0.197039 -0.0380508 | -9.09495e-13 6.36646e-12
-23.9085 -6.65185 | -0.270737 -0.438952 | 125.901 312.03
-60.3444 24.3138 | -0.344385 0.090056 | -296.8 418.366
-14.5191 -61.8065 | -0.131503 0.564135 | 1.81899e-12 -3.63798e-12
-56.1176 -43.0793 | 0.456382 -0.327584 | 14.7045 86.6994
-61.349 -38.8594 | 0.599759 -0.184417 | 1171.65 3338.19
-48.2595 -54.7457 | 0.778094 -0.260335 | 958.945 -582.964
-54.6691 -6.52436 | 0.0126311 0.324796 | -6.64185 -385.065
-59.2087 5.58007 | -0.242382 -0.308282 | -381.438 132.317
42.716 -44.8102 | -0.257266 0.181661 | 9.09495e-12 2.27374e-12
42.4357 78.3249 | 0.539816 -0.0319475 | -1.09139e-11 -9.09495e-13
-2.01783 78.611 | 0.630634 -0.153837 | 1652.87 1941.22
69.5001 -9.63642 | -0.210877 0.16717 | -11.985 -91.9856
80.2601 -13.019 | 0.30028 0.228983 | 0 4.43379e-12
-19.1144 11.0188 | -0.161905 0.409207 | 176.644 -119.156
36.9339 48.1749 | 0.357084 0.209145 | -302.718 -346.42
-9.9118 62.6458 | 0.219246 -0.203172 | 6.62936e-12 -4.54747e-12
38.0707 -34.2641 | 0.502159 0.731309 | 22.3128 55.4926
26.1111 -29.5073 | 0.290388 0.687662 | -3.98209 2.59044
52.1578 27.922 | -0.139441 -0.449169 | 1367.03 2373.87
79.9305 -31.6989 | 0.13379 -0.268316 | -52.3195 21.6055
-53.8913 -26.699 | 0.0949495 0.160085 | 3.18323e-12 -1.36424e-12
26.1312 90.8134 | 0.0930804 0.277462 | 2285.39 2846.78
47.1616 -30.9501 | 0.0714854 -0.0988369 | -590.328 -1207.05
78.2821 -19.2448 | -0.00210207 -0.526802 | 1.81899e-12 -9.09495e-13
-24.9125 46.669 | -0.516484 -0.909612 | -2.72848e-12 -3.63798e-12
-9.32842 8.1073 | 0.329183 0.108713 | 8.6402e-12 7.7307e-12
-69.5307 -11.2411 | 0.618382 -0.151864 | -15.3417 423.073
-69.8012 -29.8513 | 0.352046 -0.502579 | 1.00044e-11 -9.09495e-13
33.9058 18.624 | 0.0298714 0.227675 | 0 3.12639e-12
15.1143 48.0334 | 0.147705 -0.367792 | -4.59736 -3.06768
14.3554 81.7599 | 0.169691 0.546154 | 3.63798e-12 4.54747e-12
77.1512 -37.2553 | 0.481857 0.522502 | 353.774 313.719
50.3329 -9.1871 | -0.12964 -0.0143557 | 0 -5.20117e-12
-43.4655 33.2637 | -0.212781 0.0621542 | -16.0744 28.7996
8.76443 -45.4529 | 0.0226006 0.0446448 | 7.27596e-12 3.63798e-12
40.2831 64.9036 | -0.243951 -0.186052 | 1.27329e-11 6.36646e-12
-60.7637 7.58419 | 0.24744 0.731235 | 17.4936 -503.896
-24.561 71.9743 | 0.347462 -0.468778 | -5.45697e-12 7.21911e-12
31.1061 -23.1353 | 0.00090509 0.56106 | 23.9225 -52.8397
-49.1129 -13.9622 | 0.945694 0.380941 | -276.929 -764.672
-76.6337 -11.9232 | -0.456493 -0.273063 | 13.8723 -7.04167
-13.3645 42.7517 | -0.555265 -0.0510129 | -558.966 945.873
4.33167 18.3457 | 0.362988 0.386489 | -1299.95 2604.72
-14.9412 23.2002 | -0.641309 0.77205 | -63.1164 121.607
-60.8552 52.8241 | 0.0198998 -0.355291 | 545.913 -294.401
