23.1045 26.1144 | -0.10142 -0.0731009 | 0 0
43.6644 -50.4441 | 0.563492 -0.971933 | -9.54969e-12 -3.18323e-12
-8.59461 -38.5723 | -0.842096 0.326123 | -2.72848e-12 -2.27374e-12
-12.2199 73.4502 | 0.497387 -0.122159 | -9.09495e-12 -5.45697e-12
44.6819 25.3568 | -0.120171 -0.206096 | 3.66016 -25.2904
-44.5495 79.4417 | 0.29015 -0.076685 | 1.36424e-12 2.27374e-12
-56.5697 76.7298 | -0.105629 -0.266791 | 7.27596e-12 -2.09184e-11
-38.5194 76.9482 | 0.0863559 -0.504271 | -5.45697e-12 0
-17.5114 2.78553 | 0.0137294 -0.406957 | 27.0305 112.805
46.6166 76.1233 | 0.0517998 -0.0983745 | -397.186 -272.477
-50.996 -42.699 | -0.232597 0.245799 | -11.169 31.6585
50.6762 44.3934 | -0.323412 -0.693112 | -3.66016 25.2904
87.5261 40.0983 | 0.410788 -0.313431 | -5.68434e-14 -2.72848e-11
13.1579 -21.2319 | 0.370543 0.0894666 | 61.5792 179.181
-24.8118 -80.8512 | -0.753123 -0.375584 | 604.871 -1397.42
-19.8933 21.4288 | 0.223703 0.171412 | -6.36646e-12 -1.81899e-12
76.452 10.8307 | -0.369677 0.389256 | 44.8165 51.5299
11.6812 67.3841 | -0.679725 0.0584267 | 6.82121e-12 1.13687e-12
80.5031 -13.0087 | 0.186348 0.830056 | 128.472 -114.273
19.185 49.1339 | -0.303336 0.422212 | 9.80007 -51.0032
1.73948 -31.5063 | 0.153155 0.54819 | -668.486 1946.4
53.5262 23.3074 | 0.0113441 -0.411587 | -3.06954e-12 -3.63798e-12
64.5992 49.1962 | 0.0167903 -1.16659 | 9.09495e-13 8.3844e-13
-31.5866 44.8999 | 0.335818 -0.523692 | -404.977 -74.6518
67.6072 28.2068 | -0.353412 -0.291058 | 3.63798e-12 -1.36424e-12
-14.1982 22.7672 | 0.410343 -0.331824 | -1.36424e-12 -9.54969e-12
37.2724 56.8536 | -0.269946 -0.154741 | -9.80007 51.0032
79.2329 -22.9275 | 0.572175 -0.38911 | -3.63798e-12 -1.02318e-12
30.3238 7.61306 | -0.594583 0.131245 | 2.09184e-11 1.09139e-11
38.8259 -43.7576 | -0.754509 -0.555774 | -1.81899e-12 9.09495e-13
-68.2784 20.2055 | 0.139379 0.355481 | -7.27596e-12 -2.27374e-12
26.7021 66.4862 | 0.325202 0.186111 | 7.27596e-12 1.13687e-12
-70.5803 33.8258 | 0.235381 0.0649407 | -328.335 -228.999
-76.1917 11.0334 | 0.111596 -0.426256 | 1.45519e-11 -2.27374e-12
36.6697 -72.5718 | 0.395787 0.218208 | 7.84439e-12 5.45697e-12
-21.5668 -50.1171 | -0.115486 -0.205298 | 11.045 26.7566
61.0299 -11.9865 | -0.265594 -0.203555 | -2071.91 3279.78
25.158 82.5721 | 0.363625 -0.202114 | -1.09139e-11 3.63798e-12
-19.1791 -72.0419 | 0.578078 0.0982243 | 5.45697e-12 -3.86535e-12
-38.3167 41.9195 | 0.430874 -0.639087 | -3.18323e-12 -7.50333e-12
-18.4015 8.70804 | 0.235856 0.254765 | 2.72848e-12 1.36424e-12
8.59558 -93.153 | 0.00339494 -0.744583 | -3.63798e-12 -1.31877e-11
13.7417 21.7293 | 0.348257 -0.145968 | -1.81899e-12 6.36646e-12
-66.2225 -20.6201 | -0.231068 0.0609691 | -9.09495e-13 -1.81899e-12
-42.7311 11.6861 | 0.411115 0.0297626 | -3.63798e-12 9.09495e-13
-27.5869 -25.1928 | -0.456131 0.48105 | 130.698 20.7766
8.32483 72.4776 | 0.241776 0.165368 | 9.09495e-13 9.09495e-13
71.5052 -42.8773 | 0.0929694 -0.219265 | -5.45697e-12 -6.36646e-12
82.0658 30.1109 | 0.287009 -0.254988 | -7.04858e-12 1.63709e-11
21.8312 -4.74725 | 0.0324308 -0.309355 | 2.50111e-12 1.36424e-12
74.9929 16.8061 | -0.0910692 -0.281103 | 2.11458e-11 -5.45697e-12
18.3178 92.9688 | -0.46252 0.131277 | -5.00222e-12 9.09495e-12
-3.94048 -57.953 | -0.263203 -0.697217 | -3.41061e-13 -3.18323e-12
-5.47235 87.0191 | -0.910495 0.446424 | 8.6402e-12 4.09273e-12
-61.0074 0.750648 | 0.109604 -0.162155 | -4.54747e-12 1.81899e-12
21.4382 -87.2491 | 0.3462 0.866574 | -2.72848e-12 -1.81899e-12
-59.2586 -35.6401 | 0.128832 0.113113 | 1.36424e-12 6.82121e-12
-11.6436 45.5978 | -0.261334 0.0118683 | 404.977 74.6518
-25.208 73.2032 | -0.594299 0.21921 | 6.36646e-12 6.36646e-12
-9.0193 -84.677 | -0.54994 0.420813 | 4.54747e-12 3.86535e-12
69.3555 -2.7072 | 0.086856 0.35724 | -44.8165 -51.5299
50.3452 68.7283 | -0.29744 -0.456191 | 7.7307e-12 0
-67.9397 -44.4543 | -0.129452 -0.27477 | 11.169 -31.6585
-79.9945 26.6215 | 0.155964 0.0305938 | 2.18279e-11 -1.81899e-12
-39.1469 -88.6946 | 0.0573898 -0.683216 | -4.54747e-12 3.63798e-12
30.0821 -10.7884 | 0.102009 0.504596 | -2.25411 13.3381
37.237 -39.9604 | -0.215834 0.475948 | 1.61435e-11 0
-51.2011 60.6493 | 0.460441 -0.37011 | 2.27374e-12 1.27329e-11
-49.7069 -72.0877 | 0.37089 -0.400947 | -604.871 1397.42
-56.2144 -54.3432 | 0.104445 -0.270877 | 51.212 810.366
11.4577 -48.189 | 0.0476374 0.226495 | -49.6477 621.48
11.6847 -50.5201 | 0.0955273 0.436966 | -862.142 1455.46
-49.6958 -49.6642 | 0.0930111 -0.233683 | 3.63798e-12 -4.3201e-12
-58.2216 -7.96017 | 0.330716 0.137272 | 2.09184e-11 7.27596e-12
42.5827 -75.4092 | 0.112954 0.635162 | -1.22782e-11 4.3201e-12
26.2253 -57.5443 | -0.259201 0.241023 | 911.79 -2076.94
25.7468 -35.3687 | 0.321268 -0.795652 | 685.326 -1991.86
12.4665 53.0533 | -0.482051 0.298617 | 9.09495e-12 -7.27596e-12
-38.3871 -60.375 | -0.14515 0.146804 | -62.257 -837.123
53.0013 2.65857 | -0.101696 0.148799 | -3.41061e-12 -3.86535e-12
54.0609 -35.6585 | -0.177014 -0.150145 | 5.45697e-12 5.6275e-12
15.0442 33.97 | -0.47558 -0.0713758 | 1.18234e-11 -3.18323e-12
48.4216 -22.173 | 0.112176 -0.30311 | 1943.44 -3165.5
7.49041 -12.7901 | 0.198474 -0.00310589 | 2.25411 -13.3381
68.5549 -23.1843 | 0.0874949 0.514541 | -2.72848e-12 1.81899e-12
-6.35256 -18.218 | 0.0220642 -0.129427 | 38.5234 569.878
-29.9411 22.2769 | 0.382774 -0.487704 | -5.00222e-12 1.36424e-12
69.4352 60.8475 | -0.459246 -0.542112 | 397.186 272.477
-40.2583 -7.11015 | 0.0144828 0.0162968 | -5.00222e-12 9.09495e-13
60.132 -74.5514 | -0.228511 -0.331418 | -3.41061e-12 1.27329e-11
76.9505 -53.6632 | 0.850952 0.177629 | 3.63798e-12 -1.77351e-11
-9.8914 -27.5084 | 0.654117 0.22882 | -116.942 -703.596
-51.4317 16.4597 | 0.36419 -0.161013 | 328.335 228.999
