-3.27867 -61.7124 | -0.288669 0.298582 | 5.45697e-12 5.45697e-12
-15.5493 64.3098 | 0.0117094 -0.21911 | -7.27596e-12 -3.63798e-12
32.8997 -21.329 | 0.176978 -0.158891 | 4.77485e-12 0
-67.2287 -35.0546 | 0.763097 0.447716 | -63.137 59.1965
-25.613 -45.148 | 0.376485 -0.203766 | 35.1202 57.031
-11.7411 -86.8338 | 0.103134 -0.146462 | 108.127 132.861
50.5458 -2.51024 | -0.024181 -0.238132 | 25.7609 97.4311
-9.32849 -32.7675 | 0.690604 0.48571 | 6.82121e-12 9.89075e-12
57.5772 64.7071 | 0.946562 -0.0634373 | -1.27329e-11 1.36424e-12
-49.5158 9.69668 | 0.275049 0.26334 | 84.4503 -289.062
29.9874 86.997 | 0.358145 -0.0196343 | -84.5696 222.326
-8.41495 5.09324 | -0.0502157 -0.0161537 | -113.766 126.943
1.60535 -65.1836 | 0.135786 -0.0261873 | 2.95586e-12 -6.70752e-12
-85.0434 14.4523 | 0.525524 -0.0129985 | 7.50333e-12 -7.04858e-12
21.8362 84.8211 | 0.0758915 -0.0848669 | 84.5696 -222.326
-67.8605 28.5594 | -0.187647 -0.76652 | 300.6 -967.623
-69.7157 -16.8229 | 0.620814 -0.0764949 | -4.54747e-12 1.04592e-11
-4.40668 50.7963 | 0.45815 0.434801 | 7.7307e-12 -6.82121e-13
67.5904 32.3537 | 0.24416 -0.376988 | 971.138 1256.11
85.975 -23.1669 | -0.309327 -0.157811 | -3.57758e-12 -7.27596e-12
34.7192 -9.41725 | -0.69814 -0.125193 | 1121.26 -1048.71
-28.9863 -23.3849 | 0.0212587 0.978808 | -1.27329e-11 2.38742e-12
49.8694 29.0388 | 0.0613548 0.386768 | -42.3537 188.201
20.088 -24.9607 | -1.14637 -0.363938 | -7.27596e-12 -1.32161e-12
29.9149 -51.6239 | -0.159931 -0.34706 | 5.45697e-12 -4.54747e-12
-9.5273 -51.0477 | -0.176321 -0.039558 | -9.09495e-13 1.84741e-12
-55.7977 -10.9705 | -0.0200174 0.266581 | 7.27596e-12 -1.27329e-11
-74.2926 39.7507 | 0.762742 -0.158016 | 1.09139e-11 -1.81899e-12
6.21243 -45.0236 | 0.205038 0.0618849 | -3.41061e-12 1.81899e-12
55.7032 -18.6151 | -0.539999 -0.133132 | 14.1984 -193.653
26.3188 -58.5437 | -0.171707 -0.190822 | 4.54747e-12 2.27374e-12
-92.6869 12.4439 | 0.376256 0.170126 | 0 -7.27596e-12
