22.5719 26.1949 | -0.352355 -0.0369259 | -1.81899e-12 -1.81899e-12
44.8402 -52.3297 | 0.657839 -0.876251 | 1016.48 793.93
-10.2788 -37.9201 | -0.842131 0.325986 | -5.04841 -19.8975
-11.1289 73.6143 | 0.646315 0.1917 | -6.0254e-12 -3.63798e-12
44.9195 24.4956 | 0.254608 -0.373315 | -1.36424e-12 9.09495e-12
-43.9909 79.4536 | 0.256445 0.171312 | 7.27596e-12 -3.63798e-12
-56.7809 76.1963 | -0.105629 -0.266791 | -1.27329e-11 3.63798e-12
-38.8955 76.1815 | -0.312118 -0.427748 | -2.00089e-11 -5.45697e-12
-17.8928 1.90299 | -0.148336 -0.437287 | -1.81899e-12 9.09495e-13
46.2539 75.4865 | -0.185804 -0.291321 | -7.7307e-12 7.27596e-12
-51.444 -42.1858 | -0.104463 0.385075 | -217.843 -906.544
49.6493 43.3138 | -0.592993 -0.548631 | 4.09273e-12 -1.04592e-11
87.8254 39.4864 | -0.395876 -0.451877 | -4.54747e-12 -1.45519e-11
13.8493 -21.1355 | 0.343969 -0.131478 | 4.54747e-12 2.72848e-12
-26.2295 -81.8381 | -0.687884 0.0276662 | 0 -2.72848e-12
-19.8503 21.4576 | -0.0885979 -0.0732118 | -1.22782e-11 -1.81899e-12
76.1775 11.181 | -0.00190548 0.0999361 | -161.32 121.38
10.8313 66.8046 | -0.381638 -0.347896 | 2.72848e-12 6.36646e-12
81.5486 -11.5431 | 0.643755 0.551954 | 161.32 -121.38
18.9013 49.1113 | -0.0275316 -0.260079 | -2.6148e-12 0
2.34558 -30.8564 | 0.535687 -0.0209303 | -4.54747e-12 -5.00222e-12
53.4367 22.6049 | -0.159377 -0.228752 | -5.45697e-12 1.25056e-11
64.809 46.9393 | -0.030678 -1.3183 | 0 -5.68434e-12
-31.0457 43.9781 | 0.365426 -0.417514 | 42.0924 9.95126
67.1837 27.7912 | -0.263624 -0.352329 | -1.81899e-12 -4.54747e-12
-12.9993 22.3689 | 0.664522 -0.19909 | -0.53035 -4.09362
36.6357 56.9654 | -0.328488 0.103823 | 0 -9.09495e-13
80.3335 -23.1239 | 0.559129 0.0164401 | 10.3862 -11.6056
29.2799 7.5365 | -0.5307 0.0913755 | 1.3817 96.0195
37.3839 -44.5785 | -0.673077 -0.213514 | -2.72848e-12 -2.72848e-12
-67.8 20.5568 | 0.332689 0.0953668 | -8.69704e-12 -6.82121e-12
27.3229 66.729 | 0.24432 0.0478213 | 1.81899e-12 -2.27374e-13
-70.1717 33.9502 | 0.233774 0.0865142 | -5.13722e-12 -1.81899e-12
-75.8278 10.3725 | 0.188574 -0.321433 | 7.95808e-12 -2.72848e-12
37.402 -72.0887 | 0.271321 0.315806 | 7.27596e-12 -1.81899e-12
-21.789 -50.5096 | -0.11491 -0.197748 | 273.915 964.369
60.4497 -12.312 | -0.290201 -0.162584 | -8.41283e-12 5.45697e-12
25.9673 82.5999 | 0.356267 0.118973 | -108.526 137.882
-18.2012 -71.6664 | 0.427837 0.254605 | -8.18545e-12 1.81899e-12
