40.7288 23.9847 | 0.142298 -0.335158 | -5.45697e-12 0
-36.6173 -86.982 | 0.12199 -0.212226 | -1.45519e-11 0
-25.3873 -22.2242 | -0.0741141 -0.324764 | -193.39 50.7559
30.3161 48.954 | 0.0298563 -0.154208 | -177.971 -226.965
24.4413 5.08408 | -0.0442973 0.127726 | 7.49691 9.74757
39.7613 -25.2958 | 0.355043 -0.509221 | 72.8086 -107.448
-29.0915 62.2314 | 0.198686 -0.319522 | -246.503 -982.997
-62.2068 43.2949 | -0.501259 -0.26067 | -3373.86 4609.25
38.4243 -1.09478 | -0.27787 0.463731 | 617.318 -1802.78
-13.6298 -0.0984873 | 0.116042 0.239559 | 585.653 -1136.66
71.3092 -44.2455 | -0.688414 -0.0520087 | 2.55452 11.029
-11.7558 -64.5269 | 0.147221 -0.160204 | -3.63798e-12 -5.91172e-12
-54.1474 -30.6768 | -0.485773 0.375855 | -5265.64 -4141.75
-50.1583 -45.7565 | -0.453814 0.0301443 | 824.969 1293.93
-47.1014 35.6659 | -0.634439 -0.298524 | -292.301 1575.56
7.73879 73.8715 | 0.177437 -0.133281 | 32.1099 -466.317
-14.8803 -56.4587 | 0.396573 0.410514 | 815.895 -3135.6
-66.5424 -49.3789 | -0.674923 0.0958301 | -9.09495e-12 1.06866e-11
-1.88743 -51.1539 | -0.397577 -0.527588 | -643.549 -718.211
-36.7312 -65.0723 | -0.218928 -0.226875 | -9.09495e-12 -7.7307e-12
-36.2622 51.4949 | 0.144926 -0.120541 | -4.54747e-13 -6.82121e-13
29.8565 -31.0867 | 0.388653 -0.155781 | 180.98 913.074
-51.0341 -56.3499 | 0.105551 0.398833 | -579.176 607.499
54.7609 32.6714 | 0.229382 0.24206 | -28.824 440.222
-30.6558 -30.1407 | -0.373853 -0.314892 | -154.017 4262.68
-66.2173 -6.78562 | -0.087416 0.683934 | 106.395 -176.185
-40.4236 -35.422 | 0.689333 -0.109681 | -800.345 1839.18
34.5545 -66.1337 | 0.213065 0.380097 | -146.509 498.885
37.2144 18.6355 | 0.164557 -0.293367 | -6.36646e-12 4.77485e-12
22.3729 -69.1267 | 0.272843 -0.0392136 | 143.816 -490.381
10.8096 55.1521 | -0.118862 -0.0108742 | -7.27596e-12 1.00044e-11
-54.3619 53.5296 | -0.741445 0.019217 | -2.81943e-11 9.09495e-13
29.6366 66.9135 | 0.072268 0.402689 | -1.81899e-12 -4.54747e-12
-46.676 61.2724 | -0.0420663 -0.401315 | 1.81899e-12 -1.11413e-11
8.94989 71.7172 | 0.385596 -0.333683 | 1460.85 -1514.87
24.7453 46.7243 | 0.3994 -0.255845 | -116.533 183.395
-17.1684 72.5677 | 0.0636116 0.169968 | -8.75725 -30.9454
36.1218 64.7557 | -0.0206711 0.227239 | -2.72848e-12 5.45697e-12
17.5118 41.5237 | -0.122588 0.0236357 | 8.18545e-12 3.63798e-12
-20.4556 26.9753 | 0.291735 -0.22124 | -16.6527 38.0155
-30.528 84.767 | -0.229996 0.14478 | -3.63798e-12 -1.45519e-11
-29.6493 20.464 | -0.832025 0.0170493 | -362.222 -1076.71
38.4701 -6.1124 | 0.638751 -0.380149 | 7.27596e-12 1.36424e-12
90.1913 -27.2497 | -0.158318 -0.278942 | 103.193 260.867
-47.0958 -12.7265 | -0.124685 -0.2405 | 1.61435e-11 1.81899e-12
54.4132 -34.226 | -0.574287 0.360393 | 55.0141 202.419
1.57879 -9.63182 | -0.505445 0.258871 | 0.200293 0.669726
34.7963 -55.9375 | -0.493818 -0.48189 | 215.578 -204.961
6.79643 -24.5062 | 0.130921 -0.942136 | 9.09495e-12 -3.63798e-12
41.8516 25.6985 | 0.0474908 0.154373 | -384.874 -529.368
-7.86016 91.2474 | 0.311483 -0.155997 | 390.524 2097.82
-55.172 -20.0704 | -0.00462681 -0.12501 | 73.706 -809.573
-34.826 8.45669 | 0.20514 -0.0510772 | -117.175 -1037.24
-15.5575 17.431 | -0.2834 -0.0272478 | 123.208 800.136
-28.2264 -17.0412 | -0.369059 -0.126063 | -23.9485 40.0517
-56.1458 -47.7699 | -0.173591 -0.00175319 | -829.486 -1159.61
25.0892 -24.1255 | -0.0676623 0.00924199 | 3.63798e-12 6.36646e-12
-44.4708 18.6247 | -0.249762 -0.188113 | 421.906 1004.81
-29.0855 54.9834 | 0.115945 0.242868 | 28.581 448.552
-12.5824 -23.7206 | 0.178607 -0.415618 | -39.6734 -126.005
6.67133 83.2581 | -0.167707 -0.352069 | -1.09139e-11 8.18545e-12
61.6664 -15.6769 | -0.201561 0.240701 | -484.227 -745.313
11.2222 -38.4644 | 0.350601 -0.187667 | 2.27374e-12 4.09273e-12
33.4915 2.32727 | -0.158015 0.41359 | -624.815 1793.03
-0.0857834 37.686 | 0.314883 -0.299318 | -5.40012e-12 5.00222e-12
44.0958 -11.3836 | 0.402805 -0.292001 | 484.227 745.313
9.0051 -92.1657 | 0.300112 0.644651 | -7.27596e-12 -1.81899e-12
-52.3112 -24.5138 | 0.0835652 0.864778 | 2.50111e-12 4.54747e-12
-56.0833 -43.4021 | -0.339366 0.527427 | -7.27596e-12 5.45697e-12
53.2524 6.60814 | -0.127319 0.690573 | -27.5126 -22.0084
-34.4783 -84.795 | 0.199133 0.196139 | 1.27329e-11 2.84217e-12
-20.4629 -61.4206 | 0.352666 -0.615745 | -9.09495e-13 -5.45697e-12
-27.7679 -58.5505 | 0.14595 0.257283 | 518.672 -725.05
-16.5519 -12.6425 | -0.222548 0.0904314 | -0.200293 -0.669726
68.8031 25.9861 | 0.063538 -0.409306 | -7.27596e-12 -8.6402e-12
46.766 36.6498 | 0.529693 0.617079 | -320.192 -423.775
71.3475 21.084 | 0.397819 -0.239775 | 384.874 529.368
-67.0524 49.1307 | -0.272416 -0.297171 | -62.3767 184.794
-42.8053 9.20933 | 0.158352 0.661336 | 776.807 -558.135
-58.5297 -32.9142 | 0.274732 -0.0244374 | 759.131 -1730.63
-25.9713 -27.8409 | 0.199983 -0.147814 | 424.291 718.337
52.5194 -25.462 | -0.381948 -0.0790148 | 572.261 1317.05
-21.131 -33.0296 | -0.460689 -0.14856 | 4995.37 -839.274
-64.6501 23.8393 | -0.657621 -0.181373 | -102.476 926.908
56.083 52.0179 | 0.452937 0.296538 | -205.952 912.722
-25.7044 25.0221 | -0.0803441 0.157905 | -43.0312 33.8799
