63.0525 -67.8659 | 0.261707 -0.0762684 | -3.9222e-12 -4.54747e-13
-13.9279 20.289 | 0.0680596 -0.970444 | -11.5492 -129.534
-5.94413 -63.6972 | -0.31936 0.517502 | 8.18545e-12 -9.09495e-13
3.39799 89.075 | -0.0486565 -0.170746 | 1.13687e-12 -5.45697e-12
-29.245 46.0126 | -0.0156802 -0.05934 | -602.784 381.558
-46.7915 -69.3867 | -0.479761 0.0406805 | 1.7053e-12 7.7307e-12
-67.5293 3.80762 | -0.133301 0.412793 | 3.18323e-12 2.27374e-12
67.054 -34.9073 | -0.17559 0.400222 | -3.63798e-12 5.45697e-12
19.1545 72.7348 | 0.39785 0.0165664 | -2.95586e-12 7.50333e-12
-50.684 80.8872 | -0.107832 -1.07311 | -8.18545e-12 -2.18279e-11
0.0875469 2.66319 | -0.687692 -0.36878 | 1.87015e-11 -6.82121e-12
-13.8343 -19.1503 | 0.0810783 -0.318362 | 1816.16 -2907.12
7.3601 36.1909 | 0.345568 -0.486542 | -1.36424e-12 2.84217e-13
64.4479 -42.5942 | 0.500864 0.194753 | 254.628 -268.747
-93.2358 21.4278 | 0.530587 -0.4033 | -67.2743 112.526
45.9545 69.2276 | 0.269342 -0.321736 | -186.042 -804.826
-38.6893 -25.0937 | 0.425602 0.465902 | -1816.16 2907.12
-37.5902 14.1975 | 0.713295 -0.130148 | 0 3.18323e-12
-52.7916 56.8248 | 0.0449228 -0.768925 | 4.54747e-12 0
-1.08079 56.3823 | 0.723226 -0.0827564 | -6.36646e-12 2.27374e-13
-48.232 51.8725 | -0.748743 0.140721 | -1.09139e-11 8.6402e-12
39.531 78.2812 | 0.551356 0.5857 | 186.042 804.826
85.2662 9.7708 | -0.183402 -0.1784 | 1.72804e-11 -9.09495e-13
-22.2079 37.5905 | -0.0409104 0.567126 | 3.63798e-12 -1.13687e-11
-84.8625 -17.5455 | 0.549455 -0.43802 | -4.54747e-12 1.47793e-11
29.9586 14.5067 | -0.662994 0.17763 | 68.5512 64.0698
65.8438 -56.4915 | -0.47136 0.0569973 | 1.00044e-11 -9.09495e-12
8.84463 -44.6007 | -0.299284 0.497833 | 8.18545e-12 6.36646e-12
