21.9318 25.7041 | -0.0328826 -0.333357 | 7.27596e-12 -4.54747e-13
46.4573 -53.388 | 0.269424 -0.190703 | -109.994 15.1447
-12.1144 -37.2637 | -0.646358 0.285929 | 660.673 601.493
-9.87997 75.0076 | 0.348293 0.799284 | -7.7307e-12 -7.7307e-12
45.7087 23.8169 | 0.382176 -0.152551 | -2.27374e-12 -6.82121e-12
-43.708 80.2963 | 0.13856 0.108504 | 1.81899e-12 1.00044e-11
-57.045 75.5293 | -0.105629 -0.266791 | -2.36469e-11 -1.45519e-11
-39.815 76.6123 | -0.560473 0.573761 | -91.7616 209.555
-17.6131 2.59731 | 0.263308 0.668666 | -1.90994e-11 9.09495e-13
45.6074 74.8327 | -0.431342 -0.412472 | -2.95586e-12 -4.66116e-12
-51.7597 -41.8576 | -0.0432423 -0.193663 | -1.81899e-12 -3.18323e-12
48.2157 41.592 | -0.758861 -0.724012 | -3.80851e-12 -7.50333e-12
86.9121 38.4371 | -0.178562 -0.219045 | -1.63709e-11 6.82121e-12
14.61 -21.6615 | 0.329686 -0.181714 | 35.1484 141.135
-27.7229 -80.8194 | -0.33422 0.969384 | 672.481 727.376
-19.9097 21.3908 | 0.134525 0.079334 | 6.62811 551.077
75.4892 11.1681 | -0.377581 0.0528211 | 26.6373 16.6478
10.0389 65.8579 | -0.188081 -0.0601099 | -16.3439 160.961
83.1554 -10.5917 | 0.747166 0.274374 | 159.536 379.945
18.9876 49.511 | 0.170352 -0.176734 | -7.27596e-12 -9.09495e-12
3.65513 -31.0613 | 0.538855 -0.307468 | 629.599 -2837.05
52.8113 22.2425 | -0.414636 0.0350293 | 6.36646e-12 0
64.0319 43.6455 | -0.362582 -1.36892 | -1.81899e-12 -4.09273e-12
-30.7252 42.8644 | 0.0782387 -0.451404 | 5.45697e-12 0
66.8831 27.1359 | 0.289633 -0.00950886 | -1.09139e-11 6.36646e-12
-11.4406 21.7875 | 0.277681 -0.524233 | -15.0696 -53.8815
35.8145 57.2249 | -0.328488 0.103823 | 9.77707e-12 9.54969e-12
81.7082 -23.5362 | 0.51508 -0.178647 | 1.7053e-11 -1.09139e-11
28.3402 7.56138 | -0.338144 -0.00722978 | 7.04858e-12 0
35.7021 -45.3003 | -0.641307 -0.623792 | 863.559 -2777.21
-66.9642 20.7945 | 0.203123 -0.0128708 | -522.447 -376.207
27.3507 66.6575 | -0.00116108 0.0347766 | 5.14433e-12 -1.19371e-12
-70.7396 33.3865 | -0.185139 -0.169501 | 522.447 376.207
-75.3842 9.338 | 0.155204 -0.595138 | -1.95541e-11 7.27596e-12
37.9946 -71.2328 | 0.210006 0.363699 | -1.00044e-11 6.36646e-12
-22.9285 -51.3716 | -0.563926 -0.44436 | -1.54614e-11 -5.45697e-12
59.2851 -12.3252 | -0.624654 0.178332 | -6.13909e-12 -3.18323e-12
26.7102 82.8951 | 0.345215 0.193543 | 2.50111e-12 3.41061e-12
-17.1476 -71.0104 | 0.377124 0.242637 | -8.6402e-12 -9.09495e-13
-37.3436 38.4055 | 0.183321 -0.87644 | 15.0696 53.8815
-18.1416 10.3367 | 0.0521177 0.341486 | 1.36383 -2.56651
8.23954 -94.8842 | -0.115246 -0.225702 | 1.63709e-11 -1.27329e-11
15.0663 21.6599 | -0.0533218 0.0468679 | 3.18323e-12 1.09139e-11
-66.7463 -20.5661 | 0.0190444 0.319907 | -5.45697e-12 1.09139e-11
-41.3441 12.5854 | -0.148106 0.292331 | -1.27329e-11 -2.84217e-12
-28.3582 -23.5931 | -0.0962126 0.311838 | -3.18323e-12 2.16716e-12
9.05306 73.8598 | 0.16232 0.314207 | 4.24254 176.033
70.1667 -45.2163 | 0.0504484 -0.689408 | 117.454 2.48959
83.2399 29.0662 | 0.502707 0.022975 | 3.63798e-12 1.45519e-11
23.8598 -4.12971 | 0.573866 0.281335 | 0 -4.3201e-12
74.2977 18.1909 | -0.546848 0.170854 | 9.54969e-12 -9.09495e-13
16.5668 92.9921 | -0.316469 0.0675145 | -1.45519e-11 1.81899e-12
-4.9901 -60.8513 | -0.224154 -0.590858 | -7.27596e-12 1.09139e-11
-7.68766 86.9385 | -0.221039 -0.424469 | 3.63798e-12 -1.04592e-11
-60.3505 0.789302 | 0.287501 0.363317 | -8.18545e-12 -7.70228e-12
23.0209 -83.5481 | 0.382524 0.5673 | 33.8126 -413.654
-58.4041 -34.2815 | 0.237526 0.865852 | 4.54747e-12 -3.63798e-12
-11.0597 44.2011 | 0.314673 -0.659705 | 4.40536e-12 3.63798e-12
-27.2382 73.12 | -0.305723 -0.0701469 | 2.27374e-12 5.91172e-12
-11.057 -85.8017 | -0.316252 -0.268222 | 0 -1.66267e-12
69.1359 -2.74856 | -0.102142 -0.495831 | -26.6373 -16.6478
50.3591 67.3694 | 0.334187 -0.19949 | 1.81899e-12 9.54969e-12
-68.134 -44.7799 | -0.021736 -0.0359192 | 9.60654e-12 -7.27596e-12
-78.9333 26.4166 | 0.695139 -0.181436 | -3.18323e-12 -2.00089e-11
-37.0721 -86.6659 | 0.138831 -0.257838 | -672.481 -727.376
29.9243 -10.3912 | -0.0916254 0.0455709 | -1.00044e-11 -1.81899e-12
36.5563 -40.2781 | 0.268951 -0.0452936 | -823.383 2857.27
-51.0944 58.848 | -0.102309 -1.00467 | 31.1738 -76.1504
-47.5891 -71.5318 | 0.498535 0.166684 | 1.72804e-11 1.36424e-11
-56.2403 -54.245 | -0.0918661 0.129134 | 1082.69 -2924.59
11.5815 -47.1432 | -0.289376 -0.340767 | -700.849 -681.558
10.5847 -50.3043 | -0.363193 -0.104039 | -8.18545e-12 -6.13909e-12
-49.8569 -51.6916 | -0.0894131 -0.437785 | -1082.69 2924.59
-56.548 -8.73764 | 0.361055 -0.406987 | 0 1.81899e-12
43.5452 -72.891 | 0.279649 0.652135 | -33.8126 413.654
25.0019 -57.6073 | -0.377136 -0.249322 | -7.45993 -17.6343
26.3852 -36.3794 | -0.0329542 0.271021 | -7.27596e-12 -3.18323e-12
9.60694 55.3979 | -0.90063 0.187319 | 12.1013 -336.993
-38.7416 -61.4541 | -0.00156407 -0.377186 | -3.63798e-12 1.54614e-11
50.8484 2.43517 | -0.609131 -0.240558 | 4.54747e-12 4.09273e-12
54.2898 -36.7626 | -0.0629834 0.162967 | -3.63798e-12 8.6402e-12
12.6055 33.1489 | -0.325928 0.0175577 | -2.72848e-12 9.09495e-12
46.9448 -20.4814 | -0.252761 0.462192 | -4.54747e-13 -6.36646e-12
8.23021 -14.2995 | 0.117554 -0.217443 | -13.2632 63.9209
68.8347 -21.9378 | -0.0603903 0.217212 | -159.536 -379.945
-6.11281 -18.2358 | 0.0282605 -0.516251 | -21.8852 -205.055
-28.092 21.4496 | 0.259662 -0.0840284 | -7.99194 -548.51
68.9877 59.2684 | 0.168398 -0.220395 | -1.09139e-11 -4.54747e-12
-40.6729 -6.75092 | -0.194492 -0.118003 | 1.36424e-12 -3.86535e-12
58.5519 -75.4708 | -0.733708 0.472773 | 640.35 -207.52
79.7996 -52.2793 | -0.0320362 0.594034 | -640.35 207.52
-8.57321 -25.8939 | 0.178675 0.506686 | -629.599 2837.05
-49.2881 15.1116 | 0.713889 -0.191208 | -2.72848e-12 1.03455e-11
-60.5712 60.4458 | -0.0253527 0.0453656 | 60.5878 -133.405
-34.9798 59.4226 | 0.0292215 -0.221763 | -4.09273e-12 1.04592e-11
-67.2526 -13.3262 | -0.25554 0.456805 | 0 -1.59162e-12
19.0451 -64.5958 | -0.227646 -0.0822594 | -2.27374e-12 0
81.9361 -38.9412 | 0.075574 0.0627971 | 2.09184e-11 -1.81899e-12
-15.598 -1.6296 | 0.675306 -0.0639259 | -2.72848e-12 -2.95586e-12
-71.8267 -26.0135 | -0.210083 -0.0133111 | 9.54969e-12 -1.09139e-11
