63.4451 -67.9803 | 0.261707 -0.0762684 | -8.6402e-12 1.81899e-12
-13.8329 18.8086 | 0.0632528 -0.987353 | 1.81899e-12 0
-6.42317 -62.9209 | -0.31936 0.517502 | 4.54747e-12 8.18545e-12
3.45541 88.3342 | 0.112221 -0.500892 | -1.45519e-11 4.09273e-12
-29.5864 46.2164 | -0.437393 0.31756 | 1.36424e-11 3.52429e-12
-47.2511 -68.9895 | -0.275967 0.303383 | -3.63798e-12 -7.27596e-12
-67.7935 4.42479 | -0.408349 0.404347 | 5.68434e-12 1.36424e-11
67.0684 -34.4899 | 0.137601 0.131073 | -1.81899e-12 -8.07177e-12
19.6449 72.4748 | 0.306877 -0.32771 | 3.63798e-12 -5.45697e-12
-50.7025 79.1501 | 0.118207 -1.3012 | -1.09139e-11 7.27596e-12
-0.31636 2.67308 | -0.258279 0.046192 | 1.81899e-12 0
-13.6827 -19.6926 | -0.0632323 -0.120273 | -4.09273e-12 -6.13909e-12
7.88679 35.6112 | 0.354965 -0.331733 | -8.18545e-12 6.82121e-13
65.3115 -42.4183 | 0.577545 0.115419 | 8.12861e-12 -9.09495e-13
-92.7025 20.9821 | 0.271441 -0.313578 | 5.00222e-12 -9.09495e-12
46.3784 68.7676 | 0.355954 -0.0803558 | 1.31877e-11 1.50067e-11
-38.1103 -24.3073 | 0.431386 0.416854 | -8.18545e-12 -9.09495e-12
-36.5395 13.8569 | 0.783753 -0.375978 | -292.178 2041.7
-52.6718 55.808 | 0.0919414 -0.647018 | 1.09139e-11 -8.18545e-12
0.0052631 56.2462 | 0.729947 -0.148076 | -6.82121e-13 -7.38964e-12
-49.4691 52.0216 | -0.855365 0.0910511 | -4.54747e-12 -8.18545e-12
40.3283 79.0507 | 0.522673 0.250378 | -1.36424e-12 -7.27596e-12
84.9911 9.5032 | -0.183402 -0.1784 | 1.81899e-12 3.9222e-12
-22.2693 38.4412 | -0.0409104 0.567126 | 4.54747e-13 2.72848e-12
-84.065 -18.028 | 0.620752 -0.217682 | 7.7307e-12 -2.72848e-12
29.1136 14.9064 | -0.54717 0.280607 | 7.27596e-12 1.27329e-11
65.1552 -56.6983 | -0.457705 -0.159871 | -9.09495e-12 1.09139e-11
8.47729 -44.0713 | -0.212614 0.275869 | -4.54747e-13 -1.81899e-12
-50.9933 19.9618 | 0.184424 -0.178992 | 67.8459 -68.1433
52.8166 -13.549 | 0.537804 -0.160958 | -3.63798e-12 -3.63798e-12
-14.7396 4.57574 | -0.451877 0.121731 | 324.546 -2137
-31.6929 53.5197 | -0.506257 0.0902883 | -711.369 998.797
-19.1861 67.7757 | -0.478283 0.209325 | 478.722 1015.09
-8.68513 77.7926 | 0.0351575 -0.30645 | 11.6769 165.748
-51.4722 39.2467 | 0.133145 0.423506 | -1045.34 42.2831
11.6196 -95.1346 | -0.0193294 0.0772508 | 1.27329e-11 -8.18545e-12
-18.2474 -31.668 | -1.00262 -0.35828 | -209.133 5189.22
-64.7684 -22.3861 | -0.0575051 -0.0245344 | 180.278 311.506
-2.08281 50.406 | -0.102917 -0.492091 | 3.63798e-12 -3.18323e-12
-44.517 6.1651 | -0.0364656 0.66604 | 85.3836 -905.005
-12.6651 94.4765 | 0.237643 -0.529814 | -2.54659e-11 -1.63709e-11
-0.432782 -89.0825 | 0.385353 -0.556494 | 5.51111 -13.4072
67.8646 -49.0896 | -0.0502743 0.501392 | -9.09495e-13 1.27329e-11
-15.4069 -11.8359 | -0.13746 -0.249148 | 1.36424e-12 6.36646e-12
13.8521 -78.1482 | 0.990841 0.703048 | -4.35999 -801.215
-45.6662 64.8159 | -0.483878 -0.297668 | -478.722 -1015.09
91.4657 19.6976 | -0.536924 -0.260364 | 2333.78 -505.735
-59.0328 67.1687 | -0.126835 -0.789596 | 1.09139e-11 2.21689e-12
31.3177 -64.9519 | 0.35788 0.232404 | 155.6 -873.027
18.1102 -21.1695 | -0.140823 0.366152 | 5.45697e-12 -1.13687e-12
38.4678 52.1097 | 0.351984 -0.539014 | -682.583 -2601.67
-35.0996 -58.0491 | -0.783003 0.486255 | -9.09495e-13 2.36469e-11
44.613 -40.7573 | 0.791634 -0.479378 | 1.81899e-12 6.36646e-12
49.1286 62.0035 | 0.323893 -0.0508017 | 682.583 2601.67
66.6364 36.9438 | -0.0158442 0.0891201 | -2333.78 505.735
-23.031 -8.15338 | -0.652456 -0.147144 | 853.688 -2233.18
16.2899 -69.614 | -0.547037 0.0728024 | -1.93268e-12 -1.81899e-12
-45.2645 -42.1362 | 0.239135 0.0113018 | -3.63798e-12 -1.72804e-11
3.32331 17.2906 | 0.446737 -0.0822196 | -1.59162e-12 -4.54747e-12
-3.31289 8.22122 | -0.572605 0.111394 | -4.09273e-12 9.09495e-13
75.6655 7.66286 | 0.134422 0.582332 | 447.992 364.099
38.9403 -28.642 | -0.211251 0.514459 | -2.50111e-12 -1.36424e-12
9.51427 -72.7628 | -0.0206541 -0.334315 | 4.35999 801.215
-8.59105 70.0914 | 0.087492 -0.152858 | -11.6769 -165.748
-76.6717 -58.1049 | 0.484247 0.508438 | 1.40972e-11 -4.3201e-12
-80.4413 -44.5302 | -0.145394 0.285304 | -1265.45 394.899
-43.3733 76.1296 | -0.30729 0.243613 | 3.63798e-12 -8.07177e-12
58.5518 -17.9596 | -0.635563 -0.347875 | -3.52429e-12 -3.18323e-12
-69.8552 33.8327 | 0.0415831 -0.302898 | 4.09273e-12 1.36424e-12
-10.0862 -79.8295 | 0.245567 0.791166 | -5.51111 13.4072
24.6353 90.5163 | 0.507393 0.00887892 | 1.00044e-11 9.09495e-12
-57.5192 -17.3943 | -0.0689385 0.379517 | 1.81899e-12 -1.81899e-12
0.606034 22.773 | -0.376498 0.0227497 | -7.7307e-12 8.18545e-12
-15.5934 -5.88849 | 0.504951 0.0498901 | -853.688 2233.18
43.4953 -25.1888 | -0.498836 0.119846 | 3.63798e-12 -7.27596e-12
28.3988 41.722 | 0.205738 -0.759568 | 4.88853e-12 2.72848e-12
-7.69932 -25.1343 | 0.397979 0.0240982 | 5.00222e-12 -5.22959e-12
17.2706 -80.0303 | -0.147703 -0.526966 | -29.6905 221.388
42.0402 -0.0704815 | -0.576468 0.620482 | -8.6402e-12 5.45697e-12
-2.08877 -38.2479 | 0.417342 0.204391 | -6.36646e-12 5.45697e-12
56.3324 6.62313 | -0.40285 -0.19037 | 1.04592e-11 1.55751e-11
-65.5601 25.4944 | 0.0302012 -0.239932 | -1.86446e-11 8.18545e-12
-12.8914 -58.6712 | -0.203377 -0.531705 | 8.18545e-12 -3.18323e-12
-92.5352 3.11034 | -0.0678936 0.658177 | 8.18545e-12 -4.54747e-12
-5.87764 84.653 | 0.00320027 0.350194 | -2.72848e-12 -1.36424e-11
59.7021 50.3268 | -0.0120114 -0.497202 | -7.27596e-12 7.27596e-12
64.8772 20.6232 | 0.166168 -0.315047 | -447.992 -364.099
47.8164 16.3479 | -0.252402 0.558144 | 1.36424e-12 4.54747e-12
-43.3066 -50.8195 | 0.379509 0.380328 | 0 7.04858e-12
19.8909 -10.6986 | 0.741633 0.686152 | -1.81899e-11 0
-61.0276 -37.0155 | -0.657413 0.110041 | 1294.3 -5895.62
20.3216 -52.9145 | -0.0396532 0.115407 | -155.6 873.027
45.0797 81.3291 | 0.266746 0.363396 | 5.45697e-12 8.6402e-12
83.526 -25.9653 | -0.366944 -0.00983662 | 9.09495e-13 -1.81899e-12
-55.1631 -1.07191 | 0.642058 0.0451528 | -2.72848e-12 0
-43.5885 -73.7695 | -0.071409 -0.153819 | -1.36424e-11 -2.50111e-12
-25.856 27.7799 | -0.92044 0.34942 | -100.488 186.732
-26.1782 2.79945 | -0.473712 -0.49884 | -85.1096 881.712
24.9893 -86.6841 | -0.00901762 0.313904 | 29.6905 -221.388
-46.426 36.2446 | -0.0722662 -0.0446422 | 1756.71 -1041.08
