63.576 -68.0184 | 0.261707 -0.0762684 | 2.89901e-12 1.63709e-11
-13.8013 18.3149 | 0.0632528 -0.987353 | -1.5234e-11 9.09495e-12
-6.58285 -62.6621 | -0.31936 0.517502 | 0 -4.54747e-12
3.51213 88.085 | 0.113563 -0.498199 | -3.63798e-12 -5.22959e-12
-29.8025 46.402 | -0.422214 0.415423 | 116.796 313.456
-47.3846 -68.8312 | -0.163708 0.467178 | 8.07177e-12 5.45697e-12
-67.9977 4.62697 | -0.408349 0.404347 | -1.81899e-12 8.6402e-12
67.1431 -34.4592 | 0.15269 0.0426502 | 5.45697e-12 9.09495e-13
19.7998 72.2748 | 0.324341 -0.775672 | 25.13 -180.253
-50.6434 78.4995 | 0.118207 -1.3012 | -9.09495e-12 5.45697e-12
-0.379762 2.80256 | -0.0704074 0.270407 | 698.462 -2538.66
-13.7099 -19.7267 | -0.0518931 -0.0519313 | -2.38742e-12 -9.77707e-12
8.06526 35.4312 | 0.369981 -0.522956 | 76.8624 -863.328
65.6003 -42.3606 | 0.577545 0.115419 | 5.22959e-12 1.36424e-12
-92.534 20.8257 | 0.415909 -0.312025 | -1.45022e-11 -2.04636e-11
46.555 68.7635 | 0.338491 0.367605 | -25.13 180.253
-37.8941 -24.0998 | 0.452259 0.378042 | 291.814 -532.882
-36.1415 13.6628 | 0.796594 -0.380512 | -66.0858 546.003
-52.6258 55.4845 | 0.0919414 -0.647018 | 1.27329e-11 4.54747e-13
0.369869 56.1729 | 0.726915 -0.143921 | 8.97142 -114.521
-49.8968 52.0671 | -0.855365 0.0910511 | 1.65983e-11 -7.50333e-12
40.5896 79.1759 | 0.522673 0.250378 | -5.91172e-12 -1.36424e-12
84.8994 9.414 | -0.183402 -0.1784 | -1.36424e-11 -6.13909e-12
-22.2898 38.7247 | -0.0409104 0.567126 | 4.54747e-12 1.44382e-11
-83.771 -18.1157 | 0.49927 -0.0650136 | 5.45697e-12 -9.77707e-12
28.8299 15.022 | -0.615469 0.108253 | -595.291 -1505.6
64.9263 -56.7782 | -0.457705 -0.159871 | -2.72848e-12 1.04592e-11
8.36938 -43.9516 | -0.205442 0.0952131 | 170.347 -725.077
-50.9123 19.9113 | 0.158271 -0.0883044 | -9.09495e-12 -4.54747e-13
53.0855 -13.6295 | 0.537804 -0.160958 | -4.54747e-13 7.27596e-12
-15.02 4.50034 | -0.596427 -0.238175 | 32.5599 -586.048
-31.9876 53.589 | -0.804515 0.232313 | -498.387 694.134
-19.393 67.8917 | -0.288015 0.182702 | 320.299 -149.325
-8.66341 77.6735 | 0.0553515 -0.145647 | 9.09495e-13 0
-51.42 39.4661 | 0.31251 0.353344 | 457.842 -521.687
11.5949 -95.1689 | -0.0749644 -0.19286 | -1.63709e-11 -7.27596e-12
-18.7509 -31.7726 | -1.00755 -0.201462 | 3.63798e-12 2.04636e-12
-64.7795 -22.4173 | 0.0662481 -0.172683 | -6.36646e-12 -3.63798e-12
-2.13427 50.16 | -0.102917 -0.492091 | -3.63798e-12 -3.63798e-12
-44.526 6.39289 | 0.00969005 0.207722 | 14.0852 -204.468
-12.5463 94.2116 | 0.237643 -0.529814 | -1.27329e-11 2.09184e-11
-0.224993 -89.2878 | 0.441 -0.28643 | 1.36424e-11 5.45697e-12
67.8394 -48.8389 | -0.0502743 0.501392 | -9.54969e-12 5.45697e-12
-15.4756 -11.9604 | -0.13746 -0.249148 | -9.09495e-13 5.00222e-12
14.341 -77.9472 | 0.958488 0.172916 | -52.2958 -186.398
-45.917 64.6467 | -0.502677 -0.341222 | -9.09495e-13 -2.27374e-12
91.2447 19.56 | -0.416154 -0.278268 | 1.45519e-11 0
-59.1197 66.7829 | -0.298303 -0.71942 | -320.299 149.325
31.478 -64.9135 | 0.28684 -0.16345 | 117.73 -849.955
18.043 -20.9848 | -0.0711721 0.304259 | 2520.75 -2674.08
38.6376 51.8191 | 0.339123 -0.581869 | -11.9651 102.813
-35.4911 -57.806 | -0.783003 0.486255 | 1.27329e-11 -1.63709e-11
45.0117 -40.9844 | 0.808113 -0.406293 | -3.63798e-12 -8.18545e-12
49.2968 61.9993 | 0.33669 -0.00719414 | 3.63798e-12 9.09495e-12
66.5875 37.0289 | -0.114416 0.215138 | 11.9651 -102.813
-23.2732 -8.40287 | -0.4614 -0.539681 | 0 4.54747e-13
16.0176 -69.5761 | -0.506626 0.124752 | 1508.7 1933.26
-45.1449 -42.1306 | 0.239135 0.0113018 | -3.63798e-12 -8.18545e-12
3.55827 17.2369 | 0.480211 -0.119382 | -7.27596e-12 2.72848e-12
-3.59944 8.27813 | -0.586404 0.17352 | -664.936 2578.71
75.7623 7.98351 | 0.202537 0.650714 | -1.40972e-11 -4.54747e-13
38.7976 -28.4193 | -0.342076 0.358685 | -230.046 -269.897
9.51133 -72.769 | -0.0391189 0.111177 | -1508.7 -1933.26
-8.55145 69.9809 | 0.067298 -0.313661 | 1.36424e-12 -3.86535e-12
-76.4474 -57.8862 | 0.358211 0.26152 | -1.16431 -4.32161
-80.5275 -44.3904 | -0.272672 0.136633 | 3.18323e-12 9.09495e-13
-43.5269 76.2514 | -0.30729 0.243613 | 3.63798e-12 -9.09495e-12
58.2341 -18.1335 | -0.635986 -0.347077 | -50.692 98.1674
-69.859 33.7085 | -0.0332322 -0.21995 | 4.77485e-12 2.50111e-12
-9.9655 -79.4459 | 0.255963 0.823904 | 52.2958 186.398
24.889 90.5208 | 0.507393 0.00887892 | -1.81899e-11 7.27596e-12
-57.5542 -17.2036 | -0.0896605 0.418318 | -291.814 532.882
0.406199 22.797 | -0.409972 0.0599116 | -5.00222e-12 -8.6402e-12
-15.4249 -5.68763 | 0.313895 0.442427 | -8.6402e-12 -5.91172e-12
43.2771 -25.0595 | -0.382676 0.363245 | 280.738 171.73
28.4942 41.3231 | 0.168589 -0.677212 | -76.8624 863.328
-7.50229 -25.1208 | 0.331872 0.0931037 | -2520.75 2674.08
17.1935 -80.2308 | -0.15533 -0.375152 | 6.36646e-12 -2.72848e-12
41.752 0.23976 | -0.576468 0.620482 | -9.09495e-13 5.45697e-12
-1.88132 -38.1401 | 0.393691 0.311963 | -170.347 725.077
56.1411 6.55265 | -0.334551 -0.0180163 | 595.291 1505.6
-65.5204 25.3472 | 0.105016 -0.322879 | -1.72804e-11 1.81899e-12
-12.9931 -58.9371 | -0.203377 -0.531705 | -9.54969e-12 -1.64846e-12
-92.5692 3.43943 | -0.0678936 0.658177 | -3.63798e-12 1.81899e-12
-5.87665 84.8269 | 0.00185875 0.347501 | 3.75167e-12 -6.9349e-12
59.6961 50.0782 | -0.0120114 -0.497202 | 3.63798e-12 -5.45697e-12
64.9306 20.4362 | 0.0980528 -0.383429 | 1.63141e-11 5.45697e-12
47.6902 16.627 | -0.252402 0.558144 | 7.27596e-12 -1.81899e-12
-43.1168 -50.6294 | 0.379509 0.380328 | 4.54747e-12 -8.86757e-12
20.2569 -10.3806 | 0.729089 0.620894 | 5.68434e-13 -7.27596e-12
-61.3471 -37.0448 | -0.638565 -0.0683369 | -1.27329e-11 8.6402e-12
20.3204 -52.779 | 0.0313865 0.511261 | -117.73 849.955
45.2131 81.5108 | 0.266746 0.363396 | 4.77485e-12 -1.74509e-11
83.3426 -25.9702 | -0.366944 -0.00983662 | 1.81899e-12 -8.18545e-12
-54.8421 -1.04934 | 0.642058 0.0451528 | 8.6402e-12 -7.21911e-12
-43.6065 -73.8113 | 0.0509682 0.0848309 | 1.16431 4.32161
-26.3168 27.9556 | -0.921598 0.351541 | 1.81899e-12 -1.81899e-12
-26.4297 2.64994 | -0.53492 -0.0552327 | -14.0852 204.468
24.988 -86.5901 | -0.00139092 0.162091 | 4.54747e-12 1.27329e-11
-46.4084 36.1628 | 0.0344812 -0.218524 | -85.2221 -371.382
