63.9193 -68.051 | 0.22521 -0.0156393 | -3.63798e-12 0
-13.5941 17.0728 | 0.212911 -0.663979 | 6.36646e-12 -5.00222e-12
-6.87435 -62.1679 | -0.146011 0.394656 | -2.73559e-13 -3.18323e-12
3.70101 87.8039 | 0.167445 0.0641658 | -5.45697e-12 -2.72848e-12
-30.0148 46.8072 | 0.0695103 0.0187747 | 16.5645 -58.3488
-47.7105 -68.1666 | -0.382805 0.169209 | -16.9699 -10.2251
-68.6102 5.23349 | -0.408349 0.404347 | 8.18545e-12 1.81899e-12
67.3972 -34.2517 | 0.188641 0.433555 | 0 1.72804e-11
20.29 71.1388 | 0.342324 -0.632676 | 52.363 275.096
-50.5585 77.0634 | 0.10036 -0.57398 | 89.1258 242.334
-0.397794 3.31707 | 0.0584411 0.64267 | 569.606 1113.5
-13.7973 -19.8052 | -0.0908775 0.0771967 | -9.46192 -60.1985
8.62687 34.4481 | 0.37454 -0.660646 | -4.66116e-12 4.77485e-12
66.4708 -42.2636 | 0.592099 -0.158389 | -6.13909e-12 2.72848e-12
-92.1559 20.2951 | 0.00779009 -0.354335 | 5.91172e-12 -5.45697e-12
47.0624 69.3169 | 0.338301 0.368921 | 8.18545e-12 3.00133e-11
-37.2044 -23.5537 | 0.459921 0.363787 | -1.13687e-13 7.50333e-12
-35.1404 13.4875 | 0.609563 0.102737 | 64.8799 330.845
-52.4508 54.719 | 0.139791 -0.296561 | 432.821 1867.86
1.14902 55.9981 | 0.406283 -0.0292877 | -431.025 577.868
-51.2169 51.9987 | -0.903215 -0.259405 | -432.821 -1867.86
41.4317 79.3664 | 0.620162 -0.0584225 | -3.63798e-12 -5.53246e-12
84.6243 9.14179 | -0.182928 -0.235913 | 10.0522 -422.399
-22.3175 39.1162 | -0.0431735 -0.132056 | -118.128 -1292.37
-83.4587 -18.1197 | -0.155917 0.0777779 | -1.20508e-11 2.41016e-11
27.8278 15.1868 | -0.703928 0.17315 | 9.49285e-12 2.09184e-11
64.2398 -57.018 | -0.457705 -0.159871 | 7.27596e-12 -1.36424e-12
8.06117 -43.8105 | -0.209214 0.106729 | -2.72848e-12 7.04858e-12
-51.054 19.8024 | -0.256983 -0.152907 | -26.0113 26.4271
53.5704 -13.4285 | 0.222088 0.3188 | -3.63798e-12 3.63798e-12
-15.9977 3.84203 | -0.76918 -0.403302 | -555.333 -1089.95
-33.0192 54.0384 | -0.695631 0.299916 | -2.67164e-12 9.09495e-13
-19.6356 67.4928 | 0.000274085 -0.42829 | 985.666 -1147.12
-8.78079 77.5775 | -0.159055 -0.0311506 | -4.54747e-13 6.36646e-12
-51.1182 40.0297 | 0.127544 0.410733 | 6.94911e-12 4.54747e-13
11.5341 -95.5206 | -0.0382743 -0.237231 | -1.27329e-11 1.45519e-11
-20.1359 -32.3296 | -0.893295 -0.501185 | 1.45519e-11 -1.00044e-11
-64.418 -22.3769 | 0.364425 0.130193 | -9.54969e-12 -9.09495e-12
-2.05452 49.3271 | 0.285826 -0.561607 | 1321.96 -326.853
-44.7695 6.66987 | -0.333026 -0.0519598 | -64.8799 -330.845
-12.2685 93.2774 | 0.111546 -0.741563 | -7.27596e-12 2.00089e-11
0.384871 -89.655 | 0.40431 -0.242058 | -9.09495e-13 1.86446e-11
67.764 -48.0868 | -0.0502743 0.501392 | -1.81899e-12 0
-15.686 -12.2397 | -0.143913 -0.0726895 | 2.0885 89.8578
15.7255 -78.4272 | 0.902526 -0.61739 | -103.78 145.994
-46.671 64.1349 | -0.502677 -0.341222 | 7.27596e-12 1.04592e-11
90.7402 19.113 | -0.193584 -0.333633 | -2.43858e-11 -1.09139e-11
-59.2394 65.4441 | -0.207044 -0.852895 | -709.216 256.1
31.9292 -65.337 | 0.301825 -0.290679 | 9.09495e-12 2.27374e-11
18.0033 -20.5524 | -0.0391757 0.389313 | 0 1.81899e-12
39.0582 51.7773 | 0.274319 0.18732 | -2.72848e-12 1.36424e-12
-36.6182 -57.0429 | -0.584544 0.628512 | 16.9699 10.2251
46.1945 -41.6613 | 0.757607 -0.523391 | 1.93268e-12 -6.36646e-12
49.7984 61.959 | 0.318897 -0.151505 | -52.363 -275.096
66.3677 37.0775 | -0.324768 0.323828 | -10.0522 422.399
-23.9297 -9.28991 | -0.402602 -0.665971 | 45.9565 -89.4311
15.5133 -68.5578 | -0.241719 1.19345 | 148.757 666.182
-44.8868 -42.0035 | 0.153098 0.0600533 | -26.9476 -63.8637
4.28988 17.1168 | 0.526365 0.120869 | -2.27374e-13 -2.27374e-13
