-4.94356 -61.9632 | -0.2754 -0.437654 | -4.02402 -11.0524
-14.7203 61.3255 | 0.190237 -0.649727 | -5.45697e-12 1.36424e-11
33.1401 -22.6548 | -0.30902 -0.507284 | -0.833287 15.2762
-64.2088 -30.3984 | 0.447305 0.565535 | -5.45697e-12 -6.82121e-12
-21.7907 -46.2819 | 0.465881 -0.238691 | 5.45697e-12 5.91172e-12
-9.77832 -87.8393 | 0.1215 -0.839183 | 2.18279e-11 -2.72848e-12
51.5937 -1.94104 | 0.290806 -0.507075 | -1.81899e-12 7.27596e-12
-6.25569 -33.1118 | 0.466131 -0.00793041 | 5.45697e-12 -1.11413e-11
62.6135 63.5208 | 0.662773 0.139671 | -646.207 2021.7
-46.5163 10.0634 | 0.289628 0.405899 | -396.817 1849.2
31.9976 83.9326 | 0.278668 -0.736068 | -14.5026 49.3343
-9.57001 4.75097 | -0.274159 -0.0931336 | 3.63798e-12 5.45697e-12
2.41452 -66.1727 | 0.210795 -0.286733 | -671.282 1782.13
-81.6161 14.6836 | 0.646732 0.272491 | -2748.64 1051.76
22.8633 82.4205 | 0.302749 -0.228165 | 14.5026 -49.3343
-65.3742 23.439 | 0.41648 -0.396175 | 1976.45 -969.403
-66.7957 -18.1849 | 0.352697 -0.178698 | 1.81899e-12 3.41061e-12
-3.02449 52.8543 | 0.099416 0.14901 | 3.63798e-12 -3.63798e-12
68.6766 31.6476 | 0.117108 0.156049 | 330.484 378.132
87.6705 -21.7663 | 0.534944 0.351454 | -3.63798e-12 -4.18368e-11
32.4331 -10.9076 | -0.108684 -0.197431 | 4.54747e-12 -4.54747e-12
-28.8644 -20.8751 | 0.0428772 -0.172561 | -6.70752e-12 9.54969e-12
46.9405 29.3557 | -0.231148 -0.512598 | 24.4876 -61.2385
13.2088 -25.5905 | -0.602492 0.477789 | -2.72848e-12 -2.50111e-12
29.7575 -52.161 | 0.587587 -0.293314 | 5.68434e-12 -3.18323e-12
-10.2766 -51.7745 | -0.41895 0.501686 | -35.6222 594.554
-57.7059 -9.09014 | -0.824441 -0.0892381 | 2.27374e-12 3.86535e-12
-73.3015 39.127 | -0.0326008 -0.0680666 | 1.81899e-12 7.27596e-12
6.8561 -43.8859 | 0.00463845 0.321067 | -2.50111e-12 -3.06954e-12
55.14 -20.0059 | 0.17877 -0.284603 | -22.1207 -745.331
24.926 -59.4721 | -0.374464 -0.163322 | 4.02402 11.0524
-90.2418 14.7803 | 0.120519 0.300792 | 6.70752e-12 3.63798e-12
-10.8828 -5.95612 | -0.966273 0.594085 | -1.81899e-12 9.09495e-12
60.0324 -0.395805 | -0.234907 0.650258 | -9.09495e-13 -1.27329e-11
3.98076 24.5255 | 0.23446 -0.579297 | 83.9598 -38.6869
-6.47905 87.7471 | -0.157564 -0.558761 | 45.1713 85.9166
9.56259 94.1291 | -0.302366 -0.385334 | 7.27596e-12 9.09495e-12
21.4752 58.4917 | 0.57756 0.721984 | 9.09495e-13 4.5759e-12
-53.4644 49.9026 | -0.370508 -0.34152 | -1.06787 20.0582
30.1577 -47.039 | 0.848193 -0.089718 | 16.3927 -257.715
-35.8787 21.3169 | 0.649665 -0.233796 | 7.27596e-12 -4.54747e-12
-17.6397 47.1443 | -0.0801845 0.190625 | 2.72848e-12 -8.18545e-12
69.5052 -0.554904 | 0.537661 0.0175487 | 6.9349e-12 9.09495e-13
-48.6694 -58.2622 | 0.156075 -0.709982 | 35.6222 -594.554
85.0896 30.2489 | -0.271985 -0.126878 | -3.63798e-12 -2.00089e-11
21.2942 20.0449 | -0.0274375 -0.816156 | -1.27329e-11 -2.72848e-12
-58.5864 -3.36644 | -0.150612 -0.441901 | 6.36646e-12 6.36646e-12
40.8614 56.4933 | 0.140218 -0.50961 | 4.54747e-13 -5.45697e-12
68.6122 -36.5024 | 0.402489 0.10432 | 1.09139e-11 0
-44.0611 -64.7609 | -0.104578 -0.339845 | 9.32232e-12 1.27329e-11
36.0341 44.2911 | 0.36441 0.534345 | -28.4433 55.0389
79.5813 14.1416 | -0.24173 0.0846643 | -330.484 -378.132
-32.0134 19.0082 | -0.0940513 -0.455931 | -3804.07 3436.83
