41.673 23.7303 | 0.144226 -0.209448 | -1.81899e-12 -5.45697e-12
-33.9862 -86.5077 | 0.632114 -0.0200405 | 1.63709e-11 0
-23.5504 -21.056 | 0.604602 0.0461824 | -69.5979 -163.983
30.6309 49.4656 | 0.0422031 -0.151175 | 14.9297 23.5812
23.9328 6.93291 | -0.338773 -0.173457 | 847.125 -3150.97
44.5394 -23.907 | 0.533495 0.269447 | -1.81899e-12 -1.3415e-11
-28.8466 61.9996 | 0.215019 -0.317678 | 100.856 -24.616
-62.8355 43.0771 | 0.190356 -0.108449 | 169.348 -214.823
39.1226 -0.815689 | 0.0892345 -0.0900595 | -84.9703 -95.084
-11.8209 1.15583 | 0.178186 0.639036 | 95.523 -1402.74
69.4862 -44.815 | -0.129796 -0.0220882 | -858.399 668.503
-12.142 -63.6743 | -0.12172 0.097659 | 40.706 -117.524
-56.7731 -29.0377 | 0.0149959 -0.226973 | -22.2402 -35.3897
-52.5986 -45.4898 | -0.905944 0.116947 | -86.2225 184.07
-50.5671 35.8247 | -0.652659 0.138413 | -2451.14 4192.87
8.11752 72.6216 | -0.216653 0.044372 | 1.04592e-11 -1.18234e-11
-13.2546 -57.6535 | 0.277422 -0.108897 | 553.23 835.291
-70.6738 -46.9938 | -0.483089 0.271225 | -17.9304 -12.8362
-2.00989 -53.2501 | 0.0762054 0.192139 | 1.63828 -4.66606
-37.0329 -63.9999 | 0.0913726 -0.0640681 | -6.91318 23.4218
-38.6796 50.6484 | -0.143422 0.300225 | -14.5859 -20.1384
29.717 -30.3988 | 0.111948 0.0189975 | 683.527 -1634.9
-54.3332 -55.7239 | -0.637167 0.424462 | 76.0543 283.024
56.9728 33.9148 | 0.547819 0.132685 | 5.45697e-12 2.43006e-12
-31.3658 -31.6233 | -0.171758 -0.258235 | 53.775 491.241
-67.3227 -5.09062 | -0.400306 0.118845 | -4.54747e-13 1.45519e-11
-40.6219 -37.1243 | -0.703478 -0.582366 | 31.954 29.3584
31.0723 -65.0206 | -0.626361 -0.225326 | 529.927 -834.928
38.6359 18.3525 | 0.255382 0.311943 | 157.247 297.283
25.0593 -69.0665 | 0.0074323 0.634042 | -35.9155 -169.968
9.47299 53.8174 | -0.663782 -0.0786715 | 2.27374e-12 -9.09495e-13
-54.4765 51.5412 | 0.0890939 0.0249511 | -1.09139e-11 -5.45697e-12
29.2013 67.7718 | -0.0882833 -0.196085 | 1261.56 -2183.8
-44.4512 61.0116 | 0.113324 -1.1058 | 610.177 1377.87
8.0768 69.4374 | -0.138333 -0.133197 | -882.544 1938.53
24.3813 45.4172 | 0.420057 1.19361 | 586.716 1485.63
-15.5399 71.4042 | 0.290681 -0.0164797 | -3.86535e-12 2.27374e-13
33.9965 66.102 | -0.357111 0.0913974 | -148.922 -711.228
17.7625 40.9456 | 0.250433 -0.211055 | -759.427 -583.91
-23.0389 27.8369 | -0.420364 -0.170186 | 1091.46 1571.78
-32.1682 84.3595 | -0.229801 -0.427433 | -110.709 136.394
-31.0212 21.0009 | 0.182522 0.106041 | -0.896995 1.61938
39.5317 -6.77289 | -0.205163 -0.130933 | 767.209 1626.23
88.192 -29.2504 | 0.50163 -0.544747 | -7.27596e-12 1.09139e-11
-47.5595 -11.0911 | -0.249076 0.726189 | -2.65024 -12.9557
55.2782 -34.4099 | 0.929797 0.166072 | 78.5434 -411.067
-1.65899 -8.58543 | -0.350602 -0.228417 | 11.3526 2164.81
32.1996 -57.4501 | -0.317949 0.620321 | -1.63828 4.66606
9.00787 -26.4697 | 0.319413 -0.195154 | 5.91172e-12 5.00222e-12
41.8922 26.2167 | -0.101929 0.192532 | -1.81899e-12 2.27374e-12
-6.28004 93.2603 | 0.462159 -0.0722206 | -9.09495e-12 -1.09139e-11
-55.5723 -18.3315 | 0.13243 0.269682 | -1.81899e-12 5.00222e-12
-36.4884 9.71003 | 0.327165 0.225006 | 223.115 -237.383
-15.4538 18.7408 | 0.148286 0.294903 | 31.8726 68.654
-28.4616 -17.0663 | 0.135921 -0.000180939 | 222.962 852.637
-60.8706 -46.5053 | -0.535703 0.385766 | 40.8306 -292.541
25.7378 -25.8886 | 0.144885 -0.150318 | 40.9896 -114.491
-44.9907 18.6444 | -0.174038 0.792624 | 6.36646e-12 4.54747e-12
-28.5755 54.5927 | -0.100334 -0.115082 | -1012.08 -1715.78
-12.2944 -26.6661 | 0.0745394 0.184297 | 6.36646e-12 -7.27596e-12
5.88523 85.6213 | -0.0195407 0.205558 | 1.00044e-11 9.09495e-13
59.2806 -14.672 | 0.506584 0.117678 | -4.42101 21.0849
14.0901 -40.2816 | 0.523971 -0.353986 | -2.72848e-12 5.45697e-12
31.7566 3.14471 | 0.181578 -0.120266 | 84.9703 95.084
1.83412 37.0027 | 0.124151 0.0493977 | -17.9473 -31.8067
47.4154 -10.1924 | 0.280059 0.0593852 | -210.575 -464.31
12.058 -90.3025 | 0.506881 0.134396 | 35.425 -161.4
-52.2271 -23.9056 | 0.468401 0.0904282 | 49.6368 59.8436
-61.2923 -41.2313 | -0.798366 0.247948 | 63.3223 121.307
53.3773 7.85366 | 0.242944 0.0158269 | 371.517 -864.278
-32.1017 -83.9542 | 0.777309 -0.42614 | 1.18234e-11 -9.09495e-12
-21.2557 -61.438 | -0.54238 -0.609971 | 33.0694 196.216
-26.5465 -59.322 | -0.324534 -0.190163 | -558.882 -827.373
-16.3253 -12.7175 | 0.0726365 0.181398 | -11.3526 -2164.81
70.9092 26.1313 | -0.0972988 0.421295 | 137.774 -403.599
50.7637 36.5709 | 1.00188 -0.211043 | -108.402 -289.327
71.7135 23.257 | -0.114024 -0.0687376 | -55.0339 566.377
-71.3764 48.2414 | -0.0521734 -0.426028 | -805.242 1746.72
-42.9873 12.4772 | -0.801332 0.0867599 | 31.2486 211.379
-58.3508 -34.4307 | -0.131269 -0.1764 | -31.954 -29.3584
-25.3574 -29.7899 | -0.0183822 -0.594813 | -49.6368 -59.8436
53.9604 -24.3225 | 0.708444 0.17914 | -683.009 1639.15
