41.6952 23.5852 | -0.0843391 -0.352993 | 2152 3317.49
-33.6582 -86.5432 | 0.791344 -0.358463 | 1.90994e-11 1.81899e-12
-23.3418 -21.0191 | 0.355722 0.252732 | 1473 1993.29
30.6762 49.5009 | 0.0464325 0.235949 | 2.27374e-12 -5.00222e-12
23.7564 6.82801 | -0.409232 -0.194437 | -38.4036 -33.0141
44.7631 -23.734 | 0.17879 0.62908 | -887.207 940.126
-28.772 61.7776 | 0.0532623 -0.457786 | -1613.82 1639.95
-62.7326 43.0038 | 0.229883 -0.197841 | 2.95586e-12 -6.36646e-12
39.1377 -0.891647 | 0.0175195 -0.16517 | 1.81899e-12 2.72848e-12
-11.7299 1.45567 | 0.179394 0.637618 | 1.36424e-12 1.13687e-12
69.4185 -44.8172 | -0.115608 -0.0168967 | 6.36646e-12 -9.09495e-12
-12.1261 -63.6664 | 0.0537137 0.0598298 | -140.454 -214.439
-56.8056 -29.3125 | -0.0902917 -0.708581 | 0 -1.00044e-11
-53.0874 -45.357 | -1.02663 0.351126 | -357.038 10.3492
-50.9132 35.9131 | -0.726134 0.0345128 | -118.259 -336.133
8.00919 72.6438 | -0.216653 0.044372 | -5.00222e-12 5.00222e-12
-13.1279 -57.6259 | 0.212829 0.177491 | 24.4222 338.472
-70.8878 -46.8454 | -0.507936 0.187112 | -88.3489 -93.8542
-2.01118 -53.183 | -0.0229402 0.12921 | -7.04858e-12 -5.45697e-12
-36.9828 -64.0863 | 0.108595 -0.282994 | 9.93512 -22.9163
-38.7417 50.805 | -0.079377 0.241805 | 997.787 -1563.45
29.8464 -30.4864 | 0.336524 -0.216635 | -33.7524 2231.19
-54.5753 -55.6392 | -0.366144 0.0147869 | 11.9393 39.2749
57.258 33.9662 | 0.580736 0.0385616 | -3.71569 -5.358
-31.4775 -31.7422 | -0.277249 -0.256679 | 9.09495e-13 2.27374e-12
-67.5291 -5.02609 | -0.414271 0.130359 | 9.09495e-12 9.09495e-13
-40.8951 -37.3442 | -0.507658 -0.404047 | 3.63798e-12 -1.27329e-11
30.788 -65.2083 | -0.579961 -0.469811 | 140.454 214.439
38.7691 18.519 | 0.267164 0.334267 | 4.54747e-12 -4.77485e-12
25.1863 -68.8067 | 0.309937 0.391013 | -203.148 -273.71
9.14184 53.7799 | -0.659514 -0.0685816 | 52.9042 106.63
-54.4537 51.5858 | 0.0837118 0.156247 | -42.6538 -137.758
29.1381 67.6409 | -0.230415 -0.28173 | -581.94 -349.261
-44.3622 60.511 | 0.216176 -0.942648 | 0.452607 1.37608
8.01069 69.4275 | -0.123827 0.0279141 | -1.81899e-12 5.68434e-12
24.5833 45.896 | 0.506278 0.696784 | 0 1.81899e-12
-15.3946 71.396 | 0.290681 -0.0164797 | -2.04636e-12 1.81899e-12
33.8396 66.1006 | -0.283818 -0.0391741 | -296.088 426.697
17.878 40.9317 | 0.222387 0.00868014 | -133.203 223.733
-23.2574 27.8591 | -0.520496 0.538744 | -3910.29 7029.53
-32.3515 84.2368 | -0.384803 -0.219843 | -15.5846 114.669
-30.9275 21.0607 | 0.207024 0.174802 | -22.1001 116.557
39.4596 -6.65624 | -0.135734 0.404867 | 19.8445 65.0343
88.4437 -29.5261 | 0.548614 -0.553188 | 208.922 74.2696
-47.6859 -10.7354 | -0.254754 0.703409 | -3.63798e-12 -1.00044e-11
55.7165 -34.3425 | 0.822796 -0.0459191 | -158.647 -2032.38
-1.82969 -8.51987 | -0.337764 0.231802 | 0 1.36424e-12
32.0984 -57.129 | -0.159584 0.623549 | -4.16815 -86.5639
9.16356 -26.5608 | 0.303935 -0.170095 | 1.81899e-12 -1.72804e-11
41.8074 26.2943 | -0.0686895 0.265156 | -1852.64 -1469.94
-6.07287 93.2712 | 0.339104 0.017449 | -34.526 -310.821
-55.4687 -18.2745 | 0.277921 -0.142772 | -694.027 -1707.95
-36.2615 9.83207 | 0.567061 0.261466 | 2157.19 -1676.32
-15.379 18.8897 | 0.149622 0.297849 | 7.95808e-12 6.82121e-12
-28.4359 -16.9892 | -0.0150746 0.307425 | 2.86641 18.1809
-61.1105 -46.4089 | -0.350877 0.164867 | -462.407 -1501.77
25.8231 -25.9766 | 0.227933 -0.225489 | 58.9965 115.066
-45.0972 19.0578 | -0.224921 0.821569 | -1.65194 -333.463
-28.6838 54.4883 | -0.354259 -0.177708 | -205.27 468.59
-12.2571 -26.5739 | 0.0745394 0.184297 | -1.81899e-12 7.27596e-12
5.87532 85.7242 | -0.0198423 0.20579 | -1.45519e-11 -1.54614e-11
59.5287 -14.5705 | 0.482532 0.313611 | 1.81899e-12 -2.27374e-12
14.3517 -40.4737 | 0.522296 -0.435191 | 2.27374e-13 5.91172e-12
31.8869 3.11255 | 0.302337 -0.0673603 | 1.7053e-12 7.27596e-12
1.9084 37.0453 | 0.155707 0.0954362 | 4.66116e-12 9.54969e-12
47.5474 -10.1804 | 0.240166 -0.0272319 | -1.59162e-11 -2.72848e-12
12.3218 -90.2835 | 0.536271 -0.00187193 | 3.09228e-11 -1.81899e-11
-51.9679 -23.8903 | 0.436195 -0.134628 | -1473 -1993.29
-61.6749 -41.0756 | -0.718521 0.39238 | 907.793 1585.28
53.5348 7.85396 | 0.376209 0.0659121 | 7.7307e-12 -7.04858e-12
-31.735 -84.1044 | 0.566621 0.00679282 | -8.30995 -9.82155
-21.5333 -61.5159 | -0.521551 -0.0253577 | 225.796 -603.657
-26.7174 -59.5015 | -0.327442 -0.436215 | -348.576 124.582
-16.2665 -12.8376 | 0.1285 -0.361019 | 43.6158 -139.685
70.8545 26.306 | -0.171705 0.370092 | -13.004 -40.6477
51.2541 36.4487 | 0.990639 -0.160542 | 3.71569 5.358
71.6582 23.2531 | -0.119522 -0.146431 | -39.2212 200.453
-71.4503 48.1091 | -0.162668 -0.220966 | -577.791 2049.74
