65.7095 -68.0396 | 0.415509 0.0290436 | 3.63798e-12 0
-11.6609 17.3381 | 0.27475 0.440503 | -107.142 -703.818
-6.71145 -61.8904 | 0.204347 0.225168 | 1.31877e-11 -1.81899e-12
4.11319 88.0064 | -0.0130702 -0.112056 | -119.578 -240.488
-29.3615 47.5552 | 0.109844 0.358899 | 7.27596e-12 7.27596e-12
-49.4474 -67.3537 | -0.180568 0.25431 | 421.097 632.76
-71.4417 6.45454 | -0.709349 0.143072 | 4.49063e-12 4.54747e-12
67.6189 -33.5837 | -0.115923 -0.289055 | 9.09495e-12 7.95808e-13
21.637 69.1259 | 0.0885322 -0.11301 | -4.54747e-13 -4.09273e-12
-50.1418 77.5073 | 0.0810946 0.0701558 | 133.035 -860.792
-1.63985 4.32904 | -0.441692 0.191746 | 8.18545e-12 6.87805e-12
-13.614 -20.0197 | 0.321802 -0.674425 | 1277.76 -1370.62
10.3525 32.1817 | 0.394706 -0.308726 | 7.27596e-12 5.00222e-12
68.107 -43.2397 | 0.157295 -0.613298 | -0.223066 0.151991
-92.5287 19.0694 | -0.0314794 -0.169156 | 1.63709e-11 7.27596e-12
48.5415 70.8964 | 0.217787 0.094406 | -5.49793 -9.29981
-35.2128 -22.967 | 0.213228 -0.0802105 | 5.11591e-13 -7.27596e-12
-32.7614 13.8985 | 0.403169 -0.162616 | -1.81899e-12 2.72848e-12
-51.5319 55.2476 | 0.176405 0.306614 | -29.9652 32.3734
2.63435 56.0532 | 0.4074 -0.259764 | 2.72848e-12 -9.09495e-12
-56.2225 49.9412 | -1.23367 -0.379278 | -57.1793 665.327
44.2784 77.9559 | 0.527602 -0.352717 | 5.49793 9.29981
83.8047 7.6489 | -0.026078 -0.397777 | 3.18323e-12 5.68434e-12
-22.8323 38.0657 | -0.31199 0.113409 | 570.57 -338.22
-84.7935 -16.9287 | -0.262459 0.49917 | -1.15961e-11 1.81899e-12
25.3769 17.2317 | -0.431751 0.644452 | 41.1385 78.6402
62.8211 -57.5271 | 0.0903035 0.0171933 | -1.18234e-11 -1.02318e-11
7.2486 -42.7041 | -0.080239 0.0530346 | -31.61 84.4482
-51.9669 20.1148 | 0.111876 -0.158016 | 4.54747e-12 9.09495e-13
54.8703 -12.2302 | 0.375466 0.0995698 | 688.473 -308.893
-19.0607 3.83656 | -0.712015 0.0239112 | 2.72848e-12 -5.45697e-12
-35.7169 53.7689 | -0.498833 -0.00615034 | 87.1445 -697.701
-18.6158 65.7876 | 0.186399 0.115617 | -4.54747e-12 4.54747e-12
