36.3942 -58.0073 | -0.0392639 -0.804765 | 3017.37 3419.66
42.7759 8.734 | 0.159562 1.47274 | -628.42 -3624.25
0.566845 -46.2356 | -0.541322 -0.14959 | -508.075 -1067.35
5.32554 62.9524 | 0.115048 0.572211 | -3100.2 6673.19
-15.2783 28.5344 | -0.140485 0.431694 | 101.437 -1696.17
-37.5032 -48.7663 | 0.0078562 1.48719 | 7847.99 -15512.4
-64.241 -11.7277 | 0.303303 0.473455 | 140.856 113.862
62.2688 -25.183 | 0.191532 0.283279 | 631.48 -1245.74
25.7342 49.5786 | 0.47426 1.06658 | -4290.15 -8009.03
-14.2789 68.1548 | 0.213946 -0.251909 | 876.698 -1178.34
33.7471 4.17189 | 0.842697 0.594886 | 2950.62 -3436.45
14.1461 -30.3098 | -0.0355717 0.919844 | -2090.03 4557.39
7.18149 19.8783 | -0.0772042 -0.390363 | -114.021 11412.4
40.8752 -28.3903 | 0.0785932 -1.25212 | 192.784 290.15
-54.2361 38.7557 | -0.475136 -0.696497 | -487.732 941.682
43.2527 51.9486 | 0.915859 -1.83702 | 4789.72 8090.26
-31.0568 -22.086 | 0.0520321 1.63932 | -22.0926 -66.9114
-32.241 1.96129 | -0.0509713 -0.830333 | -562.579 -8912.09
-58.3213 43.2032 | 0.320357 1.89648 | -31.5866 -1568.36
16.6735 30.9549 | -0.26168 -0.799313 | -48.3023 5078.98
-29.7868 40.291 | -0.433111 -0.243785 | 187.652 -208.409
31.6244 55.4042 | 0.0700792 -0.0404687 | -68.4496 0.230931
61.6939 40.1948 | 0.496536 2.78556 | 354.774 942.421
-43.7703 16.0062 | 0.27888 -0.419423 | 896.477 -1050.67
-64.6082 -13.4886 | -0.316887 0.140173 | -5775.87 7425.88
58.6151 13.1365 | 0.303845 -1.2726 | 282.967 -341.901
48.6933 -53.3566 | 0.474035 1.34224 | 825.149 1123.7
-12.6248 -40.7808 | -0.220874 0.988526 | -274.149 3922.69
-37.0938 6.32273 | 0.205992 0.0647947 | -652.672 4092.57
