-73.5279 -8.84043 | -2.53835 -0.922267 | 2815.76 4062.21
-45.6234 -27.5368 | -1.68212 -0.771355 | 1482.5 -1011.52
14.5518 -32.5527 | -0.64284 -0.367409 | 170.228 1555.04
-12.0279 19.5337 | 0.37434 0.533112 | 2243.85 2089.94
-54.0527 -60.6151 | 0.829471 -1.90441 | -90.7649 -258.814
-56.8462 -36.2611 | -1.70464 -1.1637 | -1.93268e-12 -2.95586e-12
-17.2659 -11.4725 | 0.266131 1.08036 | -61.3775 -206.335
-53.4003 24.8416 | -0.398051 1.18483 | -778.484 -1110.22
10.6796 62.5434 | -0.0765917 1.77227 | -802.922 394.103
-23.1816 -54.4158 | 0.702534 -1.10361 | 186.346 -1486.27
-6.65505 -63.7623 | 1.21932 -1.73137 | -101.082 -55.0922
47.7521 12.7403 | -0.341661 0.76913 | -48.2935 -469.255
-29.2054 -21.7934 | -0.185078 -0.198164 | -1506.72 1368.08
12.2007 -49.0114 | -0.253508 -1.55803 | 1748.55 1898.28
-81.0204 19.2557 | -1.08764 0.315904 | -45.7178 -3367.77
-57.3598 10.2219 | -1.89443 0.147877 | -312.367 680.377
-50.741 5.61593 | -2.34309 -0.584712 | -2122.61 -3548.55
69.8577 42.4398 | -0.115808 0.36765 | -206.945 351.439
25.3913 8.26335 | 1.29811 -0.182385 | -845.215 -2379.17
-24.9151 15.2508 | 0.227407 -0.258254 | -74.033 95.2919
57.5167 -22.1977 | 2.3954 -0.0935559 | -76.7918 -656.596
-17.042 -92.1837 | -0.138539 0.355232 | -235.393 -630.573
27.055 59.1214 | 0.504763 1.95956 | 0 -1.36424e-12
57.6063 23.5422 | 1.43858 0.455587 | -4366.91 7535.41
-20.963 81.9632 | 0.868943 1.82166 | 346.857 -104.748
9.07164 -22.884 | 0.753076 0.677486 | 100.606 -479.34
63.5365 -1.49383 | 0.419252 -0.562877 | 664.949 2545.11
-31.1401 -16.0235 | -0.485782 0.197498 | -235.752 -1057.93
62.216 -8.12151 | 1.69662 -0.189272 | -537.857 -1134.15
25.2154 81.8274 | 0.237276 3.22885 | -41.9594 267.461
-35.9553 37.533 | -1.65912 0.573706 | 4.47836 -38.2513
-28.6505 -8.29168 | -1.08203 -0.685264 | 1619.21 -5122.27
-2.87848 -44.627 | 0.512292 -0.944121 | -434.012 -601.71
-19.8239 40.2804 | 1.41929 -0.096167 | 233.483 1217.19
-59.3003 6.99598 | -0.805548 -0.30585 | 1902.89 5421.38
14.0895 -12.1065 | 1.15639 0.265285 | -2407.73 -3540.48
23.3388 -18.5743 | 1.96206 -0.183802 | 325.772 890.049
-68.4734 -33.7005 | -1.95629 -0.605118 | -1419.09 -2271.77
14.632 -70.0061 | 0.283964 -1.63397 | 444.525 2979.39
36.7036 -70.9988 | 0.525977 -1.51096 | -11.0533 25.4942
12.4023 52.3581 | 0.193037 1.05039 | 25.1265 21.0751
-10.7686 -59.7084 | -0.32899 -1.28859 | 109.965 124.528
-19.451 -27.415 | 0.145757 0.189354 | -474.737 1228.35
-70.6149 7.24162 | -0.359152 0.72141 | 240.447 -863.872
-54.0931 67.6473 | -0.296169 0.980119 | 581.684 -1191.77
46.1459 -11.5087 | -0.0751634 -0.750221 | -240.964 291.392
-38.4964 -77.5187 | 0.0541797 -0.610154 | -476.758 4580.56
20.8707 -0.738901 | -0.00850528 -0.024195 | -1789.41 2063.68
-6.66918 21.1681 | -1.89348 -0.126619 | -1287.92 816.75
-5.57035 23.4202 | 1.35789 -0.356431 | 353.009 -466.939
22.5618 15.1533 | -0.161699 0.987142 | -102.954 120.852
-2.4797 26.934 | -0.125397 -0.0259088 | 206.963 -1379.22
-20.229 68.9072 | -0.117917 1.4866 | -4.09273e-12 1.81899e-12
-75.3939 -42.2511 | -1.52312 -0.827965 | 3721.19 664.141
16.3589 26.3985 | 1.06524 0.629643 | 829.81 -2061.24
28.3708 -85.7974 | 0.699215 -1.00438 | -1477.14 4328.14
-29.9246 -2.50245 | -0.353823 0.797444 | 396.212 1356.34
-19.4695 38.0208 | -2.645 0.147528 | -237.961 -1178.94
-68.9224 -52.6915 | 0.0160019 0.602189 | 1.00044e-11 -2.00089e-11
-16.0506 -6.71679 | 1.45264 -0.596061 | -7769.55 7626.26
54.3866 -46.8299 | 1.04894 -0.851479 | -99.7852 -996.123
11.3939 -4.73783 | 0.198793 0.078588 | 3675.59 -5591.74
50.6206 -5.17491 | -0.907386 0.945705 | -742.827 -1427.95
29.8708 -39.2087 | 0.51061 -0.0493751 | 2237.01 -2333.92
40.5183 -60.3654 | 0.725651 -2.04176 | 377.172 -7229.67
-15.7651 29.9262 | 0.0756807 -0.0221233 | 3.18323e-12 -2.95586e-12
-24.4569 -41.849 | 0.609713 -0.457048 | -6.78806 -8.91251
13.619 -26.0283 | 0.545339 -0.612473 | 110.37 675.514
