53.7637 -65.2445 | 1.25296 -0.995429 | 0 2.04636e-12
43.183 8.23306 | -0.0833934 -0.551014 | 5.91172e-12 -5.42721e-12
-1.55111 -42.7675 | 0.11817 -0.354838 | 130.104 -369.244
8.41141 76.3019 | -0.373879 0.788514 | -255.113 -340.652
-14.0643 25.0705 | 1.14093 -0.323214 | -1.81899e-12 -5.68434e-14
-26.9471 -51.5988 | 0.904478 -0.916919 | 1.7053e-12 1.81899e-12
-68.9232 -0.572524 | -1.03231 -0.395731 | -18.6848 54.6525
73.8944 -33.6585 | 1.95987 -0.388693 | 7.39783 -58.053
31.1485 54.9302 | 0.234047 1.11428 | -1.7053e-12 -5.45697e-12
-13.6371 84.6651 | -0.639102 1.87716 | -8.81073e-13 -1.12763e-11
38.6516 2.00087 | -0.799403 -0.0433345 | -293.769 1281.99
10.8264 -27.2349 | -0.152936 -0.129016 | -1.59162e-12 1.03455e-11
17.6524 21.1255 | 0.236946 0.927293 | 192.56 562.377
63.2832 -36.7108 | 1.77315 -0.818814 | -365.021 1386.48
-68.6763 40.4171 | -1.76422 1.24681 | 6.82121e-13 2.04636e-12
57.5311 66.9537 | 0.833188 1.39952 | 1.36424e-12 -4.54747e-13
-16.8631 -20.1421 | 0.660292 0.84236 | -9.09495e-13 -6.0254e-12
-38.3914 2.01905 | -0.3137 -0.240602 | -2699.18 4790.71
-63.2012 49.3925 | -0.496231 1.50992 | -1.81899e-12 9.09495e-13
7.87098 32.9464 | -0.227672 -1.31755 | -9.09495e-13 -1.36424e-12
-45.0426 43.536 | -1.34148 0.111821 | -1.81899e-12 6.70752e-12
35.5334 65.597 | 0.638683 1.49449 | -1.47793e-12 2.72848e-12
72.7773 46.1483 | 0.411267 0.386857 | 1.81899e-12 -5.45697e-12
-45.0509 15.6404 | 0.28544 0.882172 | -226.065 527.071
-73.3099 -5.67431 | -0.462653 0.832823 | -44.7175 -101.913
70.3359 6.3658 | 1.88035 -0.572514 | -1.13687e-13 -5.00222e-12
56.8009 -53.0556 | 0.668868 -0.696387 | -6.82121e-13 2.72848e-12
-12.2092 -36.7579 | 1.01992 -0.450605 | 1030.14 -5599.07
-37.7976 4.42451 | -0.632899 -0.370972 | 2.27374e-12 8.18545e-12
41.7419 -10.8044 | 0.759828 -0.0945084 | -3.39919 10.6221
-12.0353 9.48616 | -0.088196 -0.518862 | -3.63798e-12 -1.93268e-12
0.66795 38.7019 | -1.71335 -0.34687 | -198.252 498.523
-16.7214 50.5594 | -0.874241 1.06682 | 2416.45 3546.49
-7.53744 56.5003 | 0.0221679 0.843863 | -2.27374e-13 3.63798e-12
-26.5862 33.1294 | -1.49538 1.06218 | 198.252 -498.523
-9.7482 -95.8746 | -0.00258564 1.59519 | 8.18545e-12 1.54614e-11
4.36326 -33.972 | -0.672867 -0.733356 | -1111.41 5414.83
-59.9032 -18.0445 | -0.408702 0.728858 | -7.4586 -329.558
11.8825 28.1022 | -0.839543 0.411376 | -15.5064 38.5488
-32.7208 -7.43658 | -0.593615 -0.720744 | 2155.19 -3646.16
-15.6197 94.6782 | -0.102208 -1.80958 | 2.6148e-12 -1.00044e-11
-22.8458 -85.7206 | -0.105394 -1.73472 | 4.448e-12 1.25056e-12
58.4282 -40.5024 | 1.84882 -2.13263 | 365.021 -1386.48
2.04447 -13.1568 | -1.55339 -0.462995 | 560.042 -491.648
22.2321 -68.7973 | 0.0474413 -0.958147 | 22.6526 819.745
-21.2311 48.5063 | -0.820149 1.5163 | -2416.45 -3546.49
64.3105 54.2856 | 0.98319 0.733071 | -2.72848e-12 0
-52.5008 60.1838 | 0.662735 -0.81124 | 7.19069e-12 3.63798e-12
32.8857 -42.3778 | -0.329556 -0.700331 | -149.847 311.732
38.4397 -6.20024 | -1.15465 -1.15938 | 0 -4.88853e-12
40.5449 36.1034 | 0.272643 0.72314 | 1707.95 -2883.93
-65.7446 -47.1119 | 0.778833 -0.982809 | 0.500641 -0.98476
29.0792 -22.8919 | 0.483018 -1.07353 | 3.43903e-12 4.3201e-12
41.626 42.1667 | -0.216824 0.649431 | -1707.95 2883.93
58.6907 30.3926 | 1.58118 0.564179 | -4.3201e-12 -1.15961e-11
-3.68282 -11.0075 | -0.575609 0.577278 | -2099.27 -2538.25
20.2124 -48.5897 | -1.04449 -0.297523 | -2.84217e-13 -9.09495e-13
-36.2487 -29.756 | 0.0367795 -0.666782 | -4.54747e-12 -1.05729e-11
16.9399 13.5 | -0.147805 -1.03323 | -1.81899e-12 -4.54747e-13
29.6061 6.4554 | 1.31201 -0.389642 | 38.9598 90.437
65.1776 24.7252 | 1.24415 0.400314 | 189.729 398.636
18.7575 -19.5278 | 0.947369 -0.641731 | 385.135 -1629.45
12.2915 -51.252 | -0.139995 -0.703954 | -4.54747e-13 -2.95586e-12
15.4249 45.9492 | -0.958395 1.47113 | 0 4.54747e-12
-26.2265 -75.41 | -0.996626 -1.32729 | 9.09495e-13 2.95586e-12
-38.83 -70.7732 | 0.0951878 -2.04971 | 1.13687e-13 -2.27374e-13
-33.5851 72.5223 | 0.142115 0.89371 | 2.27374e-12 -3.75167e-12
50.88 -13.6604 | 0.546581 0.00476075 | 3.39919 -10.6221
-47.9972 37.3035 | -0.931462 0.20183 | -5.28644e-12 1.02318e-11
-7.09015 -63.8544 | -0.0969955 -0.719677 | -9.09495e-12 -3.63798e-12
21.1482 86.0012 | 0.186169 0.706754 | 255.113 340.652
-53.158 -16.4567 | -0.0918033 -1.16411 | 7.4586 329.558
3.50402 18.3284 | 0.476357 0.640529 | -177.054 -600.925
1.09787 -6.99199 | -0.28902 0.595374 | 1539.23 3029.9
38.0025 -16.4813 | 0.637485 0.845661 | -385.135 1629.45
24.0192 25.9386 | 1.15401 0.541402 | 6.0254e-12 -9.09495e-13
0.337482 -28.1593 | -0.985056 -0.650006 | 101.015 241.752
19.7908 -76.2654 | -0.427894 -0.98203 | -22.6526 -819.745
