6.83652 14.1158 | -0.855637 0.248631 | 2.38742e-12 4.3201e-12
26.8282 -35.5511 | 0.262395 -0.881002 | 1.47793e-12 -2.72848e-12
-21.051 -29.8572 | 0.00870244 -0.116698 | -1.81899e-12 1.00044e-11
-22.2893 48.1903 | 0.810193 1.52245 | -5.60355 -197.281
46.1922 14.8484 | 1.23339 0.0997758 | -1985.22 2630.24
-10.3317 80.0735 | -0.47157 1.25532 | -7.21911e-12 -2.72848e-12
-18.0179 92.1885 | -1.98153 -1.56007 | 8.18545e-12 3.97904e-12
-29.922 75.5705 | -1.31322 1.63626 | 1.02318e-11 1.25056e-12
-13.5588 13.8491 | 0.369418 -0.564361 | -26.0018 -94.4108
14.3538 54.7086 | 0.582859 0.643365 | -3.41061e-12 3.86535e-12
-47.661 -40.526 | -1.13199 -1.84034 | -3025.94 3312.05
62.7429 34.2863 | 0.34957 0.582468 | 9.09495e-13 -5.00222e-12
53.9335 73.1145 | 1.60819 0.870315 | -3.41061e-13 -2.50111e-12
5.8482 -15.4058 | 1.45022 -0.414633 | 9.09495e-13 -4.3201e-12
-18.0265 -56.3411 | 0.923396 -0.499071 | -72.2148 -331.56
-17.798 25.772 | -0.200441 -0.0587325 | -941.323 3989.86
73.1841 8.63312 | 1.39714 -1.07862 | 837.483 -639.267
13.241 42.4634 | 0.0106687 0.815741 | -2.95586e-12 5.00222e-12
67.7643 -18.4072 | 1.50757 0.566151 | 1.81899e-12 -4.54747e-13
19.2253 27.1464 | -0.0420176 0.358342 | 89.5373 2197.67
-12.1991 -26.8113 | 0.332813 0.17848 | -3.63798e-12 0
66.5994 5.158 | 0.492909 -0.203846 | -39.5019 -644.356
56.1673 42.7086 | 0.235071 -0.297068 | 0.269309 93.0626
-67.9028 45.8546 | 0.0432726 1.09743 | -1.77351e-11 -3.35376e-12
68.1368 25.7179 | 0.812026 0.00373726 | -5.45697e-12 -3.32534e-12
-13.8739 30.4942 | -0.463443 1.20095 | -67.2003 -2215.37
37.6639 34.0916 | 0.00276783 1.26306 | 876.345 12.6031
71.3036 -26.6393 | 1.94006 -0.731012 | 15.3291 -143.662
28.7069 12.8793 | 0.725396 -0.0711684 | 4.54747e-13 -2.84217e-13
47.2394 -36.9875 | 0.511995 -0.611433 | -3.63798e-12 -2.04636e-12
-56.7594 4.32893 | -1.41125 0.150911 | 1.13687e-12 7.95808e-13
14.4741 35.8352 | 0.938353 -0.610541 | -270.476 805.859
-65.3785 16.0785 | -1.02938 0.436384 | -2.72848e-12 3.0127e-12
-70.3877 -1.15441 | -0.383292 1.15543 | 2.50111e-12 -1.13687e-12
14.0807 -60.5506 | 0.404473 -1.71146 | -86.0258 -169.972
-13.9334 -40.6485 | -1.69995 0.110231 | -5.43579 -63.3436
43.857 -2.35244 | 0.35227 0.892464 | 6.13909e-12 -6.82121e-13
-4.58127 69.2373 | 0.37339 1.12152 | -6.82121e-13 -7.04858e-12
-34.1421 -62.0555 | -1.30673 -0.708543 | -5.91172e-12 -2.27374e-12
-68.472 37.8348 | -0.357463 0.499079 | 9.09495e-13 -1.36424e-12
-15.1779 21.913 | 0.0224913 -0.711002 | 941.323 -3989.86
-3.01441 -94.7462 | 1.12317 -0.284557 | 2910.67 -2953.44
33.0167 20.745 | 0.603667 0.076459 | -9.09495e-13 -2.04636e-12
-64.5215 -24.267 | -0.208842 -1.53214 | 1.13687e-13 2.50111e-12
-50.3133 23.3124 | 0.619274 0.275976 | -1.36424e-12 -1.76215e-12
-43.6804 -24.1515 | -1.03097 -0.715213 | -8.18545e-12 4.86011e-12
-3.55219 45.1045 | -0.0576171 0.87039 | 6.82121e-12 -4.88853e-12
68.7736 -44.6575 | 0.495757 0.161574 | 2.16005e-12 -2.95586e-12
65.104 46.5014 | -0.279255 0.934524 | -1.27329e-11 -3.21165e-12
-3.39898 -1.73212 | -0.54183 -0.056178 | 0 4.77485e-12
80.4642 14.9645 | 0.813342 1.19244 | -2.72848e-12 2.72848e-12
23.1345 92.4979 | 0.369781 -0.410765 | 19.3736 114.024
10.6398 -53.2495 | 0.155353 -0.868856 | 158.241 501.532
19.1 81.0035 | 0.570318 0.291765 | -19.3736 -114.024
-73.6897 -5.3616 | -0.889988 0.252861 | 2.75691e-12 -3.18323e-12
8.93836 -88.1338 | -1.13917 -1.28806 | -6.36646e-12 -2.72848e-12
-58.6488 -37.9146 | -0.517689 -0.657933 | -2.04636e-12 -4.09273e-12
-20.6391 34.7896 | 0.376105 0.644681 | 38.1657 -445.335
-32.0973 52.4717 | -0.624724 0.802455 | 3.86535e-12 3.63798e-12
-19.1944 -76.9912 | -0.892273 -2.07769 | -2.27374e-13 -9.09495e-13
58.6507 -0.0452808 | 1.40631 0.673464 | 2.92744e-12 -4.09273e-12
20.977 49.6771 | 0.499872 0.62539 | 5.60355 197.281
-66.0824 -44.2573 | -0.533802 -1.73423 | 3025.94 -3312.05
-86.087 17.5046 | -0.872304 1.34035 | -4.54747e-13 5.45697e-12
-19.8279 -91.3122 | -1.49869 0.155368 | -2910.67 2953.44
-6.26697 -6.36171 | 0.0433829 -0.64617 | 1.36424e-12 -5.45697e-12
40.7497 -30.0933 | 0.763894 -0.247822 | 3.75167e-12 -4.54747e-12
-48.1281 65.373 | -1.11564 2.83119 | 6.36646e-12 -6.82121e-13
-39.8197 -78.9662 | 1.00603 0.441777 | 2.27374e-12 5.45697e-12
-65.7945 -58.1096 | -1.55139 -1.39785 | 1966.8 8070.57
7.28654 -35.3253 | 0.238743 -0.30645 | -3.86535e-12 4.718e-12
5.90076 -38.2285 | -0.482515 -1.0108 | 5.43579 63.3436
-49.3508 -49.8276 | -1.01977 -1.39762 | 5.68434e-14 4.54747e-12
-74.8683 -14.2699 | 0.676907 0.977422 | 8.86757e-12 1.63709e-11
21.5018 -69.7972 | 0.512898 -1.27542 | 2.27374e-13 -4.3201e-12
19.9532 -49.2134 | 0.965875 -1.23714 | -7.7307e-12 -8.86757e-12
21.6614 -17.4517 | 0.861963 0.564689 | 3.86535e-12 -2.72848e-12
5.45132 32.2253 | 0.520574 0.770952 | -665.285 -444.271
-58.0024 -64.0671 | 0.45888 -0.932194 | -1966.8 -8070.57
28.5085 0.294443 | 1.03232 0.778623 | 1187.24 -1346.61
54.2426 -31.7105 | 0.162875 0.346378 | 3.41061e-13 -1.13687e-13
8.70428 24.055 | 0.44535 -0.594345 | -1.35616 -4.21721
40.7773 -8.8918 | -0.302551 0.621612 | 3.04112e-12 -2.02505e-12
-13.2977 -13.4829 | 0.239373 -0.0981682 | 1.0042 0.934585
37.0939 -19.4299 | 0.90935 0.677362 | -15.3291 143.662
-16.0345 -19.2001 | 0.427422 -0.0405172 | -1.0042 -0.934585
-53.4669 30.1714 | -1.21874 0.418679 | 26.0018 94.4108
27.453 64.7768 | 1.37802 1.18735 | 6.65068e-12 -8.52651e-13
-26.8261 -2.6385 | -0.434428 -1.2449 | -1.81899e-12 7.56017e-12
38.8138 -82.7644 | 0.904333 -1.22934 | -9.09495e-13 -2.72848e-12
56.3774 -68.9729 | 0.165014 -1.3353 | -9.09495e-13 -1.81899e-12
-29.9219 -27.0338 | 0.0214273 0.629725 | 94.8084 146.072
-48.8604 15.6594 | -1.02492 0.876781 | 3.18323e-12 1.76215e-12
-58.3039 69.25 | -1.19434 0.532037 | 4.09273e-12 -4.54747e-13
-48.7102 47.6437 | -0.553273 2.08112 | -3.18323e-12 -7.27596e-12
-70.5846 -22.7153 | 0.411775 -0.731222 | -2.6148e-12 1.13687e-12
40.1011 -54.5073 | -0.278085 -0.483584 | 211.212 1320.01
