-50.0865 -27.0989 | 0.130383 -0.488896 | 3.20717 234.472
51.2864 -70.3376 | -0.5933 -1.55284 | -640.901 913.47
-17.3979 51.3309 | -0.725358 1.38828 | 815.422 1254.5
-13.7363 -8.41357 | -0.742475 -0.401066 | 30.5041 -2283.84
-59.1554 5.35091 | -1.52748 -0.0579747 | -1733 248.751
-41.7258 37.7691 | -0.979406 0.402605 | 189.903 364.744
67.0258 40.7105 | -0.657838 0.116132 | -9.09495e-13 -7.27596e-12
11.6771 20.2147 | 0.203292 0.140262 | -200.656 685.612
-68.4368 31.1084 | -1.37806 1.14408 | 9.09495e-13 -9.09495e-12
-66.9605 21.7779 | -0.896267 0.875143 | 1005.68 500.208
3.59944 -49.5133 | 0.384296 -1.18411 | 1.36424e-12 -5.22959e-12
-0.978864 -36.6338 | -0.519693 -1.36214 | 864.46 -1754.63
72.1164 33.2736 | 0.968733 0.484399 | -230.268 514.435
-15.9547 -83.7676 | -0.196184 0.202328 | -214.523 144.899
-36.4043 -70.3598 | 1.45472 0.0452046 | 6436.29 -1058.55
-70.905 26.0511 | -1.98464 0.546084 | 4.3201e-12 5.22959e-12
-3.29486 -51.0616 | -1.20507 0.0637875 | 403.687 521.547
22.1721 52.1486 | -0.0204569 0.252084 | -81.3245 59.3381
-42.4937 48.6563 | -1.60727 1.52815 | 2.50111e-12 3.41061e-12
42.1349 -14.5054 | 1.86072 -0.0292647 | -600.756 -3409.43
35.1089 -42.2878 | -0.194835 -1.06415 | -4.54747e-12 -9.09495e-13
31.9009 -73.7095 | 0.110474 -0.829485 | 37.9977 447.274
17.3938 77.7384 | -0.718666 0.563985 | -441.842 -1418.94
-20.3129 -13.7852 | 0.571863 -0.153087 | -16.7852 -20.5881
63.2188 -22.9624 | -0.0156222 -0.633998 | -306.224 -409.909
-52.9071 56.9175 | -0.539334 1.46341 | 1929.4 1701.51
-23.9637 -30.4222 | 0.638025 0.226792 | 2.72848e-12 -5.22959e-12
72.0267 -14.2168 | 1.15017 -0.49736 | 181.074 505.898
14.7331 -47.779 | -0.598381 -0.821875 | 8.52651e-13 7.7307e-12
-41.8657 79.9233 | 1.31117 0.967411 | 5624.14 -2571.67
33.9662 -2.48485 | -0.129734 -0.168436 | -28.6659 -28.1363
-50.8918 79.1348 | -0.61953 -0.431145 | -4019.46 4306.26
4.06151 17.154 | 0.392152 0.159734 | 2541.48 -831.328
32.8446 25.7509 | 1.09883 0.303482 | 271.344 -622.675
-72.8568 43.833 | -0.505092 0.259049 | -213.718 1519.77
56.097 -66.6119 | -0.177475 -0.455875 | 156.991 698.679
19.2442 -64.193 | 0.29941 -1.76534 | -352.572 -505.234
42.638 62.3559 | -0.427439 1.34531 | -283.933 310.304
62.8498 43.7347 | -0.731347 -1.14414 | 791.79 -205.102
-68.1593 -45.4001 | -1.00297 -0.128799 | -1082.74 -1461.78
-20.2921 65.7062 | 0.448682 1.74542 | 50.8983 -215.549
10.4054 27.5857 | -0.176415 0.532504 | -552.277 -191.106
76.9665 -4.28135 | -0.146879 0.700037 | 241.038 -7521.66
-11.4201 -35.3867 | 1.00777 -0.995501 | -864.46 1754.63
-7.40067 -72.4441 | -0.47854 -0.963617 | 7.30466 -23.9355
-12.0315 82.8412 | 0.804898 -0.148069 | -1128.23 -2406.73
7.08218 96.9822 | 0.506228 1.09465 | -2.91038e-11 3.63798e-12
-22.4011 26.5988 | -0.331311 -0.483468 | 695.132 -1378.23
24.547 31.1192 | -0.19845 0.712124 | 63.1123 -104.364
43.7954 5.00059 | 2.25257 -0.365292 | -9.66338e-13 2.72848e-12
-26.8826 -89.4264 | 0.729337 -0.408011 | -1.6817 -52.8389
-13.0294 -4.33917 | 0.686904 -0.403886 | -182.052 -297.639
12.6704 -60.4046 | -0.299405 -0.849974 | -6.20049 51.6213
