5.85832 14.2588 | -1.23141 -0.0480579 | 2.50111e-12 4.3201e-12
27.0932 -36.431 | 0.321329 -0.857842 | 602.249 246.223
-21.1121 -29.7262 | -0.241772 0.0171088 | -273.795 -1321.46
-21.49 49.8011 | 0.759803 1.59803 | -1.81899e-12 -5.68434e-12
47.0036 15.1227 | 0.633009 0.594941 | -326.277 -382.122
-10.7283 81.2644 | -0.048416 0.89795 | 65.9841 -133.184
-20.0512 90.7036 | -2.24674 -1.15812 | 404.093 1119.77
-31.1665 77.082 | -1.20042 1.42375 | -470.077 -986.584
-13.2738 13.2871 | 0.276959 -0.537366 | -4.54747e-13 3.41061e-13
14.9367 55.352 | 0.582859 0.643365 | 9.09495e-12 -1.93268e-12
-48.7359 -42.2883 | -0.721287 -1.697 | 159.608 -141.068
63.0357 34.7689 | 0.16729 0.261704 | -4.54747e-12 1.81899e-12
55.5417 73.9848 | 1.60819 0.870315 | -1.59162e-12 1.33582e-12
7.31335 -15.5118 | 1.50429 0.151561 | 3.63798e-12 -4.54747e-13
-17.1202 -57.0146 | 0.920936 -0.672818 | -3.66995e-12 4.54747e-13
-18.1343 25.8235 | -0.399826 0.0985756 | 6.36646e-12 3.63798e-12
74.6969 7.46772 | 1.52094 -1.17147 | -1.59162e-12 -9.09495e-12
13.2728 43.4658 | 0.0165057 0.974276 | -1.45478 -6.59896
69.2895 -17.8125 | 1.54884 0.632712 | 6.82121e-13 2.95586e-12
18.7425 27.0635 | -0.608514 -0.0345759 | 9.09495e-13 -2.72848e-12
-11.8547 -26.4996 | 0.349455 0.741775 | 273.795 1321.46
67.3297 5.20705 | 0.86134 0.275207 | -2.38742e-12 1.13687e-13
56.5801 43.1914 | 0.467906 0.72914 | -9.09495e-13 1.36424e-12
-67.8799 46.9762 | 0.0150473 1.13064 | 7.27596e-12 -4.54747e-13
69.1863 25.9276 | 1.10485 0.25847 | 326.277 382.122
-14.21 31.5902 | -0.251599 0.735482 | 4.54747e-13 1.36424e-12
38.1592 34.7326 | 0.723013 0.576613 | -2.72848e-12 4.09273e-12
73.2358 -27.4919 | 1.93127 -0.872733 | -9.09495e-13 -3.35376e-12
29.3351 13.0177 | 0.730306 0.0859687 | -4.54747e-13 -6.36646e-12
47.5942 -37.6882 | 0.201349 -0.792742 | -1133.64 -841.938
-58.1516 4.5413 | -1.28627 0.513597 | 6.36646e-12 1.13687e-12
15.1254 35.743 | 0.441711 0.651588 | -41.356 831.53
-66.3718 16.1862 | -0.978472 -0.032637 | 2.72848e-12 1.81899e-12
-70.8897 -0.189767 | -0.710798 0.528697 | -103.637 -112.747
14.4328 -62.3478 | 0.325428 -1.84023 | 8.18545e-12 -2.27374e-12
-15.5145 -40.722 | -1.38572 -0.301765 | 1.36424e-12 -1.36424e-12
44.3177 -1.37366 | 0.527422 0.47179 | 0.00861617 -0.249672
-4.22241 70.3292 | 0.283223 0.93711 | 0 2.27374e-13
-35.4455 -62.7669 | -1.25254 -0.761648 | 7.68006 -5.02978
-68.8383 38.4123 | -0.385544 0.653348 | -4.54747e-13 6.36646e-12
-15.0243 21.1057 | 0.273067 -0.778897 | 5.91172e-12 8.18545e-12
-1.69755 -95.3747 | 1.26902 -1.43471 | -13.4132 -144.136
33.638 20.5988 | 0.663182 -0.162913 | -2.04757 -345.155
-64.7868 -25.9452 | -0.45949 -1.71988 | -2965.08 4437.09
-49.5788 23.8685 | 0.798135 0.711875 | -3.63798e-12 -4.77485e-12
-44.6347 -24.594 | -0.746448 -0.571083 | 2965.08 -4437.09
-3.60843 45.7746 | -0.0476925 0.282594 | 1.45478 6.59896
69.6963 -44.8113 | 1.06557 -0.260674 | 1.36424e-12 -1.63709e-11
64.8939 47.3267 | -0.0357025 0.549476 | 1.81899e-12 -6.88516e-12
-3.95629 -2.42569 | -0.508424 -1.12676 | -9.09495e-13 1.36424e-12
80.9977 15.9952 | 0.627106 0.650029 | -6.36646e-12 -1.95541e-11
23.5953 92.5471 | 0.478085 0.133381 | -3.63798e-12 -4.09273e-12
10.874 -54.2542 | 0.217689 -1.06246 | 2.95586e-12 -1.81899e-12
19.56 81.1017 | 0.432451 0.147972 | 9.5568e-13 3.41061e-12
-74.5797 -5.10874 | -0.889988 0.252861 | 2.72848e-12 -2.55795e-12
7.86868 -88.7315 | -1.09123 -0.338315 | 3.63798e-12 3.18323e-12
-59.2731 -38.5957 | -0.808101 -0.687424 | -159.608 141.068
-20.1508 35.7196 | 0.54757 0.879311 | 8.7752e-13 2.27374e-12
-32.7083 53.7569 | -0.470194 1.67737 | -4.66116e-12 -8.18545e-12
-19.661 -79.2379 | -0.446684 -2.16397 | 2.27374e-12 2.27374e-13
59.8188 0.500441 | 1.05863 0.658694 | 343.976 -628.325
21.411 50.63 | 0.272431 1.69269 | 4.54747e-12 1.11342e-11
-66.539 -46.1204 | -0.407286 -1.92469 | -9.09495e-12 -5.91172e-12
-86.6822 18.9073 | 0.138717 1.29647 | 103.637 112.747
-21.6014 -91.4269 | -1.73238 0.459845 | 13.4132 144.136
-6.11003 -6.47023 | 0.299194 0.238609 | -6.82121e-13 7.95808e-12
41.5086 -30.3465 | 0.661385 -0.364894 | 728.636 405.096
-49.2271 68.106 | -1.1658 2.30748 | -669.251 -2221.44
-39.3446 -78.2514 | 0.418244 0.748109 | -5.00222e-12 1.10276e-11
-66.2857 -58.6877 | 0.031599 -0.176938 | -8.6402e-12 3.63798e-12
7.45011 -35.8159 | 0.144532 -0.53693 | -5.91172e-12 1.13687e-11
5.46637 -39.1085 | -0.40891 -0.812897 | -6.59384e-12 -4.54747e-12
-50.3705 -51.2252 | -1.01977 -1.39762 | -4.88853e-12 1.3074e-12
-74.2301 -13.2552 | 0.630128 1.02246 | -1.81899e-12 1.81899e-12
22.0519 -70.9963 | 0.562234 -1.17394 | -2.72848e-12 -1.47793e-12
20.8993 -50.0238 | 0.896669 -0.211923 | -609.652 234.864
22.4112 -17.1453 | 0.607561 0.196018 | -27.9569 45.2278
5.93043 32.6457 | 0.555205 0.0798752 | 41.356 -831.53
-57.4279 -64.9782 | 0.878952 -0.575834 | -7.68006 5.02978
29.7266 0.651032 | 1.19557 0.515869 | -343.985 628.575
54.1408 -30.9542 | 0.00621877 1.06701 | 405.003 436.842
9.11969 23.6339 | 0.401096 -0.248515 | 2.04757 345.155
40.3865 -8.5853 | -0.417546 0.210321 | -2.27374e-12 8.18545e-12
-13.0962 -13.9309 | 0.271985 -0.517035 | 25.4762 268.393
38.0724 -18.8286 | 1.04817 0.391799 | 27.9569 -45.2278
-15.691 -19.001 | 0.127001 0.0697441 | -25.4762 -268.393
-54.5872 30.6681 | -1.08839 0.42534 | -1.36424e-12 -2.27374e-12
28.8505 65.6978 | 1.40783 0.787741 | 2.27374e-13 -3.18323e-12
-27.27 -3.13514 | -0.538414 0.133527 | -3.86535e-12 -2.27374e-12
39.6746 -83.9329 | 0.849846 -1.23567 | -98.1061 -628.834
56.3671 -70.1575 | -0.141171 -0.996504 | 98.1061 628.834
-29.8619 -26.9122 | 0.08717 -0.192711 | -3.41061e-13 -5.16209e-12
-50.0702 16.6771 | -1.30055 1.03586 | 2.27374e-12 1.25056e-12
-59.293 69.8258 | -0.806516 1.09052 | 669.251 2221.44
-49.3383 49.0888 | -0.837728 0.970743 | 6.25278e-13 -5.22959e-12
-70.1362 -23.2784 | 0.447777 -0.295396 | -1.36424e-12 1.81899e-12
39.8109 -54.9271 | -0.290441 -0.624456 | 7.40378 -481.087
67.8822 -58.2751 | 0.826171 -0.934433 | -1.81899e-12 -3.63798e-12
-19.1109 5.70852 | -0.369405 -0.313841 | 2.87059e-12 2.04636e-12
-69.3887 -35.1534 | 0.891936 -0.369 | 1.81899e-12 -5.91172e-12
