57.6281 -68.1516 | 0.993236 -0.332105 | -40.5098 261.746
43.5291 7.1035 | -0.0187726 -0.434431 | 409.602 -191.071
0.126497 -44.9391 | 0.307753 -1.04539 | -96.3072 468.01
5.84322 78.3586 | -0.651056 0.505045 | -5.68434e-13 7.7307e-12
-13.4647 26.1812 | -0.16697 0.167389 | 679.139 -3533.27
-24.8354 -55.3095 | -0.796829 0.0922541 | 96.3072 -468.01
-74.0126 -0.489197 | -1.53007 -0.100394 | 2.95586e-12 3.63798e-12
80.5838 -34.0552 | 1.52062 0.256652 | 1.81899e-12 6.36646e-12
32.6199 59.4595 | 0.639578 1.0456 | -5.45697e-12 4.09273e-12
-16.5422 86.4199 | -1.1642 -0.286491 | 3.41061e-12 -1.00044e-11
35.3117 0.738752 | -0.688028 -1.0353 | 4.66116e-12 -2.50111e-12
8.21423 -27.9412 | -0.774993 -0.522426 | -1.81899e-12 -3.63798e-12
18.052 23.617 | 0.516772 -0.783802 | 9.09495e-13 2.72848e-12
68.6967 -40.4945 | 0.228894 -0.802655 | -1.81899e-12 2.04636e-12
-71.8073 42.0302 | -0.231393 -0.115705 | 5.00222e-12 -6.36646e-12
57.6209 70.602 | -0.980545 0.436448 | 2.72848e-12 -9.09495e-13
-15.6235 -19.9055 | 0.238689 0.208329 | -4.77485e-12 1.81899e-12
-43.5944 2.27122 | -1.57296 0.122761 | 3289 -5497.45
-62.6083 52.7606 | 0.281905 0.320319 | 5.45697e-12 -1.81899e-12
7.07071 32.7111 | -0.379914 1.18291 | -688.691 3516.89
-49.2988 45.9987 | -0.742752 0.424057 | -2.54661 -8.22247
37.5103 72.8294 | 0.103271 0.851767 | -1.98952e-13 -3.0127e-12
77.0874 46.5236 | 1.35335 -0.279953 | 7.38964e-12 -5.91172e-12
-43.6362 19.6385 | 0.516769 0.59444 | 6.82121e-13 2.72848e-12
-75.4891 -3.81301 | -0.242934 0.738217 | 210.374 847.667
75.4384 3.71161 | 0.843469 -0.711322 | 44.9123 51.2272
59.1327 -56.4294 | -0.0252323 -0.261639 | -4.54747e-13 -9.09495e-13
-7.07935 -39.6265 | 1.44978 -0.974411 | -4.54747e-12 -6.82121e-12
-37.7763 6.09376 | -0.184745 0.579779 | -3394.47 5199.12
42.1644 -10.822 | 0.0742832 0.156648 | -1631.42 -3560.48
-12.45 7.01996 | -0.145569 -0.35187 | -61.8653 366.565
-6.44104 38.7367 | -1.80042 0.23621 | 32.5619 69.1848
-18.1151 55.8831 | 0.121019 1.17242 | 105.617 74.912
-8.26485 60.8998 | -0.161452 1.73375 | -6.36623 -566.689
-32.0991 36.47 | -1.29174 0.924862 | -24.0388 -43.5286
-11.3263 -94.2759 | -0.6496 -0.57195 | 9.09495e-13 1.36424e-11
0.612049 -35.3872 | -0.971515 -0.222608 | 2.72848e-12 -5.68434e-13
-64.0907 -19.7168 | -1.07831 -0.0818646 | 1.59162e-12 5.11591e-12
10.481 27.0227 | -0.0448582 0.0664779 | 1.02932 -9.27697
-34.2969 -5.79985 | -0.308568 0.17285 | 42.0386 -975.229
-15.8301 92.9016 | 0.313381 0.202645 | -9.09495e-12 -1.54614e-11
-21.9398 -87.296 | -0.450905 -0.983904 | -1.45519e-11 1.0985e-11
65.7515 -48.2958 | 1.58397 -1.59305 | 1.13687e-12 -1.25056e-12
-0.503734 -11.3776 | -0.796503 0.918779 | 51.7056 208.667
21.735 -70.4641 | -0.167547 -0.535351 | 40.5098 -261.746
-25.7219 50.3804 | -1.00581 0.466396 | 2.54661 8.22247
66.6187 57.2814 | 0.428062 1.05887 | 1.27329e-11 1.81899e-12
-51.6814 59.9392 | -0.469409 0.513314 | -105.617 -74.912
30.1415 -44.5512 | -0.787074 -0.475653 | 0 6.13909e-12
37.2654 -7.61078 | 0.585828 -0.051995 | 3.86535e-12 4.54747e-13
43.0639 38.996 | 0.7008 0.912415 | -1.36424e-12 -1.02318e-12
-60.1798 -50.7358 | 1.24104 -0.819997 | -215.38 -1053.99
33.1081 -26.1325 | 1.24285 -0.993875 | -5.77334 -456.55
41.5905 46.0734 | 0.0933643 1.06896 | -3.63798e-12 -4.54747e-13
61.6772 32.1539 | 0.202552 1.37084 | 5.00222e-12 -4.77485e-12
-8.3436 -10.3348 | -1.17252 0.416455 | 9.6394 -28.8444
15.8684 -51.7745 | -0.599707 -1.33699 | 1.36424e-12 2.72848e-12
-37.1743 -32.5665 | -0.34653 -0.73113 | -1.59162e-12 0
16.2424 10.5686 | -0.270084 0.0574762 | -139.867 567.127
33.3154 4.4799 | 0.516719 -0.55007 | -147.305 -495.522
71.6475 26.0011 | 2.07273 -0.300761 | 3.06954e-12 -2.72848e-12
23.2562 -21.9115 | 1.33394 -0.636982 | -1.81899e-12 -1.59162e-12
10.5344 -55.0156 | -0.803901 -1.45228 | 1.59162e-12 -1.97531e-12
11.2836 51.3072 | -1.08982 0.867573 | -3.63798e-12 -1.7053e-12
-29.9571 -82.684 | -0.628971 -0.942546 | -9.09495e-13 1.25056e-12
-38.5225 -75.7952 | -0.0686206 -0.7427 | -5.45697e-12 5.68434e-12
-31.0926 74.7469 | 0.805873 0.584994 | -167.359 332.404
54.3214 -13.368 | 0.764476 -0.137583 | 9.09495e-13 -3.41061e-12
-52.6725 38.6563 | -1.08641 0.822753 | 26.5638 101.38
-7.05108 -67.7786 | 0.0620827 -1.1252 | -5.68434e-13 -1.59162e-11
22.4369 89.0206 | 0.218842 -0.921428 | 9.09495e-13 1.81899e-11
-50.4098 -17.6436 | 0.472938 -1.01979 | -210.374 -847.667
5.5268 16.6387 | 0.490061 -0.873726 | -3.63798e-12 2.78533e-12
-1.11948 -3.64057 | -0.73177 0.801591 | 1621.78 3589.33
39.3121 -15.8027 | 0.070523 -0.741906 | -66.6114 296.1
28.3527 29.1243 | 0.495366 0.641451 | -5.48536 13.4608
-1.98569 -30.2024 | -0.470569 -0.0647025 | -2.58638e-12 1.13687e-12
18.256 -82.2304 | -0.713205 -1.66919 | 1.7053e-12 2.95586e-12
82.0182 -3.39874 | -0.134303 0.0843337 | 2.72848e-12 5.45697e-12
-45.5832 -42.6098 | 0.208681 -0.604852 | -355.693 1193.96
75.3752 9.10096 | 2.03716 0.422198 | -6.82121e-12 -8.6402e-12
-76.3225 12.5417 | 0.48538 0.216421 | -471.679 777.329
-36.1026 -49.2175 | -0.289693 -1.21987 | 571.073 -139.973
-69.7262 31.659 | -1.35279 0.849251 | -255.558 1699.06
-4.48522 68.1121 | 0.230969 0.614134 | 173.725 234.285
61.5693 40.8244 | 0.289933 0.298528 | -2.72848e-12 -4.77485e-12
57.2853 22.1785 | 0.270932 0.456895 | 5.48536 -13.4608
52.3454 17.8578 | 0.908494 -0.20712 | -4.09273e-12 -9.09495e-13
-64.6394 -39.8933 | 0.493121 -0.817774 | 2.72848e-12 6.82121e-12
34.7871 -4.06637 | 0.167659 0.617641 | 6.0254e-12 5.00222e-12
-71.4783 -33.9692 | -0.160303 -0.420743 | -4.09273e-12 9.09495e-13
34.0184 -30.2729 | -0.110073 -1.04962 | 20.6791 -48.2159
32.8958 78.5837 | 0.482051 1.44708 | 5.45697e-12 -4.20641e-12
73.4286 -18.8748 | 1.47967 0.459276 | 1.93268e-12 0
-55.0376 -6.95607 | -1.28122 -0.12589 | 5.68434e-13 2.27374e-12
-26.1128 -61.9505 | 0.182225 -1.79526 | -1.13687e-13 -6.82121e-13
-41.0232 12.6762 | 1.04101 -0.548485 | 471.679 -777.329
-26.5815 -0.490451 | -0.187416 0.355716 | -42.0386 975.229
17.082 -87.6456 | -0.289303 1.58029 | 5.45697e-12 5.11591e-12
-52.8765 26.1968 | -0.65832 0.770293 | 228.994 -1800.44
