3.96701 14.0369 | -1.27748 -0.41436 | 208.471 -673.2
27.8082 -37.734 | 0.529504 -0.957021 | 5.45697e-12 2.72848e-12
-21.8587 -29.9419 | -0.40904 -0.0385467 | 4.09273e-12 1.25056e-12
-20.2165 51.8414 | 0.881004 1.16957 | -3.86535e-12 5.45697e-12
47.7703 16.2281 | 0.199615 0.910367 | -350.657 278.693
-10.5906 82.2578 | 0.11543 0.622544 | -3.18323e-12 -7.38964e-12
-23.179 89.6377 | -1.83599 -0.748205 | 33.7058 196.478
-33.2674 78.303 | -1.36309 0.712439 | -305.836 400.406
-12.889 12.1124 | 0.463281 -0.851695 | 3713.19 3114.79
15.6127 56.6853 | 0.403599 0.977151 | 4.54747e-12 5.45697e-12
-49.715 -44.7775 | -0.503589 -1.5725 | 1.59162e-12 -8.35598e-12
63.5292 34.9426 | 0.611415 0.146877 | 112.722 463.627
57.1005 74.483 | 0.843886 0.146403 | 1.00044e-11 5.34328e-12
9.46846 -15.5853 | 1.37154 0.406332 | -722.984 6879.63
-15.7666 -58.3386 | 0.961185 -0.921931 | 9.66338e-13 -2.04636e-12
-18.8145 26.1924 | -0.503964 0.384471 | 2.27374e-12 5.57066e-12
76.99 5.96074 | 1.50434 -1.0522 | -6.36646e-12 -6.36646e-12
13.0855 44.1345 | -0.182227 0.631011 | 49.2526 783.398
71.6814 -16.7426 | 1.61279 0.745656 | -2.44427e-12 2.50111e-12
17.8926 26.7472 | -0.719225 0.125664 | 1327.73 1407.66
-11.019 -25.5285 | 0.504924 0.0925082 | 2.84217e-13 3.41061e-12
68.6067 4.80047 | 0.829546 -0.578217 | -12.6405 87.6846
56.9369 44.2131 | -0.0770905 0.538921 | -1.36424e-12 4.77485e-12
-67.9724 48.4816 | -0.271454 0.656447 | -2.95586e-12 5.00222e-12
71.0032 26.7147 | 1.19909 0.4706 | -112.722 -463.627
-14.6122 32.5336 | -0.205953 0.467937 | -651.426 -2630.43
39.4624 35.6226 | 0.875497 0.690114 | -476.41 1616.12
75.5744 -28.2945 | 0.891091 0.257837 | -2.84217e-12 -9.09495e-13
30.5574 12.1949 | 0.75341 -0.621333 | -4.54747e-13 -1.09139e-11
47.2786 -39.2921 | -0.33346 -1.1492 | 21.6898 49.0865
-60.1888 5.18795 | -1.64601 0.119858 | -1045.61 -917.76
15.5592 37.1077 | 0.262546 0.606607 | -49.2526 -783.398
-67.7317 16.261 | -0.618738 0.361102 | 1045.61 917.76
-72.0983 0.427329 | -0.910137 0.231979 | -390.348 -801.716
14.6321 -65.0113 | -0.134352 -1.80407 | 1.81899e-12 4.54747e-12
-17.1847 -41.6075 | -0.991397 -0.859037 | 5.68434e-13 4.09273e-12
45.4841 -1.40245 | 0.906352 -0.431766 | 0 4.77485e-12
-3.79757 71.7348 | 0.283223 0.93711 | -1.36424e-12 6.19593e-12
-36.5582 -63.329 | -0.24142 0.0283334 | 141.773 77.9596
-69.3086 39.3825 | -0.0965595 0.705271 | 2413.13 -108.574
-14.5334 19.7325 | 0.381745 -0.968118 | -89.8723 373.795
0.141158 -96.3377 | 1.24821 0.134141 | 16.6393 -50.9736
34.6011 21.3053 | 0.920072 0.627317 | 219.544 -264.093
-65.7491 -28.0127 | -0.451256 -1.48129 | 321.561 -407.774
-48.484 24.9047 | 0.217368 0.233183 | -3926.7 -3312
-45.4239 -26.4001 | -0.479161 -1.26192 | 9.09495e-13 -3.63798e-12
-3.50562 47.1129 | 0.133008 1.11443 | 1.36424e-12 -2.44427e-12
71.2603 -44.9178 | 0.994788 0.464225 | -21.6898 -49.0865
64.9096 48.368 | -0.244593 0.786901 | -1.27329e-11 -4.3201e-12
-5.06454 -3.70459 | -0.97208 -0.564874 | -5249.49 6862.03
81.9761 17.2111 | 0.703178 1.11982 | 1.81899e-12 7.27596e-12
24.242 93.4141 | 0.355257 0.798778 | -7.27596e-12 -6.36646e-12
11.045 -56.0071 | -0.0665157 -1.52804 | -3.86535e-12 3.86535e-12
20.4559 80.8878 | 0.692361 -0.338486 | -6.50857e-12 -4.09273e-12
-75.9147 -4.72945 | -0.889988 0.252861 | -4.54747e-12 -1.58984e-12
6.14597 -89.4066 | -1.30124 -1.22103 | -1085.83 -1082.06
-60.3663 -39.8622 | -0.598441 -1.02842 | 805.125 3359.31
-19.3032 37.0211 | 0.303385 0.530734 | -891.272 1743.96
-33.6319 56.4977 | -0.672616 1.97704 | -5.68434e-13 4.77485e-12
-20.3445 -82.4404 | -0.590075 -1.67471 | -57.9247 143.55
61.3037 1.16689 | 0.876104 0.614432 | 12.6405 -87.6846
22.1324 53.1658 | 0.556968 1.67005 | -1.36424e-12 3.18323e-12
-66.6616 -48.1542 | -0.25836 -0.83803 | 1717 -6803.17
-86.4194 21.0424 | 0.329803 1.52749 | -2038.16 971.888
-24.0612 -90.4578 | -1.63389 0.658068 | 6.35985 -6.86738
