-27.9537 -51.2231 | 0.264716 -1.07094 | 525.133 -587.655
-18.879 41.8898 | 0.133424 1.34981 | 9.54969e-12 2.84217e-13
36.2692 -25.569 | 0.353886 -0.306918 | -7.7307e-12 1.02318e-12
-60.4198 -19.0142 | -0.711855 -0.98339 | -7.83414 41.1725
-25.8018 -28.5319 | 0.350647 -0.941363 | 171.863 -784.758
-27.7322 -91.3362 | -0.16377 0.0111824 | -5.45697e-12 -6.36646e-12
47.7467 -7.98197 | 1.43892 -0.643461 | -2.72848e-12 -2.84217e-12
-36.8478 -21.1331 | -1.03738 -0.470102 | -181.737 761.732
51.7704 74.5011 | -0.645436 -0.321958 | 3.63798e-12 3.63798e-12
-69.9714 25.3345 | -0.373855 0.367452 | -4.54747e-13 5.45697e-12
0.218926 91.9466 | -0.636545 -0.0550172 | -2.04636e-12 0
-12.7307 11.8151 | -0.0296294 0.0361289 | -7.04858e-12 3.18323e-12
11.5553 -49.1151 | 0.589417 -0.410246 | -7.95808e-13 -2.72848e-12
-64.1087 0.741062 | -1.6449 -0.103944 | 0 6.82121e-13
10.3794 86.441 | 0.331509 -0.303521 | 4.54747e-12 1.45519e-11
-80.772 26.7122 | -0.185792 -0.0482979 | 4.54747e-13 1.81899e-12
-83.8338 -20.7827 | 0.914247 -0.165324 | -409.852 655.675
22.0002 48.6514 | 0.160969 0.488591 | -7.7307e-12 -2.27374e-12
39.4147 30.697 | 0.547983 -0.438923 | 5.68434e-12 -8.18545e-12
82.9452 6.46395 | 0.45902 -0.606376 | 91.6781 154.099
45.609 -21.8162 | 1.46604 -1.29777 | -14.0625 -28.9029
-36.97 -7.49055 | 0.117676 -0.560198 | -3.18323e-12 5.45697e-12
37.8757 22.0603 | 1.00991 -0.548936 | -4.54747e-13 5.91172e-12
44.5508 -38.0277 | 0.97298 -0.565916 | 3.63798e-12 -1.13687e-13
29.1247 -46.5159 | 1.23863 -0.719631 | -22.5114 -680.077
-14.8919 -36.4376 | 0.772502 0.24827 | 9.09495e-13 -4.54747e-12
-21.4574 -5.44538 | -1.33635 -1.04518 | 0 -2.72848e-12
-77.2467 4.49396 | -1.79579 0.466726 | 69.2868 -317.077
-1.04023 -21.8613 | -0.331182 -0.509717 | 9.09495e-13 6.36646e-12
63.2567 -23.3168 | 1.50327 -0.958729 | 14.0625 28.9029
-9.3269 -40.0475 | 0.387567 -0.570911 | -488.691 926.855
-56.9172 -11.4179 | -1.21313 -0.499546 | -6.36646e-12 0
-8.3681 2.97314 | -0.37789 -0.0678173 | -1818.59 2101.85
47.2747 -2.83062 | 1.48214 0.0580457 | 0 7.7307e-12
7.91792 19.76 | 0.00864231 0.171497 | -3.63798e-12 -1.81899e-12
-5.08757 80.4768 | 0.191312 -1.07959 | 80.0152 -749.393
-9.48615 94.4195 | -0.174309 -1.21357 | 1.81899e-12 7.50333e-12
20.7617 56.7265 | 0.645058 1.13948 | -4.54747e-12 3.18323e-12
-54.2127 59.936 | 1.66116 -0.673046 | -39.6807 0.0255722
-3.97166 -26.636 | -0.214071 -0.0446138 | 2.6148e-12 -2.72848e-12
-68.7938 44.3918 | -0.311853 0.25697 | -221.589 -96.0574
-33.6945 45.4156 | -0.788568 0.993546 | 8.52651e-13 -5.68434e-12
60.7427 -0.323086 | 0.89656 -0.47885 | -9.09495e-13 1.81899e-12
-74.0043 -49.4684 | 0.0544553 -1.43918 | 510.7 -567.102
73.2632 52.0927 | 0.381754 0.317553 | 2.72848e-12 3.18323e-12
48.4901 11.4162 | -0.524468 0.920034 | -91.6781 -154.099
-44.7159 9.32889 | 0.137586 0.313972 | -69.2868 317.077
37.5116 50.6063 | 0.217451 0.706579 | 27.773 -27.4075
63.7196 -37.8463 | 1.15252 -0.774277 | -1.81899e-12 -1.36424e-12
-64.3407 -59.4988 | 0.860608 0.128933 | -32.2349 -3.10471
27.7331 36.9272 | 0.0208081 1.45004 | -262.392 267.819
70.4743 28.7246 | 0.266347 1.06163 | 66.7658 60.3773
-46.7948 27.4079 | -0.695054 0.696479 | -11.0536 -18.6271
6.8115 32.1538 | 0.371945 0.21795 | 9.09495e-13 -4.20641e-12
-18.4318 15.8338 | -1.4775 -0.222477 | 0 -5.57066e-12
1.42763 -89.7915 | 0.316116 2.03277 | -1.5234e-11 7.27596e-12
32.5414 42.2442 | 0.724967 0.760457 | -3.41061e-12 1.7053e-12
26.2686 -90.4771 | 0.924191 -0.704362 | 1.45519e-11 -9.09495e-12
-1.6574 -59.4914 | -0.087228 -1.17849 | -2.11742e-12 -1.25056e-12
5.00548 -11.176 | -0.429552 0.734458 | 9.09495e-13 5.00222e-12
-49.1022 -19.3244 | -1.04241 -0.564958 | 17.7079 -18.1467
-39.6987 64.0357 | -0.177699 1.57105 | 39.6807 -0.0255722
42.6221 -76.059 | 0.309841 0.238887 | 3.41061e-12 6.08225e-12
-70.5896 -31.6643 | -1.5978 -0.637561 | 1.81899e-12 4.54747e-13
64.3988 20.1214 | 0.0176995 0.578744 | -3.35376e-12 -2.84217e-12
45.8581 -46.5108 | 1.41689 -1.16014 | -5.00222e-12 -3.41061e-12
-62.0665 13.9659 | 0.402431 0.452028 | -1.02318e-12 9.09495e-13
41.0984 4.4544 | -0.216729 -0.476881 | -2.16005e-12 -7.04858e-12
-5.58471 0.177871 | -0.0456663 -0.845352 | 1853.02 -1885.19
21.1036 83.4081 | 0.942814 0.621574 | -80.0152 749.393
-70.7061 -8.46879 | -1.51205 0.0819357 | 5.05906e-12 5.45697e-12
10.7116 10.8665 | 0.560049 0.147616 | -234.856 4853.09
-12.3774 28.1791 | 0.314094 0.780724 | 1830.85 -5356.18
64.0544 -11.7719 | 1.76582 -0.513351 | 1.36424e-12 -5.11591e-13
-43.8801 46.4236 | -0.611174 0.181883 | 5.45697e-12 -1.15961e-11
15.2879 2.72136 | 1.01705 0.824691 | 483.952 -4224.55
-40.8668 -63.1925 | 0.155024 -1.42498 | 2671.59 -574.528
9.71011 56.026 | 0.203525 0.939507 | -2.67164e-12 1.36424e-12
-27.1596 -65.0903 | -0.649109 -1.07306 | 1.81899e-12 -4.54747e-13
71.5203 15.1955 | 0.913411 0.298938 | 4.54747e-13 -3.41061e-12
-16.2283 70.7282 | 0.0539401 1.73564 | 5.45697e-12 1.81899e-12
-41.4096 35.9276 | -0.584453 0.803385 | -1830.85 5356.18
-25.4012 -78.3043 | -1.18371 -1.55728 | 3.41061e-12 2.72848e-12
-29.7324 73.7467 | -0.52769 0.885898 | -4.77485e-12 1.25056e-11
17.9714 77.3654 | 0.273228 1.56296 | -5.68434e-14 4.54747e-12
32.1741 -70.6571 | 0.677226 -1.29437 | -2.6148e-12 -2.72848e-12
80.3495 -20.6733 | -0.398172 -1.21362 | 3.63798e-12 7.27596e-12
-50.527 25.1613 | -0.645853 0.21212 | 3.63798e-12 -1.81899e-12
-48.319 -77.7071 | 0.285484 1.6995 | -2740.2 489.06
-7.07867 6.43054 | 0.575715 0.626415 | -283.524 -845.192
55.6079 -63.4747 | 0.889023 -0.795062 | -13.9306 340.877
58.2648 43.0462 | -0.0502583 1.21341 | 262.392 -267.819
30.6654 25.9334 | 0.632978 -0.336585 | -66.7658 -60.3773
54.7453 60.4033 | -0.250859 0.712941 | -27.773 27.4075
-52.3876 -33.9297 | -0.244026 -0.686675 | -1.13687e-12 -1.13687e-12
-2.89283 68.7267 | 0.111114 1.16329 | 1.59162e-12 -3.86535e-12
29.9297 -58.9017 | 0.831903 -0.607946 | 7.50333e-12 3.18323e-12
-52.9269 47.7189 | -0.817947 1.25175 | 232.642 114.685
-47.2139 78.1359 | -0.426477 0.632886 | 4.54747e-12 -6.36646e-12
-43.4021 -83.0532 | -1.05525 0.12023 | -4.54747e-12 9.09495e-12
