-72.4607 -8.66279 | 1.28165 0.708511 | 5.00982 -25.1352
-51.1324 -36.1853 | 0.249276 -1.62509 | 2.27374e-13 4.09273e-12
8.36775 -32.7709 | -0.70834 0.214354 | 1059.85 -2693.25
-12.5894 22.3269 | -0.281004 0.53012 | 1002.17 -1773.8
-50.9885 -69.1438 | 0.0580443 -0.651344 | 1831.11 2832.77
-68.0115 -43.2074 | -0.227877 -0.62601 | 1228.04 998.321
-20.5521 -15.419 | -0.460759 -0.875933 | -310.361 461.782
-53.3829 29.9547 | 0.644937 -0.235442 | 64.325 226.855
9.01325 72.7844 | 0.000788514 1.79104 | 1410.01 734.845
-17.2425 -64.0013 | 1.09098 -1.67408 | 152.156 -378.799
-2.46602 -73.6611 | -0.247283 -0.944323 | -392.358 1461.42
50.3571 15.3254 | 0.181965 0.691201 | 368.208 -729.941
-33.4941 -25.9253 | -1.07977 -0.26251 | -267.732 -1022.4
15.84 -55.0596 | 0.365032 -1.16891 | 286.04 565.961
-82.6588 24.3726 | 0.673763 1.49697 | 1177.75 1734.64
-64.5139 13.5337 | -1.15584 0.611351 | 1.81899e-12 -4.54747e-13
-57.1525 6.54521 | -0.318781 -0.492549 | -140.363 -251.164
73.5457 46.9613 | 0.731419 0.803912 | 789.836 3714.29
37.8502 9.38044 | 1.08279 -0.0574008 | -1504.2 3587.75
-27.3184 17.1217 | 0.44311 0.0614259 | 24.0198 -112.951
62.0598 -26.9287 | -0.0495926 -0.143948 | 4.04201 3.35825
-16.4336 -93.5974 | -0.13891 0.55457 | 19.1783 -1058.96
26.5036 69.1051 | -0.19139 0.535594 | -48.6568 -150.622
60.6072 32.4188 | -0.121776 1.32227 | -3.06954e-12 -2.72848e-12
-17.7748 83.0054 | 0.221896 1.63977 | 953.841 3598.61
15.8357 -23.4113 | 1.69967 -1.05337 | -293.785 -428.115
67.1031 1.23236 | -0.170762 0.0269288 | -35.8673 -85.9697
-33.1223 -19.3536 | 0.0764515 -0.593668 | 1494.4 -2043.64
72.7213 -11.9483 | 1.17754 -0.624284 | -7.27596e-12 -3.18323e-12
29.1795 87.7529 | -0.224643 -0.383616 | 1366.86 -2948.48
-42.9489 43.6805 | -0.448338 2.05002 | -1430.36 2150.04
-29.6684 -12.5902 | 0.0517673 -1.6758 | -1748.56 583.499
-4.61223 -52.6076 | -0.353634 -1.18506 | 3.29692e-12 7.04858e-12
-23.9633 45.9527 | -1.39465 0.749964 | 104.002 -274.829
-67.576 9.74158 | -0.76486 0.476661 | 305.039 -568.494
14.0188 -15.4597 | -0.297244 -0.539303 | 5.68434e-14 -4.54747e-13
31.1523 -21.3284 | -0.370132 -0.831198 | 480.69 -1334.85
-78.8768 -38.1675 | 0.119757 0.387165 | 70.3786 208.535
14.8958 -81.3467 | -0.447758 -1.69105 | 904.922 1007.89
33.2755 -78.0676 | -0.193964 -0.294747 | 0 -9.0985e-12
14.083 61.0352 | 0.0410024 1.34944 | -257.401 599.443
-12.0818 -69.4368 | -0.272367 -0.94837 | 139.949 40.1567
-18.5672 -30.038 | 0.432646 -1.43039 | 18.1072 636.337
-78.7904 9.50767 | -0.251817 0.57238 | -195.745 849.709
-55.0491 69.8217 | -1.40582 0.127439 | -1354.03 4759.59
43.0971 -12.4302 | 0.491112 -0.719548 | -47.3907 -626.29
-39.431 -79.5087 | -0.670802 0.625734 | 117.503 -213.877
17.7288 1.09563 | -0.295291 -0.807419 | 1122.12 748.219
-3.9566 24.1735 | 0.952529 0.259653 | -174.526 841.268
0.376204 25.5799 | -0.169624 1.3457 | -759.934 756.69
19.6263 17.6167 | -0.234753 -0.0971455 | 11.5491 -25.404
-1.14496 31.4407 | 0.333388 0.574127 | 302.148 1102.97
-20.3784 78.0394 | -0.421271 -0.228103 | -2945.44 -2515.88
-78.0172 -44.0146 | -0.101824 -0.691578 | -1393.57 -470.524
15.8988 30.0075 | -0.561994 -0.269555 | 27.3987 280.513
22.5946 -89.267 | -0.796189 -1.12868 | -710.549 -438.121
-25.7631 -4.97294 | 0.442035 -0.151596 | -151.989 -52.6287
-28.4994 42.9399 | 0.100623 1.36643 | -3.15497 45.3478
-67.2414 -57.9736 | 0.712657 -0.56873 | -202.648 -1888.58
-21.1648 -8.72961 | -1.25252 -1.12532 | 667.978 884.446
57.9774 -52.8989 | -1.29057 -0.966816 | -637.432 -2152.63
7.1027 -6.04894 | 0.317546 0.490526 | -1.61502 -3.59822
52.7824 -6.05676 | -0.0554774 0.0477869 | 3.06954e-12 2.72848e-12
40.7208 -46.8058 | 1.16813 -0.987149 | -140.301 -222.181
40.4167 -66.9019 | -0.69982 -0.201415 | 268.618 158.705
-11.721 33.4226 | 1.0362 0.707127 | 4.09273e-12 3.18323e-12
-23.654 -46.2864 | 0.133437 -0.15999 | -64.5543 -176.432
23.842 -28.8681 | 1.08638 -1.50656 | -8.41841 25.4475
-15.6111 18.1999 | -0.397677 0.549755 | -24.1027 115.974
12.1836 -92.3512 | 0.684783 -1.0657 | -37.3183 -141.62
53.086 -22.2454 | 1.65923 -1.06009 | 0 -1.81899e-12
-63.0342 2.93197 | -1.53809 0.182277 | -332.489 944.353
41.0085 -83.141 | 1.14738 0.553176 | 308.469 -3462.6
50.4127 9.82814 | 1.34098 0.450973 | 91.4811 157.683
-53.2056 18.3091 | -1.06274 0.882119 | 337.684 561.366
62.6065 -67.3104 | 0.723272 -0.577471 | -677.225 -228.151
18.3027 -21.7652 | 0.527342 -0.472754 | -48.4305 -69.8052
47.2879 -38.9703 | -0.221341 -0.83157 | -159.725 -383.083
-64.3914 -25.1063 | 0.0351857 -1.33002 | -87.0541 205.17
37.8941 -8.54156 | -0.196113 -0.265395 | 6.82121e-12 -4.66116e-12
48.2244 -62.6172 | -0.862906 -0.160505 | -11.2967 -2.89468
51.9317 76.4507 | 0.0665737 0.62829 | 436.194 2094.25
46.475 30.5042 | 0.0846233 1.25478 | 30.0878 -105.982
30.2412 49.3041 | -0.9734 2.53153 | 71.6341 -161.21
-75.5425 -11.5107 | 1.29542 0.614782 | -3.18323e-12 -2.95586e-12
-31.5232 -59.8699 | 0.601031 -1.60385 | 3.86535e-12 1.36424e-12
62.3546 3.58183 | -0.144727 0.825269 | 441.992 -480.357
-62.7401 -46.0437 | -0.0766332 -1.78606 | 74.0118 -741.274
-79.7094 13.9322 | -1.8098 -0.74542 | 1045.37 -699.155
-27.8742 36.1695 | -0.587152 0.773884 | 3.15497 -45.3478
-39.4889 71.1516 | 0.208054 -0.0370306 | 1091.11 -2607.49
-61.7107 -22.6063 | -0.997217 -0.389362 | 725.698 533.062
6.40842 90.2872 | 0.818711 0.235659 | 1742.98 4823.43
-17.1839 86.4246 | 0.503874 0.0735938 | 77.132 -1062.39
76.7074 11.7509 | -1.18103 -0.443965 | -0.0728204 -12.0845
-9.83525 -79.909 | 0.273357 -1.49138 | 735.286 -1064.9
27.8688 72.3469 | -0.585988 0.623143 | 48.6568 150.622
62.3856 42.7711 | 0.0810313 1.30001 | -2846.28 -670.853
85.4793 -19.223 | -0.904619 0.803745 | 317.86 3345.91
-47.9459 -60.7939 | 0.0913212 -0.241578 | 148.485 97.3315
-48.3534 -71.9376 | 0.455643 0.522286 | -3955.2 8248.01
-49.3693 -50.7211 | 0.193338 -1.26579 | -98.8769 1769.56
20.0211 78.8482 | -0.28273 0.591428 | 553.157 338.014
4.0925 10.5537 | -0.474761 -0.338986 | -9.09495e-13 -2.27374e-12
-45.2396 63.1184 | 1.04889 0.0657471 | -1382.38 2922.15
48.2994 -43.7582 | 0.0395777 -0.400367 | 140.301 222.181
-0.41707 -2.59817 | -1.12249 0.284702 | -969.373 -964.029
62.695 23.4655 | 1.13743 0.0883512 | -20.5685 -46.2063
53.5113 18.2396 | -0.237495 1.1938 | -368.135 742.026
11.0405 85.8246 | 0.626318 0.921145 | -3238.45 -5153.33
20.1238 -17.6251 | -0.170945 -0.943329 | -142.516 1829.41
-63.2098 55.9013 | -0.0512427 -0.152184 | -1953.95 -1382.48
-52.597 31.8315 | 0.437607 0.250165 | 954.474 -3565.07
-63.1007 0.294966 | -0.943682 0.511497 | 1476.12 760.11
60.6377 60.4287 | 0.748423 0.0232808 | -341.787 -464.166
71.095 -39.5781 | 0.319831 0.357248 | 241.999 -1069.23
22.6807 4.68235 | 1.36255 0.12414 | -448.895 636.186
52.3652 45.2054 | 1.01786 2.03033 | 108.867 -4380.4
71.9778 -37.1245 | -0.459934 -0.424347 | 159.75 1137.84
0.586078 -83.3043 | -0.59522 -1.22732 | 2421.43 5109.33
21.6276 54.1922 | 0.129066 1.87348 | 8.52651e-13 4.54747e-12
-3.57302 -59.6746 | 0.319731 -0.780575 | -993.7 -101.196
8.96511 -94.5614 | 0.511499 -0.319404 | -66.4275 1178.36
62.1199 -46.7537 | 1.00346 -0.739971 | -1.09139e-11 1.21645e-11
-33.7671 1.86559 | -0.097738 0.00290276 | 6.0254e-12 -5.45697e-12
-76.8669 -17.0865 | 0.916812 -0.62242 | 4.20641e-12 -1.11413e-11
-14.0039 46.4587 | -0.385877 1.80765 | -104.002 274.829
89.0883 20.9097 | 0.109508 0.769447 | -39.6625 -22.406
64.9559 25.1147 | -0.961995 1.25634 | 20.5685 46.2063
-29.345 69.1711 | 0.67302 1.17926 | 83.7164 -149.812
-66.1687 43.1136 | -0.637055 1.20104 | 2099.76 2267.01
-62.6931 45.138 | -1.00878 1.22563 | 1254.74 -2436.3
67.9999 65.728 | 0.0617622 -0.0877651 | 12.2523 -1096.52
59.2693 -56.1345 | 0.322033 -0.514939 | -8.86757e-12 -9.09495e-13
-45.9715 82.7438 | 0.275263 0.0213937 | -412.118 -1296.14
