2.37427 13.0631 | -0.287476 0.0232268 | 2.27374e-13 -2.27374e-12
28.982 -39.5648 | 1.03147 -0.548852 | 139.653 -226.39
-22.5423 -30.3239 | -0.0813799 -0.765529 | 951.905 -957.596
-18.8729 53.8655 | 0.615198 1.04027 | 6.59384e-12 9.09495e-12
48.7678 16.7145 | 0.96832 -0.405137 | -1.59162e-12 2.6148e-12
-11.0861 83.5165 | -0.421653 1.09701 | 98.6657 498.751
-25.9007 89.1138 | -0.73407 -0.0232126 | 3.63798e-12 9.09495e-13
-36.0131 80.1917 | -0.892981 0.871537 | -161.627 862.251
-12.2532 10.5977 | -0.106753 -1.03108 | -433.081 -82.2044
16.201 59.2497 | 0.160207 1.49313 | -0.200015 117.089
-50.8354 -47.9927 | -0.36973 -1.52261 | 5.00222e-12 -2.27374e-12
65.0362 34.6483 | 0.833606 -0.370847 | -1.13687e-12 -2.95586e-12
58.1304 73.8335 | 0.146682 -0.852502 | 7.10543e-13 1.31877e-11
11.771 -14.2028 | 0.929861 0.206063 | -225.186 263.783
-13.9748 -60.0146 | 0.681383 -0.923455 | 0 6.36646e-12
-19.8432 26.7156 | -0.54207 0.299179 | -6.82121e-12 5.45697e-12
79.9567 4.31227 | 1.24098 -0.178843 | 19.7435 458.312
12.7879 45.6287 | -0.114688 0.859692 | -2.27374e-13 -2.95586e-12
74.9051 -15.1653 | 1.60904 0.900422 | -1.36424e-12 -5.22959e-12
17.3342 27.1345 | -0.0435747 0.40467 | 3101.5 6790.01
-10.11 -25.7393 | 0.31644 -0.167108 | -2.04636e-12 -4.60432e-12
70.3951 4.85095 | 0.964956 -0.122046 | -19.7435 -458.312
56.3473 45.6882 | -0.410734 0.825731 | -3.86535e-12 3.86535e-12
-68.1966 49.6271 | 0.159813 0.430006 | -1.93268e-11 -7.27596e-12
73.6902 28.1585 | 1.47859 0.939032 | 3.52429e-12 1.36424e-12
-14.9499 32.5187 | -0.103811 -0.0046697 | -707.288 912.208
41.179 36.5927 | 0.790796 0.385618 | 4.20641e-12 4.54747e-12
76.1013 -27.3624 | 0.186197 0.637872 | 64.5203 67.2611
31.6663 12.6281 | 0.354482 0.897028 | 433.081 82.2044
46.8042 -40.4766 | -0.216277 -0.487655 | 551.035 804.632
-63.0958 6.11523 | -1.29264 0.776737 | -9.09495e-12 1.08002e-12
15.7101 38.3465 | -0.0203678 0.713274 | 4.09273e-12 2.95586e-12
-68.9043 17.0375 | -0.58596 0.388496 | 4.68958e-12 2.95586e-12
-73.9422 0.76677 | -0.806677 0.337653 | 129.021 1002.43
15.0921 -68.2084 | 0.340775 -1.22765 | 1.81899e-12 -2.72848e-12
-19.2554 -42.7257 | -1.07693 -0.255597 | 1.81899e-12 3.18323e-12
