-52.2232 -31.9937 | -1.08178 -0.100246 | 2.09952 -38.2362
47.9538 -71.6531 | -0.733201 -0.160547 | -21.4834 -231.267
-18.3675 57.9514 | 0.363939 1.31138 | 2037.54 1664.16
-14.8939 -11.0918 | 0.0424844 -0.345009 | -172.924 -516.814
-63.673 6.77659 | 0.623186 0.623836 | 7377.98 5256.11
-42.8788 41.7649 | 0.32522 0.383184 | 3.49324 -18.3477
68.3999 43.0995 | 0.0774994 0.133158 | -2474.8 3047.46
12.715 20.8189 | 0.514637 0.101489 | 255.051 438.281
-74.4523 34.8807 | -1.15061 0.518559 | -80.6855 -382.715
-70.7118 24.7678 | -0.343539 0.25875 | 40.5207 94.1705
3.21102 -53.4876 | -0.391106 0.00532438 | 2.04636e-12 -3.62377e-12
0.996871 -41.0498 | 0.820446 -0.504446 | 4.09273e-12 -3.29692e-12
71.5704 35.0173 | -0.447234 -0.343213 | 281.773 221.982
-13.6401 -83.2099 | 1.10193 0.110396 | 2.72848e-12 -1.36424e-12
-30.3687 -68.5706 | 0.914827 -0.425003 | 56.3515 -91.9752
-77.1755 28.6 | -0.863984 0.767523 | -84.6992 451.929
-3.29767 -53.7581 | 1.45517 -1.26938 | 390.668 386.717
21.0972 53.414 | -0.622956 0.158943 | -17.8218 61.2852
-46.8323 53.0251 | 0.193505 1.55143 | -110.057 239.154
48.8931 -16.7273 | 1.04438 -0.658572 | 61.0679 -567.7
34.0948 -48.9009 | -0.233009 -1.09896 | -1975.42 -2627.63
32.1389 -77.7101 | 0.638595 0.119063 | 47.3166 88.3456
16.5788 73.1427 | -0.744793 -0.0135817 | 2669.29 941.204
-19.4949 -16.5167 | -0.92056 -0.566328 | -905.811 -1046.53
65.6319 -26.1807 | 1.16968 -0.387653 | 271.942 1091.74
-52.275 62.5724 | 0.975721 0.946663 | -1657.32 -2881.19
-20.6867 -33.7073 | 0.352572 -0.731908 | -97.6354 973.393
76.336 -15.7899 | -0.176637 -0.0754621 | -5.45697e-12 3.12639e-12
14.2613 -53.3313 | 0.60269 -1.52058 | 1010.01 -2798.99
-40.8629 80.7522 | -1.0891 1.11527 | -69.7896 153.416
32.2235 -4.73507 | -0.962559 -0.0165244 | -657.819 2430.52
-52.1581 78.8935 | 0.103001 -0.0335198 | 2710.46 -5767.34
6.26371 17.9792 | -0.233102 -0.00272365 | 1935.59 -2553.19
37.935 25.9838 | 0.206275 0.407966 | -66.2228 104.794
-75.6867 44.4597 | -1.12058 0.044911 | -81.4596 -41.4497
52.6223 -67.511 | -0.9326 -0.619148 | 15.7972 254.122
20.3931 -70.4239 | -0.152273 -1.50285 | 5.68615 -22.8554
41.3879 65.9939 | 0.0570445 -0.0103945 | 2339.47 -4216.99
57.8838 43.2799 | -0.254433 -0.179131 | -56.2436 1269.73
-69.4481 -46.3479 | 0.649104 -1.03202 | 1497.43 3540.93
-14.299 71.2869 | 0.489266 0.337947 | -8366.89 -3019.73
9.56754 28.1126 | -0.207386 0.69815 | 238.34 -530.781
77.1785 -1.92152 | 0.108293 0.360564 | -92.2236 -2.03345
-9.58042 -38.8419 | 0.356408 -1.1586 | 54.516 -46.8124
-9.25068 -76.7042 | -0.349089 -1.04267 | -188.005 -1915.62
-12.8173 83.3558 | -0.319829 0.375708 | -78.8882 -163.061
7.42812 96.172 | 0.167499 -0.319054 | 5.45697e-12 1.81899e-12
-22.6136 28.3038 | 0.165861 0.314967 | 62.2321 148.32
25.3117 31.862 | 0.339031 0.37753 | 1137.87 1346.48
50.7291 5.76634 | 0.952267 0.424428 | -59.7672 1643.78
-26.2664 -89.0761 | 0.108914 -0.0659521 | 214.572 265.233
-13.3027 -5.02667 | -0.799748 0.478775 | -106.458 -396.619
9.97153 -63.9878 | -0.477969 -1.10686 | -1.36424e-12 -1.31877e-11
-13.534 -71.5777 | 0.862616 -0.00259898 | 2.72848e-12 -9.09495e-13
-29.2245 -30.255 | -0.668883 -0.832681 | 491.844 1194.03
1.89035 6.59044 | -0.081275 -0.423638 | 7.42172 114.776
-2.32687 58.8998 | -0.422549 0.0988226 | 3642.92 406.88
26.0102 10.4701 | -0.0909225 -0.0734624 | 381.829 -528.349
8.19164 15.3508 | 0.948329 -0.336527 | -646.898 1406.9
76.557 5.47794 | 0.341338 0.84259 | -1143.27 -2110.78
32.4826 71.7246 | -1.81792 0.348884 | -68.3408 732.844
-29.5235 -8.10303 | -0.843811 -0.166757 | 408.886 -1591.55
