29.7918 17.6397 | 0.138391 1.08953 | 2255.76 -5075
-20.4889 -92.4738 | -0.159296 -0.861403 | -6.36646e-12 8.18545e-12
-30.1205 -23.128 | -0.998574 0.143193 | -1.9905 -5.38071
21.4205 43.2546 | 0.20518 0.388465 | -1274.22 -3119.9
32.526 -0.0868221 | 1.21469 -0.625844 | 390.691 -446.578
65.3348 -23.4667 | 0.265653 0.0145531 | -100.677 407.757
-34.1924 72.8293 | 0.897258 0.044533 | 205.549 379.444
-57.8268 50.6039 | 0.0598999 1.06291 | -2797.24 1892.09
45.9783 -4.28746 | -0.430626 -0.0877326 | 193.061 -1017.24
-29.1574 -3.62013 | -1.25498 -0.150683 | -596.709 -4478.99
75.9807 -46.417 | -0.279712 -0.936071 | -377.074 285.375
-9.38102 -67.9604 | -0.25814 -1.25862 | 933.31 3065.43
-70.6869 -37.8123 | 0.158318 -0.95652 | 81.768 34.4674
-49.9912 -56.2452 | -0.556429 -1.51393 | 2076.65 3081.79
-45.1427 35.5365 | -1.1795 0.781739 | -8.89967 225.61
16.6537 71.7061 | -0.821134 0.679715 | 11.0958 -38.8678
-12.7066 -60.1603 | 0.207841 -1.08169 | -4.54747e-13 -1.81899e-12
-67.6578 -57.9609 | 0.0424571 -0.75654 | 31.2177 -203.42
-1.00755 -53.9626 | -0.85251 -1.25851 | -7.27596e-12 -2.27374e-13
-31.995 -72.0731 | -2.05608 -1.41534 | -966.103 -3227.54
-53.7369 61.8662 | -0.243199 1.3755 | 1502.92 -2972.94
27.4004 -23.0007 | 1.10237 -0.173223 | -1111.33 -1483.44
-52.2371 -66.5643 | 0.65555 -0.906679 | -4478.28 3103.9
47.7262 31.1913 | -0.102364 0.88234 | -289.349 -2353.67
-35.52 -35.3783 | -0.408899 -1.2482 | 834.806 260.52
-81.2498 -3.01816 | 0.49031 -0.355828 | -7.27596e-12 -3.18323e-12
-57.417 -42.1281 | -1.63605 -0.987868 | 0 1.81899e-12
26.8153 -66.7954 | -0.391226 -0.960139 | 2.27374e-12 -2.72848e-12
22.0367 13.8754 | 0.191358 0.318016 | -2.50111e-12 -5.91172e-12
21.8695 -71.4608 | -0.110234 0.334733 | -525.554 2711.75
-1.17432 50.5223 | -0.127075 0.443332 | 1.36424e-12 -5.68434e-14
-71.2701 56.9108 | -0.849384 1.26802 | -1431.7 153.836
30.0049 67.3693 | -0.0135218 0.579978 | -516.412 -1203.05
-51.0603 71.5113 | 0.358811 0.136502 | -576.627 2360.93
0.0825769 62.746 | -0.195288 0.110958 | -3778.21 440.238
15.6383 40.3599 | 0.416819 0.583207 | -1.13687e-12 -2.359e-12
1.45694 69.0323 | 0.0420784 1.0337 | 45.1376 18.4129
33.8025 66.1606 | 0.188316 0.964203 | -4.54747e-12 4.09273e-12
12.5263 34.5314 | 1.17883 0.989991 | -2128.74 -4673.42
-21.7743 18.8076 | -0.0315892 0.434866 | -2122.02 -1526.8
-15.1074 90.9354 | -1.0731 0.426837 | 76.6421 396.622
-34.799 12.1892 | -1.19494 0.883257 | 558.467 -799.469
26.5284 -11.7252 | 0.700162 0.377978 | 3.63798e-12 -3.63798e-12
89.3944 -12.7365 | -0.754868 -0.593409 | -1.63709e-11 -3.63798e-12
-66.4338 -15.7608 | -1.38493 -0.187593 | 83.943 149.49
58.4919 -42.4452 | -0.768913 -0.709013 | 28.5255 25.9658
1.52535 -8.16474 | 0.359681 -0.696647 | 249.966 653.857
28.8935 -54.3365 | -0.848775 -1.23634 | -1378.85 -898.68
32.264 -17.8151 | 1.23222 -0.0730785 | 1110.89 1504.31
31.0729 19.4107 | 0.0773964 0.574838 | -2150.62 5230.19
10.0749 93.0127 | -0.557825 0.0910119 | 1868.37 7080.04
-71.8494 -27.9117 | 0.797804 -0.585594 | -16.2335 -85.6732
-47.7289 1.567 | -0.29576 0.917537 | -832.021 197.797
-23.1726 5.74229 | -0.893319 0.489381 | 166.374 -1487.52
-39.3009 -19.6862 | -0.228005 -0.220307 | 6.12296 10.4766
-54.8971 -58.1706 | -0.691168 -0.460888 | -2107.87 -2878.37
47.0385 -20.9547 | 0.0919667 0.20994 | 93.98 445.01
-44.9683 15.7968 | -0.327715 0.0492662 | -558.467 799.469
-45.1778 67.7002 | -0.35547 0.234086 | 2737.63 6827.37
-17.1389 -23.9811 | -0.504068 0.264325 | -4.88853e-12 -3.18323e-12
27.311 86.696 | 0.81248 -0.677308 | 25.1823 -33.9277
73.1719 -14.7387 | 0.0848537 -0.355761 | -3.63798e-12 -1.19371e-12
5.96486 -29.5688 | 0.936194 -0.967833 | -129.421 874.079
38.9673 -1.87039 | -0.848084 -0.760277 | -1948.99 3803.27
-6.71168 31.9247 | 0.136007 0.0460328 | 212.467 370.077
65.9528 -10.2983 | 0.130586 0.626029 | -370.781 -2123.18
27.6228 -91.7225 | -0.572296 0.331782 | 330.226 443.819
-70.0131 -31.9861 | 0.0406559 -1.33386 | -8.18545e-12 1.00044e-11
-56.4895 -53.1747 | -0.661873 -0.96657 | 9.39687 -13.0701
65.444 8.77421 | 0.463638 0.939686 | 1038.36 -754.962
-16.7679 -90.6905 | -1.48253 0.335576 | -578.514 -1618.16
-20.2263 -66.7967 | -0.506213 -0.213515 | 6.29038 61.6713
-25.1042 -65.4394 | 0.572012 -0.78652 | -68.4001 -4115.88
-27.4711 -13.8005 | -0.726733 -0.731403 | 6.25278e-13 -8.6402e-12
71.5033 31.5595 | 0.458983 0.110756 | 1271.05 -2042.24
43.438 32.627 | -0.346008 0.285517 | 137.482 1502.63
74.3392 29.2449 | 0.50345 0.847418 | 61.1179 944.313
-66.6814 54.1421 | -0.161756 0.164515 | -1642.73 484.609
-55.9719 5.45256 | -1.05996 -0.383357 | 452.852 -33.0456
-75.9232 -41.5298 | 0.980769 -1.73172 | -81.768 -34.4674
-26.6317 -31.0008 | -0.877044 -0.23911 | -1446.63 2151.2
51.3347 -24.8165 | 0.321983 -0.494503 | -110.638 -403.17
-25.6961 -37.5849 | -0.00474972 -0.444434 | 611.827 -2411.72
-62.1047 25.3036 | 0.209325 0.879595 | -11.0777 275.028
46.3499 49.4879 | 0.590456 0.872732 | 3.18323e-12 7.90124e-12
-27.5053 16.516 | -1.38863 0.64014 | 811.453 -1429.14
-29.5475 82.0856 | 0.776273 0.57421 | 1233.51 -1909.1
77.2982 16.1595 | 0.847141 -0.108401 | 506.749 -2626.99
49.5743 -65.2742 | -0.372278 -1.09697 | -8.18545e-12 -7.27596e-12
21.0587 9.63346 | 0.0133071 1.11496 | 3.13024 -274.403
14.8254 82.437 | -0.24571 0.5322 | 109.443 -586.044
-65.43 52.1083 | -0.0581771 1.13302 | 3298.41 -221.157
15.5532 2.74793 | -0.327105 -0.136714 | 2.04636e-12 -4.09273e-12
28.9504 -78.0003 | -2.20339 -0.567528 | 88.4463 -2039.38
49.652 72.3953 | 0.466183 -0.222038 | 51.3171 170.209
67.2181 33.0833 | -0.997888 0.747727 | -1271.05 2042.24
46.8563 -45.4123 | 0.448472 -0.480045 | -414.418 278.029
3.09909 -80.9966 | -1.48811 -1.63373 | 64.8476 96.1583
85.9572 15.3107 | 0.868853 -0.142707 | 76.7333 4142.43
27.0533 72.4478 | -0.879073 -0.375756 | 3577.87 -463.102
-26.1399 -83.4553 | 0.40581 -0.101456 | 108.133 -77.9641
-29.9329 68.0106 | 0.556853 0.0730899 | -1.13687e-13 -9.09495e-13
60.0366 58.2278 | -0.524147 0.338661 | 8.18545e-12 -3.18323e-12
-37.1187 -75.2194 | 1.64939 0.212179 | 3.41061e-13 4.54747e-13
-32.8497 -21.0183 | -0.141518 -0.655822 | -4.13246 -5.09592
-71.9589 -14.2555 | -1.08074 0.277528 | 1.36424e-12 -2.27374e-13
-84.3949 6.84533 | -1.02319 0.789958 | 6567.16 -3478.51
8.81785 -58.4392 | -0.556942 -0.727658 | 2.72848e-12 5.11591e-12
-3.33593 -45.3218 | 0.601284 -0.939043 | -2.72848e-12 -4.54747e-13
-57.5034 7.77348 | -0.473043 0.393679 | -439.258 462.567
10.098 54.4534 | -0.446081 0.591164 | -2.95586e-12 3.41061e-12
-73.3064 42.267 | -0.608243 -0.47238 | -1.17382e-11 1.59162e-12
-5.78684 91.8633 | -0.394004 -0.22235 | -2002.99 -6460.07
-31.9689 -62.4114 | -0.55385 -0.574587 | 4555.72 973.434
-51.9278 46.7452 | -0.788022 1.19649 | 936.79 -1258.96
52.2455 -62.1422 | -0.823025 -0.790426 | 4.54747e-12 -3.18323e-12
67.2199 -8.26062 | -0.186743 -0.212607 | 370.781 2123.18
64.394 -32.7157 | -0.0410181 -0.719571 | 26.3743 -204.753
37.973 -52.1739 | 0.027275 -1.20962 | 1371.59 887.209
-42.7987 39.3421 | -0.899177 1.32807 | -206.334 -348.38
-38.5801 79.8722 | 0.252241 -0.23113 | 33.8292 -7.84919
-29.3833 86.4001 | 0.505612 -0.173938 | 129.157 2634.34
41.256 -70.7285 | 0.222033 -0.160563 | -1.36424e-11 -4.54747e-12
37.3583 77.6495 | -1.16474 0.135096 | -4.10381 96.8589
-32.7864 -7.0888 | 0.696131 -0.138896 | -1566.34 -3532.04
-0.432304 -84.8877 | 0.058887 -0.35925 | -84.5499 816.44
22.3863 -24.6993 | 0.602975 -1.70448 | 0.445516 -20.8633
42.2997 -40.5192 | -0.102117 -1.36176 | 16.1153 -84.7213
-77.0664 20.2687 | 0.666766 0.59596 | -1.77351e-11 2.72848e-12
57.045 51.6273 | 0.732321 0.215919 | -2.72848e-12 3.18323e-12
23.0349 -85.8449 | -1.15652 -0.623278 | -450.104 -735.515
-20.9 26.8973 | 0.490216 0.460898 | 21.835 -935.13
60.6266 3.78167 | 0.451882 -0.0873996 | -817.748 944.95
64.0595 -38.762 | 0.158001 -0.711712 | 4.54747e-12 -2.72848e-12
34.2199 40.5923 | -0.181517 -0.0964797 | 2128.74 4673.42
-44.1163 56.3095 | 0.461475 0.906742 | 116.852 362.243
-76.8159 -10.9744 | 0.101434 -1.15872 | 0.800845 0.424957
-15.3981 -88.7301 | -0.878155 0.168611 | 331.418 573.665
-57.8758 29.691 | -0.659499 -0.0121344 | -5.00222e-12 -9.09495e-13
54.6607 11.0428 | 0.820128 0.681936 | -1629.05 2610.81
21.5049 -33.6269 | 0.115444 -0.106939 | -44.6408 58.7555
