62.4907 -68.9455 | 0.69566 0.0948779 | -1.09708e-11 9.09495e-13
44.8525 6.01147 | 0.430491 0.181996 | -3.70903e-12 1.59162e-12
-0.595604 -50.1215 | -0.680501 -0.892945 | -2.95586e-12 6.82121e-13
4.20358 82.8203 | 0.926591 0.823603 | -5.68434e-12 -1.25056e-12
-15.5418 27.6966 | -0.533001 0.856625 | 2.04636e-12 9.97602e-12
-29.3328 -61.0029 | -0.755705 -2.46436 | 2.72848e-12 6.36646e-12
-75.3716 -1.27951 | -0.329551 -0.158899 | -3.63798e-12 4.54747e-13
85.0338 -32.1641 | 0.252915 0.416783 | 700.168 -1294.74
33.3906 65.3104 | -0.439485 1.28962 | 1.13687e-12 1.42109e-12
-21.9515 85.7403 | -0.787984 -0.00909468 | -1.47793e-12 -1.81899e-12
33.5077 0.274531 | 0.187435 0.356453 | 489.706 643.255
4.00971 -27.1465 | -0.541094 0.569736 | -2.27374e-12 -4.09273e-12
22.0907 19.7039 | 0.259844 -0.199237 | 4.54747e-13 6.42331e-12
69.6725 -43.4469 | 0.56314 -0.696984 | -2.72848e-12 3.63798e-12
-75.336 42.2099 | -0.611619 -0.283232 | -3.63798e-12 1.18234e-11
54.2673 72.4008 | -0.222602 0.655193 | 4.09273e-12 -8.6402e-12
-14.9393 -19.8685 | -0.338643 0.646061 | -1.24345e-12 -3.06954e-12
-49.2532 3.51202 | -0.511993 0.299856 | 391.059 -1774.99
-60.7195 55.6689 | 1.1638 0.819623 | 5.45697e-12 -1.81899e-11
3.57838 37.573 | -0.707063 0.491728 | 5.22959e-12 -3.18323e-12
-50.8209 49.8796 | -0.0461565 1.5331 | 1.81899e-12 2.95586e-12
34.378 77.8377 | -0.242227 0.869019 | 357.143 -624.06
79.2677 42.9278 | 0.129237 -0.300905 | 7.27596e-12 -8.18545e-12
-38.7727 24.2743 | 0.837943 0.630273 | 7.27596e-12 6.36646e-12
-82.7754 -2.77669 | -1.26427 -0.2048 | 6.9349e-12 -7.95808e-12
80.4118 3.55271 | 1.18198 0.0639441 | -2.72848e-12 -7.95808e-12
58.7696 -61.3521 | 0.317636 -1.20824 | -1.79625e-11 -8.29914e-12
-3.03752 -44.1344 | 0.12778 -0.30289 | -2.27374e-12 -2.95586e-12
-40.9066 7.37753 | -0.538686 -0.503306 | -184.444 2051.89
42.719 -11.2848 | 0.360577 0.14429 | -2.04636e-12 -1.3813e-11
-12.1034 5.57299 | 0.256668 -0.0661251 | 239.015 6104.4
-13.0108 43.2613 | -0.969579 0.654972 | -8.19035 -120.766
-17.7195 61.1368 | -0.291139 0.139288 | 373.653 -516.743
-9.72135 67.4117 | -0.396417 -0.165562 | -3.63798e-12 -1.13687e-12
-38.8613 38.542 | -1.05164 -0.113816 | 0 1.81899e-12
-13.5329 -96.298 | -0.119465 0.292296 | 14.7907 -110.061
-1.58014 -36.3836 | -0.261164 -0.723634 | 6.82121e-13 -1.22924e-12
-68.0961 -23.1616 | -0.323785 -0.159733 | 5.45697e-12 1.59162e-12
12.0266 28.4002 | 0.624252 0.27711 | -2.72848e-12 -5.68434e-12
-38.8176 -6.1101 | -1.06667 0.408077 | -1443.13 1664.07
-14.189 94.5395 | 0.306801 0.145196 | -1.09139e-11 -8.18545e-12
-24.8067 -91.3783 | -0.270021 -0.0523151 | -14.7907 110.061
67.5285 -51.727 | -0.171862 -0.345206 | -3.18323e-12 -1.68257e-11
-4.60704 -10.5347 | -0.135606 -0.563821 | -0.691801 -55.8818
20.1465 -75.5937 | -0.40572 -1.07574 | -12.8554 53.1916
-30.8678 53.7576 | -0.99344 1.07879 | 2.6148e-12 3.63798e-12
68.9717 58.9185 | 0.027832 -0.492803 | 6.82121e-12 -2.41016e-11
-53.3596 64.2202 | 0.251523 0.573967 | -5.45697e-12 3.63798e-12
27.3789 -49.1125 | -0.0728796 -1.09881 | -3.63798e-12 -4.54747e-13
41.2697 -8.08602 | 0.326539 -0.565214 | -37.4305 -123.42
47.9153 44.9164 | 0.939194 0.456784 | -195.489 620.059
-55.7422 -59.2827 | 0.547654 -1.54335 | -4981.16 2637.34
38.5007 -29.9283 | 0.591107 -0.158606 | -2.72848e-12 -8.18545e-12
42.5152 52.4819 | 0.500622 0.830409 | 206.278 -180.395
61.736 38.1871 | -0.366647 0.654968 | 195.489 -620.059
-11.7532 -7.34451 | -0.434752 0.250386 | 1443.82 -1608.18
13.3065 -60.5999 | -0.0280622 -1.7244 | -2.27374e-12 -5.00222e-12
-40.3306 -36.0244 | -0.62582 0.296727 | -9.60654e-12 1.00044e-11
14.3806 11.3413 | -0.106107 -0.575084 | -2.27374e-13 9.09495e-13
32.1397 5.07848 | -0.754203 0.752623 | 3.23673 22.2236
80.817 25.8223 | 1.38453 0.0511088 | -2.84217e-12 -3.63798e-12
31.1699 -24.4736 | 1.52884 -0.560975 | -2.27374e-12 3.63798e-12
5.34596 -63.1838 | -0.611091 -1.44308 | 65.5901 77.2896
7.79143 54.7217 | -0.231464 1.04329 | -206.278 180.395
-29.2136 -83.3986 | 0.728631 0.657553 | 5.52092e-12 -2.27374e-13
-42.0026 -80.3409 | -1.62268 -0.83977 | -158.774 -380.41
-29.6356 76.1032 | -0.244013 1.07107 | -365.462 637.51
56.7992 -14.5951 | 0.131357 -0.290834 | 3.63798e-12 1.81899e-12
-59.0657 42.8406 | -1.19262 -0.113094 | 2.50111e-12 3.12639e-12
-6.48766 -71.2344 | 0.39886 -0.59807 | 53.7481 -59.2142
20.6014 87.6373 | -1.11104 0.554591 | -7.27596e-12 2.72848e-12
-52.2444 -20.0197 | -0.742451 -0.563582 | -1.36424e-12 -3.63798e-12
8.9964 12.5157 | 0.676141 0.32869 | 1.81899e-12 -1.81899e-12
-3.77197 -3.38564 | -0.870359 -0.867024 | 1.36424e-12 2.27374e-12
41.0218 -23.7246 | 0.534808 -1.63633 | 4.77485e-12 4.3201e-12
29.4608 31.258 | 0.0588475 0.110145 | 3.63798e-12 -1.36424e-12
-3.89893 -30.1539 | -0.232916 -0.259478 | 2.78533e-12 -2.16005e-12
16.0246 -81.8427 | -0.247071 0.208785 | 12.8554 -53.1916
79.6495 -4.91871 | -1.27668 -0.37778 | 37.4305 123.42
-40.704 -45.2277 | 1.02558 -1.20567 | 8.86757e-12 -2.72848e-12
79.3404 11.203 | 0.0848275 -0.361015 | 1.45519e-11 -3.41061e-12
-75.1852 14.7656 | -0.16405 0.688943 | -74.4732 63.2974
-34.4488 -55.9909 | 0.64082 -0.510641 | 4981.16 -2637.34
-77.5219 31.7823 | -1.58866 -0.32117 | -1.53477e-12 -1.00044e-11
-1.11472 73.6906 | 0.32032 0.770858 | 0 1.36424e-12
62.6943 42.6028 | 0.108335 0.676939 | 9.09495e-13 -3.18323e-12
58.7262 23.827 | 0.432853 0.0284928 | -8.18545e-12 2.72848e-12
57.6306 16.5161 | 0.648111 0.829885 | -4.66116e-12 -7.56017e-12
-64.7734 -43.3845 | 0.000287877 -1.31207 | 8.92502 -13.2481
36.0936 -2.92875 | 0.38996 -0.0963772 | -492.943 -665.478
-72.3293 -34.7902 | -0.251465 -0.107959 | -8.92502 13.2481
33.9477 -33.3626 | 0.419032 -0.582475 | -5.45697e-12 4.718e-12
36.529 81.009 | 0.409866 0.441621 | -357.143 624.06
78.6188 -18.0794 | 0.138959 0.129046 | -700.168 1294.74
-62.3183 -4.78955 | -1.24042 0.630066 | 1.36424e-12 1.81899e-12
-23.9025 -70.9789 | 0.256456 -1.28658 | 39.4354 362.335
-39.7142 16.2094 | -0.00176828 1.68307 | 74.4732 -63.2974
-24.9329 0.46474 | 0.36113 0.206906 | -445.631 -6381.3
14.4926 -88.1279 | -0.850873 0.702627 | 9.60654e-12 -1.18234e-11
-57.0706 29.6796 | -0.703584 0.391483 | -2.89901e-12 4.09273e-12
