62.7804 -68.8574 | 0.48701 0.240777 | 0 4.09273e-12
45.0374 6.01423 | 0.315825 -0.148312 | 4.09273e-12 -2.27374e-12
-0.934181 -50.5834 | -0.644103 -1.18586 | 440.524 -2740.74
4.64952 83.3191 | 0.835357 0.805418 | 24.7895 -57.8518
-15.8083 28.1249 | -0.533001 0.856625 | -1.81899e-12 3.52429e-12
-29.7107 -62.235 | -0.755705 -2.46436 | 6.70752e-12 1.81899e-12
-75.585 -1.39068 | -0.771592 -0.455851 | -1169.48 -827.624
85.126 -31.9784 | -0.0262891 0.3674 | -708.284 -510.744
33.1712 65.9548 | -0.42213 1.26889 | 287.59 -364.466
-22.3595 85.8255 | -0.825049 0.232642 | 7.02016e-12 4.09273e-12
33.6844 0.607746 | 0.355116 0.728127 | -1.02318e-12 -1.31877e-11
3.73916 -26.8617 | -0.541094 0.569736 | -7.7307e-12 -9.54969e-12
22.2083 19.6169 | 0.203174 -0.140974 | -1.36424e-12 7.04858e-12
69.9614 -43.8211 | 0.632947 -0.834238 | 8.18545e-12 4.09273e-12
-75.6416 42.068 | -0.590754 -0.306403 | 1358.24 -1508.99
54.1557 72.7288 | -0.239957 0.675919 | -287.59 364.466
-15.0901 -19.586 | -0.198032 0.339562 | 4.54747e-12 -1.7053e-12
-49.522 3.58327 | -0.561267 -0.234367 | 9.09968 -16.2951
-60.1377 56.0787 | 1.1638 0.819623 | -1.81899e-12 -5.45697e-12
3.22485 37.8189 | -0.707063 0.491728 | -5.45697e-12 9.09495e-12
-50.8443 50.6464 | -0.0670218 1.55627 | -1358.24 1508.99
34.2171 78.1923 | -0.402628 0.584546 | -145.659 -229.514
79.2928 42.7658 | 0.0499073 -0.324049 | 3.63798e-12 -9.09495e-12
-38.3537 24.5894 | 0.837943 0.630273 | -4.54747e-12 -1.81899e-12
-83.4076 -2.87909 | -1.26427 -0.2048 | 5.00222e-12 -4.09273e-12
81.0028 3.58469 | 1.18198 0.0639441 | 3.63798e-12 1.13687e-12
58.9284 -61.9562 | 0.317636 -1.20824 | -3.63798e-12 -9.09495e-12
-2.97378 -44.2886 | 0.126739 -0.32311 | -0.0342654 -14.5164
-41.1732 7.28109 | -0.51872 0.230654 | -9.09968 16.2951
42.8993 -11.2127 | 0.360577 0.14429 | -3.18323e-12 3.18323e-12
-11.992 5.62871 | 0.218371 0.126783 | -5.30468 51.8861
-13.4859 43.4433 | -0.946988 0.31446 | 9.54969e-12 3.63798e-12
-17.8695 61.2803 | -0.270574 0.17663 | 206.056 -169.719
