63.0239 -68.737 | 0.48701 0.240777 | -9.54969e-12 -2.27374e-12
45.226 6.00491 | 0.450713 0.155846 | 8.18545e-12 5.68434e-12
-1.24842 -51.2417 | -0.625517 -1.34893 | 5.45697e-12 2.27374e-12
5.07052 83.7335 | 0.78633 1.07592 | -114.838 520.675
-16.0748 28.5538 | -0.537991 0.888807 | -103.341 654.292
-30.0885 -63.4672 | -0.755705 -2.46436 | -2.27374e-13 6.82121e-13
-75.9757 -1.62196 | -0.781678 -0.462663 | 1.25056e-12 -3.18323e-12
85.0864 -31.8158 | -0.19507 0.333704 | -7.27596e-12 -5.45697e-12
32.9336 66.5154 | -0.704135 0.671673 | -262.959 -528.992
-22.7855 86.1029 | -0.870339 0.752847 | -48.5199 223.976
33.8376 0.95676 | 0.290857 0.687245 | -3.6395 2.11471
3.46869 -26.5767 | -0.531022 0.575839 | 818.896 502.696
22.3099 19.5464 | 0.203167 -0.140825 | -1.17885 51.7636
70.2778 -44.2391 | 0.63272 -0.876175 | 25.4263 -1184.45
-75.8519 41.869 | -0.404808 -0.31343 | -311.967 677.251
54.0616 73.1398 | 0.0268223 1.25324 | 11.6392 104.395
-15.1854 -19.4233 | -0.189251 0.323267 | -1.13687e-12 -5.00222e-12
-49.7985 3.45539 | -0.494271 -0.415626 | 101.334 -284.411
-59.6142 56.5313 | 1.01737 1.15042 | -77.936 -48.7977
2.87132 38.0647 | -0.707063 0.491728 | 2.27374e-13 9.09495e-13
-50.9275 51.284 | -0.198835 0.885173 | 7.95808e-13 1.36424e-12
34.0612 78.4148 | -0.0586271 0.142197 | 251.94 424.034
79.3177 42.6038 | 0.0499073 -0.324049 | 2.00089e-11 3.63798e-12
-37.9348 24.9046 | 0.837943 0.630273 | -5.91172e-12 1.36424e-12
-84.0388 -2.9816 | -1.06549 -0.227976 | -6.36646e-12 -1.36424e-12
81.5938 3.61666 | 1.18198 0.0639441 | -3.18323e-12 1.36424e-12
59.0872 -62.5603 | 0.317636 -1.20824 | 4.09273e-12 2.27374e-13
-2.91182 -44.5775 | 0.121428 -0.67288 | -23.0037 153.34
-41.4293 7.41569 | -0.543129 0.461345 | -101.334 284.411
43.141 -11.2602 | 0.668124 -0.36045 | 393.883 768.719
