63.5109 -68.4963 | 0.48701 0.240777 | 0 -1.00044e-11
45.783 6.09289 | 0.51156 -0.0132211 | -1727.38 4235.98
-1.87394 -52.5906 | -0.625517 -1.34893 | -5.68434e-12 0
5.58391 85.2018 | 0.297611 1.85936 | 827.123 654.276
-16.6304 29.5563 | -0.570163 1.11242 | 5.00222e-12 -4.88853e-12
-30.921 -65.831 | -0.90273 -2.27014 | 2.27374e-12 -9.09495e-13
-76.7709 -2.09579 | -0.804265 -0.480661 | -6.25278e-13 1.36424e-12
84.5541 -31.3119 | -0.826737 0.541417 | 9.09495e-13 1.02318e-12
32.2276 67.1835 | -0.705998 0.668107 | -5.45697e-12 1.81899e-12
-23.5502 86.8824 | -0.630764 0.578312 | -2.27374e-12 -5.22959e-12
34.1285 1.644 | 0.290882 0.687184 | 3.41061e-13 3.86535e-12
3.17285 -25.8692 | -0.25846 0.732395 | 9.12611 11.9036
22.5232 19.4891 | 0.2254 -0.00111937 | 2.72848e-12 -1.81899e-12
70.8902 -45.3617 | 0.41633 -0.854163 | -130.695 227.791
-76.3655 41.7315 | -0.141907 -0.474942 | 1.18234e-11 -1.36424e-12
53.8536 73.7305 | -0.478121 -0.209202 | -1.36424e-11 -6.36646e-12
-15.3276 -19.29 | -0.123462 0.0570087 | -2.89901e-12 -5.00222e-12
-50.1539 3.25788 | -0.243934 -0.192662 | 2.72848e-12 -1.50635e-12
-58.8698 57.3568 | 0.462379 0.728578 | 75.3215 847.034
2.16425 38.5565 | -0.707115 0.491456 | -3.63798e-12 -4.12115e-12
-51.1258 52.1023 | -0.334127 0.73772 | -95.4105 -865.744
34.1189 78.7789 | 0.319723 0.443833 | 141.788 -220.876
79.439 42.3614 | 0.18671 -0.168327 | -2.50111e-12 1.09139e-11
-37.0968 25.5348 | 0.837943 0.630273 | -4.54747e-13 -7.27596e-12
-84.8775 -3.23723 | -0.719225 -0.270611 | 3.63798e-12 9.09495e-13
82.496 4.11824 | 0.584572 0.720064 | 1.00044e-11 -9.32232e-12
59.4048 -63.7685 | 0.317636 -1.20824 | -4.54747e-12 2.72848e-12
-2.83184 -45.1454 | 0.0734678 -0.608405 | -1.81899e-12 8.19966e-12
-42.0289 8.02167 | -0.675704 0.80217 | -1.17097e-11 2.84217e-12
43.8 -11.6639 | 0.63583 -0.522591 | -1.81899e-12 -6.0254e-12
-11.8354 6.00714 | -0.0643793 0.447628 | -314.666 594.816
-14.9063 43.915 | -0.946936 0.314732 | -3.63798e-12 -7.38964e-13
-17.8412 61.3176 | 0.442476 -0.177173 | 1249.56 -714.787
-10.2826 67.2321 | -0.256937 -0.0762625 | 1.81899e-12 -2.50111e-12
-40.7973 37.7547 | -0.810354 -0.500647 | -66.107 -71.1084
-13.0316 -94.2016 | 0.360678 1.38859 | -1.63709e-11 -1.09139e-11
-2.19872 -37.5295 | -0.376144 -0.622411 | 0 -4.09273e-12
-68.6523 -23.9134 | -0.218689 -0.646094 | 6.70752e-12 0
13.2751 28.9544 | 0.624252 0.27711 | -2.27374e-13 2.72848e-12
-40.9823 -4.47445 | -0.933948 1.23181 | -76.6843 -126.486
-13.4985 93.1583 | 0.258998 -0.695475 | 3.63798e-11 -1.63709e-11
-25.4753 -90.3625 | -0.301133 0.448541 | 15.728 -41.504
67.3065 -52.5071 | 0.151368 -0.841159 | 130.695 -227.791
-5.1031 -11.2586 | -0.313973 -0.152001 | 1.81899e-12 -4.09273e-12
19.311 -76.8801 | -0.250698 -0.356448 | 3.63798e-12 -4.54747e-12
-32.4388 56.5385 | -0.386839 1.75087 | 20.089 18.7102
69.0273 57.9328 | 0.027832 -0.492803 | 4.54747e-12 4.09273e-12
-52.9823 65.8227 | 0.0449036 1.32224 | -1.81899e-12 0
27.2115 -51.3882 | -0.0867021 -1.14833 | -1.14397e-12 1.04592e-11
41.4336 -9.12233 | -0.0907422 0.0146056 | -2.50111e-12 1.38698e-11
49.4496 46.8222 | 0.742842 0.953821 | -111.306 -249.231
-55.1023 -61.4852 | 0.367885 -0.515023 | -7.27596e-12 1.27329e-11
39.7321 -30.51 | 0.765473 -0.768898 | -1.13687e-12 -1.7053e-12
43.789 54.588 | 0.692337 1.13668 | -3.52429e-12 -4.54747e-12
61.0043 38.6724 | -0.54572 0.598602 | -9.09495e-12 5.00222e-12
-12.2707 -8.15394 | -0.160927 -0.97747 | 0 -5.91172e-12
13.2504 -64.0487 | -0.0280622 -1.7244 | -5.45697e-12 -2.27374e-12
-41.4074 -36.2856 | -0.427054 -0.651118 | 6.82121e-12 3.63798e-12
14.4246 10.966 | 0.0940744 0.204322 | 4.54747e-13 7.7307e-12
30.5322 5.65029 | -0.734947 -0.463183 | 1727.38 -4235.98
83.0377 25.331 | 0.701831 -1.0166 | 3.63798e-12 6.36646e-12
33.9907 -25.9912 | 1.34124 -0.389191 | -9.09495e-12 5.91172e-12
4.73417 -65.6489 | -0.0827107 -1.04483 | -2.04636e-12 7.61702e-12
7.31299 56.822 | -0.239289 1.05019 | 0 -4.54747e-13
-28.1578 -84.0915 | 0.0981722 -0.468975 | -574.911 364.833
-44.578 -79.8384 | -0.870059 0.280663 | 20.9396 -1020.66
-30.6599 77.8499 | -0.907208 0.582491 | -1249.56 714.787
57.0007 -15.2497 | 0.165047 -0.552841 | -1.59162e-12 -3.41061e-13
-61.2705 42.6979 | -0.945772 0.0473603 | 9.26891 666.372
-5.79028 -72.3399 | 0.125988 -0.358633 | 17.4138 117.724
18.487 89.4869 | -0.911235 1.08095 | 0 7.27596e-12
-53.8207 -20.7144 | -0.847547 -0.0772209 | 4.54747e-12 5.57066e-12
10.3457 13.1003 | 0.598469 0.267218 | 5.45697e-12 1.36424e-12
-5.47775 -4.94963 | -0.719237 -0.708638 | 314.666 -594.816
41.6343 -25.9428 | 0.241451 -0.710784 | 3.18323e-12 3.0127e-12
29.5785 31.4783 | 0.0588475 0.110145 | -5.91172e-12 -6.82121e-13
-4.5981 -30.6357 | -0.488137 -0.0511941 | -9.12611 -11.9036
15.8757 -82.1757 | 0.320851 -0.512067 | 540.625 -372.766
77.1421 -4.20784 | -1.38041 0.587575 | 1.81899e-12 3.63798e-12
-38.652 -47.0598 | 1.02427 -0.704279 | -4.3201e-12 -1.36424e-11
79.2464 10.4679 | -0.385762 -0.384089 | 1.81899e-12 0
-76.1422 16.7593 | -0.554062 1.07481 | -3.63798e-12 -8.07177e-12
-32.468 -57.1622 | 1.29899 -0.891329 | -8.18545e-12 6.25278e-13
-80.5419 31.0588 | -1.60137 -0.605193 | 56.8381 -595.264
-0.515591 75.533 | 0.149648 1.27748 | -968.911 -433.399
63.094 43.7952 | 0.434556 0.784421 | 111.306 249.231
59.6688 24.221 | 0.521857 0.45652 | -5.00222e-12 -1.47793e-12
58.8499 17.8388 | 0.559107 0.401857 | -4.09273e-12 8.75389e-12
-64.2965 -45.7482 | 0.318711 -1.13766 | -1.81899e-12 -9.09495e-13
36.4712 -3.60559 | 0.171628 -0.285772 | -1.13687e-13 2.55795e-12
-72.4428 -34.3683 | -0.0967279 0.511436 | 1.86446e-11 8.41283e-12
34.7693 -34.5441 | 0.307872 -0.712399 | -5.91172e-12 5.45697e-12
37.5561 80.8907 | 0.6424 -0.210875 | -2.72848e-12 -4.09273e-12
79.1974 -18.04 | 0.233009 0.0666265 | -1.23919e-11 6.13909e-12
-64.1589 -3.32125 | -0.980337 0.461416 | -1.00044e-11 -1.81899e-12
-23.9733 -73.473 | -0.125771 -0.736112 | -19.7953 952.375
-39.0465 19.0983 | 0.502349 1.33603 | -2.72848e-12 1.81899e-12
-24.3115 -0.067739 | 0.218722 -0.692767 | 76.6843 126.486
12.701 -87.017 | -0.991336 0.245222 | 1.63709e-11 1.54614e-11
-58.4552 30.3161 | -0.666422 0.135692 | -9.09495e-13 4.77485e-12
