-24.2012 -56.1147 | 0.884046 -0.479305 | 7.27596e-12 2.72848e-12
-19.2016 50.3154 | -0.0552605 1.1356 | 2.48801 -64.5579
38.9265 -28.8912 | 0.463587 -0.58935 | 9.09495e-13 -8.6402e-12
-70.5801 -24.0938 | -0.794801 -0.424063 | -4.09273e-12 5.22959e-12
-25.5642 -31.3192 | -0.33581 -0.222542 | -1.81899e-12 -5.34328e-12
-27.3309 -88.2341 | -0.380535 0.350109 | 9.60654e-12 -1.00044e-11
57.1214 -11.1322 | 1.17938 -0.688791 | 6.82121e-13 3.12639e-12
-44.3496 -26.4092 | -0.918402 -1.70795 | 5.40585 -14.4827
48.8896 73.6996 | 0.235418 0.114308 | 1653.35 2812.86
-69.0046 29.9106 | 0.113703 0.651814 | -4.09273e-12 -6.25278e-12
-4.99313 93.0748 | -1.05695 0.568154 | 1.81899e-12 -1.05231e-11
-13.814 13.3622 | -0.382738 0.225238 | -2.72848e-12 1.19087e-11
12.8646 -53.3491 | -0.158658 -1.24448 | -5.45697e-12 5.68434e-13
-71.8814 -1.99494 | -0.381228 0.485586 | -2.82441e-12 1.81899e-12
15.7597 87.7597 | 1.13869 -0.211639 | 68.6868 173.752
-81.6479 27.8626 | 0.0155412 0.447923 | -1.45519e-11 -3.63798e-12
-82.413 -23.6987 | 0.0789072 0.608219 | -55.5886 -736.503
19.4055 53.977 | -0.527154 0.89352 | 2.44427e-12 6.0254e-12
42.2575 32.93 | 0.203659 0.576664 | -2.27374e-12 -1.81899e-12
88.6313 1.08369 | 0.770251 -0.837329 | -915.142 -4003.9
55.5492 -29.0912 | 1.33438 -0.340748 | 5.00222e-12 -6.23857e-12
-38.8899 -11.5934 | -0.346096 -0.0867462 | -9.09495e-13 1.81899e-12
43.5718 22.088 | 0.988705 0.111683 | 7.7307e-12 -3.86535e-12
51.2952 -42.5456 | 1.37807 -0.327839 | 2.27374e-13 -5.68434e-13
37.455 -51.1076 | 1.75178 -0.515464 | -1.47793e-12 -2.16005e-12
-10.4587 -39.5223 | 0.149717 -0.489511 | 9.09495e-13 9.09495e-13
-28.1658 -5.84094 | -0.903108 -0.0427139 | 4.54747e-13 -1.19371e-12
-81.7365 10.6346 | -0.311931 0.700048 | 6.13909e-12 3.41061e-12
-3.62464 -23.3083 | 0.182698 -0.282829 | 4.54747e-12 1.76215e-12
69.8766 -30.8069 | 0.303204 -0.141909 | -3.63798e-12 -3.41061e-12
-7.81229 -42.3643 | 0.302092 -0.491425 | 2.04636e-12 -3.18323e-12
-65.0299 -13.6646 | -1.29351 -0.428363 | 55.5886 736.503
-10.7401 2.64261 | 0.118014 0.404789 | -2.50111e-12 0
56.9716 -6.1928 | 1.43887 -0.519747 | -1.36424e-12 -5.00222e-12
6.17317 22.0321 | -0.473501 0.862549 | -487.772 -4724.08
-4.61571 80.9744 | -0.657667 0.560864 | 218.968 860.246
-13.521 95.5818 | -0.415154 0.0315132 | -5.45697e-12 1.81899e-11
23.2937 65.7519 | 0.132582 1.11665 | -1653.35 -2812.86
-47.4803 64.0809 | 0.409032 0.781592 | -1.50067e-11 7.27596e-12
-0.781397 -31.1087 | 0.890922 -1.3644 | -9.09495e-13 2.38742e-12
-69.4179 45.941 | 0.95171 -0.22643 | 12.8201 1301.43
-38.4092 50.0788 | -0.0300328 0.921085 | -4.09273e-12 6.48015e-12
67.4835 -0.849335 | 1.11823 0.0427597 | 1.06866e-11 -1.36424e-12
-67.334 -52.7295 | 1.07948 0.125012 | -1.04592e-11 7.27596e-12
73.5867 52.1272 | 0.0213225 -0.361853 | 43.7644 282.337
44.9326 13.7942 | -0.488411 -0.149632 | -13.7071 -82.9372
-43.1335 7.10483 | 0.195002 -1.11842 | 9.09495e-13 2.95586e-12
36.1317 54.3749 | -0.422172 0.665956 | -137.955 -155.512
66.6435 -41.1296 | 0.392589 -1.16081 | 3.18323e-12 6.70752e-12
-61.037 -61.8562 | 0.678239 -0.098896 | -808.678 2721.79
30.6058 42.1424 | 0.58909 0.569262 | 2.27374e-12 4.43379e-12
70.1607 32.0564 | 0.290508 1.07833 | -1.77351e-11 -1.06297e-11
-52.6217 31.9561 | -0.799159 0.744952 | -12.8201 -1301.43
10.3604 33.7681 | 1.0425 0.48043 | 1.81899e-12 -9.54969e-12
-24.9599 16.9313 | -0.433557 0.444539 | -3.63798e-12 -4.54747e-12
5.77411 -83.2779 | 0.710474 -0.162325 | -1.81899e-12 1.54614e-11
36.5835 50.3013 | 0.631679 1.14261 | -43.4592 -284.291
26.4669 -86.4193 | -0.43795 0.422082 | -7.27596e-12 -1.27329e-11
-3.45784 -64.3678 | -0.698471 -0.521595 | 579.238 -2714.97
3.67002 -11.9658 | -0.571497 -0.210938 | -3.18323e-12 2.04636e-12
-52.0662 -24.7853 | -0.835336 -0.958278 | -5.40585 14.4827
-37.6757 71.9056 | 0.758788 0.934629 | 6.48015e-12 -2.72848e-12
41.9188 -76.6403 | -1.21269 1.25615 | -2.16005e-12 -1.43245e-11
-75.4653 -36.7117 | -0.580612 -1.2572 | 3.86535e-12 6.82121e-13
68.9513 23.3704 | 0.842222 0.565397 | 2.72848e-12 1.98952e-12
56.3328 -49.3582 | 1.0651 -0.538986 | -2.72848e-12 -6.82121e-12
-59.7993 13.5798 | 0.368912 -0.242463 | 1.81899e-12 -5.91172e-12
42.2335 3.30167 | 0.613285 -0.361003 | -4.54747e-12 9.09495e-13
-3.32271 0.610916 | 0.285234 -0.174026 | 3.41061e-13 4.09273e-12
26.4957 83.9737 | 1.27227 0.418562 | -68.6868 -173.752
-79.4536 -4.80069 | -1.75357 -0.300481 | 6.82121e-12 -4.54747e-13
11.2942 12.79 | -0.511877 -0.0099012 | -3294.41 7869.73
-11.2471 31.1116 | -0.0983091 0.230848 | 487.772 4724.08
70.3615 -13.5944 | 0.53739 -0.264837 | -435.056 -86.4636
-42.3472 47.0256 | -0.23169 0.199849 | 5.91172e-12 -1.00044e-11
20.6453 3.25599 | 0.775622 0.120921 | 2377.67 -6678.28
-39.918 -68.3604 | -0.0354161 -0.896747 | 713.132 -2461.23
10.8628 60.3051 | -0.279422 0.664522 | -2.48801 64.5579
-28.4827 -73.5834 | -0.0146834 -1.24519 | -503.072 1583.06
75.4296 17.0663 | 0.623987 0.486911 | 1363.9 4173.3
-17.8224 72.9925 | -0.139148 -0.450583 | 19.6593 -146.943
-48.3982 40.3327 | -1.60461 0.361504 | 1.81899e-12 -2.27374e-13
-32.4469 -77.8056 | -0.763889 0.691875 | 503.072 -1583.06
-26.7356 75.3948 | 1.16312 -0.100029 | -238.627 -713.303
24.5512 77.9052 | 0.978081 0.363541 | -1.81899e-12 -7.10543e-12
